證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 應付股利,　　　　　 待分配股票股利,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 長期應收票據及款項,　　　　　 長期應收款,　　　　　 長期應收票據及款項淨額,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額 －母公司,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益－母公司,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 應付股利,　　　　 待分配股票股利,　　　　 資本公積－發行溢價,　　　　　 資本公積－普通股股票溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－實際取得或處分子公司股權價格與帳面價值差額,　　　　　 累積盈虧,　　　　　 本期損益,　　　　 預收股本,　　　　 約當現金,　　　　 應收票據,　　　　 應收帳款,　　　　 其他應收款－其他,　　　　 其他預付款,　　　　 其他無形資產,　　　　　 其他無形資產淨額,　　　　　 其他非流動資產－其他,　　　　 銀行借款,　　　　　 其他預收款,　　　　 銀行長期借款,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　　 備供出售金融資產－流動,　　　　 無活絡市場之債券投資－流動,　　　　 以成本衡量之金融資產－非流動,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額
1734,2015年09月30日,,,,                881765,,                  6601,,                 62111,,                105378,,                305011,,                 31447,,                783763,,                 50738,,                    618,              2227432,,,                173231,,                              0,,              3387798,,                165777,                 23640,,                  8973,                  9895,                 28396,,                 29027,                 76291,              3826737,              6054169,,,,,                344000,,                108450,,                 76656,,                178224,                178224,                  6416,,,                151562,,                 40085,                 40085,                  3329,                194976,                908722,,,              1064539,,                145176,                 69173,                214349,              1278888,              2187610,,,,              1612712,              1612712,,              1199760,,                175851,                 37951,,                 75737,                289539,,,                 30855,,                 20663,                 51518,              3153529,                713030,              3866559,              6054169,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1734,2015年06月30日,,,,              1142947,,                  6601,,                 69622,,                 83214,,                311872,,                 72116,,                766336,,                 60764,,                    174,              2513646,,,                226259,,                              0,,              3280895,,                173052,                 22551,,                  6018,                  9427,                 27485,,                 31582,                 74512,              3777269,              6290915,,,,,                362000,,                 88891,,                 84726,,                197162,                326179,                  6667,,,                146596,,                 45746,                 45746,                  2894,                195236,              1063699,,,              1076596,,                144550,                 61860,                206410,              1283006,              2346705,,,,              1612712,              1612712,,              1199760,,                175851,                 37951,,                 92501,                306303,,,                  4868,,                 44130,                 48998,              3167773,                776437,              3944210,              6290915,              0,              0,              0,                129017,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1734,2015年03月31日,,,,              1093196,,                  6601,,                 84601,,                 84223,,                331265,,                 62374,,                821962,,                 59758,,                    333,              2544313,,,                320686,,                  3419,,              3286211,,                179988,                 21212,,                  5890,                  9347,                 28026,,                 28972,                 72235,              3883751,              6428064,,,,,                332000,,                101615,,                 72384,,                253506,                253506,                 24005,,,                148220,,                 45908,                 45908,                  6343,                200471,                983981,,,              1028082,,                147957,                 57755,                205712,              1233794,              2217775,,,,              1612712,              1612712,,              1199760,,                159511,                 37951,,                247562,                445024,,,                 13659,,                 85920,                 99579,              3357075,                853214,              4210289,              6428064,,              0,              0,,,,                821962,,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1734,2014年12月31日,,,,              1263099,,                  6601,,                 57098,,                 83601,,                377860,,                 82724,,                861872,,                 50106,,                  2214,              2785175,,,                110193,,                              0,,              3295504,,                185653,                 18788,,                  2926,                  9367,                 28512,,                 27785,                 68590,              3678728,              6463903,,,,,                332000,,                124655,,                 98481,,                349339,                349339,                 42241,,,                138831,,                 46072,                 46072,                  2375,                187278,              1133994,,,              1039378,,                147331,                 64657,                211988,              1251366,              2385360,,,,              1612712,              1612712,,              1199760,,                159511,                 37951,,                273903,                471365,,,                 27628,,                 -7235,                 20393,              3304230,                774313,              4078543,              6463903,              0,              0,              0,                              0,                              0,,                861872,,                              0,                              0,              1166822,                153375,              6463903,,,,                332000,,                124655,,                 98481,,                349339,                349339,                 42241,,,                138831,,                 46072,                 46072,                  2375,                187278,              1133994,,,              1039378,,                147331,                 64657,                211988,              1251366,              2385360,,,,              1612712,              1612712,,              1199760,,                159511,                 37951,,                273903,                471365,,,                 27628,                 27628,,                 -7235,                 -7235,                 20393,                              0,              3304230,                774313,              4078543,,,,,,,,,,,,,,,,,,,,,,,,,,,
1734,2014年09月30日,,,,                639094,,                  6475,,                102874,,                 74236,,                307802,,                 75998,,                813778,,                 53894,,                  3372,              2077523,,,                118538,,                    114,,              3262251,,                 71053,                 21763,,                 10726,                  8883,                 27847,,                 12059,                 59515,              3533234,              5610757,,,,,                140000,,                133458,,                 91841,,                201465,                201465,                 15112,,,                149906,,                 47517,                 47517,                  3060,                200483,                782359,,,              1200840,,                153771,                 42750,                196521,              1397361,              2179720,,,,              1612712,              1612712,,                961528,,                159511,                 37951,,                223903,                421365,,,                  6435,,                 -4077,                  2358,              2997963,                433074,              3431037,              5610757,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1734,2014年06月30日,,,,                944900,,                  6475,,                 48110,,                 75626,,                369109,,                 74280,,                733899,,                 62393,,                  1763,              2316555,,,                120428,,                    114,,              3223326,,                 46237,                 26278,,                 14980,                  8991,                 26730,,                 11764,                 62465,              3478848,              5795403,,,,,                140000,,                 95367,,                122291,,                200540,                320000,                 35849,,,                148084,,                 48729,                 48729,                  2252,                199065,                912572,,,              1182352,,                153007,                 41354,                194361,              1376713,              2289285,,,,              1493252,              1612712,,                961528,,                159511,                 37951,,                245807,                443269,,,                 -7270,,                 13813,                  6543,              3024052,                482066,              3506118,              5795403,              0,              0,              0,                119460,                119460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1734,2014年03月31日,,,,                835128,,                  6475,,                 24500,,                 71434,,                397533,,                 30096,,                733676,,                 90886,,                  1111,              2190839,,,                135677,,                    698,,              3206373,,                 47221,                 32335,,                 17885,                 11646,                 27399,,                 10964,                115142,              3537446,              5728285,,,,,                170000,,                115089,,                114790,,                196111,                196111,                 49439,,,                160384,,                 62163,                 62163,                  3205,                225752,                871181,,,              1081770,,                141749,                 40321,                182070,              1263840,              2135021,,,,              1493252,              1493252,,                961528,,                129442,                 80951,,                401723,                612116,,,                  2279,,                 21463,                 23742,              3090638,                502626,              3593264,              5728285,,              0,              0,,,,                733676,,                 47248,                 47248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1734,2013年12月31日,,,,,,                  6475,,,,                 78033,,                382921,,                 46933,,                734554,,                 91173,,                  5902,              2233961,,,                 85534,,                  1092,,              3153532,,                 39993,                 39616,,                 51605,                 11910,                 27681,,                 11887,                149721,              3469488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,,                 46638,                 46638,                756380,                131590,              5703449,,,,                414838,,                152305,,                138663,,                253993,                253993,                 50862,,,                155155,,                 51121,                 51121,                  2560,                208836,              1219497,,,                805463,,                143355,                 41094,                184449,                989912,              2209409,,,,              1493252,              1493252,,                961528,,                129442,                 80951,,                340811,                551204,,,                  5868,                  5868,,                 -3688,                 -3688,                  2180,                              0,              3008164,                485876,              3494040,,,,,,,,,,,,,,,,,,,,,,,,,,,
1734,2013年09月30日,,,,,,                  6475,,,,                 77886,,                325499,,                 43480,,                560903,,                101214,,                 15293,              2083294,,,                 88357,,                  1769,,              3088501,,                 42046,                 21687,,                 25636,                  9896,                 27233,,                 11972,                119569,              3361929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,,                 44832,                 44832,                757227,                195317,              5445223,,,,                238090,,                114501,,                 87221,,                185381,                185381,                 25015,,,                102666,,                373118,                373118,                  2703,                478487,              1128695,,,                706605,,                150382,                  4449,                154831,                861436,              1990131,,,,              1493252,              1493252,,                961529,,                129442,                 80951,,                300653,                511046,,,,                 -5028,,,                 -2273,                 -7301,,              2958526,                496566,              3455092,,,,,,,,,,,,,,,,,,,,,,,,,,,
1734,2013年06月30日,,,,,,                  4475,,,,                 91524,,                337185,,                 42952,,                617381,,                 45566,,                 16440,              1974814,,,                 90420,,                  2986,,              3000667,,                 43145,                 33455,,                 24225,                  7398,                 27793,,                 10008,                114130,              3284803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,,                 44706,                 44706,                536430,                282861,              5259617,,,,                234631,,                113703,,                 64984,,                163803,                253398,                 14077,,,                 89263,,                 44258,                 44258,                  1638,                135159,                815952,,,                976703,,                154711,                  4369,                159080,              1135783,              1951735,,,,              1493252,              1493252,,                908441,,                129442,                 80951,,                211548,                421941,,,,                  3937,,,                 -1294,                  2643,,              2826277,                481605,              3307882,                 89595,                              0,,,,,,,,,,,,,,,,,,,,,,,,,
1734,2013年03月31日,,,,,,                  9526,,,,                 85229,,                311440,,                 42105,,                581918,,                 93321,,                 20663,              2146593,,,                              0,,                  4593,,              2849330,,                 37895,                 35043,,                 17438,                  7461,                 27542,,                 10108,                103059,              3029920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,,                 40510,                 40510,                797891,                204500,              5176513,,,,                168030,,                111216,,                 93179,,                179723,                179723,                 30359,,,                108217,,                 44399,                 44399,                  1669,                154285,                736792,,,                941381,,                154171,                  6278,                160449,              1101830,              1838622,,,,              1493252,              1493252,,                910391,,                117312,                 80951,,                254625,                452888,,,,                 -1188,,,                              0,                 -1188,,              2855343,                482548,              3337891,,,,                713694,                713694,                196697,                134277,                120348,,,,,,,,,,,,,,,,,,,
1734,2012年12月31日,,,,                517022,,                 10518,,,,                105877,,                337611,,                  8242,,                518447,,                 36368,,                 19612,              1630600,,,                              0,,                  4593,,              2736681,,                 39535,                 44080,,                 12303,                  7788,                 26888,,                 33306,                 80285,              2905174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,,                              0,                              0,,                 76903,              4535774,,,,                214559,,                116886,,                 84782,,                167214,                167214,                 31794,,,                 73430,,                 43654,                 43654,                  1835,                118919,                734154,,,                951742,,                155174,                  4103,                159277,              1111019,              1845173,,,,              1493252,              1493252,,                718801,,                117312,                 80951,,                134277,                332540,,,,                -14616,,,                              0,                -14616,,              2529977,                160624,              2690601,,,,,,,,,                              0,,,,,,,,,,,,,,,,,,
1734,2012年09月30日,,,,                488438,,                  9513,,,,                 94718,,                333396,,                  4657,,                436994,,                 48387,,                  7578,              1552558,,,                              0,,                 30199,,              2686513,,                 38547,                 43632,,                 39863,                  7738,                 27049,,                 37769,                112419,              2911310,,,,,,,                 97528,,                 86710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,,                              0,                              0,,                128877,              4463868,,,,                149900,,                 97528,,                 86710,,                160154,                160154,                 18812,,,                 74236,,                 43572,                 43572,                  1983,                119791,                632895,,,                975655,,                146728,                  4382,                151110,              1126765,              1759660,,,,              1493252,              1493252,,                718829,,                117312,                 82124,,                136293,                335729,,,,                -12325,,,                              0,                -12325,                              0,              2535485,                168723,              2704208,,,,,,,,,,                488438,                 94718,                333396,                  4657,                 48387,,                 38547,                 37769,                149900,                 74236,                975655,,,,,,,
