證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 零用金／週轉金,　　　　 銀行存款,　　　　 約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 持有至到期日金融資產－流動,　　　　 持有至到期日金融資產－流動淨額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付租金,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 透過損益按公允價值衡量之金融資產－非流動,　　　　 透過損益按公允價值衡量之金融資產－非流動合計,　　　 透過其他綜合損益按公允價值衡量之金融資產－非流動,　　　　 透過其他綜合損益按公允價值衡量之金融資產－非流動合計,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 持有至到期日金融資產－非流動,　　　　 持有至到期日金融資產－非流動淨額,　　　 避險之衍生金融資產－非流動,　　　 按攤銷後成本衡量之金融資產－非流動,　　　　 按攤銷後成本衡量之金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 礦產資源淨額,　　　　 礦產資源淨額,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 生物資產－非流動,　　　　 生物資產－非流動合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 未實現售後租回損失,　　　　　 陳飾品,　　　　　 其他非流動資產－其他,　　　　　 內部往來,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　　 避險之衍生金融負債－非流動,　　　　 按攤銷後成本衡量之金融負債－非流動,　　　　 以成本衡量之金融負債－非流動,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 負債準備-非流動,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 特別股股本,　　　　　 債券換股權利證書,　　　　　 預收股本,　　　　　 待分配股票股利,　　　　　 特別股轉換普通股權利證書,　　　　　 待註銷股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 共同控制下前手權益,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　　 一年或一營業週期內到期長期借款,　　　 以成本衡量之金融資產－流動,　　　　 以成本衡量之金融資產－流動淨額,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　　 與待出售非流動資產直接相關之負債,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　 待註銷股本股數,　　　 當期所得稅負債,　　 共同控制下前手權益,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債券投資－非流動淨額,　　　 與待出售非流動資產直接相關之負債,　　　　 預收股本
6283,2015年09月30日,,,,                  2682,                170081,                 49305,                222068,,                  3880,,                 23172,,                 23252,,                107019,,                              0,,                247834,,                 34714,,                 47022,,                  1150,                  1150,,                 90504,                 90504,                800615,,,                              0,,                              0,,                              0,,                              0,                              0,,                              0,,                 18862,,                              0,,                326789,,                              0,,                              0,,                              0,,                              0,                 88156,,                  6839,,                              0,                              0,                  4825,                              0,                  4825,                 11664,                445471,              1246086,,,,,                 37751,,                145384,,                125643,                              0,,,                 37333,                 41739,                 79072,                387850,,,                              0,                              0,                              0,                              0,,                              0,,                  7499,,                              0,,                              0,,                  5083,                 18235,                 23318,                 30817,                418667,,,,              1423805,                              0,                              0,                              0,                              0,                              0,                              0,              1423805,,                  5463,,               -658138,,                 56289,                              0,                827419,                              0,                              0,                827419,              1246086,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6283,2015年06月30日,,,,,,,                324829,,                  3867,,                 82847,,                  4543,,                 78046,,                              0,,                146130,,                 50772,,                 51311,,                  2161,                  2161,,                104129,                104129,                848635,,,,,,,,,,,,,,                 18862,,,,                320864,,,,,,,,,                 88156,,                  6727,,,,                  5070,,                  5070,                 11797,                439679,              1288314,,,,,                 80000,,                139270,,                122383,                              0,,,                 56666,                 38617,                 95283,                436936,,,,,,,,,,                 13333,,,,,,                  5095,                 17139,                 22234,                 35567,                472503,,,,              1423805,,,,,,,              1423805,,                  5463,,               -647981,,                 34524,                              0,                815811,                              0,                              0,                815811,              1288314,              0,              0,                 56666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6283,2015年03月31日,,,,,,,                362849,,                  4050,,,,,,                 82360,,                     22,,                147346,,                 21913,,                 68811,,                  1152,                  1152,,                110402,                110402,                857905,,,,,,,,,,,,,,                100714,,,,                357522,,,,,,,,,                 88138,,                  6837,,,,                  3771,,                  3771,                 10608,                556982,              1414887,,,,,                116501,,                168055,,                132237,                              0,,,                 74333,                 43206,                117539,                534332,,,,,,,,,,                 19166,,,,,,                  5102,                 38361,                 43463,                 62629,                596961,,,,              1423805,,,                              0,,,,              1423805,,                  5463,,               -653225,,                 41883,                              0,                817926,,                              0,                817926,              1414887,              0,              0,                 74333,,                 59000,,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6283,2014年12月31日,,,,                  1369,                439610,                 36389,                477368,,                  4070,,                              0,,                              0,,                 66499,,                              0,,                214938,,                 34410,,                 52001,,                  2096,                  2096,,                102965,                102965,                954347,,,                              0,,                              0,,                              0,,                              0,                              0,,                              0,,                100714,,                              0,,                450915,,                              0,,                              0,,                              0,,                              0,                 88138,,                  6987,,                              0,                              0,                  3810,                              0,                  3810,                 10797,                650564,              1604911,,,,,                187358,,                183194,,                178077,                              0,,,                110163,                 47804,                157967,                706596,,,                              0,                              0,                              0,                              0,,                              0,,                 39864,,                              0,,                              0,,                  5111,                 38544,                 43655,                 83519,                790115,,,,              1448805,                              0,                              0,                              0,                              0,                              0,                              0,              1448805,,                  1562,,               -668803,,                 54331,                 21099,                814796,                              0,                              0,                814796,              1604911,              0,      2500000,                110163,,                              0,,                              0,                              0,                477368,                 66499,              1604911,,,,                187358,,                183194,,                178077,,,                110163,                110163,                 47804,                157967,                706596,,,                 39864,,                              0,,                  5111,                 38544,                 43655,                 83519,                790115,,,,              1448805,              1448805,,                  1562,,               -668803,,                 54331,                 21099,                814796,                              0,                814796,              0,,,,,,
6283,2014年09月30日,,,,                  1143,                314722,                 15210,                331075,,                  3624,,                              0,,                 19777,,                 85771,,                     88,,                417330,,                 13838,,                 82562,,                  2161,                  2161,,                153184,                153184,              1109410,,,                              0,,                              0,,                              0,,                              0,                              0,,                              0,,                100714,,                              0,,                513572,,                              0,,                              0,,                              0,,                              0,                 76284,,                  6724,,                              0,                              0,                  8311,                              0,                  8311,                 15035,                705605,              1815015,,,,,                183923,,                235648,,                150595,                    811,,,                115164,                104683,                219847,                790824,,,                              0,                              0,                              0,                              0,,                              0,,                 72330,,                              0,,                              0,,                  4113,                 37358,                 41471,                113801,                904625,,,,              1448805,                              0,                              0,                              0,                              0,                              0,                              0,              1448805,,                  1562,,               -534212,,                 15334,                 21099,                910390,                              0,                              0,                910390,              1815015,              0,      2500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6283,2014年06月30日,,,,,,,                360628,,                  3884,,                              0,,                              0,,                 88685,,                    121,,                328468,,                 11754,,                111248,,                  3434,                  3434,,                164612,                164612,              1072834,,,,,,,,,,,,,,                100714,,,,                703797,,,,,,,,,                 39951,,                  6646,,,,                  8354,,                  8354,                 15000,                859462,              1932296,,,,,                118565,,                233277,,                143543,                    727,,,                120164,                 61138,                181302,                677414,,,,,,,,,,                 97995,,,,,,                  4126,                 37146,                 41272,                139267,                816681,,,,              1448805,,,,,,,              1448805,,                  1562,,               -312696,,                   -957,                 21099,              1115615,                              0,                              0,              1115615,              1932296,              0,      2500000,                120164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6283,2014年03月31日,,,,,,,                403769,,                  3791,,,,,,                 89875,,                    241,,                348791,,                 18589,,                124273,,                  6587,                  6587,,                210661,                210661,              1337932,,,,,,,,,,,,,,                100714,,,,                706647,,,,,,,,,                 36197,,                  6826,,,,                  8644,,                  8644,                 15470,                859028,              2196960,,,,,                242547,,                249647,,                161144,                    149,,,                127331,                 79858,                207189,                992031,,,,,,,,,,                126162,,,,,,                  4147,                 37200,                 41347,                167509,              1159540,,,,              1248805,,,                 16906,,,,              1265711,,                 33832,,               -262234,,                 21210,                 21099,              1037420,,                              0,              1037420,              2196960,      1690600,      2500000,                127331,,                              0,,                131355,                131355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6283,2013年12月31日,,,,,,,,,                  3651,,,,                 63551,,,,                    236,,                561196,,                 26312,,                157734,,,                  7975,,                327377,                327377,              1591900,,,,,,,                  7204,,,,,,,                100714,,,,                622767,,,,,,,,,                 33182,,                  6782,,,,,,                  9932,                 16714,                780581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      2500000,,,,,,,                379344,                 64524,              2372481,,,,                255825,,                462289,,                207562,,,                127074,                127074,                 50369,                177443,              1103119,,,                153889,,                              0,,                  4162,                 35262,                 39424,                193313,              1296432,,,,              1248805,              1248805,,                 33832,,               -191842,,                  6353,                 21099,              1076049,                              0,              1076049,              0,                              0,                              0,,,,
6283,2013年09月30日,,,,,,,,,                  3449,,,,                  9619,,,,                  1364,,                440015,,                 66016,,                190187,,,                  3750,,                351902,                351902,              1622423,,,,,,,                  6489,,,,,,,                115714,,,,                534381,,,,,,,,,                 13568,,                  6717,,,,,,                 13286,                 20003,                690155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      2500000,,,,,,,                439190,                116931,              2312578,,,,                230213,,                380318,,                185710,,,,                106397,                 48721,                155118,                953473,,,                113724,,                              0,,                  4154,                 37136,                 41290,                155014,              1108487,,,,              1248805,              1248805,,                 33832,,                -65282,,                 -6917,                 21099,              1189339,                 14752,              1204091,              0,                  2114,                              0,,,,
6283,2013年06月30日,,,,,,,,,                  3386,,,,                              0,,,,                    717,,                597417,,                 52857,,                136190,,                 10273,                 10273,,                280418,                280418,              1563632,,,,,,,                  6655,,,,,,,                141035,,,,                504385,,,,,,,,,                  9314,,                  6825,,,,                 12977,,                 12977,                 19802,                681191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      5100000,,,,,,,                368961,                113413,              2244823,,,,                142683,,                417230,,                147850,,,,                 93252,                 38835,                132087,                841825,,,                103511,,,,                  4171,                 42703,                 46874,                150385,                992210,,,,              1248805,              1248805,,                 20000,,                 12850,,                  3871,                 48492,              1237034,                 15579,              1252613,              0,                  1975,                              0,,,,
