證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 持有至到期日金融資產－非流動,　　　　 持有至到期日金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－實際取得或處分子公司股權價格與帳面價值差額,　　　　　 資本公積－認列對子公司所有權權益變動數,　　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　　 資本公積－合併溢額,　　　　　 資本公積－員工認股權,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－實際取得或處分子公司股權價格與帳面價值差額,　　　　 資本公積－認列對子公司所有權權益變動數,　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　 資本公積－合併溢額,　　　　 資本公積－員工認股權,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 資本公積－取得或處分子公司股權價格與帳面價值差額
3037,2015年09月30日,,,,             22613299,,                  1560,,                178468,,                210855,,             17176037,,                 49929,,                552943,,              5517530,,              1717166,,                  5617,             48023404,,,                 50770,,                  9944,,              2268764,,              2746667,,             50596358,,              2109786,,                234571,                709131,,                863702,             59589693,            107613097,,,,,             10087567,,                199674,,                  2400,,                210150,,             12010928,,                420852,,              7258187,                180156,,              5295545,             35665459,,,             22830797,,                430306,,              1171843,             24432946,             60098405,,,,             15386060,             15386060,,,              6728027,                              0,                155073,                  7393,              1903855,                 16358,              8810706,,              4432096,,             13999934,             18432030,,,              1343505,,                 19107,              1362612,                822527,             43168881,              4345811,             47514692,            107613097,              0,              0,     42174000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3037,2015年06月30日,,,,             22235350,,                              0,,                253392,,                271086,,             14131354,,                 52467,,                585664,,              5099848,,              1323685,,                102297,             44055143,,,                 51876,,                  9319,,              2411195,,              2840782,,             49197281,,              2130946,,                215539,                639947,,                848034,             58344919,            102400062,,,,,             11551462,,                199669,,                  8124,,                 87369,,              8767178,,                377958,,              7544201,                195914,,              2786829,             31518704,,,             22382149,,                202212,,              1223819,             23808180,             55326884,,,,             15386060,             15386060,,,              6728027,                -27652,                195480,                  6572,              1903855,                 12881,              8819163,,              4432096,,             13841953,             18274049,,,                887801,,                 96543,                984344,                632954,             42830662,              4242516,             47073178,            102400062,              0,              0,     30022000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3037,2015年03月31日,,,,             23807926,,                              0,,                323426,,                251299,,             12315023,,                148392,,                601267,,              5245679,,              1285795,,                122274,             44101081,,,                 64343,,                  9454,,              2434554,,              2864646,,             49213361,,              2145393,,                203473,                603023,,                839706,             58377953,            102479034,,,,,             11268230,,                199680,,                 14919,,                111133,,              7516823,,                380963,,              6784292,                254189,,              3826440,             30356669,,,             21849420,,                300354,,              1238647,             23388421,             53745090,,,,             15386060,             15386060,,,              7047979,                  3473,                195479,                  5768,              1903855,                  9246,              9165800,,              4382378,,             14549111,             18931489,,,              1068758,,                165239,              1233997,                363480,             44353866,              4380078,             48733944,            102479034,              0,              0,     15022000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3037,2014年12月31日,,,,             21797543,,                  1603,,                294732,,                294211,,             14686797,,                155342,,                620569,,              5656157,,              1386496,,                207098,             45100548,,,                 57305,,                  9551,,              2464384,,              2826280,,             49250892,,              2166643,,                203399,                509916,,                871041,             58359411,            103459959,,,,,             10064578,,                199927,,                  1561,,                 67789,,              9034413,,                447808,,              7072458,                303851,,              2787742,             29980127,,,             22340907,,                338690,,              1195763,             23875360,             53855487,,,,             15386060,             15386060,,,              7047979,                  3473,                194328,                  4052,              1903855,                  5611,              9159298,,              4382378,,             15098392,             19480770,,,              1258784,,                114137,              1372921,                346289,             45052760,              4551712,             49604472,            103459959,              0,              0,     14302000,             21797543,            103459959,,,,             10064578,,                199927,,                  1561,,                 67789,,              9034413,,                447808,,              7072458,                303851,,              2787742,             29980127,,,             22340907,,                338690,,              1195763,             23875360,             53855487,,,,             15386060,             15386060,,,              7047979,                  3473,                194328,                  4052,              1903855,                  5611,              9159298,,              4382378,,             15098392,             19480770,,,              1258784,,                114137,              1372921,                346289,             45052760,              4551712,             49604472,
3037,2014年09月30日,,,,             20885110,,                              0,,                313119,,                165855,,             14765342,,                143462,,                553388,,              5939109,,              1350564,,                390186,             44506135,,,                 69369,,                  9186,,              2540637,,              2622740,,             47915782,,              2187620,,                224061,                376024,,                933799,             56879218,            101385353,,,,,             11050047,,                199909,,                  1318,,                107956,,              9656641,,                477613,,              5791796,                260742,,              2247191,             29793213,,,             20389402,,                328146,,              1161906,             21879454,             51672667,,,,             15386060,             15386060,,,              7047979,                              0,                172415,                  1702,              1903855,                  1976,              9127927,,              4382378,,             15361328,             19743706,,,                913920,,                 97260,              1011180,                161561,             45107312,              4605374,             49712686,            101385353,              0,              0,      6184000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3037,2014年06月30日,,,,             21025272,,                    451,,                375139,,                193148,,             13315922,,                123651,,                686521,,              5623630,,              1279566,,                397289,             43020589,,,                 57003,,                  9020,,              2579884,,              2705760,,             47277396,,              2206314,,                211360,                383639,,                917846,             56348222,             99368811,,,,,              9299120,,                199900,,                  4452,,                 72526,,              9008281,,                482200,,              6612658,                267039,,              3468392,             29414568,,,             19813201,,                267231,,              1027557,             21107989,             50522557,,,,             15386060,             15386060,,,              7047979,                              0,                172361,                    568,              1903855,                              0,              9124763,,              4382378,,             14937779,             19320157,,,                580224,,                150722,                730946,                161561,             44400365,              4445889,             48846254,             99368811,              0,              0,      6184000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3037,2014年03月31日,,,,             21241745,,                  9392,,                345332,,                186318,,             12338738,,                130849,,                630650,,              4881810,,              1114505,,                380976,             41260315,,,                 49765,,                  9201,,              2536529,,              2685640,,             46696556,,              2226623,,                206315,                427680,,                888541,             55726850,             96987165,,,,,              7767585,,                199895,,                              0,,                 91535,,              8150888,,                422369,,              5319685,                341358,,              4522594,             26815909,,,             18815918,,                343398,,                999136,             20158452,             46974361,,,,             15386060,             15386060,,,              7047979,                 34850,                              0,                              0,              1903855,                              0,              8986684,,              4265123,,             15842205,             20107328,,,                834967,,                105201,                940168,                              0,             45420240,              4592564,             50012804,             96987165,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3037,2013年12月31日,,,,,,                    716,,                314125,,                 88293,,             12384817,,                126182,,                837881,,              4606957,,                996391,,                378262,             43510454,,,                 42325,,                  9017,,              2526553,,              2721659,,             46915827,,              2240608,,                207798,                444619,,                885991,             55994397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,             23776830,             99504851,,,,              7932400,,                199891,,                  2428,,                 51927,,              8567040,,                371462,,              6350997,                358559,,              4816343,             28651047,,,             19587350,,                317402,,              1013627,             20918379,             49569426,,,,             15386060,             15386060,,,              7047979,                135201,                              0,                              0,              1903855,                              0,              9087035,,              4265123,,             15750766,             20015889,,,                915718,,                 54299,                970017,                              0,             45459001,              4476424,             49935425,
3037,2013年09月30日,,,,,,                  4338,,                360308,,                 59827,,             14252180,,                120817,,                715891,,              4930646,,              1084231,,                624729,             46609087,,,                 38606,,                 26541,,              2537155,,              2921187,,             46338559,,              2251251,,                250567,                392843,,                916966,             55673675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,             24456120,            102282762,,,,              8752137,,                199887,,                  2111,,                 66160,,              9208291,,                595634,,              7292452,                357135,,              4462223,             30936030,,,             20183077,,                316731,,              1126558,             21626366,             52562396,,,,             15386060,             15386060,,,              7047979,                 31050,                              0,                              0,              1903855,                              0,              8982884,,              4265123,,             15893331,             20158454,,,                707887,,                 87047,                794934,                              0,             45322332,              4398034,             49720366,
3037,2013年06月30日,,,,,,                  2471,,                375143,,                210149,,             14003960,,                157244,,                818410,,              4921621,,                962306,,                  9431,             47950537,,,                 35711,,                 44672,,              2570059,,              2973112,,             44760348,,              2271587,,                218340,                384266,,                891987,             54150082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,             26489802,            102100619,,,,              7844838,,                199873,,                  6459,,                 65161,,              9685354,,                621904,,              8892429,                427800,,              5095609,             32839427,,,             18198471,,                432988,,              1132032,             19763491,             52602918,,,,             15386060,             15386060,,,              7047979,                 12980,                              0,                              0,              1903855,,              8964814,,              4265123,,             15487592,             19752715,,,                790560,,                103992,                894552,                              0,             44998141,              4499560,             49497701,
