證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 透過損益按公允價值衡量之金融資產－非流動,　　　　 透過損益按公允價值衡量之金融資產－非流動合計,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 應收帳款,　　　　 備抵呆帳－應收帳款、分期帳款及租賃款,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 長期應付票據及款項,　　　　　 長期應付款,　　　　　 長期應付票據及款項合計,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－庫藏股票交易,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 土地淨額,　　　　　 土地淨額,　　　　 土地改良物淨額,　　　　　 土地改良物淨額,　　　　 房屋及建築淨額,　　　　　 房屋及建築淨額,　　　　 機器設備淨額,　　　　　 機器設備淨額,　　　　 運輸設備淨額,　　　　　 運輸設備淨額,　　　　 租賃改良淨額,　　　　　 租賃改良淨額,　　　　 其他設備淨額,　　　　　 其他設備淨額,　　　　 未完工程及待驗設備,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　 庫藏股票,　　　 短期借款,　　　　 短期借款合計,　　　　 其他應收票據,　　　　 備抵呆帳－應收票據
1707,2015年09月30日,,,,                710544,,                794939,,                  5176,,                  8202,                  8202,,                 88685,,                 18695,,                  1911,,,                365463,                365463,,                 24649,,                  2628,              2020892,,,                  1100,,                 28028,,              5493452,,                185985,,                 12590,                  6555,,                136725,              5864435,              7885327,,,,,                  1860,,                152225,,                              0,,              1024287,                 14412,                100008,,,                 20771,                 20771,                 80698,                101469,              1394261,,,                952103,,              1575896,,                 70054,,                119286,              2717339,              4111600,,,,              1302350,              1302350,,                 49636,                 49636,,                440371,                 74671,,              1296777,              1811819,,                 10801,                              0,              3174606,                599121,              3773727,              7885327,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1707,2015年06月30日,,,,              1270749,,                144687,,,,                  2002,                  2002,,                 84897,,                 10965,,                  1887,,,                325175,                325175,,                 22979,,                  5708,              1869049,,,,,                 18502,,              5364079,,                185985,,                 12412,                  7701,,                142582,              5731261,              7600310,,,,,                  7703,,                177508,,                              0,,              1866859,                  9897,                166920,,,                 15559,                 15559,                 61250,                 76809,              2305696,,,,,              1784441,,                 70054,,                116038,              1970533,              4276229,,,,              1302350,              1302350,,                  4363,                  4363,,                440371,                 74671,,              1035145,              1550187,,                   -804,                              0,              2856096,                467985,              3324081,              7600310,              0,              0,              0,                 88283,                  3386,,                              0,,                   -804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1707,2015年03月31日,,,,              1550427,,                246254,,,,                  3017,                  3017,,                 88090,,                 10139,,                  1668,,,                285388,                285388,,                 17277,,                  1171,              2203431,,,,,                 18502,,              5027581,,                185985,,                 12339,                  8365,,                226006,              5478778,              7682209,,,,,                  7286,,                136940,,                              0,,              2988442,                  1361,                255978,,,,,,                 47209,              3437216,,,,,,,                 70054,,                113893,                183947,              3621163,,,,              1302350,              1302350,,                  4363,                  4363,,                346123,                 74671,,              1575312,              1996106,,                  3227,,              3306046,                755000,              4061046,              7682209,              0,              0,              0,,,,,,                  3227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1707,2014年12月31日,,,,              1373835,,                205971,,                              0,,                  6880,                  6880,,                 78212,,                 13336,,                  1714,,,                268268,                268268,,                 16299,,                  1196,              1965711,,,                              0,,                 18502,,              2067880,,                185985,,                 11211,                  8342,,              1111188,              3403108,              5368819,,,,,                  6391,,                120829,,                    987,,              1099882,                  1645,                183735,,,                              0,                              0,                 49573,                 49573,              1463042,,,                              0,,                              0,,                 70054,,                119015,                189069,              1652111,,,,              1302350,              1302350,,                  4363,                  4363,,                346123,                 74671,,              1337522,              1758316,,                  5923,                              0,              3070952,                645756,              3716708,              5368819,              0,              0,              0,                 81535,                  3323,,                              0,,                  5923,              1373835,              5368819,,,,                  6391,,                120829,,                    987,,              1098463,                  1645,                183735,,                  1419,,                 49573,              1463042,,,                 70054,,,                 16846,                 16846,                 40406,                  4297,                 57466,                119015,                189069,              1652111,,,,              1302350,              1302350,,                  4363,                  4363,,                346123,                 74671,,              1337522,              1758316,,                  5923,              3070952,                645756,              3716708,,,,,,,,,,,,,,,,,,,,,,
1707,2014年09月30日,,,,                765957,,                313805,,                              0,,                  4826,                  4826,,                 72663,,                 11758,,                    313,,,                245037,                245037,,                 19562,,                  1570,              1435491,,,                              0,,                 12274,,              1925385,,                272972,,                  8462,                 15270,,                928759,              3163122,              4598613,,,,,                 10691,,                106555,,                              0,,                831130,                  1441,                 98748,,,                              0,                              0,                 54976,                 54976,              1103541,,,                              0,,                              0,,                 70069,,                143284,                213353,              1316894,,,,              1302350,              1302350,,                  4363,                  4363,,                346123,                 74671,,              1046279,              1467073,,                 -2442,                              0,              2771344,                510375,              3281719,              4598613,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1707,2014年06月30日,,,,                660810,,                964907,,,,                  3481,                  3481,,                 75833,,                 11107,,                    996,,,                223600,                223600,,                 23822,,                    839,              1965395,,,,,                 12274,,              1892806,,                258740,,                              0,                 15382,,                929098,              3108300,              5073695,,,,,                  8755,,                 92304,,                              0,,              1647698,                  1363,                150324,,,                              0,                              0,                 41509,                 41509,              1941953,,,,,                              0,,                 70069,,                138904,                208973,              2150926,,,,              1302350,              1302350,,                  4363,                  4363,,                346123,                 74671,,                800447,              1221241,,                    147,                              0,              2528101,                394668,              2922769,              5073695,              0,              0,              0,                 78773,                  2940,,                              0,,                    147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1707,2014年03月31日,,,,              1073270,,                524402,,,,                  2314,                  2314,,                 84752,,                  6122,,                    800,,,                240745,                240745,,                 19437,,                    580,              1952422,,,,,                 12274,,              1824349,,                314127,,                              0,                 16186,,                743696,              2910632,              4863054,,,,,                  8769,,                 86260,,                              0,,                794174,                  1265,                230288,,,,,,                 34316,              1155072,,,,,,,                 70069,,                128063,                198132,              1353204,,,,              1302350,              1302350,,                  4363,                  4363,,                262546,                 74671,,              1324549,              1661766,,                 -1638,,              2966841,                543009,              3509850,              4863054,              0,              0,              0,,,,,,                 -1638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1707,2013年12月31日,,,,,,                423805,,,,,                  4717,,                 73239,,                  8394,,                    517,,,,                235165,,                 14733,,                    725,              1829990,,,,,                 12274,,              1820462,,                305609,,                              0,                 15112,,                645404,              2798861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,,,              1068695,              4628851,,,,                 13397,,                 74496,,                              0,,                917039,                  1708,                168435,,                    501,,                 42857,              1218433,,,                 70069,,,                 32012,                 32012,                 54414,                  4180,                 28932,                119538,                189607,              1408040,,,,              1302350,              1302350,,                  4363,                  4363,,                262546,                 74671,,              1129937,              1467154,,                 -1973,              2771894,                448917,              3220811,,,,,,,,,,,,,,,,,,,,,,
1707,2013年09月30日,,,,,,                408260,,,,                  6482,                  6482,,                 80125,,                 14740,,                    651,,,                237632,                237632,,                 18669,,                    865,              1442666,,,,,                 12274,,              1773185,,                287349,,                              0,                 14988,,                458187,              2545983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                 83102,                  2977,,,,,                675242,              3988649,,,,                  8783,,                 86577,,,,                745584,                  1635,                 91427,,                  1212,,                 39030,                974248,,,                 68463,,,                 31578,                 31578,                 67393,                  4230,                              0,                103201,                171664,              1145912,,,,              1302350,              1302350,,                  4363,                  4363,,                262547,                 74671,,                865645,              1202863,,                   -666,              2508910,                333827,              2842737,,                854140,,                    988,,                531891,,                311015,,                  1787,,                  2617,,                 70747,                              0,,                   -666,                              0,,,,
1707,2013年06月30日,,,,,,                773182,,,,                 11010,                 11010,,                102223,,                 19224,,                    206,,,                221091,                221091,,                 15383,,                  2609,              2068325,,,,,                 12274,,              1744358,,                288600,,,                 15825,,                160168,              2221225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                105508,                  3285,,,,,                923397,              4289550,,,,                 12650,,                 88449,,,,              1325770,                  1388,                117234,,                  2844,,                 28781,              1577116,,,                 68463,,,                 32008,                 32008,                 67980,                  6173,                              0,                106161,                174624,              1751740,,,,              1302350,              1302350,,                  4363,                  4363,,                262547,                 74671,,                659735,                996953,,                 -1344,              2302322,                235488,              2537810,,                854140,,                     81,,                498100,,                323838,,                  2686,,                  2565,,                 62948,                              0,,                 -1344,                              0,,,,
