證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 商譽,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－其他－非流動,　　　　　 其他金融資產－非流動合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 銀行長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 共同控制下前手權益,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 預付投資款,　　　　　 採用權益法之投資貸餘,　　　　　 待分配股票股利,　　　　　　 國外營運機構財務報表換算之兌換差額 －母公司,　　　　 現金及約當現金合計,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　 資產總額,　 負債,　　 流動負債,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 銀行長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 採用權益法之投資貸餘,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 透過其他綜合損益按公允價值衡量之權益工具投資利益（損失）,　　　　　 透過其他綜合損益按公允價值衡量之權益工具投資利益（損失）合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 現金流量避險中屬有效避險部分之避險工具利益（損失）,　　　　　 現金流量避險中屬有效避險部分之避險工具利益（損失）合計,　　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益（損失）,　　　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益（損失）合計,　　　　 其他權益－其他,　　　　　 其他權益－其他合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 共同控制下前手權益,　　 非控制權益,　　 權益總額,　　　　 資本公積－庫藏股票交易
5706,2015年09月30日,,,,                316342,,                              0,,                598730,,                 65251,,                112830,,                  5140,,                196147,,                    561,              1295001,,,                              0,,                126613,,                291072,,                 21966,                 21966,                  2681,,                              0,                 14251,,                 14781,                 14781,                 29032,                471364,              1766365,,,,,                              0,,                 52278,,                228405,,                 35911,                 15554,,,                143521,,                              0,                              0,                 87850,                231371,                563519,,,                              0,                              0,,                  1684,,                  2071,                  6459,                  8530,                 10214,                573733,,,,                640396,                640396,,                281358,                281358,,                138928,                              0,,                213630,                352558,,,                  2492,,                -45839,                -43347,                 97040,              1133925,                              0,                 58707,              1192632,              1766365,              0,              0,      2194000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5706,2015年06月30日,,,,                359318,,                              0,,                655420,,                 86266,,                145133,,                  2716,,                221248,,                  1158,              1471259,,,                              0,,                114122,,                305740,,                 21966,                 21966,                  3421,,                              0,                 14334,,                 14711,                 14711,                 29045,                474294,              1945553,,,,,,,                 53358,,                274364,,                124720,                 14859,,,                185531,,                              0,                              0,                123090,                308621,                775922,,,,                              0,,                  1685,,                  2057,                  6289,                  8646,                 10331,                786253,,,,                610605,                640396,,,                281358,,                138928,                              0,,                130530,                269458,,,                  1099,,                -21292,                -20193,                 69194,              1101825,,                 57475,              1159300,              1945553,              0,              0,      1479000,                  1153,                      5,                              0,                    300,                 29791,                  1099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5706,2015年03月31日,,,,                274751,,                              0,,                552927,,                 99192,,                 88321,,                  2761,,                243054,,                              0,              1261006,,,                     15,,                109980,,                313611,,                 21966,                 21966,                  4047,,                              0,                 14588,,                 14735,                 14735,                 29323,                478942,              1739948,,,,,,,                 60655,,                205367,,                 25257,                 16722,,,                149874,,                              0,                              0,                 57296,                207170,                515171,,,,                              0,,                  1746,,                  2047,                  6348,                  8700,                 10446,                525617,,,,                610605,                610605,,                281358,                281358,,                126378,                 30986,,                154479,                311843,,,                  1554,,                 22703,                 24257,                 69194,              1158869,,                 55462,              1214331,              1739948,              0,              0,      1479000,,,                              0,                    305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5706,2014年12月31日,,,,                223756,,                              0,,                481567,,                 92676,,                141251,,                 23002,,                196475,,                              0,              1158727,,,                     15,,                116679,,                318306,,                 21966,                 21966,                  3836,,                              0,                 15359,,                 41263,                 41263,                 56622,                517424,              1676151,,,,,                              0,,                 64919,,                182610,,                 37873,                  9794,,,                113231,,                  1974,                  1974,                 72865,                188070,                483266,,,                 15317,                 15317,,                  1670,,                  2039,                  5327,                  7366,                 24353,                507619,,,,                610605,                610605,,                281358,                281358,,                126378,                 30986,,                123934,                281298,,,                  1940,,                  6769,                  8709,                 69194,              1112776,                              0,                 55756,              1168532,              1676151,              0,              0,      1479000,                              0,                              0,                              0,                              0,                              0,                  1940,                223756,,                              0,                              0,              1676151,,,,                              0,,                 64919,,                182610,,                 37873,                  9794,,,                113231,,                  1974,                  1974,                 72865,                188070,                483266,,,                 15317,                 15317,,                  1670,,                  2039,                  5327,                              0,                  7366,                 24353,                507619,,,,                610605,                610605,,                281358,,                126378,                 30986,,                123934,                281298,,,                  1940,,                              0,,                  6769,,                              0,,                              0,,                              0,                  8709,                 69194,              1112776,                              0,                 55756,              1168532,
5706,2014年09月30日,,,,                230357,,                              0,,                517908,,                 93278,,                172635,,                  1205,,                179581,,                    340,              1195304,,,                  2309,,                122673,,                325647,,                 21966,                 21966,                  3322,,                              0,                 15759,,                 40382,                 40382,                 56141,                532058,              1727362,,,,,                              0,,                 67546,,                227858,,                 34766,                  5023,,,                126459,,                  1884,                  1884,                 80271,                208614,                543807,,,                 15300,                 15300,,                  1509,,                  3732,                  7530,                 11262,                 28071,                571878,,,,                610605,                610605,,                281358,                281358,,                126378,                 30986,,                118662,                276026,,,                    783,,                -37001,                -36218,                 28862,              1102909,                              0,                 52575,              1155484,              1727362,              0,              0,        612000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5706,2014年06月30日,,,,                313294,,                              0,,                650037,,                 96146,,                240575,,                  1317,,                304431,,                      2,              1605802,,,                  2309,,                117113,,                334264,,                 21966,                 21966,                  2559,,                              0,                 15707,,                 39631,                 39631,                 55338,                533549,              2139351,,,,,,,                 68058,,                318431,,                219048,                 10764,,,                241425,,                  1804,                  1804,                121528,                364757,                981058,,,,                 15383,,                  1505,,                  3733,                  7345,                 11078,                 27966,              1009024,,,,                610605,                610605,,,                281358,,                126378,                 30986,,                 55968,                213332,,,                    157,,                -27369,                -27212,                    306,              1077777,,                 52550,              1130327,              2139351,              0,              0,          6000,                              0,                      2,                              0,                              0,                              0,                    157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5706,2014年03月31日,,,,                287278,,                              0,,                471940,,                 84912,,                190457,,                 12902,,                227752,,                              0,              1275241,,,                  2309,,                118893,,                341561,,                 21966,                 21966,                  2538,,                    381,                 15401,,                 40142,                 40142,                 55924,                543191,              1818432,,,,,,,                 51897,,                196225,,                 31611,                 20708,,,                122864,,                  1805,                  1805,                 94072,                218741,                519182,,,,                 16145,,                  1592,,                  3744,                  8078,                 12062,                 29799,                548981,,,,                610605,                610605,,                290517,                290517,,                107905,                 23762,,                216700,                348367,,,                    689,,                -35152,                -34463,                              0,              1215026,,                 54425,              1269451,              1818432,              0,              0,              0,,,                              0,                    240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5706,2013年12月31日,,,,,,                              0,,                594123,,                102182,,                155865,,                  3323,,                147118,,                              0,              1224009,,,                  2309,,                116887,,                348419,,                 21966,                 21966,                  2561,,                    381,                 15564,,                 39900,                 39900,                 55845,                547987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,                              0,,,,                221398,,                              0,                              0,              1771996,,,,                              0,,                 54058,,                187477,,                 42512,                 17929,,,                 99118,,                  1776,                  1776,                 79349,                180243,                482219,,,                 16742,                 16742,,                  1503,,                  3763,                 10099,                              0,                 13862,                 32107,                514326,,,,                610605,                610605,,                290517,,                107905,                 23762,,                200580,                332247,,,                    685,,                              0,,                -31671,,                              0,,                              0,,                              0,                -30986,                              0,              1202383,                              0,                 55287,              1257670,                290517
5706,2013年09月30日,,,,,,                              0,,                558714,,                 57792,,                184227,,                 17222,,                159641,,                    970,              1255803,,,                  2309,,                133199,,                298525,,                 21966,                 21966,                  2887,,                              0,                 18126,,                 42342,                 42342,                 60468,                519354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,,,                277237,,,,              1775157,,,,                    232,,                 52511,,                249062,,                 36734,                 12766,,,                 95706,,                              0,                              0,                 63090,                158796,                510101,,,                              0,                              0,,                  1457,,                  2381,                  9478,,                 11859,                 13316,                523417,,,,                610605,                610605,,                290517,,                107905,                 23762,,                193973,                325640,,,                    279,,,,                -31622,,,,,,,                -31343,                              0,              1195419,                              0,                 56321,              1251740,                290517
5706,2013年06月30日,,,,,,                              0,,                751503,,                111209,,                264778,,                  1431,,                308933,,                      3,              1695281,,,                  2309,,                123732,,                309626,,                 21966,                 21966,                  2692,,                              0,                  8137,,                 42584,                 42584,                 50721,                511046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,                              0,,,,                257424,,,,              2206327,,,,,,                 78173,,                283193,,                222869,                 19814,,,                304375,,                              0,                              0,                101112,                405487,              1009536,,,,                              0,,                  1458,,                  2415,                 10516,                              0,                 12931,                 14389,              1023925,,,,                610605,                610605,,                290517,,                107905,                 23762,,                115128,                246795,,,                    473,,,,                -23748,,,,,,,                -23275,                              0,              1124642,,                 57760,              1182402,                290517
5706,2013年03月31日,,,,,,                              0,,                575028,,                 76813,,                191508,,                 32449,,                283822,,                    397,              1430694,,,                  2309,,                120949,,                313445,,                 21966,                 21966,                  2610,,                              0,                 16965,,                 42140,                 42140,                 59105,                520384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,                              0,,,,                270677,,,,              1951078,,,,,,                 73376,,                173961,,                 30802,                 36372,,,                229031,,                              0,                              0,                 65017,                294048,                608559,,,,                              0,,                  1455,,                  2461,                 10588,                    515,                 13564,                 15019,                623578,,,,                610605,                610605,,                290517,,                 84961,                 19905,,                293385,                398251,,,                    139,,,,                -28842,,,,,,,                -28703,                              0,              1270670,,                 56830,              1327500,                290517
