證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨－買賣業,　　　　　 存貨－買賣業淨額,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 預付投資款,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 存入保證金,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 其他流動負債－其他,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 存入保證金,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－庫藏股票交易,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 其他流動負債－其他,　　　　 備供出售金融資產－流動,　　　　 應收票據,　　　　 應收帳款,　　　　 備供出售金融資產－非流動,　　　　 以成本衡量之金融資產－非流動,　　　　 採用權益法之投資,　　　　　 其他非流動資產－其他,　　　　 其他短期借款,　　　　 遞延所得稅負債－所得稅,　　　　　 累積盈虧
2906,2015年09月30日,,,,              1584844,,                              0,,                647055,,                              0,,                877738,,                  2241,,,                554011,                554011,,                 65704,                 39937,                105641,              3771530,,,                208012,,                169143,,                 52608,,                423685,,                  3918,                103473,,                 57354,                 32820,,                              0,,                 10656,                100830,              1061669,              4833199,,,,,                618948,,                245403,,                  3512,,                304524,                  2963,,                163902,              1339252,,,                119798,,                    602,                121579,                122181,                241979,              1581231,,,,              2119817,              2119817,,                 88085,                 88085,,                667065,                224528,,                139200,              1030793,,,                -20113,,                -57750,                -77863,                 45682,              3115150,                136818,              3251968,              4833199,              0,              0,      2870585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2906,2015年06月30日,,,,              1519493,,                              0,,                695939,,                     12,,                691253,,                              0,,,,                561350,,                 75531,                 31743,                107274,              3575321,,,                326135,,                166320,,                 55932,,                426438,,                  3854,                 88801,,                 43952,,,                              0,,                 17576,                 61528,              1129008,              4704329,,,,,                391819,,                 41114,,                  2056,,                293909,                 17411,,                379969,              1126278,,,                106229,,                  4202,                121181,                125383,                231612,              1357890,,,,              2119817,              2119817,,                 85501,                 85501,,                667065,                224528,,                159372,              1050965,,,                -44492,,                 40517,                 -3975,                 45682,              3206626,                139813,              3346439,              4704329,              0,              0,      2870585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2906,2015年03月31日,,,,              1536983,,                              0,,                699646,,                     12,,                754264,,                  9193,,,                554599,                554599,,                 77771,                 30152,                107923,              3662620,,,                317544,,                174531,,                 56969,,                429143,,                  4016,                105219,,                 46772,,,                 10038,,                 10689,                 67499,              1154921,              4817541,,,,,                610566,,                120640,,                  5079,,                257985,                 12308,,                119658,              1126236,,,                106229,,                  4202,                246336,                250538,                356767,              1483003,,,,              2119817,              2119817,,                 85501,                 85501,,                646727,                232422,,                246066,              1125215,,,                -38792,,                 48692,                  9900,                 45682,              3294751,                 39787,              3334538,              4817541,              0,              0,      2870585,                119658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2906,2014年12月31日,,,,              1286381,,                              0,,                723863,,                              0,,                932110,,                  2243,,,                627933,                627933,,                 18951,                 76007,                 94958,              3667488,,,                293421,,                237794,,                 61198,,                439588,,                  3453,                 72860,,                 70592,                              0,,                 16454,,                 21700,                108746,              1217060,              4884548,,,,,                452497,,                128978,,                  2225,,                417226,                  8342,,                165705,              1174973,,,                106229,,                  4240,                210819,                215059,                321288,              1496261,,,,              2119817,              2119817,,                 85501,                 85501,,                646727,                232422,,                208172,              1087321,,,                  2125,,                 49108,                 51233,                 45682,              3298190,                 90097,              3388287,              4884548,              0,              0,      2870585,                165705,              1286381,                  2243,              4884548,,,,                452497,,                128978,,                  2225,,                417226,                  8342,,                165705,              1174973,,,                106229,,                  4240,                210819,                215059,                321288,              1496261,,,,              2119817,              2119817,,                 85501,                 85501,,                646727,                232422,,                208172,              1087321,,,                  2125,,                 49108,                 51233,                 45682,              3298190,                 90097,              3388287,,,,,,,,,,,
2906,2014年09月30日,,,,              1136785,,                              0,,                566072,,                              0,,              1092284,,                 18210,,,                583209,                583209,,                 16433,                 87783,                104216,              3500776,,,                286122,,                253535,,                 55343,,                443477,,                  3415,                 65992,,                 78692,                              0,,                  9818,,                 10323,                 98833,              1206717,              4707493,,,,,                568445,,                 70268,,                  2609,,                366432,                  3450,,                151134,              1162338,,,                105346,,                  4240,                201495,                205735,                311081,              1473419,,,,              2119817,              2119817,,                 83491,                 83491,,                646727,                232422,,                145320,              1024469,,,                -32316,,                  7551,                -24765,                 45682,              3157330,                 76744,              3234074,              4707493,              0,              0,      2870585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2906,2014年06月30日,,,,              1378957,,                              0,,                532193,,                              0,,                875320,,                 29296,,,,                623536,,                 11365,                 68539,                 79904,              3519206,,,                303444,,                222552,,                 56029,,                441845,,                  3755,                 66130,,                 82792,,,                  9572,,                 10607,                102971,              1196726,              4715932,,,,,                606208,,                 77852,,                  4359,,                293861,                    143,,                287617,              1270040,,,                105346,,                  4240,                193287,                197527,                302873,              1572913,,,,              2119817,              2119817,,                 83491,                 83491,,                646727,                232422,,                 52099,                931248,,,                -39259,,                 21662,                -17597,                 45682,              3071277,                 71742,              3143019,              4715932,              0,              0,      2870585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2906,2014年03月31日,,,,              1315483,,                              0,,                507020,,                      3,,                970069,,                 39568,,,                667717,                667717,,                 11240,                 93303,                104543,              3604403,,,                330170,,                223876,,                 56703,,                449030,,                  3950,                 66911,,                 82722,,,                  9750,,                 15250,                107722,              1238362,              4842765,,,,,                609467,,                 56384,,                  7537,,                447902,                 14223,,                123183,              1258696,,,                106312,,                  3640,                195718,                199358,                305670,              1564366,,,,              2219817,              2219817,,                 97627,                 97627,,                636626,                227634,,                184410,              1048670,,,                -26655,,                 17172,                 -9483,                159818,              3196813,                 81586,              3278399,              4842765,              0,              0,     12870585,                123183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2906,2013年12月31日,,,,,,                  4258,,                523853,,,,              1079697,,,,,                645944,                645944,,                 18531,                 48309,                 66840,              3170061,,,                361399,,                221663,,                 48330,,                459403,,                  4271,                 67117,,                 83341,,,                  9788,,                 17401,                110530,              1272713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      9783585,,                799135,                 50334,              4442774,,,,                213644,,                  2009,,                  1055,,                441006,                  8715,,                152114,                818543,,,                106328,,                  6562,                218073,                224635,                330963,              1149506,,,,              2219817,              2219817,,                 97627,                 97627,,                636626,                227634,,                163324,              1027584,,,                -42945,,                 32832,                -10113,                124415,              3210500,                 82768,              3293268,,,,,,,,,,,
2906,2013年09月30日,,,,,,                  3377,,                415265,,                              0,,              1246097,,,,,                579732,                579732,,                 22956,                 97565,                120521,              3432307,,,                362870,,                222586,,                 50083,,                465123,,                 30953,                 96844,,                 87800,,,                  9616,,                 16377,                113793,              1342252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      2870585,,              1016924,                 50391,              4774559,,,,                618981,,                  5741,,                  1319,,                364408,                  8676,,                137200,              1136325,,,                110322,,                  3640,                223097,                226737,                337059,              1473384,,,,              2219817,              2219817,,                 97627,                 97627,,                636626,                227634,,                118344,                982604,,,                -38606,,                 -3645,                -42251,                 45682,              3212115,                 89060,              3301175,,,,,,,,,,,
2906,2013年06月30日,,,,,,                 12494,,                494257,,                    322,,                988890,,,,,,                677637,,                 18631,                 62193,                 80824,              3201643,,,                354655,,                223581,,                 62075,,                480446,,                 33348,                 96844,,                 91661,,,                              0,,                 18280,                109941,              1360890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     17631675,,                881245,                 65974,              4562533,,,,                342845,,                 22248,,                  3073,,                294732,                  3221,,                279950,                946069,,,                110322,,                  3640,                227415,                231055,                341377,              1287446,,,,              2367428,              2367428,,                248035,                248035,,                636626,                227634,,                 78256,                942516,,,                -19746,,                 -5335,                -25081,                354279,              3178619,                 96468,              3275087,,,,,,,,,,,
