證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 商譽,　　　　 其他無形資產,　　　　　 其他無形資產淨額,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－實際取得或處分子公司股權價格與帳面價值差額,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 待分配股票股利,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－實際取得或處分子公司股權價格與帳面價值差額,　　　　 資本公積－認股權,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 待分配股票股利,　　　　 資本公積－認列對子公司所有權權益變動數,　　　　 資本公積－取得或處分子公司股權價格與帳面價值差額,　　　　 專利權淨額,　　　　　 專利權淨額
3209,2015年09月30日,,,,                390115,,                 46261,,              3866461,,                309670,,              2345409,,                 26667,                153176,                179843,              7137759,,,                              0,,                341065,,                 50233,,                  4430,                 54663,                 47812,,                              0,                 13893,                 13893,                457433,              7595192,,,,,              3369137,,                444570,,                    128,,                 19010,,              1057105,,                234396,                 98610,                 19381,,                108681,                108681,              5351018,,,                120000,,                 95294,,                 23917,                    184,                 24101,                239395,              5590413,,,,              1194191,              1194191,,,                233146,                  3884,                237030,,                201435,                              0,,                257857,                459292,,,                 24260,                 24260,              1914773,                 90006,              2004779,              7595192,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3209,2015年06月30日,,,,                332490,,                 22435,,              3761414,,                113253,,              2694215,,                 44997,                171231,                216228,              7140035,,,                              0,,                342865,,                 50233,,                  3343,                 53576,                 35529,,                              0,                 13841,                 13841,                445811,              7585846,,,,,              3123419,,                344836,,,,                 28685,,              1378428,,                371422,                 92580,                 42646,,                134142,                134142,              5516158,,,                120000,,                 62016,,                 23879,                    184,                 24063,                206079,              5722237,,,,              1038427,              1194191,,,                233146,                  3884,                237030,,                201435,                              0,,                133296,                334731,,,                   -950,                   -950,              1765002,                 98607,              1863609,              7585846,              0,              0,              0,                155764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3209,2015年03月31日,,,,                345165,,                 21508,,              3456349,,                165763,,              2111996,,                 49464,                146182,                195646,              6296427,,,                              0,,                341999,,                 50233,,                  3655,                 53888,                 31843,,                              0,                 13551,                 13551,                441281,              6737708,,,,,              2831639,,                309792,,,,                 24987,,                919354,,                210331,                 93900,                 71244,,                110591,                110591,              4571838,,,                120000,,                 61673,,                 23810,                    184,                 23994,                205667,              4777505,,,,              1038427,              1038427,,,                233146,                  3884,                237030,,                170284,                 10546,,                398681,                579511,,,                  4262,                  4262,              1859230,                100973,              1960203,              6737708,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3209,2014年12月31日,,,,                499912,,                 38264,,              3233733,,                185320,,              1877011,,                 50088,                129438,                179526,              6013766,,,                              0,,                193462,,                 50233,,                  3967,                 54200,                 39397,,                 32000,                 15397,                 47397,                334456,              6348222,,,,,              2677677,,                229893,,                              0,,                 15940,,              1002698,,                223677,                 94950,                 46406,,                 76806,                 76806,              4368047,,,                              0,,                 77835,,                 23779,                    569,                 24348,                102183,              4470230,,,,              1038427,              1038427,,,                233146,                  3884,                237030,,                170284,                 10546,,                311511,                492341,,,                  9551,                  9551,              1777349,                100643,              1877992,              6348222,              0,              0,              0,                              0,                499912,              6348222,,,,              2677677,,                229893,,                 15940,,              1002698,,                223677,                 94950,                 46406,,,                              0,                              0,                 76806,                 76806,              4368047,,,                 77835,,                 23779,                    569,                 24348,                102183,              4470230,,,,              1038427,              1038427,,,                233146,                  3884,                              0,                237030,,                170284,                 10546,,                311511,                492341,,,                  9551,                  9551,              1777349,                100643,              1877992,,,,,,,
3209,2014年09月30日,,,,                415790,,                121527,,              3422772,,                121484,,              2102926,,                 54398,                162705,                217103,              6401602,,,                              0,,                196227,,                 50233,,                  3855,                 54088,                 32862,,                              0,                 13267,                 13267,                296444,              6698046,,,,,              2980459,,                229949,,                              0,,                 45718,,              1166469,,                189983,                 91260,                 33087,,                119106,                119106,              4856031,,,                              0,,                 62234,,                 18669,                    568,                 19237,                 81471,              4937502,,,,              1038427,              1038427,,,                233146,                  4783,                237929,,                170284,                 10546,,                237383,                418213,,,                 -4242,                 -4242,              1690327,                 70217,              1760544,              6698046,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3209,2014年06月30日,,,,                311339,,                102416,,              3244576,,                 99454,,              1745602,,                 48708,                159255,                207963,              5711350,,,                              0,,                196392,,                 50233,,                  3402,                 53635,                 31398,,                              0,                 10730,                 10730,                292155,              6003505,,,,,              2509990,,                229904,,,,                 47807,,                924297,,                336980,                 89595,                 41743,,                 91517,                 91517,              4271833,,,                              0,,                 54141,,                 18651,                    568,                 19219,                 73360,              4345193,,,,                975049,              1038427,,,                233146,                  1335,                234481,,                170284,                 10546,,                152393,                333223,,,                -10313,                -10313,              1595818,                 62494,              1658312,              6003505,              0,              0,              0,                 63378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3209,2014年03月31日,,,,                586449,,                187964,,              3019627,,                195074,,              1743984,,                 39553,                132158,                171711,              5904809,,,                              0,,                197602,,                 50233,,                  3140,                 53373,                 28241,,                              0,                  9923,                  9923,                289139,              6193948,,,,,              2681768,,                229883,,,,                 39288,,                984728,,                185849,                 91410,                 48707,,                120422,                120422,              4382055,,,                              0,,                 54204,,                 18633,                    581,                 19214,                 73418,              4455473,,,,                975049,                975049,,,                233146,                  1335,                234481,,                150121,                 19905,,                297812,                467838,,,                 -4270,                 -4270,              1673098,                 65377,              1738475,              6193948,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3209,2013年12月31日,,,,,,                167323,,              3228018,,                 60803,,              1674156,,                 58573,                118249,                176822,              5597785,,,,,                199039,,                 50233,,                  3275,                 53508,                 27209,,                              0,                 10560,                 10560,                290316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                290663,              5888101,,,,              2373058,,                229778,,                 26327,,              1122706,,                155749,                 89415,                 30249,,,                  1722,                  1722,                123612,                125334,              4152616,,,                 52787,,                 18608,                    581,                 19189,                 71976,              4224592,,,,                975049,                975049,,,                232997,                  1335,                    149,                234481,,                150121,                 19905,,                222086,                392112,,,                -10546,                -10546,              1591096,                 72413,              1663509,,                              0,                              0,                  1335,,,
3209,2013年09月30日,,,,,,                139586,,              3284381,,                291677,,              1914528,,                 72744,                152693,                225437,              6187489,,,,,                198903,,                 50233,,                  2341,                 52574,                 20608,,,                  9936,                  9936,                282021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                331880,              6469510,,,,              2763112,,                319880,,                 43635,,              1150365,,                135353,                 88710,                 25552,,,                 72781,                 72781,                195828,                268609,              4795576,,,                 41725,,                 20879,                    581,                 21460,                 63185,              4858761,,,,                975049,                975049,,,                226801,                  1335,                  6345,                234481,,                150121,                 19905,,                166431,                336457,,,                -15304,                -15304,              1530683,                 80066,              1610749,,                    360,,,,,
3209,2013年06月30日,,,,,,                 80601,,              3303188,,                227702,,              1997158,,                 84573,                170137,                254710,              6138812,,,,,                201479,,                 50233,,                  2433,                 52666,                 26294,,,                  9958,                  9958,                290397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                275453,              6429209,,,,              3141097,,                269810,,                 24760,,                793432,,                246527,                 90000,                 26269,,,                 72369,                 72369,                131753,                204122,              4796721,,,                 50705,,                 20887,                    580,                 21467,                 72172,              4868893,,,,                946649,                975048,,,                226801,,                  6345,                233146,,                150121,                 19905,,                118914,                288940,,,                -10669,                -10669,              1486465,                 73851,              1560316,,                    704,                 28399,                              0,,,
