證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 商譽,　　　　 其他無形資產,　　　　　 其他無形資產淨額,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　 待註銷股本股數,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　　 當期所得稅資產合計,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額
2373,2015年09月30日,,,,                342155,,                 90008,,                303188,,                170197,,              1656198,,                187698,,                358628,,                 20133,,              1409469,,              4311608,                271860,              4583468,              9121142,,,                  4684,,              2621007,,              1811281,,                669821,,                115642,,                 19368,                135010,                192308,,                164936,,                     56,,                 14933,                179925,              5614036,             14735178,,,,,              1661506,,                654652,,              1162942,,                125656,,              1117280,                 78915,,                380654,              5181605,,,                700000,,                455951,                286012,                741963,              1441963,              6623568,,,,              3374322,              3374322,,              1640705,,              1031308,                852220,,                903413,              2786941,,                778251,              1353627,              7226592,                885018,              8111610,             14735178,              0,     28751997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2373,2015年06月30日,,,,              1737485,,                              0,,                385000,,                147371,,              1546355,,                176163,,                371925,,,,              1370473,,              2616277,                187235,              2803512,              8538284,,,                  4684,,              2635131,,              1818453,,                671875,,                115624,,                 21640,                137264,                181275,,                157874,,                     53,,                 28484,                186411,              5635093,             14173377,,,,,              1072470,,                489691,,              1034073,,                127367,,              2055118,                 33533,,                335934,              5148186,,,                700000,,                467719,                285078,                752797,              1452850,              6601036,,,,              3374322,              3374322,,              1564739,,              1031308,                852220,,                595207,              2478735,,                666134,              1353627,              6730303,                842038,              7572341,             14173377,              0,     28751997,,                     53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2373,2015年03月31日,,,,                753827,,                 15000,,                352275,,                135059,,              1477903,,                169595,,                407080,,,,              1390594,,              3288875,                205027,              3493902,              8195235,,,                  4684,,              2694074,,              1900417,,                673928,,                115606,,                 24967,                140573,                197120,,                155467,,                  2480,,                 30307,                188254,              5799050,             13994285,,,,,              1428902,,                279846,,              1025659,,                 83926,,                988729,                 90898,,                324885,              4222845,,,                620000,,                468112,                275738,                743850,              1363889,              5586734,,,,              3374322,              3374322,,              1632223,,                926219,                852220,,              1346457,              3124896,,                782161,              1353627,              7559975,                847576,              8407551,             13994285,              0,     28751997,,                     39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2373,2014年12月31日,,,,              1041662,,                180247,,                308000,,                155724,,                989878,,                154597,,                448362,,                              0,,              1346150,,              4355426,                148187,              4503613,              9128233,,,                  4684,,              2505025,,              1875172,,                675982,,                115586,,                 26687,                142273,                223761,,                108242,,                  8702,,                 37787,                154731,              5581628,             14709861,,,,,              1617350,,                499875,,                993852,,                107021,,              1190556,                133118,,                584365,              5126137,,,                760000,,                462427,                264075,                726502,              1486502,              6612639,,,,              3374322,              3374322,,              1628746,,                926219,                852220,,              1050890,              2829329,,                791216,              1353627,              7269986,                827236,              8097222,             14709861,              0,     28751997,,                              0,              1041662,             14709861,,,,              1617350,,                499875,,                993852,,                107021,,              1190556,                133118,,                584365,              5126137,,,                760000,,                462427,                264075,                726502,              1486502,              6612639,,,,              3374322,              3374322,,              1628746,,                926219,                852220,,              1050890,              2829329,,                791216,              1353627,              7269986,                827236,              8097222,              0,,,,,
2373,2014年09月30日,,,,                901212,,                 90112,,                423500,,                146559,,              1104002,,                225835,,                434255,,                              0,,              1173260,,              3429762,                164873,              3594635,              8093370,,,                  4684,,              2365327,,              1836744,,                640229,,                 86029,,                 28587,                114616,                186963,,                112717,,                 18057,,                 47772,                178546,              5327109,             13420479,,,,,              1484039,,                349923,,                988054,,                 80942,,              1064513,                 90084,,                290338,              4347893,,,                700000,,                432592,                244621,                677213,              1377213,              5725106,,,,              3374322,              3374322,,              1628424,,                926219,                852220,,                895695,              2674134,,                645403,              1353627,              6968656,                726717,              7695373,             13420479,              0,     28751997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2373,2014年06月30日,,,,                784558,,                115060,,                408430,,                160111,,              1187859,,                148320,,                430106,,,,                984813,,              2845964,                165818,              3011782,              7231039,,,                254684,,              2497764,,              1854511,,                642101,,                 86011,,                 31009,                117020,                176743,,                 99681,,                 30478,,                 43311,                173470,              5716293,             12947332,,,,,              1142363,,                 99949,,                946311,,                 79490,,              2175797,                 87948,,                283599,              4815457,,,                700000,,                430978,                225829,                656807,              1356807,              6172264,,,,              3374322,              3374322,,              1541958,,                926219,                852220,,                566610,              2345049,,                194313,              1353627,              6102015,                673053,              6775068,             12947332,              0,     28751997,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2373,2014年03月31日,,,,                604637,,                 50003,,                411631,,                128080,,              1095770,,                133338,,                414251,,,,                897011,,              3131106,                130703,              3261809,              6996530,,,                255610,,              2363720,,              1930703,,                643974,,                 85992,,                 32439,                118431,                166894,,                107261,,                 29683,,                 21632,                158576,              5637908,             12634438,,,,,              1351468,,                              0,,                805333,,                 63767,,                873385,                 84165,,                455944,              3634062,,,                610000,,                429244,                216263,                645507,              1255507,              4889569,,,,              3374322,              3374322,,              1599321,,                808769,                852220,,              1442846,              3103835,,                336606,              1353627,              7060457,                684412,              7744869,             12634438,              0,     28751997,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2373,2013年12月31日,,,,,,                 70091,,                398827,,                153486,,                939675,,                143681,,                360151,,,,              1023600,,              2177589,                114078,              2291667,              7272151,,,                255610,,              2424284,,              2007401,,                645846,,                 85974,,                 34695,                120669,                176751,,                 98850,,                 30385,,                 17206,                146441,              5777002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,     28751997,,,              1890973,             13049153,,,,              1270480,,                199973,,                985690,,                185997,,              1104348,                 75652,,                453776,              4275916,,,                500000,,                427488,                209009,                636497,              1136497,              5412413,,,,              3374322,              3374322,,              1598651,,                808769,                852220,,              1174503,              2835492,,                517023,              1353627,              6971861,                664879,              7636740,              0,,                              0,,,
2373,2013年09月30日,,,,,,                              0,,                417392,,                132736,,              1114588,,                158926,,                353096,,,,              1003464,,              2078078,                184195,              2262273,              6530892,,,                255610,,              2313339,,              2004643,,                607670,,                 85956,,                 27957,                113913,                188145,,                101257,,                 46414,,                 11114,                158785,              5642105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,     35751997,,,              1088417,             12172997,,,,              1347056,,                299924,,                876789,,                126413,,                921696,                 38454,,                348838,              3959170,,,                700000,,                427085,                193726,                620811,              1323010,              5282180,,,,              3374322,              3374322,,              1595318,,                808769,                852220,,                913438,              2574427,,                403929,              1689473,              6258523,                632294,              6890817,              0,,                  2199,,,
2373,2013年06月30日,,,,,,                 79772,,                382823,,                200416,,              1175635,,                170442,,                346928,,,,                924875,,              1859904,                182783,              2042687,              6365408,,,                255610,,              2264586,,              2076676,,                608536,,                 85938,,                 30247,                116185,                195229,,                100574,,                 38701,,                 24879,                164154,              5680976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,     35751997,,,              1041830,             12046384,,,,              1093867,,                              0,,                854350,,                 77189,,              1936412,                 55877,,                319758,              4337453,,,                700000,,                425830,                175574,                601404,              1303865,              5641318,,,,              3374322,              3374322,,              1516713,,                808769,                852220,,                598534,              2259523,,                335865,              1689473,              5796950,                608116,              6405066,              0,,                  2461,,,
