證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據,　　　　 應收票據淨額,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 應收收益－關係人,　　　　 其他應收款－關係人淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付票據－關係人,　　　　　 應付票據－關係人合計,　　　　 應付帳款,　　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付票據－關係人,　　　　 應付票據－關係人合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 應收票據－關係人,　　　　 應收帳款－關係人,　　　　 其他應收款－其他,　　　　 其他金融負債－流動
1810,2015年09月30日,,,,                581892,,                161804,,                222976,,                626090,                626090,,                    104,,              1083547,,                    673,,                 71274,,                 26451,                 26451,,              2037203,,                  4429,                100632,                105061,              4917075,,,                663843,,                 97612,,                 62538,,              4526415,,                601407,,                 44006,                174314,,                 62402,,                 22190,,                 97966,                182558,              6352693,             11269768,,,,,              2096740,,                185000,,                265381,,                 40756,,                488898,                488898,,                 33949,                 33949,,                366838,                 11990,                 23494,,                 43358,,,                232472,                100203,                332675,              3889079,,,                794180,,                340960,,                546787,                 21001,                  4468,                572256,              1707396,              5596475,,,,              3698536,              3698536,,                 13079,,              1374103,,                494279,                 16582,              5563415,                109878,              5673293,             11269768,              0,              0,      1733812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1810,2015年06月30日,,,,                597460,,                136938,,                264591,,                598774,                598774,,                     70,,              1225119,,                    688,,                 62507,,                  7047,                  7047,,              1860630,,                  4429,                108076,                112505,              4866329,,,                757311,,                 96072,,                 56903,,              4483981,,                632852,,                 43071,                173368,,                 54669,,                 35115,,                 94090,                183874,              6427432,             11293761,,,,,              2027831,,                255000,,                254394,,                 41454,,                419177,                419177,,                 30253,                 30253,,                455822,                  9968,                 22903,,                 45382,,,                254461,                134756,                389217,              3951401,,,                683571,,                340960,,                580857,                 20385,                  4467,                605709,              1630240,              5581641,,,,              3698536,              3698536,,                 13079,,              1331385,,                574903,                 16582,              5601321,                110799,              5712120,             11293761,              0,              0,      1733812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1810,2015年03月31日,,,,                713118,,                148854,,                310724,,                580515,                580515,,                     25,,              1121637,,                    648,,                 39100,,                  7038,                  7038,,              1869596,,                  4429,                121751,                126180,              4917435,,,                829139,,                 96239,,                 59096,,              4458904,,                634807,,                 37701,                157825,,                 59738,,                 37485,,                146809,                244032,              6517743,             11435178,,,,,              2074208,,                255000,,                224891,,                 40616,,                356119,                356119,,                 25587,                 25587,,                230731,                  9718,                 13403,,                 48516,,,                305755,                220019,                525774,              3804563,,,                738300,,                340960,,                605093,                 21443,                  4468,                631004,              1710264,              5514827,,,,              3698536,              3698536,,                 13079,,              1390222,,                721548,                 16582,              5806803,                113548,              5920351,             11435178,              0,              0,      1733812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1810,2014年12月31日,,,,                752851,,                134207,,                309955,,                631478,                631478,,                    209,,              1237427,,                    648,,                 31726,,                  6451,                  6451,,              1901312,,                  4429,                100013,                104442,              5110706,,,                808128,,                 96329,,                 64613,,              4470701,,                636766,,                 37572,                158960,,                 65426,,                 34844,,                154757,                255027,              6528096,             11638802,,,,,              2029855,,                245000,,                264183,,                 42700,,                410409,                410409,,                 26829,                 26829,,                289430,                 10353,                  9467,,                 48977,,,                356456,                266670,                623126,              4000329,,,                757682,,                340960,,                615750,                 21634,                  4467,                641851,              1740493,              5740822,,,,              3698536,              3698536,,                 13079,,              1375794,,                712802,                 16582,              5783629,                114351,              5897980,             11638802,              0,              0,      1733812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1810,2014年09月30日,,,,                760881,,                105907,,                296057,,                509137,                509137,,                    155,,              1325705,,                    648,,                 46882,,                  7016,                  7016,,              1843207,,                     43,                110733,                110776,              5006371,,,                725014,,                117088,,                 69090,,              4450603,,                661205,,                 37282,                176343,,                 65634,,                 36834,,                121699,                224167,              6460792,             11467163,,,,,              1964712,,                205000,,                242304,,                 40702,,                465992,                465992,,                 23353,                 23353,,                265480,                 10412,                 27844,,                 56726,,,                383379,                199431,                582810,              3885335,,,                837679,,                342529,,                582576,                 20591,                  4468,                607635,              1787843,              5673178,,,,              3698536,              3698536,,                 13079,,              1410584,,                578653,                 16582,              5684270,                109715,              5793985,             11467163,              0,              0,      1733812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1810,2014年06月30日,,,,                832418,,                100092,,                273642,,                582377,                582377,,                     36,,              1335808,,                  4550,,                 62663,,                  7423,                  7423,,              1738256,,                     43,                138822,                138865,              5076130,,,                725002,,                116299,,                 65227,,              4340966,,                656852,,                 38285,                175742,,                 62850,,                 32869,,                174023,                269742,              6388115,             11464245,,,,,              1815030,,                270000,,                250761,,                 42463,,                417798,                417798,,                 21447,                 21447,,                372170,                  9299,                 39518,,                 68117,,,                381056,                202036,                583092,              3889695,,,                881163,,                342544,,                589753,                 20286,                  4467,                614506,              1838213,              5727908,,,,              3698536,              3698536,,                 13079,,              1396672,,                536358,                 16582,              5628063,                108274,              5736337,             11464245,              0,              0,      1733812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1810,2014年03月31日,,,,                747602,,                 87974,,                263761,,                595644,                595644,,                    133,,              1237767,,                 10157,,                 55088,,                  7509,                  7509,,              1794864,,                     43,                114645,                114688,              4915187,,,                710305,,                121809,,                 68245,,              4410185,,                656467,,                 36146,                176508,,                 65417,,                 28440,,                138622,                232479,              6412144,             11327331,,,,,              1858665,,                240000,,                229901,,                 41372,,                415615,                415615,,                 22819,                 22819,,                206878,                  9606,                 25719,,                 73189,,,                374092,                180972,                555064,              3678828,,,                981995,,                342533,,                596475,                 20619,                  4468,                621562,              1946090,              5624918,,,,              3698536,              3698536,,                 13079,,              1364283,,                536880,                 16582,              5596196,                106217,              5702413,             11327331,              0,              0,      1733812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1810,2013年12月31日,,,,,,                 74838,,                238290,,                617807,                617807,,                    190,,              1363779,,                 13754,,                 36324,,                  7279,                  7279,,              1844695,,                     43,                 76656,                 76699,              5019145,,,                675970,,                121136,,                 66971,,              4427779,,                682750,,                 37059,                175390,,                 62054,,                 32109,,                134665,                228828,              6415883,,,,,,,,,,,,,                499693,,,                 28689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      1733812,                745490,             11435028,,,,              1793662,,                240000,,                271171,,                 45694,,                499693,,                 28689,,                297112,                 10279,                 22981,,                 70908,,,                334709,                201053,                535762,              3815951,,,              1028773,,                342514,,                604961,                 20599,                  4468,                630028,              2001315,              5817266,,,,              3698536,              3698536,,                 13079,,              1353986,,                462732,                 16582,              5511751,                106011,              5617762,,,,
1810,2013年09月30日,,,,,,                 72716,,                226542,,                574366,                574366,,                    387,,              1425459,,                 15909,,                 56836,,                 11817,                 11817,,              1902965,,                  2540,                111739,                114279,              4986947,,,                622042,,                120802,,                 53668,,              4412903,,                684738,,                 35533,                177377,,                 94301,,                  5550,,                143960,                243811,              6350874,,,,,,,,,,,,,                473606,,,                 25255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      1733812,                585671,             11337821,,,,              1752112,,                405000,,                222076,,                 44691,,                473606,,                 25255,,                206953,                  9825,                 20860,,                 72611,,,                302831,                211012,                513843,              3746832,,,              1143832,,                372715,,                570304,                 21954,                  4468,                596726,              2113273,              5860105,,,,              3698536,              3698536,,                 12775,,              1319665,,                347980,                 16582,              5362374,                115342,              5477716,,,,
1810,2013年06月30日,,,,,,                 57621,,                222607,,                563656,                563656,,                     58,,              1393115,,                  5980,,                 44043,,                 14747,                 14747,,              1933623,,                 14884,                127220,                142104,              4906603,,,                625293,,                121414,,                 55335,,              4450226,,                744559,,                 35039,                180266,,                 94205,,                  1052,,                121607,                216864,              6428996,,,,,,,,,,,,,                431190,,,                 24213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      1733812,                529049,             11335599,,,,              1923416,,                395000,,                225180,,                 39485,,                431190,,                 24213,,                168289,                  8892,                  5904,,                 73349,,,                262513,                216709,                479222,              3774140,,,              1127479,,                372914,,                577174,                 22191,                  4466,                603831,              2104224,              5878364,,,,              3698536,              3698536,,                 12775,,              1246497,,                399600,                 16582,              5340826,                116409,              5457235,,,,
