證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 採用權益法之投資,　　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 銀行借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 原始認列時指定為透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付帳款,　　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 銀行長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債－所得稅,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 共同控制下前手權益,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 銀行借款,　　　　 短期借款合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 銀行長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債－所得稅,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 共同控制下前手權益,　　 非控制權益,　　 權益總額,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 原始認列時指定為透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付股利,　　　　 其他應付款－其他,　　　　 待分配股票股利,　　　　 庫存現金,　　　　 零用金／週轉金,　　　　 銀行存款,　　　　 約當現金,　　　 應收票據淨額,　　　　 應收票據,　　　　 應收票據淨額,　　　　 應收帳款,　　　　 備抵銷售退回及折讓,　　　　 應收退稅款,　　　　 應收收益,　　　　 其他應收款－其他,　　　　 存貨－買賣業,　　　　　 商品存貨,　　　　　 存貨－買賣業淨額,　　　　　 製成品,　　　　　 半成品,　　　　　 在製品,　　　　　 原料,　　　　　 物料,　　　　　 在途原物料,　　　　　 備抵存貨跌價,　　　 預付款項,　　　　 其他預付費用,　　　　 預付貨款,　　　　 進項稅額,　　　　 留抵稅額,　　　　 其他預付款,　　　　 預付款項合計,　　　　 暫付款,　　　　 代付款,　　　　 暫估應付帳款,　　　　 應付員工紅利,　　　　 應付董監事酬勞,　　　　 其他應付費用,　　　　 銷項稅額,　　　　 暫收款,　　　　 代收款,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 資本公積－發行溢價,　　　　　 資本公積－普通股股票溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－庫藏股票交易,　　　　 資本公積－其他,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 累積盈虧,　　　　　 本期損益,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額 －母公司,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益－母公司,　　　　　 備供出售金融資產未實現損益合計
3454,2015年03月31日,,,,              1072847,,                 50454,                 50454,,                530492,,                  1810,,                  6304,,,                820955,                820955,,                 43573,                 83029,                126602,              2609464,,,                              0,                              0,,                458096,,                261007,                129521,,                 11829,                860453,              3469917,,,,,                              0,                              0,,                      2,                      2,,                464035,                464035,,                250944,                 88611,,,                  1422,                  1422,                 39693,                 41115,                844707,,,                 52203,                 52203,,                    101,                    101,,                  4961,                  4961,                 57265,                901972,,,,                739677,                739677,,                497590,,              1181928,,                 13648,                              0,              2432843,                              0,                135102,              2567945,              3469917,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3454,2014年12月31日,,,,              1175341,,                 49959,                 49959,,                409904,,                  1933,,                  9121,,,                615549,                615549,,                 73067,                 55773,                128840,              2390647,,,                              0,                              0,,                464091,,                253348,                129521,,                 12433,                859393,              3250040,,,,,                              0,                              0,,                              0,                              0,,                269050,                269050,,                327482,                 76782,,,                  1438,                  1438,                 34159,                 35597,                708911,,,                 53152,                 53152,,                    123,                    123,,                  3571,                  3571,                 56846,                765757,,,,                739677,                739677,,                497485,,              1103304,,                 17184,                              0,              2357650,                              0,                126633,              2484283,              3250040,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3454,2014年09月30日,,,,,,                 50313,                 50313,,                480392,,                 26141,,,,,,                671965,,                 73044,                 50394,                123438,              2356586,,,                  2266,                  2266,,                455043,,                174264,                123166,,                 13039,                767778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              1004337,,              3124364,,,,                              0,                              0,,                274389,,                293980,                 46494,,,                  1382,                  1382,                 21193,                 22575,                638011,,,                 51428,                 51428,,                  1045,                  1045,,,                  5135,                 57608,                695619,,,,                739677,                739677,,                492879,,              1045067,,                  6630,                              0,              2284253,,                144492,              2428745,,                    573,                    573,                              0,                293980,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3454,2014年06月30日,,,,,,                 50551,                 50551,,                630051,,                 24990,,,,,,                805512,,                 61538,                 43889,                105427,              2941505,,,                  2609,                  2609,,                454577,,                161965,                122683,,                 16718,                758552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              1324974,,              3700057,,,,                 18000,                 18000,,                410722,,                846889,                 38340,,,                  1344,                  1344,                 40537,                 41881,              1355934,,,                 50830,                 50830,,                  1045,                  1045,,,                  5156,                 57031,              1412965,,,,                715002,                739677,,                492879,,                902639,,                  2408,                              0,              2137603,,                149489,              2287092,,,                    102,                493501,                353388,                 24675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3454,2014年03月31日,,,,              1136121,,                 50489,                 50489,,                515207,,                 26707,,                 11833,,,                813865,                813865,,                 58686,                 43060,                101746,              2655968,,,                  3206,                  3206,,                444323,,                154001,                130259,,                 20585,                752374,              3408342,,,,,                 23000,                 23000,,                    128,                    128,,                445636,                445636,,                289239,                120144,,,                  7009,                  7009,                 33227,                 40236,                918383,,,                 70549,                 70549,,                  1045,                  1045,,                  5126,                  5126,                 76720,                995103,,,,                715002,                715002,,                342119,,              1359007,,                  7723,                 60186,              2363665,                              0,                 49574,              2413239,              3408342,              0,              0,      1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3454,2013年12月31日,,,,,,                106049,                106049,,                475094,,                 18186,,,,,                604340,                604340,,                 49707,                 38397,                 88104,              2470711,,,                  3794,                  3794,,                448867,,                128526,                122631,,                  9007,                712825,,,,,,,,,,,                284808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      1000000,              1163899,                 15039,              3183536,,,,                 23000,                 23000,,                284808,,                397111,                 98971,,,                  6967,                  6967,                 19682,                 26649,                830539,,,                 71166,                 71166,,                  1045,                  1045,,                  4592,                  4592,                 76803,                907342,,,,                715002,                715002,,                342119,,              1235549,,                  1476,                 60186,              2233960,                              0,                 42234,              2276194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3454,2013年09月30日,,,,,,                 30006,                 30006,,                494064,,                 20512,,,,,,                670594,,                 60552,                 64659,                125211,              2296741,,,                  4546,                  4546,,                445171,,                106890,                107864,,                  5430,                669901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      1000000,                956354,,              2966642,,,,                  5000,                  5000,,                382095,,                300037,                 54618,,,                  6918,                  6918,                 39106,                 46024,                787777,,,                 72532,                 72532,,                  9464,                  9464,,,                  4666,                 86662,                874439,,,,                715002,                715002,,                342397,,              1105016,,                   -785,                 60186,              2101444,,                 -9241,              2092203,,                      3,                      3,                              0,                300037,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3454,2013年06月30日,,,,,,                              0,                              0,,                522246,,                 14874,,,,,,                639142,,                 60470,                 55986,                116456,              2429288,,,                  3250,                  3250,,                448394,,                109911,                106956,,                  5281,                673792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      1000000,              1136570,,              3103080,,,,                  8300,                  8300,,                270300,,                733658,                 48288,,,                  6949,                  6949,                 30604,                 37553,              1098099,,,                 74994,                 74994,,                  9464,                  9464,,,                  4666,                 89124,              1187223,,,,                691161,                715002,,                342397,,                922134,,                  2357,                 60186,              1921704,,                 -5847,              1915857,,,                              0,                408696,                324962,                 23841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3454,2013年03月31日,,,,,,                 92869,                 92869,,                598148,,                 24663,,,,,,                765859,,                 22061,                 46936,                 68997,              2276003,,,                  3673,                  3673,,                453252,,                 86058,                117146,,                  4697,                664826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      1000000,                725467,,              2940829,,,,                  8300,                  8300,,                355765,,                251319,                 95950,,,                  7071,                  7071,                 32757,                 39828,                751162,,,                 76282,                 76282,,                    482,                    482,,,                  4665,                 81429,                832591,,,,                691161,                691161,,                359426,,              1121714,,                  3725,                 60186,              2115840,,                 -7602,              2108238,,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3454,2012年12月31日,,,,                805771,,                 72392,                 72392,,                387651,,                 23822,,,,,                717907,                717907,,                 22056,                 37673,                 59729,              2067272,,,                  4238,                  4238,,                459792,,                 84644,                104558,,                  3773,                657005,,,,,,,,,,,                323581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      1000000,,                              0,              2724277,,,,                  8300,                  8300,,                323581,,                338563,                 48116,,,                  6882,                  6882,                  9114,                 15996,                734556,,,                 76655,                 76655,,                              0,                              0,,                  4968,                  4968,                 81623,                816179,,,,                691161,                691161,,                359426,,                927790,,                 -1854,                 60186,              1916337,                              0,                 -8239,              1908098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
