證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付租金,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 電腦軟體淨額,　　　　　 電腦軟體淨額,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 負債準備-非流動,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 長期遞延收入,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 預收股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 長期遞延收入,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 預收股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 待分配股票股利
1313,2015年09月30日,,,,             12293597,,                803686,,                 51712,,                578600,,              2563320,,                 50492,,                  3945,,                 42032,,              5552031,,                 41206,                 41206,,                 51672,              1549915,              1601587,             23582208,,,              2976264,,                526848,,                 36081,,             12246859,,,                  2538,                  2538,                723799,,              1835697,,                636660,              2472357,             18984746,             42566954,,,,,             11344714,,                899600,,                366750,,              1929682,,                770100,                770100,                 30282,,                164924,,,                591660,                265711,                857371,             16363423,,,              6917723,,                  3026,,                179528,,                136414,                389712,                  3277,                529403,              7629680,             23993103,,,,             11712366,                              0,             11712366,,              1111644,,              1920671,                341773,,              2079794,              4342238,,              1597381,                189778,             18573851,                              0,             18573851,             42566954,              0,              0,     18417000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1313,2015年06月30日,,,,             13686638,,                733441,,                 53360,,                536292,,              2577117,,                 37591,,                 35126,,                  3334,,              5818592,,                 38727,                 38727,,,,              1488247,             25008465,,,              3961073,,                498975,,                208656,,             11786907,,,                  2624,                  2624,                539559,,              1804099,,                637985,              2442084,             19439878,             44448343,,,,,             11649380,,                399864,,                275401,,              2715576,,                915746,                915746,                146782,,                170542,,,                              0,                196635,                196635,             16469926,,,              7996113,,                  2965,,                175459,,                133261,                387212,                  3277,                523750,              8698287,             25168213,,,,             11712366,                              0,             11712366,,              1111644,,              1920671,                341773,,              2325433,              4587877,,              1985627,                117384,             19280130,                              0,             19280130,             44448343,              0,              0,     10917000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1313,2015年03月31日,,,,             11129719,,                820569,,                487551,,                556078,,              2673359,,                113028,,                 31379,,                    875,,              5800336,,                 32788,                 32788,,              1105809,              1081368,              2187177,             23832859,,,              3377942,,                499604,,                213091,,             11502199,,,                  2795,                  2795,                587911,,              1443794,,                979411,              2423205,             18606747,             42439606,,,,,              9713330,,              1198865,,                279037,,              2735600,,                569626,                569626,                 83918,,                174143,,,                626000,                235587,                861587,             15616106,,,              7414433,,                  2904,,                172918,,                134532,                384724,                  3275,                522531,              8112786,             23728892,,,,             11601226,                 50884,             11652110,,              1110928,,              1920671,                341773,,              2082485,              4344929,,              1693181,                 90434,             18710714,                              0,             18710714,             42439606,              0,      5073000,      8305000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1313,2014年12月31日,,,,             13568886,,                912935,,                534351,,                258451,,              2970336,,                 97998,,                 25611,,                  3172,,              5733757,,                 28886,                 28886,,                              0,              1211029,              1211029,             25345412,,,              3238614,,                500104,,                218745,,             11682612,,,                  2986,                  2986,                590048,,              1485806,,                465449,              1951255,             18184364,             43529776,,,,,             11429073,,                399915,,                165835,,              2176126,,                646483,                646483,                 85145,,                186783,,,                633000,                366350,                999350,             16088710,,,              7919183,,                  2844,,                170308,,                136551,                382256,                  2675,                521482,              8613817,             24702527,,,,             11577843,                 20671,             11598514,,              1113639,,              1920671,                341773,,              1994999,              4257443,,              1912561,                 54908,             18827249,                              0,             18827249,             43529776,              0,      2338250,      5217000,             13568886,                534351,                  3172,             43529776,,,,             11429073,,                399915,,                165835,,              2176126,,                646483,                646483,                 85145,,                186783,,,                633000,                366350,                999350,             16088710,,,              7919183,,                  2844,,                170308,,                136551,                382256,                  2675,                521482,              8613817,             24702527,,,,             11577843,                 20671,             11598514,,              1113639,,              1920671,                341773,,              1994999,              4257443,,              1912561,                 54908,             18827249,                              0,             18827249,
1313,2014年09月30日,,,,             12611387,,                750723,,                191460,,                503436,,              3296697,,                 76552,,                 23271,,                 21200,,              6442973,,                 31197,                 31197,,                              0,              1619458,              1619458,             25568354,,,              3334077,,                498045,,                212562,,             11030287,,,                  3052,                  3052,                462079,,              1401038,,                535626,              1936664,             17476766,             43045120,,,,,             11644626,,              1198997,,                 34634,,              2529312,,                711207,                711207,                 95419,,                187384,,,                608400,                348143,                956543,             17358122,,,              6648993,,                  3564,,                168578,,                130530,                368197,                  2671,                501398,              7322533,             24680655,,,,             11609818,                 32293,             11642111,,              1124350,,              1920671,                341773,,              2322644,              4585088,,              1108873,                 95957,             18364465,                              0,             18364465,             43045120,              0,      3685500,      6883000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1313,2014年06月30日,,,,             12805197,,                847988,,                 19689,,                574380,,              3887474,,                 95172,,                 20284,,                 20625,,              6578986,,                 27694,                 27694,,,,              1280999,             26158488,,,              3513754,,                512326,,                208888,,             10962765,,,                  3195,                  3195,                412207,,              1385754,,                423050,              1808804,             17421939,             43580427,,,,,             12818103,,                749273,,                267213,,              2984687,,              1097090,              1097090,                100742,,                183822,,,                597300,                174546,                771846,             18972776,,,              5826952,,                  3497,,                167588,,                              0,                366071,                  2667,                368738,              6366775,             25339551,,,,             11582936,                 24288,             11607224,,              1126944,,              1920671,                341773,,              2157139,              4419583,,              1183082,                 95957,             18240876,                              0,             18240876,             43580427,              0,      2688250,      6883000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1313,2014年03月31日,,,,             15108428,,                715165,,                 19960,,                484677,,              4431014,,                122837,,                 21763,,                 21023,,              7282732,,                 26848,                 26848,,                              0,              1364369,              1364369,             29598816,,,              3481793,,                488192,,                214640,,             11230296,,,                  3358,                  3358,                349829,,              1273093,,                416109,              1689202,             17457310,             47056126,,,,,             14854402,,                              0,,                232653,,              3454673,,                640406,                640406,                 48849,,                186658,,,                609400,                215983,                825383,             20243024,,,              7399466,,                  3431,,                164898,,                              0,                363934,                  2667,                366601,              7934396,             28177420,,,,             11570991,                 10969,             11581960,,              1127920,,              1860873,                341773,,              2629315,              4831961,,              1432822,                 95957,             18878706,                              0,             18878706,             47056126,              0,      1194500,      6883000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1313,2013年12月31日,,,,,,                762699,,,,                536074,,              3607655,,                114720,,                 15049,,,,              6417109,,                 26402,                 26402,,,,              1143729,             27515895,,,              3506381,,                487051,,                213866,,             11375370,,,                  2954,                  2954,                299749,,              1277417,,                334610,              1612027,             17497398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      1513750,      6883000,             14166276,                704835,                 21347,             45013293,,,,             13559676,,                              0,,                364588,,              3358250,,                822024,                822024,                 87027,,                161984,,,                596100,                215240,                811340,             19164889,,,              6320074,,                  3364,,                162978,,                              0,                361800,                  2667,                364467,              6850883,             26015772,,,,             11555853,                 12776,             11568629,,              1130281,,              1860873,                341773,,              2845592,              5048238,,              1293929,                 95957,             18945120,                 52401,             18997521,                              0
1313,2013年09月30日,,,,,,                798701,,,,                400146,,              3451124,,                126892,,                 12455,,,,              6720134,,                 25976,                 25976,,,,              1060965,             27110028,,,              3189869,,                461715,,                212747,,             11112998,,,                  3344,                  3344,                336704,,              1264089,,                237588,              1501677,             16819054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,        986700,      6883000,             13673192,                818576,                 21867,             43929082,,,,             13921365,,                249890,,                328132,,              2786932,,                673580,                673580,                 31875,,                143760,,,                591402,                266495,                857897,             18993431,,,              6109071,,                  4194,,                160818,,                              0,                358494,                  2667,                361161,              6635244,             25628675,,,,             11545986,                  9262,             11555248,,              1130887,,              1860873,                341773,,              2707654,              4910300,,                748368,                 95957,             18248846,                 51561,             18300407,
1313,2013年06月30日,,,,,,                946236,,,,                469163,,              3635797,,                140216,,                  6241,,,,              7489733,,                 17230,                 17230,,,,              1038485,             28899103,,,              3057605,,                469186,,                213261,,             11214428,,,                  4409,                  4409,                341133,,                804755,,                264231,              1068986,             16369008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      1110500,      6883000,             12829992,              2299008,                 27002,             45268111,,,,             15613220,,                              0,,                289804,,              2830257,,              1846327,              1846327,                 49066,,                130255,,,              1289997,                128506,              1418503,             22177432,,,              4586373,,                  4134,,                157938,,,                356651,                  2665,                359316,              5107761,             27285193,,,,             11310066,                 11565,             11546446,,              1130428,,              1860873,                341773,,              2413339,              4615985,,                740780,                 95957,             17937682,                 45236,             17982918,                224815
