證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付租金,　　　　 其他預付費用,　　　　 預付貨款,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　 待註銷股本股數,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 其他非流動負債－其他,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計
1817,2015年09月30日,,,,                156132,,                 50552,,                172043,,                  1324,,                  2363,,                    342,,                417260,,                  2155,                 11323,                 17645,                 31123,,                              0,                 16681,                 16681,                847820,,,                589053,,                  3351,                 18331,,                 29161,                  7156,                 86301,,                150295,                272913,                883648,              1731468,,,,,                 33554,,                              0,,                 74385,,                 81031,                     11,                 25908,,,                  6928,,                 15935,                  2023,                 24886,                239775,,,                 15935,,                 54065,,                  1375,                    313,                  1688,                 71688,                311463,,,,                726000,                726000,,                277452,,                103395,                 58496,,                320149,                482040,,                -65494,              1419998,                      7,              1420005,              1731468,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1817,2015年06月30日,,,,                289617,,                 55857,,                158349,,                  3103,,                  1051,,                    330,,                407176,,                  2081,                 13493,                  2621,                 18195,,                              0,                 13489,                 13489,                947167,,,                583505,,                  3675,                 23708,,                 24389,                  7143,                 83871,,                 79885,                195288,                806176,              1753343,,,,,                 29086,,                              0,,                 62906,,                217460,                     17,                 27790,,,                  8200,,                 14927,                  2221,                 25348,                362607,,,                 18659,,                 47352,,                  1364,                    302,                  1666,                 67677,                430284,,,,                726000,                726000,,                277452,,                103395,                 58496,,                249891,                411782,,                -92182,              1323052,                      7,              1323059,              1753343,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1817,2015年03月31日,,,,                324936,,                  2000,,                165262,,                  1595,,                  1837,,                    372,,                405180,,                  2140,                 17993,                  2970,                 23103,,,                  8100,                  8100,                932385,,,                596106,,                  4158,                 19672,,                 25614,                  4454,                 86957,,                 38783,                155808,                775744,              1708129,,,,,                  8849,,                              0,,                 66464,,                 78248,,                 26091,,,                  7956,,                 12318,                  2236,                 22510,                202162,,,                 33229,,                 44923,,                  1352,                    311,                  1663,                 79815,                281977,,,,                726000,                726000,,                277452,,                 85184,                 92489,,                317876,                495549,,                -72856,              1426145,                      7,              1426152,              1708129,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1817,2014年12月31日,,,,                339302,,                  3421,,                164540,,                  2626,,                  1418,,                     33,,                402531,,                  2157,                 14412,                  1949,                 18518,,                              0,                 28720,                 28720,                961109,,,                614252,,                  4142,                 16753,,                 15755,                  4341,                 87934,,                 10749,                118779,                753926,              1715035,,,,,                 15011,,                              0,,                 85912,,                100003,                              0,                 21111,,,                  2425,,                 12480,                  2256,                 17161,                239198,,,                 32303,,                 43271,,                  1336,                    317,                  1653,                 77227,                316425,,,,                726000,                726000,,                277452,,                 85184,                 92489,,                275974,                453647,,                -58496,              1398603,                      7,              1398610,              1715035,              0,              0,              0,                339302,                     33,              1715035,,,,                 15011,,                              0,,                 85912,,                100003,                 21111,,,                  2425,,                 12480,                  2256,                 17161,                239198,,,                 32303,,                 43271,,                  1336,                    317,                  1653,                 77227,                316425,,,,                726000,                726000,,                277452,,                 85184,                 92489,,                275974,                453647,,                -58496,                              0,              1398603,                      7,              1398610,,,
1817,2014年09月30日,,,,                272742,,                  3622,,                164592,,                  3055,,                  2719,,                    105,,                373949,,                  2084,                 15634,                  3437,                 21155,,                  1320,                 24990,                 26310,                868249,,,                586727,,                  4471,                 21934,,                 34007,                  4482,                 85484,,                  6901,                130874,                744006,              1612255,,,,,                 33083,,                    351,,                 75784,,                 80954,                              0,                  9077,,,                  4452,,                 11956,                  2256,                 18664,                217913,,,                 30949,,                 39186,,                  3762,                    307,                  4069,                 74204,                292117,,,,                726000,                726000,,                277452,,                 85184,                 92489,,                222275,                399948,,                -83269,              1320131,                      7,              1320138,              1612255,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1817,2014年06月30日,,,,                423750,,                  2913,,                160079,,                  3867,,                  1667,,                    180,,                345166,,                  2040,                 18206,                  6546,                 26792,,                    520,                 19153,                 19673,                984087,,,                527322,,                  4797,                 26824,,                 24522,                  5289,                 84201,,                  5366,                119378,                678321,              1662408,,,,,                 45275,,                  1613,,                 62082,,                196099,                              0,                 16414,,,                  4589,,                 11794,                  4256,                 20639,                342122,,,                 17691,,                 36650,,                 14952,                    301,                 15253,                 69594,                411716,,,,                726000,                726000,,                277452,,                 85184,                 92489,,                167343,                345016,,                -97783,              1250685,                      7,              1250692,              1662408,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1817,2014年03月31日,,,,                408776,,                  4751,,                147307,,                  2878,,                  2230,,                  4665,,                352859,,                  1743,                 22317,                 10046,                 34106,,,                 14999,                 14999,                972571,,,                539938,,                  4554,                 23176,,                    987,                  4190,                 87830,,                  5005,                 98012,                665680,              1638251,,,,,                 33492,,                    179,,                 63656,,                 69808,,                 37339,,,                  6060,,                 12000,                  2126,                 20186,                224660,,,                 18000,,                 36343,,                 14899,                    309,                 15208,                 69551,                294211,,,,                726000,                726000,,                277452,,                 68631,                              0,,                352121,                420752,,                -80171,              1344033,                      7,              1344040,              1638251,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1817,2013年12月31日,,,,,,                  3904,,                173987,,                  3311,,                  3156,,,,                311405,,                  1706,                 28343,                    325,                 30374,,                    200,                 15214,                 15414,                984456,,,                528583,,                  2680,                 25580,,                  3402,                  4026,                 86427,,                  5688,                 99543,                656386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                438361,                  4544,              1640842,,,,                 29577,,                  2600,,                 86264,,                 95932,                 30513,,,                  5635,,                 11748,                  2866,                 20249,                265135,,,                 23495,,                 36358,,                 14922,                    302,                 15224,                 75077,                340212,,,,                726000,                726000,,                277452,,                 68631,                              0,,                321029,                389660,,                -92489,                              0,              1300623,                      7,              1300630,                              0,,
1817,2013年09月30日,,,,,,                 46376,,                155448,,                  1099,,                  3922,,,,                317028,,                  1694,                 12971,                 16552,                 31217,,                              0,                  8067,                  8067,                674576,,,                522832,,                  2434,                 27752,,                  7659,                  4027,                 86237,,                  5852,                103775,                656793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                107139,                  4280,              1331369,,,,                 36231,,                  1603,,                 69414,,                 86373,                 14696,,,                  4694,,                 11675,                  5581,                 21950,                230267,,,                 23350,,                 32476,,                 13911,                    300,                 18873,                 74699,                304966,,,,                645000,                645000,,                142752,,                 68631,                              0,,                267152,                335783,,                -97139,,              1026396,                      7,              1026403,                  4662,,
1817,2013年06月30日,,,,,,                 24924,,                161923,,                  2311,,                  3261,,,,                307775,,                  1706,                 12064,                  5112,                 18882,,                              0,                 10103,                 10103,                717714,,,                533115,,                  2738,                 26712,,                  1908,                  3727,                 87280,,                  6550,                 99465,                662030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                173692,                 14843,              1379744,,,,                 29318,,                    696,,                 68924,,                164004,                 19348,,,                  6291,,                 11809,                  5593,                 23693,                305983,,,                 29521,,                 31498,,                 13924,                              0,                 18982,                 80001,                385984,,,,                645000,                645000,,                142752,,                 68631,                              0,,                230689,                299320,,                -93319,,                993753,                      7,                993760,                  5058,,
