證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金合計,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動合計,　　　 附賣回債券投資,　　　 應收證券融資款,　　　 轉融通保證金,　　　 應收轉融通擔保價款,　　　 客戶保證金專戶,　　　　 客戶保證金專戶合計,　　　 借券擔保價款,　　　 借券保證金－存出,　　　 應收票據,　　　　 應收票據合計,　　　 應收帳款,　　　　 應收帳款合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他應收款,　　　　 其他應收款合計,　　　 本期所得稅資產,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 透過損益按公允價值衡量之金融資產－非流動,　　　　 透過損益按公允價值衡量之金融資產－非流動合計,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動合計,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動合計,　　　 採用權益法之投資,　　　 不動產及設備,　　　　 不動產及設備淨額,　　　 投資性不動產,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產淨額,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產淨額,　　　 非流動資產淨額,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付商業本票,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 附買回債券負債,　　　　　 附買回債券負債合計,　　　　 融券保證金,　　　　 應付融券擔保價款,　　　　 借券保證金－存入,　　　　 期貨交易人權益,　　　　　 期貨交易人權益合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 預收款項,　　　　　 預收款項合計,　　　　 代收款項,　　　　　 代收款項合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他金融負債－流動,　　　　　 其他金融負債－流動合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益（合併報表用）,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－股票溢價,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積－實際取得或處分子公司股權價格與帳面價值差額,　　　　　 資本公積合計,　　　　 保留盈餘（或累積虧損）,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　 保留盈餘（或累積虧損）合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 備供出售金融資產未實現損益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益（合併報表用）,　　　 權益總計,　　 負債及權益總計,　　 待註銷股本股數（單位：股）,　　 預收股款（股東權益項下）之約當發行股數（單位：股）,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金總額,　　　 當期所得稅資產,　　 資產總額,　　　　 當期所得稅負債,　　　 負債總額,　　　 權益總額,　　 負債及權益合計,　　　　　 取得或處分子公司股權價格與帳面價值差額,　　　　 負債準備－非流動,　　　　　 負債準備－非流動合計,　　　　　 待分配股票股利,　　　 預付退休金－流動
2855,2015年09月30日,,,,              6180895,,             27005894,,                 39520,              1391286,              9176566,                 52125,                 49381,,              6360793,                 89075,                106806,,                  6693,,              7577551,,                 26255,,                500091,                  1120,,              3111932,             61675983,,,                 51007,,                 41581,,                 60967,                428706,,              2520916,,                281528,,                148008,                 56011,,              1320178,              4908902,             66584885,,,,,              5536172,              1249947,,              2100006,,             15618703,              1710722,              1595620,                226026,,              6317091,,              7586741,,                  2643,,                399689,,              1088869,,                265279,                 88409,,                 13514,             43799431,,                 30046,,                 11561,                 41607,             43841038,,,,             13231191,             13231191,,                 25524,                230152,                    440,                256116,,              2328253,              6018542,                677309,              9024104,,                194510,                 15351,                209861,                 22152,             22699120,                 44727,             22743847,             66584885,              0,              0,      1740000,,,,,,,,,,,,
2855,2015年06月30日,,,,              8178280,,             27894468,,                              0,              2852130,             12766155,                 10539,                 38994,,              6307552,                 26732,                 24154,,                  1525,,             13296960,,                 20738,,                935696,                    783,,              2216357,             74571063,,,                 50645,,                 41581,,                 57436,                415092,,              2537114,,                282053,,                148849,                 48414,,              1207314,              4788498,             79359561,,,,,             10094450,              4499729,,              3984889,,             16211889,                866187,              1070705,                 46686,,              6280790,,              9911030,,                    653,,                331222,,              2714964,,                219190,                154734,,                 33896,             56421014,,                 32906,,                 11853,                 44759,             56465773,,,,             13231191,             13231191,,                 25524,                230152,                    440,                256116,,              2328253,              6018542,                961560,              9308355,,                 43725,                 11623,                 55348,,             22851010,                 42778,             22893788,             79359561,,              0,              0,,,,,,,,,,,,
2855,2015年03月31日,,,,              5481229,,             32330892,,                              0,              1519484,             14219808,                              0,                  7702,,              6005236,                              0,                              0,,                  1163,,             15556841,,                 49536,,              3181597,                  1590,,              3555326,             81910404,,,                 50659,,                 49408,,                 59288,                454141,,              2542264,,                282578,,                155478,                 47488,,              1151368,              4792672,             86703076,,,,,             11652668,             10346291,,              2297201,,             13176254,                572327,                634660,                285514,,              5978152,,             12469028,,                    508,,              1277597,,              3861697,,                234591,                197847,,                 33942,             63018277,,                 63294,,                 11638,                 74932,             63093209,,,,             13231191,             13231191,,                 25524,                230152,                    440,                256116,,              2173255,              5708547,              2107430,              9989232,,                 75671,                 13413,                 89084,,             23565623,                 44244,             23609867,             86703076,              0,              0,              0,,,,,,,,,,,,
2855,2014年12月31日,,,,              6355219,,             22714617,,                              0,              1502364,             13408762,                    219,                  1670,,              5569228,                 12224,                 11042,,                    994,,              6905877,,                 27794,,                354054,                  1590,,              3106558,             59972212,,,                 50518,,                 49408,,                 56115,                426021,,              2562705,,                283104,,                160276,                 47451,,              1339736,              4975334,             64947546,,,,,              8760977,              3749032,,              2068250,,              9084470,              1519052,              1842391,                935571,,              5553149,,              6435497,,                    484,,                269955,,              1159281,,                294585,                134160,,                  5132,             41811986,,                 49100,,                 10984,                 60084,             41872070,,,,             13231191,             13231191,,                 25524,                230152,                    440,                256116,,              2173255,              5708547,              1549976,              9431778,,                103194,                 10345,                113539,                              0,             23032624,                 42852,             23075476,             64947546,              0,              0,              0,              6355219,                  1590,             64947546,                134160,             41872070,             23075476,             64947546,,,,,
2855,2014年09月30日,,,,              6659803,,             16072400,,                              0,              2334894,             12418202,                  2244,                  1986,,              5458112,                 24532,                 31510,,                  1792,,             12460481,,                 33250,,                794590,                    480,,              3487553,             59781829,,,                 50255,,                 49408,,                 48648,                407526,,              2571113,,                283628,,                 68744,                 38350,,              1392879,              4910551,             64692380,,,,,              5859662,              4448787,,              3061050,,              5721299,              1282184,              1551848,                165029,,              5464818,,             11437332,,                  1924,,              1394282,,              1307815,,                137892,                166939,,                  7453,             42008314,,                 15973,,                  8552,                 24525,             42032839,,,,             13231191,             13231191,,                 25524,                230152,                    440,                256116,,              2173255,              5708547,              1196774,              9078576,,                 49353,                  3124,                 52477,                              0,             22618360,                 41181,             22659541,             64692380,              0,              0,              0,,,,,,,,,,,,
2855,2014年06月30日,,,,              4975096,,             21261147,,                 66500,              2422056,             12653037,                    249,                  4243,,              5150353,                 12176,                 19561,,                  1188,,             11586165,,                 19161,,                566100,                  2857,,              2559034,             61298923,,,                 50331,,                 49408,,                 42378,                389074,,              2578160,,                284153,,                 67441,                 38204,,              1304420,              4803569,             66102492,,,,,              7530713,              5398759,,              3216605,,              7078707,                750691,                863038,                163903,,              5134770,,             10298914,,                  2479,,                473298,,              2270188,,                239494,                163864,,                 12742,             43598165,,                 16641,,                  9487,                 26128,             43624293,,,,             13231191,             13231191,,                 25524,                230152,                    440,                256116,,              2173255,              5708547,              1095887,              8977689,,                -23349,                 -3561,                -26910,,             22438086,                 40113,             22478199,             66102492,,              0,              0,,,,,,,,,,,,
2855,2014年03月31日,,,,              5447753,,             19239397,,                 26680,              2952987,             12540320,                              0,                  3716,,              5171981,                  4375,                  3953,,                  1062,,             12829191,,                 26060,,              2758798,                  2667,,              2660699,             63669639,,,                 50396,,                 56364,,                 45108,                416522,,              2591770,,                284678,,                 65979,                 53854,,              1272110,              4836781,             68506420,,,,,              4328789,              6598188,,              3185818,,              6765096,                879594,              1040525,                161826,,              5163095,,             13542907,,                    422,,                284135,,              3348587,,                167589,                113863,,                  9184,             45589618,,                 25455,,                  7482,                 32937,             45622555,,,,             13231191,             13231191,,                 25524,                230152,                    440,                256116,,              2071935,              5792801,              1476498,              9341234,,                 15210,                 -1629,                 13581,,             22842122,                 41743,             22883865,             68506420,              0,              0,              0,,,,,,,,,,,,
2855,2013年12月31日,,,,,,             19714198,,                349870,                184897,             11516164,                 24695,                 59634,,              4917434,                 29993,                 49617,,                  3360,,              8379629,,                 54278,,                173323,,,              3297457,             54044709,,,                 50174,,                 71759,,                              0,                401608,,              2583250,,                285204,,                 25648,                 53466,,              1267158,              4738267,,,,,,              3479260,              6947845,,              1232154,,              6272115,              1235843,              1599806,                529309,,              4917434,,              8598138,,                    450,,                428091,,                951286,,                 93398,,,                  4600,             36354161,,                 14210,,                  8402,                 22612,,,,,             13231191,             13231191,,                 25524,                230152,                    440,                256116,,              2071935,              5792801,              1013206,              8877942,,                -27719,                 27750,                     31,,             22365280,                 40923,,,              0,              0,              0,              5287484,                  2676,             58782976,                 64432,             36376773,             22406203,             58782976,                    440,,,,
2855,2013年09月30日,,,,,,             13804861,,                119936,                605313,             10274611,                    771,                 10366,,              5252703,                 54526,                 49541,,                  1697,,             12649292,,                 31176,,              2210575,,,              3927014,             54405036,,,                 50374,,                 71759,,                              0,                381764,,              2598928,,                285729,,                 19403,                 45962,,              1257589,              4711508,,,,,,              4862656,              5948308,,              1858540,,              2327825,              1055239,              1305908,                522991,,              5252704,,              9969898,,                  2238,,              1145758,,              2638120,,                248391,,,                  7020,             37179010,,                  6394,,                  3159,                  9553,,,,,             13231191,             13231191,,                 25524,                230152,                    440,                256116,,              2071935,              5792801,                575120,              8439856,,                -43005,                  3637,                -39368,,             21887795,                 40186,,,              0,              0,              0,              5403630,                  9024,             59116544,                 33414,             37188563,             21927981,             59116544,,,,,
2855,2013年06月30日,,,,,,             12046512,,                              0,                460285,             10275846,                              0,                  4544,,              5475899,                 37401,                 33786,,                    962,,              6334640,,                 22409,,                138161,,,              2620814,             42474300,,,                 50511,,                 71757,,                              0,                371963,,              2617623,,                286253,,                 15839,                 57570,,              1355769,              4827285,,,,,,              3267439,              4249012,,                811032,,              2770069,                587119,                725359,                370800,,              5475899,,              5649797,,                  1416,,                237007,,              1347466,,                200685,,,                  7196,             25767574,,                  7874,,                  5167,                 13041,,,,,             13231191,             13231191,,                 25524,                230152,                    440,                256116,,              2071935,              5792801,                145576,              8010312,,                -16057,                              0,                -16057,,             21481562,                 39408,,,              0,              0,              0,              5016369,                  6672,             47301585,                 67278,             25780615,             21520970,             47301585,,,,,
