證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 負債準備-非流動,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積－實際取得或處分子公司股權價格與帳面價值差額,　　　　　 資本公積－員工認股權,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－庫藏股票交易,　　　　 資本公積－實際取得或處分子公司股權價格與帳面價值差額,　　　　 資本公積－員工認股權,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　　 資本公積－取得或處分子公司股權價格與帳面價值差額
3059,2015年09月30日,,,,              4556284,,                334690,,                 41917,,              3128592,,                 24577,,                  3678,,              1407172,,                183447,,                 17556,              9697913,,,                166225,,                166269,,              5393723,,                 97880,                 88112,,                 84304,              5996513,             15694426,,,,,              1550000,,              2278308,,                847057,                 74712,,                 48419,,                467428,              5265924,,,                127058,,                557772,,                 15388,                700218,              5966142,,,,              2702538,              2702538,,,              1880706,                              0,                    958,                 52102,              1933766,,              1347010,                142456,,              3042189,              4531655,,,                586457,                586457,                 33255,              9721161,                  7123,              9728284,             15694426,              0,              0,        980973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3059,2015年06月30日,,,,              4346740,,                402846,,                 63637,,              2412804,,                 14157,,                  2763,,              1796743,,                193754,,                 20867,              9254311,,,                171410,,                169943,,              5355465,,                 94473,                 71793,,                 83067,              5946151,             15200462,,,,,              1542000,,              2346376,,                741052,                 38294,,                 51731,,                532439,              5251892,,,                135637,,                527540,,                 21058,                684235,              5936127,,,,              2702538,              2702538,,,              1880706,                              0,                    958,                 51390,              1933054,,              1347010,                142456,,              2845407,              4334873,,,                287012,                287012,                              0,              9257477,                  6858,              9264335,             15200462,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3059,2015年03月31日,,,,              4711132,,                457859,,                 79754,,              2006630,,                 24988,,                  2410,,              1453772,,                186342,,                 11138,              8934025,,,                151277,,                175589,,              5465724,,                 99185,                 79995,,                 85381,              6057151,             14991176,,,,,              1673000,,              2056374,,                432575,                 63618,,                 54266,,                427300,              4707133,,,                128190,,                553878,,                 21058,                703126,              5410259,,,,              2702538,              2702538,,,              2015833,                              0,                    958,                 50677,              2067468,,              1319477,                142456,,              2967450,              4429383,,,                374942,                374942,                              0,              9574331,                  6586,              9580917,             14991176,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3059,2014年12月31日,,,,              5441850,,                362155,,                 73485,,              2367794,,                 20323,,                  2767,,              1176361,,                194519,,                  3801,              9643055,,,                151369,,                179520,,              5603692,,                103447,                 84918,,                 86210,              6209156,             15852211,,,,,              1410000,,              2933033,,                530190,                 71778,,                 64373,,                438251,              5447625,,,                120235,,                583165,,                 21058,                724458,              6172083,,,,              2701358,              2701358,,,              2012075,                              0,                    958,                 50518,              2063551,,              1319477,                142456,,              2964969,              4426902,,,                481868,                481868,                              0,              9673679,                  6449,              9680128,             15852211,              0,              0,              0,              5441850,                  2767,             15852211,,,,              1410000,,              2933033,,                530190,                 71778,,                 64373,,                438251,              5447625,,,                120235,,                583165,,                 21058,                724458,              6172083,,,,              2701358,              2701358,,,              2012075,                              0,                    958,                 50518,              2063551,,              1319477,                142456,,              2964969,              4426902,,,                481868,                481868,                              0,              9673679,                  6449,              9680128,,,,,
3059,2014年09月30日,,,,              4704237,,              1257147,,                 86310,,              2850160,,                 30823,,                  2570,,              1092526,,                203336,,                  5691,             10232800,,,                156175,,                262834,,              5547282,,                102046,                 69321,,                 84347,              6222005,             16454805,,,,,              1608551,,              2487318,,              1709555,                 48307,,                119793,,                518070,              6491594,,,                 89205,,                541028,,                 18247,                648480,              7140074,,,,              2759108,              2759108,,,              2055089,                              0,                    958,                 49269,              2105316,,              1319477,                142456,,              3028684,              4490617,,,                145476,                145476,                192026,              9308491,                  6240,              9314731,             16454805,              0,              0,      5775000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3059,2014年06月30日,,,,              4007086,,                558447,,                 85443,,              4099616,,                 69794,,                  2538,,              1148910,,                243047,,                  5502,             10220383,,,                156067,,                300491,,              5537319,,                102149,                 63368,,                 84504,              6243898,             16464281,,,,,              1000000,,              3299219,,                522368,                 36721,,                113354,,                569851,              5541513,,,                 84173,,                519495,,                 19680,                623348,              6164861,,,,              3941583,              3941583,,,              2068075,                              0,                    958,                 47635,              2116668,,              1319477,                142456,,              3042899,              4504832,,,                  4511,                  4511,                274323,             10293271,                  6149,             10299420,             16464281,              0,              0,      8250000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3059,2014年03月31日,,,,              4791534,,                488282,,                164737,,              2555181,,                 54161,,                  7961,,              1147602,,                211181,,                  5031,              9425670,,,                156185,,                320273,,              5675704,,                107644,                263788,,                 87543,              6611137,             16036807,,,,,              1200000,,              2323115,,                570557,                 18403,,                139537,,                758659,              5010271,,,                109814,,                756182,,                 19680,                885676,              5895947,,,,              3855303,              3855303,,,              1885426,                              0,                    958,                123649,              2010033,,              1319477,                339267,,              2713144,              4371888,,,                171331,                171331,                274323,             10134232,                  6628,             10140860,             16036807,              0,              0,      8250000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3059,2013年12月31日,,,,,,                442167,,                101802,,              2319220,,                 58198,,,,              1342629,,                177712,,                 11829,              9078856,,,                156108,,                329654,,              5656784,,                110413,                298633,,                 88012,              6639604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     13250000,              4619412,                  5887,             15718460,,,,              1000000,,              2511106,,                637671,                 17369,,                155014,,                602568,              4923728,,,                120417,,                746845,,                 27562,                894824,              5818552,,,,              3902653,              3902653,,,              1903779,                              0,                    958,                123953,              2028690,,              1319477,                339267,,              2715960,              4374704,,,                 27904,                 27904,                440573,              9893378,                  6530,              9899908,,                              0,,                              0,
3059,2013年09月30日,,,,,,                356649,,                  6680,,              4306233,,                 90207,,,,              1566439,,                207403,,                 12397,              9885406,,,                236180,,                333774,,              5758600,,                114073,                286686,,                 88066,              6817379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     13250000,              3336335,                  3063,             16702785,,,,                600000,,              3470731,,                735891,                 33509,,                142392,,                680103,              5662626,,,                116982,,                742307,,                 27562,                886851,              6549477,,,,              3902653,              3902653,,,              1903779,                              0,                    811,                121030,              2025620,,              1319477,                339267,,              3078742,              4737486,,,                -79107,                -79107,                440573,             10146079,                  7229,             10153308,,                              0,,                              0,
3059,2013年06月30日,,,,,,                383274,,                              0,,              3611841,,                 32763,,,,              2568621,,                391034,,                 14031,             12003013,,,                236235,,                352493,,              5632876,,                 97231,                303598,,                 89247,              6711680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     19086000,              4996899,                  4550,             18714693,,,,                450000,,              5057364,,              1263210,                 39221,,                166800,,                610917,              7587512,,,                140051,,                773811,,                 27562,                941424,              8528936,,,,              3961013,              3961013,,,              1932249,                              0,                    384,                117496,              2050129,,              1319477,                339267,,              3124668,              4783412,,,                 17541,                 17541,                634620,             10177475,                  8282,             10185757,,,,,
