證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 應付設備款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期應付票據及款項－非關係人,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 應付租賃款－流動,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 負債準備-非流動,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 長期應付票據及款項,　　　　　　 長期應付款,　　　　　　 應付租賃款－非流動,　　　　　　 長期應付票據及款項合計,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 應付設備款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期應付票據及款項－非關係人,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 應付租賃款－流動,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 長期應付票據及款項,　　　　　 長期應付款,　　　　　 應付租賃款－非流動,　　　　　 長期應付票據及款項合計,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 預付投資款,　　　　 應付股利
3149,2015年09月30日,,,,              2826328,,                     96,,              1031493,,                331043,,                 89820,,                537493,,                 39033,                156686,                195719,              5011992,,,              9072839,,                231344,                  8634,,                              0,,                252767,                252767,              9565584,             14577576,,,,,              3043333,,                  8807,,                615372,,                 42061,,                480943,                881330,              1362273,                              0,,                 62691,,,                798097,                179748,                977845,                511632,                 23348,              1512825,              6647362,,,                945267,,              2060032,,                 28117,,                 15645,,,                              0,              1818698,              1818698,                107048,              1925746,              4974807,             11622169,,,,              2684650,              2684650,,              4013795,,             -3935154,,                142271,                              0,              2905562,                 49845,              2955407,             14577576,         23100,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3149,2015年06月30日,,,,              2536024,,                     96,,                462247,,                290362,,                 89820,,                649051,,                223378,                384387,                607765,              4635365,,,              8962179,,                237128,                  8634,,                              0,,                252015,                252015,              9459956,             14095321,,,,,              1898638,,                  2559,,                534993,,                 39074,,                545877,                920915,              1466792,                              0,,                 39605,,,                890643,                170934,              1061577,                414010,                 30992,              1506579,              5488240,,,                942074,,              2243076,,                 28117,,                 15645,,,                              0,              1781949,              1781949,                119353,              1901302,              5130214,             10618454,,,,              2686877,              2686877,,              4022278,,             -3370932,,                 85478,                              0,              3423701,                 53166,              3476867,             14095321,         67150,              0,              0,,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3149,2015年03月31日,,,,              3503809,,                  3278,,                824185,,                160056,,                 89820,,                631368,,                259398,                453906,                713304,              5925820,,,             10995703,,                262985,                  8634,,                              0,,                252208,                252208,             11519530,             17445350,,,,,              1655800,,                              0,,                736142,,                 25187,,                424346,                851304,              1275650,                              0,,                 62948,,,              1078839,                327478,              1406317,                329822,                 30659,              1766798,              5522525,,,                938893,,              2276695,,                 28117,,                 15645,,,                114482,              1853072,              1967554,                  6276,              1973830,              5233180,             10755705,,,,              2687829,              2687829,,              6173657,,             -2513846,,                257111,                              0,              6604751,                 84894,              6689645,             17445350,         95200,              0,              0,,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3149,2014年12月31日,,,,              4518508,,                    826,,              1505029,,                248248,,                 89820,,                519427,,                 75663,                269403,                345066,              7226924,,,             11007451,,                283832,                  8634,,                 93900,,                253938,                347838,             11647755,             18874679,,,,,              1814077,,                  9130,,                652271,,                 67989,,                666512,                919254,              1585766,                  9756,,                 51993,,,              1235118,                327051,              1562169,                196304,                506633,              2265106,              6456088,,,                935722,,              2250061,,                 28117,,                 15645,,,                114218,              1961751,              2075969,                  8987,              2084956,              5314501,             11770589,,,,              2687829,              2687829,,              6166389,,             -2132341,,                286903,                              0,              7008780,                 95310,              7104090,             18874679,              0,              0,              0,,                              0,                              0,              4518508,                 89820,             18874679,,,,              1814077,,                  9130,,                652271,,                 67989,,                666512,                919254,              1585766,                  9756,,                 51993,,,              1235118,                327051,              1562169,                196304,                506633,              2265106,              6456088,,,                935722,,              2250061,,                 28117,,                 15645,,,                114218,              1961751,              2075969,                  8987,              2084956,              5314501,             11770589,,,,              2687829,              2687829,,              6166389,,             -2132341,,                286903,                              0,              7008780,                 95310,              7104090,,
3149,2014年09月30日,,,,              3534811,,                  1116,,              1614355,,                111176,,                 89256,,                579808,,                 78403,                513782,                592185,              6522707,,,             11276672,,                293929,                 13627,,                              0,,                252674,                252674,             11836902,             18359609,,,,,              1250152,,                  4204,,                719505,,                 66991,,                564242,                890222,              1454464,                              0,,                 47690,,,              1251263,                416297,              1667560,                301165,                 30503,              1999228,              5542234,,,                932563,,              1935505,,                 27830,,                 13455,,,                143693,              1742799,              1886492,                  9143,              1895635,              4804988,             10347222,,,,              2687889,              2687889,,              6162954,,             -1137088,,                197016,                              0,              7910771,                101616,              8012387,             18359609,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3149,2014年06月30日,,,,              2991356,,                  4483,,              1422781,,                 97718,,                 82790,,                665717,,                120389,                571010,                691399,              5956244,,,             10873520,,                309299,                 13627,,                              0,,                  6496,                  6496,             11202942,             17159186,,,,,              1670851,,                              0,,                718572,,                 38241,,                377999,                770528,              1148527,                              0,,                 48620,,,              1201285,                395231,              1596516,                198030,                 27162,              1821708,              5446519,,,                              0,,              1634805,,                 27830,,                 13455,,,                143366,              1740999,              1884365,                 10718,              1895083,              3571173,              9017692,,,,              2688389,              2688389,,              6103040,,               -857943,,                 99395,                              0,              8032881,                108613,              8141494,             17159186,              0,              0,              0,,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3149,2014年03月31日,,,,              3154449,,                              0,,              1366034,,                112021,,                 82674,,                624915,,                 96185,                444373,                540558,              5880651,,,             10940683,,                326745,                 13627,,                              0,,                  6479,                  8435,             11289490,             17170141,,,,,              1030238,,                  2586,,                627772,,                 57984,,                392711,                556351,                949062,                              0,,                 66442,,,              1216385,                334650,              1551035,                 45229,                 20243,              1616507,              4350591,,,                              0,,              1867813,,                 27830,,                 13455,,,                393743,              1880093,              2273836,                  2380,              2276216,              4185314,              8535905,,,,              2688389,              2688389,,              6365606,,               -709699,,                169050,                              0,              8513346,                120890,              8634236,             17170141,              0,              0,              0,,                  1956,                  1956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3149,2013年12月31日,,,,,,                              0,,              1801946,,                169919,,,,                513683,,                 98713,                496101,                594814,              6419504,,,             11080775,,                332191,                 11131,,                              0,,                  6881,                 15293,             11439390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                  8412,                  8412,              3258070,                 81072,             17858894,,,,              1054001,,                  7281,,                472475,,                 63985,,                630352,                696097,              1326449,                  6611,,                 84994,,,              1410542,                328925,              1739467,                              0,                 15525,              1754992,              4770788,,,                              0,,              1827257,,                 27830,,                 13455,,,                285658,              1878696,              2164354,                  2465,              2166819,              4035361,              8806149,,,,              2688389,              2688389,,              6364089,,               -288846,,                163915,                              0,              8927547,                125198,              9052745,                              0,                              0
3149,2013年09月30日,,,,,,                  4936,,              1617976,,                387979,,,,              1007643,,                119843,                646313,                766156,              7094289,,,             11132272,,                359833,                 17416,,,,                  6631,                 14985,             11524506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                  8354,                  8354,              3274335,                 35264,             18618795,,,,              1029182,,                              0,,                546516,,                 53973,,                783340,                898754,              1682094,                 11452,,                 21818,,,              1383011,                              0,              1383011,                              0,                 44129,              1427140,              4772175,,,                              0,,              1859706,,                 27547,,                 22914,,,                599237,              1815964,              2415201,                  2408,              2417609,              4327776,              9099951,,,,              2685255,              2685255,,              6283098,,                262687,,                157230,                              0,              9388270,                130574,              9518844,,
3149,2013年06月30日,,,,,,                              0,,              2103631,,                478552,,,,              1246040,,                121565,                639179,                760744,              8216036,,,             10458334,,                390497,                 17416,,,,                  6810,                 15643,             10881890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                  8833,                  8833,              3627069,                              0,             19097926,,,,              1333399,,                 14453,,                804660,,                 47645,,                589144,                858533,              1760844,                112924,,                    548,,,              1510276,                              0,              1510276,                              0,                 51423,              1561699,              5636172,,,,,              1837187,,                 27547,,                 28296,,,                570421,              1097961,              1668382,                  2541,              1670923,              3563953,              9200125,,,,              2655255,              2655255,,              6274008,,                635613,,                197845,                              0,              9762721,                135080,              9897801,                              0,                313167
3149,2013年03月31日,,,,,,                              0,,              2924857,,                453952,,,,              1790986,,                149973,                527613,                677586,              9609835,,,              9884929,,                381695,                 17416,,,,                  6439,                 15295,             10299335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                  8856,                  8856,              3762454,                              0,             19909170,,,,              1188186,,                  9439,,              1579521,,                 59479,,                450421,                777718,              1228139,                222562,,                  1384,,,                972918,                              0,                972918,                              0,                 44730,              1017648,              5306358,,,,,              2431113,,                 27547,,                 19647,,,                531370,              1059669,              1591039,                  2938,              1593977,              4072284,              9378642,,,,              2655255,              2655255,,              6274008,,              1323542,,                136385,                              0,             10389190,                141338,             10530528,                              0,
3149,2012年12月31日,,,,              4544600,,                  1099,,              2381212,,                401852,,,,              2028419,,                 90482,                499725,                590207,              9947389,,,              9650323,,                381683,                 17417,,,,                  5573,                 13897,             10063320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                  8324,                  8324,,                              0,             20010709,,,,              1478399,,                              0,,              1167865,,                 51215,,              1262938,                758858,              2021796,                143475,,                  6110,,,              1041109,                              0,              1041109,,                 41094,              1082203,              5951063,,,,,              2352839,,                 27547,,                  6803,,,                302085,              1010836,              1312921,                  7578,              1320499,              3707688,              9658751,,,,              2655255,              2655255,,              6274008,,              1242214,,                 43741,                              0,             10215218,                136740,             10351958,                              0,
3149,2012年09月30日,,,,              2619611,,                 16626,,              1676546,,                545788,,,,              1511970,,                 23275,                179739,                203014,              6573555,,,              7539565,,                376863,                  5876,,,,                  4728,                 12940,              7935244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                  8212,                  8212,,                              0,             14508799,,,,              1272543,,,,              1211909,,                 95911,,                390755,                541421,                932176,                 73260,,                    382,,,                833541,,                833541,,                 49091,                882632,              4468813,,,,,              2356417,,                 27266,,                  3806,,,                              0,                              0,                              0,                  7150,                  7150,              2394639,              6863452,,,,              2355255,              2355255,,              4040708,,              1066658,,                 44821,                              0,              7507442,                137905,              7645347,                              0,
3149,2012年06月30日,,,,              4342647,,                              0,,                815665,,                879140,,,,              1052831,,                536101,                 80437,                616538,              7706821,,,              6499150,,                378336,                  2636,,,,                  7001,                 15243,              6895365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                  8242,                  8242,,,             14602186,,,,                733392,,                  1627,,              1025011,,                113719,,                892304,              1009936,              1902240,                 79525,,                    470,,,                768490,,                768490,,                349225,              1117715,              4973699,,,,,              2041436,,                 27266,,                  9394,,,                              0,                              0,                              0,                  2595,                  2595,              2080691,              7054390,,,,              2355255,              2355255,,              4040708,,                931538,,                 78213,                              0,              7405714,                142082,              7547796,                              0,
