證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　　 一年或一營業週期內到期或執行賣回權公司債
3038,2015年09月30日,,,,                742300,,                 69246,,                580340,,                  1006,,                545989,,                 20724,,                  2584,,                814068,,                 34150,              2810407,,,                185000,,                559887,,                 17498,,                  3701,                 39338,,                  1015,,                  9818,                 10833,                816257,              3626664,,,,,                336366,,                              0,,                  4871,,                403429,,                259189,                  1509,,,                              0,                 72800,                 72800,                 26757,                 99557,              1104921,,,                218400,,                  3314,,                 85690,                    160,                 85850,                307564,              1412485,,,,              2211076,              2211076,,                 13836,,,                154201,                154201,,                -84881,                160526,              2133706,                 80473,              2214179,              3626664,      5000000,              0,      8794388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3038,2015年06月30日,,,,              1029705,,                118100,,                428194,,                  1006,,                537843,,                 19338,,                  1373,,                799321,,                 29454,              2964334,,,                185000,,                579051,,                 17588,,                  2753,                 59157,,                    138,,                  9568,                  9706,                853255,              3817589,,,,,                307778,,                              0,,                  3859,,                369339,,                204154,                  1173,,,,                 72800,                 72800,                 26381,                 99181,                985484,,,                527800,,                  3313,,                 86175,                    160,                 86335,                617448,              1602932,,,,              2261076,              2261076,,                              0,,,                 51136,                 51136,,                -55258,                122282,              2134672,                 79985,              2214657,              3817589,              0,              0,      8794388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3038,2015年03月31日,,,,                875638,,                119503,,                434381,,                  1005,,                500634,,                 19869,,                  1478,,                883157,,                 25348,              2861013,,,                185000,,                590529,,                 17678,,                  2728,                 69912,,                  5198,,                  9912,                 15110,                880957,              3741970,,,,,                196494,,                              0,,                  3986,,                441135,,                191271,                  2411,,,                              0,                 72800,                 72800,                 28106,                100906,                936203,,,                527800,,                  3313,,                 86679,                    160,                 86839,                617952,              1554155,,,,              2261076,              2261076,,                  6294,,,                  2229,                  2229,,                -39601,                122282,              2107716,                 80099,              2187815,              3741970,              0,              0,      8794388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3038,2014年12月31日,,,,                767063,,                 61642,,                490603,,                  1005,,                432224,,                 15984,,                  1322,,                840780,,                 26106,              2636729,,,                185000,,                613560,,                 17768,,                  2957,                 82773,,                    854,,                 10051,                 10905,                912963,              3549692,,,,,                 30631,,                              0,,                  3823,,                400258,,                230574,                  2960,,,                              0,                 72800,                 72800,                 21205,                 94005,                762251,,,                564200,,                  3315,,                 87162,                    171,                 87333,                654848,              1417099,,,,              2261076,              2261076,,                  6294,,,                -56128,                -56128,,                -36892,                122282,              2052068,                 80525,              2132593,              3549692,              0,              0,      8794388,                767063,                  1005,                  1322,              3549692,,,,                 30631,,                              0,,                  3823,,                400258,,                230574,                  2960,,,                 72800,                 72800,                 21205,                 94005,                762251,,,                564200,,                  3315,,                 87162,                    171,                 87333,                654848,              1417099,,,,              2261076,              2261076,,                  6294,,,                -56128,                -56128,,                -36892,                122282,              2052068,                 80525,              2132593,
3038,2014年09月30日,,,,                741814,,                              0,,                493718,,                  1031,,                632966,,                 18100,,                  3507,,                848770,,                 25622,              2765528,,,                185000,,                637678,,                 17858,,                  3143,                 93293,,                    294,,                  9932,                 10226,                947198,              3712726,,,,,                105262,,                              0,,                  3961,,                485802,,                265763,                  2322,,,                              0,                 72800,                 72800,                 22952,                 95752,                958862,,,                587200,,                  1326,,                 84180,                    206,                 84386,                672912,              1631774,,,,              2261076,              2261076,,                  6294,,,               -107144,               -107144,,                -37927,                122282,              2000017,                 80935,              2080952,              3712726,              0,              0,      8794388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3038,2014年06月30日,,,,                758960,,                 59133,,                370336,,                    831,,                580776,,                 49599,,                  2168,,                848397,,                 36756,              2706956,,,                185000,,                675117,,                 17949,,                  3051,                101220,,                    294,,                  9875,                 10169,                992506,              3699462,,,,,                166205,,                     30,,                  1196,,                510239,,                203643,                  2263,,,,                 36400,                 36400,                 24583,                 60983,                944559,,,                623600,,                  1326,,                 84618,                    240,                 84858,                709784,              1654343,,,,              2261076,              2261076,,                  6294,,,               -148516,               -148516,,                -32342,                122282,              1964230,                 80889,              2045119,              3699462,              0,              0,      8794388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3038,2014年03月31日,,,,                635231,,                 60788,,                331939,,                 10330,,                654199,,                 34801,,                  1297,,                899438,,                 20464,              2648487,,,                185000,,                709807,,                 18039,,                  3085,                107755,,                  4211,,                  9943,                 14154,              1037840,              3686327,,,,,                 97042,,                              0,,                  1778,,                596954,,                205772,                  2000,,,                              0,                 36400,                 36400,                 29597,                 65997,                969543,,,                623600,,                  1326,,                 85090,                    275,                 85365,                710291,              1679834,,,,              2261076,              2261076,,                  6294,,,               -178961,               -178961,,                -40609,                122282,              1925518,                 80975,              2006493,              3686327,              0,              0,      8794388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3038,2013年12月31日,,,,,,                 71671,,                200670,,,,                628054,,                 29794,,,,                890304,,                 27253,              2605662,,,                185000,,                740953,,                 18129,,                  3131,                116979,,                    398,,                 10927,                 11325,              1075517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      8794388,                746429,                 10330,                  1157,              3681179,,,,                191490,,                  9165,,                  1754,,                519887,,                213936,                  1134,,,                              0,                              0,                 43325,                 43325,                980691,,,                660000,,                  1326,,                 85536,                    309,                 85845,                747171,              1727862,,,,              2261076,              2261076,,                  6294,,,               -223624,               -223624,,                -49417,                122282,              1872047,                 81270,              1953317,                              0
3038,2013年09月30日,,,,,,                 41155,,                240892,,,,                595244,,                 45272,,,,                882871,,                 41642,              2516930,,,                185000,,                779729,,                 18219,,                  3316,                109175,,                    138,,                 10853,                 10991,              1106430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      8794388,                548544,                119997,                  1313,              3623360,,,,                217823,,                 19024,,                  1601,,                445857,,                183039,                  1651,,,                420000,                486236,                 21745,                507981,              1376976,,,                240000,,                     81,,                 85479,                    344,                 85823,                325904,              1702880,,,,              2261076,              2261076,,                  6294,,,               -248256,               -248256,,                -57787,                122282,              1839045,                 81435,              1920480,                 66236
3038,2013年06月30日,,,,,,                 11811,,                342113,,,,                574777,,                 17101,,,,                909545,,                 20907,              2415189,,,                 35000,,                823726,,                 18309,,                  3343,                113989,,                  1438,,                 10862,                 12300,              1006667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      8794388,                466669,                 71667,                    599,              3421856,,,,                 30429,,                  2243,,                  2425,,                460005,,                186265,                  3276,,,                420000,                485942,                 22466,                508408,              1193051,,,                300000,,                     81,,                 86018,                    343,                 86361,                386442,              1579493,,,,              2261076,              2261076,,                  6294,,,               -249487,               -249487,,                -59116,                122282,              1836485,                  5878,              1842363,                 65942
