證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 流動資產合計,　　 非流動資產,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 其他非流動負債,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－員工認股權,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 其他非流動負債,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－員工認股權,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　　 其他流動負債－其他,　　　 長期借款,　　　　 長期借款合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產合計
5906,2015年06月30日,,,,                121552,,                              0,,                110048,,                  1077,,                391235,,                 44411,                668323,,,                  7111,,                 59734,                  3521,,                 42757,,                 30833,                              0,,                     56,                 73646,                144012,                812335,,,,,                 69985,,                 84043,,                 69654,                 12195,                  1729,,,                 34359,,                              0,                 34359,                271965,,,                 46408,                 46408,                 46408,                318373,,,,                963233,                963233,,,                220779,                 14861,                235640,,                 19476,                119768,,               -892047,               -752803,,,                 47892,                 47892,                493962,                493962,                812335,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5906,2015年03月31日,,,,                126282,,                              0,,                179687,,                419456,,                527256,,                 52547,              1305228,,,                  7949,,                 61431,                  2671,,                 42470,,                 51679,                              0,,                    142,                 94291,                166342,              1471570,,,,,                472256,,                 92337,,                111687,                 13211,                  1756,,,                 51989,,                              0,                 51989,                743236,,,                 48081,                 48081,                 48081,                791317,,,,                963233,                963233,,,                220779,                 15215,                235994,,                 19476,                119768,,               -716594,               -577350,,,                 58376,                 58376,                680253,                680253,              1471570,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5906,2014年12月31日,,,,                136438,,                              0,,                215519,,                424282,,                714756,,                 47568,              1538563,,,                  8821,,                 60622,                  3334,,                 35216,,                 51739,                              0,,                    919,                 87874,                160651,              1699214,,,,,                475058,,                149356,,                126341,                 43283,                  1772,,,                 80915,,                              0,                 80915,                876725,,,                 52555,                 52555,                 52555,                929280,,,,                963233,                963233,,,                220779,                 15215,                235994,,                 19476,                119768,,               -632569,               -493325,,,                 64032,                 64032,                769934,                769934,              1699214,              0,              0,              0,                136438,              1699214,,,,                475058,,                149356,,                126341,                 43283,                  1772,,,                 80915,,                              0,                 80915,                876725,,,                 52555,                 52555,                 52555,                929280,,,,                963233,                963233,,,                220779,                 15215,                235994,,                 19476,                119768,,               -632569,               -493325,,,                 64032,                 64032,                769934,                769934,,,,,,,,
5906,2014年09月30日,,,,,,                    755,,                166683,,                 10127,,                985712,,                 92611,              1765208,,,                  9113,,                 62640,                  2481,,                 43544,,,                              0,,                  2118,                 45662,                119896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                145955,              1885104,,,,                411680,,                165090,,                191884,,                  1722,,,                 74828,,                              0,                322628,              1093004,,,                 59316,                 59316,                 59316,              1152320,,,,                963233,                963233,,,                220779,                 17618,                238397,,                 19476,                119768,,               -645593,               -506349,,,                 37503,                 37503,                732784,                732784,,                363365,                247800,,                              0,,,
5906,2014年06月30日,,,,                228045,,                    774,,                192904,,                  9068,,                994261,,                111201,              1536253,,,                339250,,                 59209,                  2685,,                 39722,,                              0,                 23477,,                  2536,                 65735,                466879,              2003132,,,,,                492390,,                117482,,                138770,                  7392,                              0,,,                 88323,,                173425,                261748,              1017782,,,                 63163,                 63163,                 63163,              1080945,,,,                963233,                963233,,,                220779,                 17721,                238500,,                 19476,                119768,,               -434442,               -295198,,,                 15652,                 15652,                922187,                922187,              2003132,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5906,2014年03月31日,,,,                229631,,                    689,,                252937,,                  7131,,              1110743,,                 96496,              1697627,,,                346440,,                 60751,                  3816,,                 42568,,                              0,                 24048,,                  3072,                 69688,                480695,              2178322,,,,,                402850,,                163333,,                153344,                  4536,                              0,,,                 76939,,                186316,                263255,                987318,,,                 69709,                 69709,                 69709,              1057027,,,,                963233,                963233,,,                220779,                 17663,                238442,,                 19476,                119768,,               -254467,               -115223,,,                 34843,                 34843,              1121295,              1121295,              2178322,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5906,2013年12月31日,,,,,,                    957,,                356209,,                  8557,,              1281395,,                 88492,              1985975,,,                343418,,                 59262,                  5930,,                 43282,,                              0,                 24314,,                  5525,                 73121,                481731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                250365,              2467706,,,,                431542,,                256841,,                129107,                  8388,                              0,,,                 77644,,                187174,                264818,              1090696,,,                 76482,                 76482,                 76482,              1167178,,,,                963233,                963233,,,                220779,                 17502,                238281,,                 19476,                119768,,                -76235,                 63009,,,                 36005,                 36005,              1300528,              1300528,,,,,,,,
5906,2013年09月30日,,,,,,                  1043,,                303838,,                  9697,,              1346145,,                 95235,              1982929,,,                337513,,                 58395,                 30034,,                 44124,,,                 24004,,                 17863,                 85991,                511933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                226971,              2494862,,,,                326911,,                255964,,                134569,,                              0,,,                 84053,,                188452,                272505,                989949,,,                 70640,                 70640,                 70640,              1060589,,,,                963233,                963233,,,                220779,                 18128,                238907,,                 19476,                119768,,                 81273,                220517,,,                 11616,                 11616,              1434273,              1434273,,                              0,                              0,,                              0,,,
5906,2013年06月30日,,,,,,                  1162,,                308712,,                 10020,,              1305348,,                127930,              2013639,,,                342437,,                 59239,                 29243,,                 44292,,,                 24441,,                 22773,                 91506,                522425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                260467,              2536064,,,,                279282,,                117882,,                146304,,,,,                 93695,,                 14668,                108363,                651831,,,                 74278,                 74278,                250288,                902119,,,,                963233,                963233,,,                220779,                 17921,                238700,,                 19476,                119768,,                263125,                402369,,,                 29643,                 29643,              1633945,              1633945,,,,,                176010,,,
5906,2013年03月31日,,,,,,                    572,,                398080,,                  6382,,              1351000,,                117201,              2531665,,,                338118,,                 58301,                 14522,,                 44791,,,                 24159,,                 25631,                 94581,                505522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                658430,              3037187,,,,                506599,,                222451,,                170159,,,,,                 71487,,                  9605,                 81092,                980301,,,                 71284,                 71284,                253788,              1234089,,,,                963233,                963233,,,                220779,                 17683,                238462,,                 19476,                119768,,                461261,                600505,,,                    898,                    898,              1803098,              1803098,,,,,                182504,,,
