證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債務工具投資－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 共同控制下前手權益,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 避險之衍生金融資產－流動,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　　 避險之衍生金融負債－流動,　　　　　 法定盈餘公積,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　　　 當期所得稅資產合計,　　　 透過損益按公允價值衡量之金融資產－非流動,　　　　 透過損益按公允價值衡量之金融資產－非流動合計,　　　　 無活絡市場之債券投資－非流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 避險之衍生金融負債－流動,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 共同控制下前手權益,　　 非控制權益,　　 權益總額,　　　 與待出售非流動資產直接相關之負債
2312,2015年09月30日,,,,              3986590,,                310003,,                216798,,                150000,,                 39383,,              4914520,,              4833461,,                129520,,                262955,,                 14031,,              5291121,,                242246,,                274590,             20665218,,,              3942061,,                 39585,,                450000,,             10742939,,              6797960,,                              0,,                 43429,              2350667,,                590751,             24957392,             45622610,,,,,              6370511,,              1398612,,                308447,,                  2364,,              7062421,,                618319,,              1130462,                 24782,                116295,,                 21157,,              4621155,             21674525,,,              4428140,,              1889461,,                537735,              6855336,             28529861,,,,             14581132,             14581132,,                352651,,                255058,,              1096650,              1351708,,              1514736,              1204654,             16595573,                              0,                497176,             17092749,             45622610,              0,              0,     80679408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2312,2015年06月30日,,,,              4687519,,                401267,,                325726,,                150000,,                 43520,,              4508399,,              5633081,,                201454,,                739181,,                  8829,,              4881595,,                286875,,                396331,             22263777,,,              3443748,,              1071361,,                450000,,             10884915,,              6138354,,                461347,,                 48206,              2433363,,                527844,             25459138,             47722915,,,,,              7892843,,              1412644,,                400046,,                  2908,,              7009288,,                840071,,              1187028,                 12673,                 82784,,                 21345,,              4432921,             23294551,,,              4362216,,              1816064,,                541125,              6719405,             30013956,,,,             14581132,             14581132,,                389759,,                255058,,                937529,              1192587,,              2139315,              1097703,             17205090,                              0,                503869,             17708959,             47722915,              0,              0,     69586408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2312,2015年03月31日,,,,              3166678,,                249075,,                331013,,                150000,,                 60177,,              7647022,,              4881875,,                127451,,                112836,,                 22002,,              5297599,,                329939,,              1353775,             23729442,,,              4071517,,              1072527,,                600000,,             11275427,,              6161076,,                464771,,                 51163,              2340935,,                601682,             26639098,             50368540,,,,,              7019823,,              1431442,,                253070,,                  4352,,              7245673,,              2118593,,              1041135,                 51374,                 42411,,                 21134,,              4233036,             23462043,,,              6428282,,              1806635,,                564483,              8799400,             32261443,,,,             14581132,             14581132,,                408544,,                255058,,                356988,                612046,,              3143627,              1161724,             17583625,                              0,                523472,             18107097,             50368540,              0,              0,     74082408,                              0,,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2312,2014年12月31日,,,,              1486366,,                116058,,                325726,,                150000,,                 44360,,             12817458,,              6478386,,                157875,,                199691,,                 16709,,              5248069,,                288481,,                252772,             27581951,,,              3485794,,              1072527,,                600000,,             11159108,,              6108022,,                448805,,                 45695,              2335794,,                699173,             25954918,             53536869,,,,,              5391176,,              1293281,,                130790,,                 11381,,              8684717,,              6722434,,              1338568,                 24197,                117671,,                 21253,,              3957387,             27692855,,,              6226234,,              1804737,,                549650,              8580621,             36273476,,,,             14581132,             14581132,,                415721,,                255058,,                -72212,                182846,,              2697760,              1161724,             16715735,                              0,                547658,             17263393,             53536869,              0,              0,     74082408,                              0,,                              0,                              0,                              0,              1486366,                150000,                 16709,,                              0,                600000,             53536869,,,,              5391176,,              1293281,,                130790,                              0,,                 11381,,              8684717,,              6722434,,              1338568,                 24197,                117671,,                 21253,,              3957387,             27692855,,,              6226234,,              1804737,,                549650,              8580621,             36273476,,,,             14581132,             14581132,,                415721,,                              0,                255058,,                -72212,                182846,,              2697760,              1161724,             16715735,                              0,                547658,             17263393,
2312,2014年09月30日,,,,              2395614,,                 15454,,                283126,,                150000,,                 49647,,              7672033,,              4629203,,                 42560,,                163712,,                 95596,,              4262265,,                305385,,                788333,             20852928,,,              3571631,,              1072527,,                600000,,             10624722,,              5581075,,                460762,,                 97545,              2308320,,                578340,             24894922,             45747850,,,,,              4916658,,              1092940,,                  5909,,                  2052,,              6730018,,              2022331,,              1035476,                 20874,                 91788,,                 18166,,              3765209,             19701421,,,              7468309,,              1584998,,                604888,              9658195,             29359616,,,,             14582332,             14582332,,                422841,,                255058,,               -554487,               -299429,,              2308153,              1162924,             15850973,                              0,                537261,             16388234,             45747850,              0,              0,     74202408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2312,2014年06月30日,,,,              1549059,,                187506,,                332678,,                              0,,                 34971,,              9638099,,              3419823,,                 78427,,                468611,,                  8703,,              4287879,,                389277,,              3321270,             23716303,,,              3689478,,              1074147,,                750000,,             10479093,,              5496447,,                502496,,                100084,              2390491,,                217706,             24699942,             48416245,,,,,              7989602,,              1435154,,                187461,,                 26599,,              7402710,,                977616,,                936175,                 25887,                346414,,                 17823,,              3653119,             22998560,,,              7388723,,              1535295,,                602797,              9526815,             32525375,,,,             14582332,             14582332,,                418548,,                255058,,             -1121372,               -866314,,              2312912,              1162924,             15284554,                              0,                606316,             15890870,             48416245,              0,              0,     74202408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2312,2014年03月31日,,,,              3454387,,                 86410,,                321160,,                745000,,                 16223,,              8309421,,              2315888,,                 71887,,                 71656,,                  4574,,              4972494,,                331342,,              3947591,             25659931,,,              3398967,,                 98177,,                              0,,             10320036,,              5142547,,                761897,,                 99720,              2441912,,                202741,             22465997,             48125928,,,,,             10627625,,              1434281,,                 84845,,                  7082,,              6449719,,                381467,,                861418,                 36135,                358743,,                 17229,,              1926126,             22204345,,,              8947680,,              1516764,,                602370,             11066814,             33271159,,,,             14582332,             14582332,,                775052,,                255058,,             -3655460,             -1835115,,              2232164,              1536036,             14218397,                              0,                636372,             14854769,             48125928,              0,              0,    114202408,                 18993,,                992905,                 19675,              1565287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2312,2013年12月31日,,,,,,                164339,,                341660,,,,                  8263,,              6896586,,                994474,,                176074,,                 73854,,,,              3835745,,                264821,,              3747169,             20778623,,,              3571412,,                 98177,,,,              9849122,,              4956817,,                755728,,                 95285,              2310037,,                676315,             22312893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,    114202408,                 47691,,              1000001,,,              2478368,                745000,                  4578,,                              0,                              0,             43091516,,,,              6825994,,              1433395,,                164105,                 46332,,                  2537,,              5790745,,                513107,,                801277,                110609,                404793,,                 17504,,              1957521,             18067919,,,              8860376,,              1420611,,                602935,             10883922,             28951841,,,,             14582332,             14582332,,                692375,,              1565287,                255058,,             -4156297,             -2335952,,              2088123,              1536036,             13490842,                              0,                648833,             14139675,                              0
2312,2013年09月30日,,,,,,                 77262,,                427507,,,,                 16961,,              6259277,,                921563,,                273369,,                 61177,,,,              2521817,,                218901,,              1986579,             15981122,,,              3384806,,                136901,,,,             10119643,,              4817426,,                825345,,                103614,              2263757,,                179167,             22575659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,    144082408,                 72162,,                              0,,,              3139347,                              0,                  5200,,                              0,                745000,             38556781,,,,              3727454,,                834382,,                 75026,                 31807,,                 12896,,              4566590,,                366309,,                695320,                 22583,                378921,,                 16747,,                183542,             13964112,,,              8849486,,              1478434,,                631739,             10959659,             24923771,,,,             14582332,             14582332,,                680994,,              1565287,                255058,,             -4084683,             -2264338,,              1974896,              1763787,             13210097,                              0,                422913,             13633010,              3052535
2312,2013年06月30日,,,,,,                 17707,,                449355,,,,                  6217,,              9325619,,              1014995,,                140047,,                403442,,,,              2924873,,                346635,,              1567261,             18244045,,,              2518801,,                138901,,,,             12203964,,              4928672,,                806759,,                107166,              1614756,,                219457,             23310743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,    144082408,                 83413,,                              0,,,              1960501,                              0,                  3980,,                 27267,                745000,             41554788,,,,              4180870,,              1099716,,                 18141,                              0,,                 12838,,              6104525,,                474739,,              1038317,                 31258,                 79767,,                 16990,,                147940,             13205101,,,              8920010,,              1502421,,                635782,             11058213,             24263314,,,,             14582332,             14582332,,                589407,,              1565287,                255058,,                582446,              2402791,,              1165717,              1763787,             16976460,                              0,                315014,             17291474,
