證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 其他非流動資產,　　　　 存出保證金,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益－其他,　　　　　　 其他權益－其他合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 共同控制下前手權益,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　　 其他權益－員工未賺得酬勞,　　 待註銷股本股數,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　　 與待出售非流動資產直接相關之負債,　　　　　 法定盈餘公積,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　　 遞延所得稅資產,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　 共同控制下前手權益,　　 非控制權益,　　　　 待分配股票股利,　　　 與待出售非流動資產直接相關之負債,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計
3419,2015年09月30日,,,,                504045,,                 85404,,                              0,,                101088,,                890238,,                  1728,,                210600,,                 28499,              1821602,,,                277190,,                580380,,                 27326,,                 11223,,                  2094,                 53135,,                 10064,                 65293,                961412,              2783014,,,,,                394833,,                  3562,,                430775,                              0,,,                 33973,                122100,                156073,                985243,,,                 42467,,                  1441,,                 11890,                     71,                 11961,                 55869,              1041112,,,,              1207424,              1207424,,                375127,,                104610,,                -51211,                 53399,,,                116544,,                -10592,                105952,                              0,              1741902,                              0,                              0,              1741902,              2783014,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3419,2015年06月30日,,,,                419592,,                 37468,,                 74595,,                 62389,,                794465,,                 97365,,                224627,,                 24322,              1734823,,,                253214,,                586408,,,,                 13235,,                  1042,                 51371,,                  8059,                 60472,                913329,              2648152,,,,,                397523,,                  3785,,                352761,                              0,,,                 33973,                130208,                164181,                918250,,,                 50961,,                  1441,,                 12018,                     68,                 12086,                 64488,                982738,,,,              1239154,              1239154,,                381247,,                104610,,                -56873,                 47737,,,                 43591,,                -13749,                 29842,                 32566,              1665414,,,              1665414,              2648152,              0,      2736000,                -13749,         60000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3419,2015年03月31日,,,,                546648,,                 10160,,                 75660,,                 62974,,                826963,,                 96384,,                283564,,                 27717,              1930070,,,                256321,,                611473,,,,                 15276,,                    142,                 52427,,                  4045,                 56614,                939684,              2869754,,,,,                404350,,                  1785,,                451525,                  2861,,,                 33973,                149454,                183427,              1043948,,,                 59454,,                  1441,,                 12147,                     70,                 12217,                 73112,              1117060,,,,              1239754,              1239754,,                419144,,                104610,,                -45307,                 59303,,,                 51538,,                -17045,                 34493,                              0,              1752694,,,              1752694,              2869754,              0,              0,,              0,,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3419,2014年12月31日,,,,                409550,,                 66164,,                124245,,                 18465,,                908254,,                 92759,,                302030,,                 38621,              1960088,,,                260668,,                628706,,                              0,,                  9368,,                    153,                 53252,,                  3725,                 57130,                955872,              2915960,,,,,                314040,,                  2649,,                555146,                  2892,,,                 33973,                156426,                190399,              1065126,,,                 67947,,                  1441,,                 12271,                     70,                 12341,                 81729,              1146855,,,,              1240794,              1240794,,                419279,,                104610,,                -37534,                 67076,,,                 63310,,                -20179,                 43131,                  1175,              1769105,                              0,                              0,              1769105,              2915960,              0,        104000,                -20179,              0,,                              0,                              0,                              0,                409550,                124245,                              0,              2915960,,,,                314040,,                  2649,,                555146,                  2892,,,                 33973,                156426,                190399,              1065126,,,                 67947,,                  1441,,                 12271,                     70,                 12341,                 81729,              1146855,,,,              1240794,              1240794,,                419279,,                              0,                104610,,                -37534,                 67076,,                 43131,                  1175,              1769105,              1769105,,,,,,,,,,
3419,2014年09月30日,,,,                424382,,                  9842,,                139386,,                 10173,,                908349,,                 91414,,                271795,,                 41870,              1897211,,,                269651,,                626286,,                              0,,                 11123,,                    160,                 51916,,                  5409,                 57485,                964545,              2861756,,,,,                334175,,                  2618,,                522756,                  2705,,,                 33973,                145778,                179751,              1042005,,,                 76440,,                    585,,                 12015,                     68,                 12083,                 89108,              1131113,,,,              1240894,              1240894,,                419340,,                104610,,                -36790,                 67820,,,                 27377,,                -24788,                  2589,                              0,              1730643,                              0,                              0,              1730643,              2861756,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3419,2014年06月30日,,,,                609720,,                              0,,                136777,,                 70285,,                772980,,                    440,,                244357,,                 20161,              1854720,,,                278999,,                622473,,,,                 11975,,                  2158,                 50929,,                  4664,                 57751,                971198,              2825918,,,,,                369496,,                  3162,,                480290,                  2660,,,                 33973,                129140,                163113,              1018721,,,                 84933,,                    585,,                 12147,                     66,                 12213,                 97731,              1116452,,,,              1241094,              1241094,,                419461,,                104610,,                -26836,                 77774,,,                  1469,,                -30332,                -28863,                              0,              1709466,,,              1709466,              2825918,              0,              0,                -30332,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3419,2014年03月31日,,,,                503596,,                              0,,                204061,,                 26099,,                722865,,                  2231,,                278550,,                 73718,              2428316,,,                              0,,                633630,,,,                 13264,,                  2159,                 52185,,                  3005,                 57349,                704243,              3132559,,,,,                436867,,                  1943,,                433437,                  2711,,,                 33973,                103159,                137132,              1338289,,,                 93427,,                    585,,                 12282,                    149,                 12431,                106443,              1444732,,,,              1189094,              1189094,,                479689,,                104610,,               -152411,                -11039,,,                 30083,,                              0,                 30083,                              0,              1687827,,,              1687827,              3132559,              0,              0,,              0,,                617196,                326199,                 36762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3419,2013年12月31日,,,,,,                              0,,,,                 38306,,                908258,,                 17018,,                476173,,                 90351,              2232642,,,                              0,,                809814,,,,                 55763,,                  2034,                 52703,,                  6650,                 61387,                927156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,              0,,,,,                628431,                 74105,                    192,              3159798,,,,                481346,,                 16485,,                618789,                  3605,,,                 27148,                167965,                195113,              1315338,,,                119429,,                    585,,                 12409,                    133,                 12542,                132556,              1447894,,,,              1189094,              1189094,,                479689,,                 36762,                104610,,               -128450,                 12922,,                 30199,                              0,              1711904,              1711904,,,,,,,,,,
3419,2013年09月30日,,,,,,                              0,,,,                 28480,,                882478,,,,                424618,,                 70601,              2031491,,,                              0,,                810074,,,,                 55100,,                    927,                 52091,,                  6596,                 59614,                927899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,              0,,,,,                618221,                              0,                  3111,              2959390,,,,                388083,,                              0,,                549364,                  2632,,,                169604,                164129,                333733,              1273812,,,                 43146,,                              0,,                 11225,                    130,                 11355,                 54501,              1328313,,,,              1150999,              1150999,,                451385,,                 36762,                104610,,               -120198,                 21174,,                  7519,,              1631077,              1631077,,                  7093,                              0,                              0,,,,,,
3419,2013年06月30日,,,,,,,,,,                 30819,,                967977,,,,                454203,,                 62218,              2214024,,,                              0,,                820881,,,,                 54890,,                    861,                 52996,,                 11158,                 65015,                943897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,              0,,,,,                698807,                              0,                  3111,              3157921,,,,                454813,,                    995,,                622566,                  2899,,,                173710,                179695,                353405,              1434678,,,                 47443,,                              0,,                 11369,                    170,                 11539,                 58982,              1493660,,,,              1074187,              1145778,,                447542,,                 36762,                104610,,                -92230,                 49142,,                 21799,,              1664261,              1664261,,,                              0,                              0,                 71591,,,,,
