證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積－實際取得或處分子公司股權價格與帳面價值差額,　　　　　 資本公積－認列對子公司所有權權益變動數,　　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　　 資本公積－合併溢額,　　　　　 資本公積－認股權,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－庫藏股票交易,　　　　 資本公積－實際取得或處分子公司股權價格與帳面價值差額,　　　　 資本公積－認列對子公司所有權權益變動數,　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　 資本公積－合併溢額,　　　　 資本公積－認股權,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 長期借款,　　　　 長期借款合計,　　　　 資本公積－取得或處分子公司股權價格與帳面價值差額
2338,2015年09月30日,,,,                373056,,                458782,,                451570,,                 15087,,                390820,,                  5488,,                              0,,                375894,,                 87485,,                  6503,              2164685,,,                437980,,              1141779,,                 40486,                 28541,,                115112,              1763898,              3928583,,,,,                  1790,,                 58471,,                167371,                 11151,,                  3451,,                 39742,                281976,,,                  2578,,                 40747,                 43325,                325301,,,,              2627136,              2627136,,,                 13033,                125267,                              0,                              0,                              0,                 21658,                              0,                159958,,                836950,                 14287,,                -52778,                798459,,,                  3320,,                -16225,                -12905,                307369,              3265279,                338003,              3603282,              3928583,              0,              0,     48337568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2338,2015年06月30日,,,,                357020,,                554127,,                449560,,                 10871,,                425331,,                  5087,,                              0,,                379410,,                 76377,,                  5251,              2263034,,,                425767,,              1192168,,                 41588,                 28696,,                 89389,              1777608,              4040642,,,,,                  3889,,                 72427,,                280048,                 13476,,                  2833,,                 42389,                415062,,,                    993,,                 40507,                 41500,                456562,,,,              2627136,              2627136,,,                 13907,                116312,                   -873,                              0,                              0,                 21658,                              0,                151004,,                836950,                 14287,,                -89228,                762009,,,                  3334,,                -23978,                -20644,                270665,              3248840,                335240,              3584080,              4040642,              0,              0,     17908000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2338,2015年03月31日,,,,                391778,,                503103,,                466000,,                 13864,,                387058,,                 12702,,                              0,,                402747,,                 91567,,                  4875,              2273694,,,                434480,,              1307291,,                 42305,                 29249,,                 86678,              1900003,              4173697,,,,,                  5186,,                 80253,,                105267,                 17884,,                  2657,,                 47436,                258683,,,                  1790,,                 40646,                 42436,                301119,,,,              2627136,              2627136,,,                 84839,                116312,                   -883,                              0,                              0,                 21658,                              0,                221926,,                830923,                 14757,,                 54687,                900367,,,                  3329,,                -22501,                -19172,                270665,              3459592,                412986,              3872578,              4173697,              0,              0,     17908000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2338,2014年12月31日,,,,                401028,,                468631,,                442700,,                 21530,,                384339,,                 24101,,                              0,,                431711,,                 84658,,                  7397,              2266095,,,                439270,,              1330605,,                 43254,                 28920,,                114843,              1956892,              4222987,,,,,                  6054,,                119272,,                100557,                 13094,,                  2398,,                 55659,                297034,,,                  1875,,                 40465,                 42340,                339374,,,,              2627136,              2627136,,,                 86664,                106183,                              0,                              0,                              0,                 21658,                 -2708,                211797,,                830923,                 14757,,                 49215,                894895,,,                  3320,,                -17607,                -14287,                270665,              3448876,                434737,              3883613,              4222987,              0,              0,     43592568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2338,2014年09月30日,,,,                357102,,                472996,,                470868,,                 25217,,                366452,,                 13917,,                              0,,                438880,,                107147,,                  2034,              2254613,,,                443969,,              1356312,,                 25751,                 25536,,                126116,              1977684,              4232297,,,,,                  1579,,                107742,,                106387,                  7941,,                  1559,,                 55760,                280968,,,                    712,,                 46245,                 46957,                327925,,,,              2627136,              2627136,,,                 85096,                106183,                              0,                  1567,                              0,                 21658,                              0,                214504,,                830923,                 14757,,                 44612,                890292,,,                  3721,,                -13822,                -10101,                270665,              3451166,                453206,              3904372,              4232297,              0,              0,     43592568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2338,2014年06月30日,,,,                434825,,                431587,,                508146,,                 32076,,                376573,,                 13656,,                              0,,                436043,,                104592,,                  3778,              2341276,,,                483904,,              1414718,,                 26641,                 32142,,                121903,              2079308,              4420584,,,,,                  1295,,                118614,,                297167,                  8299,,                  2364,,                 49521,                477260,,,                    323,,                 46179,                 46502,                523762,,,,              2627136,              2627136,,,                 84839,                 95438,                    257,                              0,                              0,                 21658,                              0,                202192,,                830923,                 14757,,                 39206,                884886,,,                  3775,,                   -886,                  2889,                270665,              3446438,                450384,              3896822,              4420584,              0,              0,     17908000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2338,2014年03月31日,,,,                442102,,                355040,,                535588,,                 22067,,                401940,,                 13741,,                              0,,                419221,,                104004,,                  7365,              2301068,,,                447471,,              1337260,,                 26280,                 28036,,                240228,              2079275,              4380343,,,,,                  2031,,                102367,,                147999,                  4571,,                  1797,,                 59672,                318437,,,                    323,,                 46051,                 46374,                364811,,,,              2627136,              2627136,,,                216196,                 95438,                    258,                              0,                              0,                 21658,                              0,                333550,,                828662,                 23151,,                 46439,                898252,,,                  3663,,                -26204,                -22541,                270665,              3565732,                449800,              4015532,              4380343,              0,              0,     17908000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2338,2013年12月31日,,,,,,                390698,,,,                 13743,,                398466,,                 18931,,                     18,,                399449,,                 82278,,                  2976,              2220554,,,                461455,,              1405811,,                 25719,                 26013,,                232456,              2151454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     17049000,                361757,                552238,              4372008,,,,                    350,,                 90224,,                141688,                     23,,                  1721,,                101710,                335716,,,                    323,,                 46030,                 46353,                382069,,,,              2627136,              2627136,,,                216196,                 90116,                   -881,                              0,                              0,                 21658,                              0,                327089,,                828662,                 23151,,                 22608,                874421,,,                  3058,,                -17815,                -14757,                270665,              3543224,                446715,              3989939,,                              0,
2338,2013年09月30日,,,,,,                409840,,,,                 23470,,                400108,,                  3471,,                              0,,                366014,,                 88937,,                  3956,              2217570,,,                502077,,              1417341,,                 25161,                 21511,,                234258,              2200348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     17794000,                369638,                552136,              4417918,,,,                    917,,                 86120,,                177719,                  4094,,                  1437,,                149899,                420186,,,                              0,,                 53202,                 53202,                473388,,,,              2627136,              2627136,,,                216196,                 90116,                    290,                              0,                              0,                 21658,,                328260,,                828662,                 23151,,                -18782,                833031,,,                 -2150,,                -20706,                -22856,                268249,              3497322,                447208,              3944530,,                              0,
2338,2013年06月30日,,,,,,                604904,,,,                 25739,,                431364,,                  1784,,                              0,,                343025,,                 82462,,                  9873,              2361795,,,                496384,,              1470748,,                 26204,                 22206,,                210711,              2226253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     17049000,                310323,                552321,              4588048,,,,                  1707,,                 76454,,                321517,                  3387,,                              0,,                195195,                598260,,,                    323,,                 52967,                 53290,                651550,,,,              2627136,              2627136,,,                216970,                 83808,                    481,,                              0,                 21658,                              0,                322917,,                828662,                 23151,,                -20848,                830965,,,                 -1976,,                -15347,                -17323,                265375,              3498320,                438178,              3936498,,                              0,
