證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 電腦軟體淨額,　　　　　 電腦軟體淨額,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 負債準備-非流動,　　　　　 負債準備－非流動合計,　　　　 其他非流動負債,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　 其他非流動負債,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　 長期借款,　　　　 長期借款合計
3669,2015年09月30日,,,,                739211,,                 50058,,                  2821,,                215563,,                  6951,,,                206001,                206001,,                 26355,              1246960,,,              1372699,,                 72532,,,                  4233,                  4233,                 39342,,                  9494,              1498300,              2745260,,,,,                  2782,,                193646,,                140744,                    141,,                  1477,,                  3829,                  3829,                342619,,,                 13832,,                  5820,                  5820,                 19652,                362271,,,,                982370,                982370,,                779930,,                194268,                 13588,,                494835,                702691,,                 18537,                100539,              2382989,              2382989,              2745260,              0,              0,      5455000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3669,2015年06月30日,,,,                809858,,                    352,,                  3307,,                134419,,                  6512,,,                234998,                234998,,                 24742,              1214188,,,              1387622,,                 72744,,,                  4244,                  4244,                 38468,,                 11489,              1514567,              2728755,,,,,                    224,,                163302,,                177500,                    248,,                  1309,,                  4833,                  4833,                347416,,,                 13402,,                  5705,                  5705,                 19107,                366523,,,,                982370,                982370,,                779930,,                194268,                 13588,,                475779,                683635,,                  2527,                 86230,              2362232,              2362232,              2728755,              0,              0,      4717000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3669,2015年03月31日,,,,                817025,,                 52422,,                  1903,,                129899,,                  7965,,,                248527,                248527,,                 23744,              1281485,,,              1400262,,                 72955,,,                  5751,                  5751,                 39058,,                 12591,              1530617,              2812102,,,,,                     14,,                175060,,                130667,                  7377,,                  1168,,                  3665,                  3665,                317951,,,                 12464,,                  5891,                  5891,                 18355,                336306,,,,                982370,                982370,,                779930,,                192167,                 25373,,                504050,                721590,,                  7508,                 15602,              2475796,              2475796,              2812102,              0,              0,        755000,,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3669,2014年12月31日,,,,                928486,,                 51285,,                  4987,,                142390,,                  7363,,,                223472,                223472,,                 19849,              1377832,,,              1416466,,                 73167,,,                  7387,                  7387,                 38079,,                 14972,              1550071,              2927903,,,,,                    181,,                205020,,                174623,                  9818,,                  1399,,                  4751,                  4751,                395792,,,                 11835,,                  6100,                  6100,                 17935,                413727,,,,                982370,                982370,,                779930,,                192167,                 25373,,                542508,                760048,,                  7430,                 15602,              2514176,              2514176,              2927903,              0,              0,        755000,,                              0,                              0,                928486,              2927903,,,,                    181,,                205020,,                174623,                  9818,,                  1399,,,                              0,                              0,                  4751,                  4751,                395792,,,                 11835,,                  6100,                  6100,                 17935,                413727,,,,                982370,                982370,,                779930,,                192167,                 25373,,                542508,                760048,,                  7430,                 15602,              2514176,              2514176,,
3669,2014年09月30日,,,,                869070,,                 52309,,                  4100,,                259089,,                 11893,,,                190863,                190863,,                 22178,              1409502,,,              1428544,,                 73378,,,                  6542,                  6542,                 35549,,                 15172,              1559185,              2968687,,,,,                    313,,                222567,,                175448,                 13402,,                  1642,,                 16763,                 16763,                430135,,,                 10841,,                  5858,                  5858,                 16699,                446834,,,,                982370,                982370,,                779912,,                192167,                 25373,,                573303,                790843,,                 -5308,                 25964,              2521853,              2521853,              2968687,              0,              0,      1255000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3669,2014年06月30日,,,,                812999,,                 50930,,                  3616,,                243376,,                 10143,,,                215364,                215364,,                 20946,              1357374,,,              1443825,,                 73590,,,                  5487,                  5487,                 33765,,                 15864,              1572531,              2929905,,,,,                    111,,                230086,,                166952,                  9162,,                  2009,,                  5549,                  5549,                413869,,,                 10010,,                  5733,                  5733,                 15743,                429612,,,,                982370,                982370,,                776642,,                192167,                 25373,,                560522,                778062,,                -10817,                 25964,              2500293,              2500293,              2929905,              0,              0,      1255000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3669,2014年03月31日,,,,                782575,,                 50623,,                  1693,,                149519,,                  9712,,,                191176,                191176,,                 14191,              1199489,,,              1464971,,                 73801,,,                  7850,                  7850,                 34624,,                 17500,              1598746,              2798235,,,,,                    781,,                151728,,                126278,                  6772,,                  1805,,                  5455,                  5455,                292819,,,                  9229,,                  5781,                  5781,                 15010,                307829,,,,                982370,                982370,,                776642,,                192167,                 30107,,                539824,                762098,,                 -4740,                 25964,              2490406,              2490406,              2798235,              0,              0,      1255000,,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3669,2013年12月31日,,,,,,                 50989,,                  4593,,                151054,,                  9059,,,                206120,                206120,,                 12747,              1250069,,,              1482353,,                 74013,,,                 10225,                 10225,                 33986,,                 18731,              1619308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      1255000,,,,                815507,              2869377,,,,                    324,,                195870,,                165653,                  5517,,                  1528,,,                              0,                              0,                  5898,                  5898,                374790,,,                  9417,,                  5473,                  5473,                 14890,                389680,,,,                982370,                982370,,                776642,,                192167,                 30107,,                536160,                758434,,                -11785,                 25964,              2479697,              2479697,,
3669,2013年09月30日,,,,,,                 50533,,                  2604,,                192844,,                  7104,,,                175221,                175221,,                 25205,              1435870,,,              1475456,,                 74224,,,                 12611,                 12611,                 47613,,                 19114,              1629018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      1255000,,,,                982359,              3064888,,,,                    378,,                178243,,                149786,                  4260,,                  1583,,,                200000,                200000,                  5829,                205829,                540079,,,                  8755,,                    987,                    987,                  9742,                549821,,,,                982370,                982370,,                776642,,                192167,                 30107,,                571669,                793943,,                -11924,                 25964,              2515067,              2515067,,
3669,2013年06月30日,,,,,,                 50628,,                  4347,,                176809,,                  8035,,,                155739,                155739,,                 34822,              1459113,,,              1478268,,                 74436,,,                 11395,                 11395,                 65170,,                 19984,              1649253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      1255000,,,,              1028733,              3108366,,,,                    684,,                166590,,                191755,                  4283,,                  1498,,,                200000,                200000,                  6107,                206107,                570917,,,                  8614,,                  1133,                  1133,                  9747,                580664,,,,                982370,                982370,,                776642,,                192167,                 30107,,                580034,                802308,,                 -7654,                 25964,              2527702,              2527702,,
