證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 電腦軟體淨額,　　　　　 電腦軟體淨額,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收建造合約款,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　 待註銷股本股數,　　 非流動負債,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　 避險之衍生金融負債－非流動,　　　 按攤銷後成本衡量之金融負債－非流動,　　　 以成本衡量之金融負債－非流動,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　　 存入保證金,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動,　　　　 累計減損－以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計
5484,2015年09月30日,,,,                266389,,                  1209,,                341223,,                 30685,,                417807,,                 42557,              1099870,,,                262305,,,                    890,                    890,                 55122,,,                 27707,                 27707,                346024,              1445894,,,,,                106289,,                     58,,                              0,,                187444,,                 88305,                 88305,                              0,,                 14939,,                 22396,                 22396,                419431,                419431,,,,              1155079,              1155079,,                  8284,,                227766,                 11404,,               -407174,               -168004,,                 31104,                              0,              1026463,                              0,              1026463,              1445894,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5484,2015年06月30日,,,,                224059,,                    279,,                337111,,                 32312,,                494628,,                 45056,              1133445,,,                261362,,,                  1224,                  1224,                 55545,,,                 28786,                 28786,                346917,              1480362,,,,,                105176,,                      3,,                              0,,                198673,,                 86769,                 86769,                              0,,                 12036,,                 32174,                 32174,                434831,                434831,,,,              1155079,              1155079,,                  8284,,                227766,                 11404,,               -378407,               -139237,,                 21405,                              0,              1045531,                              0,              1045531,              1480362,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5484,2015年03月31日,,,,                248787,,                    605,,                322936,,                 33887,,                511214,,                 51170,              1172183,,,                262986,,,                  1558,                  1558,                 71206,,,                 28758,                 28758,                364508,              1536691,,,,,                 80336,,                              0,,                    284,,                233223,,                 80257,                 80257,                     86,,                 12223,,                 30088,                 30088,                436497,                436497,,,,              1185079,              1185079,,                  8499,,                227766,                 11404,,               -320353,                -81183,,                 23882,                 36083,              1100194,                              0,              1100194,              1536691,              0,      3000000,,                     53,                  3531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5484,2014年12月31日,,,,                267505,,                    382,,                376258,,                 21965,,                480308,,                 45530,              1191948,,,                267860,,,                  1928,                  1928,                 55593,,,                 29200,                 29200,                354581,              1546529,,,,,                 62421,,                     29,,                    277,,                199991,,                 97924,                 97924,                     47,,                 16231,,                 16456,                 16456,                393376,                393376,,,,              1185079,              1185079,,                  8499,,                227766,                 11404,,               -265732,                -26562,,                 26510,                 36083,              1157443,                 -4290,              1153153,              1546529,              0,      3000000,,                              0,                              0,                267505,              1546529,,,,                 62421,,                     29,,                    277,,                199991,,                 97924,                 97924,                     47,,                 16231,,                 16456,                 16456,                393376,                393376,,,,              1185079,              1185079,,                  8499,,                227766,                 11404,,               -265732,                -26562,,                 26510,                 36083,              1157443,                 -4290,              1153153,              0,,,,,,,,,,,,,,,,,,,,,,,,,,
5484,2014年09月30日,,,,                221599,,                    845,,                465228,,                 25532,,                561167,,                 51115,              1325486,,,                270005,,,                  2312,                  2312,                 53678,,,                 30538,                 30538,                356533,              1682019,,,,,                 97694,,                      7,,                              0,,                256098,,                 99154,                 99154,                    278,,                 15573,,                 13633,                 13633,                482437,                482437,,,,              1185079,              1185079,,                  8499,,                227766,                 11404,,               -207875,                 31295,,                 12640,                 36083,              1201430,                 -1848,              1199582,              1682019,              0,      3000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5484,2014年06月30日,,,,                200153,,                    936,,                445426,,                 56193,,                623378,,                 52324,              1378567,,,                274003,,,                  2696,                  2696,                 52127,,,                 30056,                 30056,                358882,              1737449,,,,,                134835,,                              0,,                              0,,                270155,,                101662,                101662,                  1484,,                 12171,,                 13284,                 13284,                533591,                533591,,,,              1185079,              1185079,,                  8499,,                227766,                 11404,,               -195685,                 43485,,                  4586,                 36083,              1205566,                 -1708,              1203858,              1737449,              0,      3000000,,                    157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5484,2014年03月31日,,,,                235473,,                  1677,,                476394,,                 54935,,                608952,,                 49770,              1427201,,,                277667,,,                  3080,                  3080,                 54299,,,                 30138,                 30138,                365184,              1792385,,,,,                 90694,,                    544,,                    401,,                314752,,                109971,                109971,                  1203,,                 13721,,                  7057,                  7057,                538343,                538343,,,,              1185079,              1185079,,                  8499,,                227766,                 11404,,               -148704,                 90466,,                  7379,                 36083,              1255340,                 -1298,              1254042,              1792385,              0,      3000000,,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5484,2013年12月31日,,,,,,                  1414,,                452977,,                 16392,,                521741,,                 47564,              1371081,,,                279707,,,                  3464,                  3464,                 52929,,,                 28632,                 28632,                364732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      3000000,,,,                330993,              1735813,,,,                 89108,,                    919,,                     26,,                241229,,                118908,                118908,                  1253,,                 17743,,                 11206,                 11206,                480392,                480392,,,,              1185079,              1185079,,                  8499,,                227766,                 11404,,               -141404,                 97766,,                  1159,                 36083,              1256420,                   -999,              1255421,              0,,,,,,,,,,,,,,,,,,,,,,,,,,
5484,2013年09月30日,,,,,,                    807,,                486273,,                 27763,,                633315,,                 44039,              1505140,,,                281755,,,                  4109,                  4109,                 39124,,,                 27071,                 27071,                352059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      3000000,,                     91,                 16237,                296615,              1857199,,,,                106760,,                              0,,                  2958,,                310429,,,                126304,                  1578,,                 14856,,                 18942,                 18942,                581827,                589703,,,,              1185079,              1185079,,                  8499,,                227766,                 11404,,               -122575,                116595,,                  1660,                 36083,              1275750,                 -8254,              1267496,              0,,,                  7876,                  7876,,,,,,,,,,,,,,,,,,,,,,
5484,2013年06月30日,,,,,,                  1714,,                581793,,                 43378,,                719375,,                 46517,              1650387,,,                283061,,,                  5276,                  5276,                 44114,,,                 26796,                 26796,                359247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      3000000,,                              0,                 16032,                241578,              2009634,,,,                103699,,                    100,,                  6013,,                429310,,                123737,                123737,                  1977,,                 15452,,                 26203,                 26203,                706491,                714367,,,,              1185079,              1185079,,                  8499,,                227766,                 11404,,                -99175,                139995,,                  7065,                 36083,              1304555,                 -9288,              1295267,              0,,,                  7876,                  7876,,                              0,                              0,                              0,                              0,,                              0,,                              0,,                              0,                  7876,,,,,,,,,,
