證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 避險之衍生金融資產－流動,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 預付投資款,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 長期預付租金,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 避險之衍生金融負債－流動,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 應付租賃款－流動,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 長期應付票據及款項,　　　　　　 長期應付票據及款項合計,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 預收股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－普通股股票溢價,　　　　　　 資本公積－轉換公司債轉換溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－員工認股權,　　　　　 資本公積－認股權,　　　　　 資本公積－限制員工權利股票,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 現金及約當現金合計,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　　 當期所得稅資產合計,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 避險之衍生金融負債－流動,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 應付租賃款－流動,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 長期應付票據及款項,　　　　　 長期應付票據及款項合計,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 預收股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－普通股股票溢價,　　　　　 資本公積－轉換公司債轉換溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－員工認股權,　　　　 資本公積－認股權,　　　　 資本公積－限制員工權利股票,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 透過損益按公允價值衡量之金融資產－非流動,　　　　 透過損益按公允價值衡量之金融資產－非流動合計,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券投資－流動淨額
5388,2015年09月30日,,,,              5928551,,                              0,                397655,,              2445025,,              4475247,,                159360,,              5575451,,                  3236,,                229796,             19214321,,,                126452,,                     10,,              3474294,,                311068,                225833,,                 18441,                 30677,                              0,,                162691,                109532,                321341,              4458998,             23673319,,,,,              3337589,,                 16673,                177585,,                118211,,              9876762,,              2552757,                181615,,                 82705,,,                 19910,                 16385,                269751,                306046,             16649943,,,                 48290,,                 81490,,,                146411,                 38897,                  8937,                194245,                324025,             16973968,,,,              2408640,                    738,              2409378,,,                124381,              1325304,              1449685,                 33265,                  6320,                 26312,              1515582,,                617780,                131678,,              1531392,              2280850,,                491553,              6697363,                  1988,              6699351,             23673319,              0,         73771,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5388,2015年06月30日,,,,              5561876,,                    726,                132044,,              2647536,,              4107876,,                241101,,              5158326,,                  3111,,                233941,             18106657,,,                 85499,,                     10,,              3434995,,                196281,                197825,,                 17462,                 20981,,,                162231,                106092,                306766,              4221376,             22328033,,,,,              3688427,,                  5675,                  7169,,                 73029,,              8637162,,              2938616,                172115,,                134290,,,                227647,                 16304,                299383,                543334,             16199817,,,                 19920,,                 38267,,,                149813,                 39291,                  8790,                197894,                256081,             16455898,,,,              2309987,                  1235,              2311222,,,                124381,              1241329,              1365710,                 25466,                  8424,                 26312,              1425912,,                617780,                131678,,              1089578,              1839036,,                292237,              5868407,                  3728,              5872135,             22328033,              0,        123538,              0,,                 20120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5388,2015年03月31日,,,,              5220762,,                  8968,                365656,,              1974573,,              3115380,,                248329,,              4173354,,                  3145,,                200436,             15315761,,,                 71631,,                     10,,              3260786,,                128945,                201719,,                 88417,                 25684,,,                161771,                108032,                383904,              4046995,             19362756,,,,,              3081753,,                              0,                              0,,                 70823,,              6950513,,              1760980,                195997,,                 65093,,,                231659,                 12919,                227933,                472511,             12597670,,,                 19834,,                 78156,,,                153198,                 39678,                 10269,                203145,                301135,             12898805,,,,              2301397,                  8590,              2309987,,,                124381,              1236808,              1361189,                 22851,                  8911,                 26312,              1419263,,                522850,                131678,,              1542822,              2197350,,                532452,              6459052,                  4899,              6463951,             19362756,              0,        858970,              0,,                  5158,                              0,                200436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5388,2014年12月31日,,,,              5223705,,                    320,                 99565,,              1622971,,              2788545,,                331249,,              3629484,,                  3129,,                213979,             13912947,,,                 58802,,                     10,,              3321363,,                131845,                184735,,                 83063,                 24438,                              0,,                161309,                109885,                378695,              4075450,             17988397,,,,,              2541694,,                  1245,                              0,,                              0,,              6573478,,              1687914,                312902,,                 54504,,,                249776,                 12854,                217743,                480373,             11652110,,,                 39134,,                 30633,,,                156566,                 40068,                 10939,                207573,                277340,             11929450,,,,              2292181,                  7442,              2299623,,,                124381,              1204566,              1328947,                 22851,                 12588,                 26312,              1390698,,                522850,                131678,,              1374986,              2029514,,                333022,              6052857,                  6090,              6058947,             17988397,              0,        744142,              0,,                              0,                              0,                213979,              5223705,,                              0,,                              0,,                              0,                              0,,                              0,             17988397,,,,              2541694,,                  1245,                              0,,                              0,,              6573478,,              1687914,                312902,,                 54504,,,                249776,                 12854,                217743,                480373,             11652110,,,                 39134,,                 30633,,,                156566,                 40068,                 10939,                207573,                277340,             11929450,,,,              2292181,                  7442,              2299623,,,                124381,              1204566,              1328947,                 22851,                 12588,                 26312,              1390698,,                522850,                131678,,              1374986,              2029514,,                333022,              6052857,                  6090,              6058947,,,,
5388,2014年09月30日,,,,              4813350,,                 13876,                123293,,              1062508,,              2773391,,                174187,,              3291953,,                  3034,,                186018,             12441610,,,                 56282,,                     10,,              3227198,,                135151,                148472,,                 88338,                 31968,                 24349,,                160809,                107294,                412758,              3979871,             16421481,,,,,              2224986,,                      6,                              0,,                127038,,              5824210,,              1498511,                189368,,                 42236,,,                326408,                 12790,                272354,                611552,             10517907,,,                 39725,,                 37925,,,                159918,                 33895,                  9258,                203071,                280721,             10798628,,,,              2260434,                 18284,              2278718,,,                125261,              1136980,              1262241,                 22851,                 19986,                 26699,              1331777,,                522850,                131678,,              1125804,              1780332,,                232026,              5622853,                              0,              5622853,             16421481,              0,      1828356,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5388,2014年06月30日,,,,              4966127,,                  5738,                 22281,,                985833,,              2494763,,                208711,,              3288027,,                  2951,,                134736,             12109167,,,                 51715,,                     10,,              3221759,,                135551,                143673,,                 71930,                 42035,,,                160347,                105082,                379394,              3932102,             16041269,,,,,              2221261,,                  1419,                    451,,                124122,,              5195294,,              2149579,                229303,,                 33658,,,                212394,                 12727,                282433,                507554,             10462641,,,                230183,,                 18857,,,                163253,                 34284,                  9005,                206542,                455582,             10918223,,,,              2258047,                  1884,              2259931,,,                125261,              1069705,              1194966,                 22851,                 27391,                 26699,              1271907,,                522850,                131678,,                886578,              1541106,,                 50102,              5123046,                              0,              5123046,             16041269,              0,        188388,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5388,2014年03月31日,,,,              3954038,,                    316,                  3807,,              1115679,,              2017094,,                138158,,              3112037,,                  3003,,                130220,             10474352,,,                 49946,,                     10,,              3242238,,                137970,                118974,,                 52400,                 41327,,,                159966,                107698,                361391,              3910529,             14384881,,,,,              1614513,,                  3158,                 17840,,                167059,,              4671464,,              1242331,                207835,,                 46178,,,                211285,                 12664,                264387,                488336,              8458714,,,                243031,,                 15373,,,                166597,                 34669,                  1439,                202705,                461109,              8919823,,,,              2176536,                 80118,              2256654,,,                125262,              1034202,              1159464,                 22851,                 52020,                 26699,              1261034,,                438357,                131678,,              1305746,              1875781,,                 71589,              5465058,                              0,              5465058,             14384881,              0,      8011838,              0,,                              0,                 15007,                115213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5388,2013年12月31日,,,,,,                              0,                     25,,                603742,,              1938315,,                204989,,              2634256,,                  3028,,                160918,              9471368,,,                 41987,,                     10,,              3245122,,                138650,                113967,,                 57455,                 51365,,,                159627,                109344,                377791,              3921531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      5813774,              0,,,                 27279,                133639,              3812508,,                  5653,,                 78035,,                    214,                 29685,,                  4004,             13392899,,,,                986508,,                  1406,                 32816,,                100833,,              4521109,,              1278833,                231209,,                 38631,,,                450920,                 12600,                232159,                695679,              7887024,,,                557029,,                 14707,,,                169925,                 35068,                  1451,                206444,                778180,              8665204,,,,              2052448,                 58138,              2110586,,,                113472,                594976,                708448,                 22851,                 80277,                 41369,                852945,,                438357,                131678,,              1121955,              1691990,,                 72174,              4727695,                              0,              4727695,,,,
5388,2013年09月30日,,,,,,                              0,                    865,,                286392,,              1967935,,                172090,,              2435019,,                  2966,,                172187,              8996191,,,                 40463,,                     10,,              3240744,,                138816,                 93237,,                 47273,                 43605,                              0,,                159254,                107858,                357990,              3877713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,        900220,              0,,,                 27027,                145160,              3882142,,                  8506,,                 38214,,                    210,                 29665,,                  6300,             12873904,,,,              1179922,,                  1996,                 15063,,                156358,,              4213141,,              1082409,                176192,,                 38125,,,                              0,                 12538,                326353,                338891,              7202097,,,              1198533,,                 17210,,,                173236,                 37532,                              0,                210768,              1426511,              8628608,,,,              2040438,                  9002,              2049440,,,                113472,                437844,                551316,                 22851,                 98736,                 41369,                714272,,                438357,                131678,,                898055,              1468090,,                 13520,              4245322,                    -26,              4245296,,                    153,,
5388,2013年06月30日,,,,,,                    644,                 12336,,                210836,,              2297188,,                259467,,              2426551,,                  3003,,                189029,              9923139,,,                 40627,,                     10,,              3302780,,                149630,                 86430,,                 18810,                 31448,,,                158914,                109967,                319139,              3898769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,                 27178,                161851,              4494420,,                              0,,                              0,,                              0,                 29665,,                              0,             13821908,,,,              1558989,,                  2006,                  9154,,                229912,,              4448599,,              1668644,                198303,,                 38034,,,                              0,                 12475,                320053,                332528,              8486169,,,              1222280,,                 16521,,,                176530,                 37949,                              0,                214479,              1453280,              9939449,,,,              1993428,                              0,              1993428,,,                 19452,                413675,                433127,                 22851,                101593,                              0,                557571,,                438357,                131678,,                669840,              1239875,,                 91598,              3882472,                    -13,              3882459,,                    153,,
