證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨－買賣業,　　　　　 存貨－買賣業淨額,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 商譽,　　　　 其他無形資產,　　　　　 其他無形資產淨額,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 長期預付租金,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 待註銷股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 淨確定福利資產-非流動,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　　 預付款項,　　　　 預付款項合計,　　　　 存出保證金,　　　　 預付退休金－非流動,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 特別股股本,　　　　 債券換股權利證書,　　　　 預收股本,　　　　 待分配股票股利,　　　　 特別股轉換普通股權利證書,　　　　 待註銷股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 共同控制下前手權益,　　 非控制權益,　　 權益總額,　　　　 電腦軟體淨額,　　　　　 電腦軟體淨額,　　　　 其他應付款－其他,　　　　 資本公積－發行溢價,　　　　　 資本公積－普通股股票溢價,　　　　　 資本公積－發行溢價合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　　 特別盈餘公積
3593,2015年09月30日,,,,                 88244,,                    282,,                151465,,                 31481,,                  3917,,                              0,,                     85,,,                  9215,,                 70476,                 79691,,                              0,,                 61045,                 92862,                153907,                509072,,,                526980,,                 39381,,                114165,                153546,                132235,,                  2789,,                 22777,                381319,                406885,              1219646,              1728718,,,,,                530150,,                              0,,                116587,,                 18352,,                 41212,                 41212,                    661,                    966,,                  7898,                  7898,                715826,,,                 24069,,                 25131,,                  1087,                  1087,                 50287,                766113,,,,              1127431,                              0,              1127431,,                              0,,                              0,,               -255298,               -255298,,                 90472,                              0,                962605,                962605,              1728718,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3593,2015年06月30日,,,,                 51221,,                  1127,,                145431,,                 37064,,                  6204,,                              0,,                    439,,,                  5323,,                 61060,                 66383,,                 62627,,                 53055,                 92622,                145677,                516173,,,                486059,,                 37877,,                113648,                151525,                123585,,                  2041,,                 14508,                368159,                384708,              1145877,              1662050,,,,,                506816,,                              0,,                102335,,                              0,,                 40309,                 40309,                    231,                    476,,                 32680,                 32680,                682847,,,,,                 15750,,                  1045,                  1045,                 16795,                699642,,,,              1127431,                              0,              1127431,,                              0,,                              0,,               -235278,               -235278,,                 70255,                              0,                962408,                962408,              1662050,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3593,2015年03月31日,,,,                142092,,                              0,,                146814,,                 34556,,                  3932,,                    171,,                    457,,,                  5191,,                 74753,                 79944,,,,,,                 88993,                496959,,,                520652,,                 38432,,                121436,                159868,                132913,,,,                 16679,                375646,                392325,              1205758,              1702717,,,,,                448397,,                 15154,,                 99078,,                 10570,,                 38896,                 38896,                 24020,                    267,,                  3161,                  3161,                639543,,,,,                 18250,,                    809,                    809,                 19059,                658602,,,,              1127431,                              0,              1127431,,                321278,,                171664,,               -654122,               -482458,,                 77864,                              0,              1044115,              1044115,              1702717,              0,              0,              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3593,2014年12月31日,,,,                189253,,                    531,,                176754,,                 27710,,                  4165,,                  7561,,                  1491,,,                  2357,,                 62655,                 65012,,                              0,,                      6,                 74263,                 74269,                546746,,,                512908,,                 38861,,                129498,                168359,                125048,,                              0,,                 19011,                382723,                401734,              1208049,              1754795,,,,,                433438,,                 15323,,                132098,,                 20681,,                 42226,                 42226,                    262,                              0,,                    269,                    269,                644297,,,                              0,,                 21698,,                    817,                    817,                 22515,                666812,,,,              1127431,                              0,              1127431,,                321278,,                171664,,               -618247,               -446583,,                 85857,                              0,              1087983,              1087983,              1754795,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3593,2014年09月30日,,,,                865421,,                              0,,                 24274,,                 15217,,                  2308,,                              0,,                  1469,,,                    168,,                              0,                    168,,                 48365,,                              0,                 51882,                 51882,              1009104,,,                148042,,                              0,,                  1411,                  1411,                    119,,                              0,,                 67440,                              0,                 67440,                217012,              1226116,,,,,                              0,,                              0,,                 15606,,                              0,,                  3685,                  3685,                    185,                              0,,                 34017,                 34017,                 53493,,,                              0,,                 13764,,                              0,                              0,                 13764,                 67257,,,,              1127431,                              0,              1127431,,                321278,,                171664,,               -527265,               -355601,,                 65751,                              0,              1158859,              1158859,              1226116,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3593,2014年06月30日,,,,                848811,,                              0,,                 32784,,                              0,,                              0,,                              0,,                              0,,,                              0,,                              0,                              0,,                162619,,                              0,                 60091,                 60091,              1104305,,,                151117,,                              0,,                    719,                    719,                     95,,                              0,,                  8288,                              0,                  8288,                160219,              1264524,,,,,                 89445,,                              0,,                  4288,,                              0,,                  5932,                  5932,                    139,                  3442,,                  6976,                  6976,                110222,,,,,                 11130,,                              0,                              0,                 11130,                121352,,,,              1127431,                              0,              1127431,,                321278,,                171664,,               -529793,               -358129,,                 52592,                              0,              1143172,              1143172,              1264524,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3593,2014年03月31日,,,,                902385,,                              0,,                 27350,,                              0,,                              0,,                              0,,                              0,,,                              0,,                  1575,                  1575,,,,,,                 56537,                987847,,,                363030,,                              0,,                    981,                    981,                  7582,,,,                  7351,                              0,                  8983,                380576,              1368423,,,,,                 91260,,                              0,,                  7352,,                              0,,                 12227,                 12227,                    185,                              0,,                  6281,                  6281,                117305,,,,,                 12793,,                      6,                      6,                 12799,                130104,,,,              1127431,                              0,              1127431,,                321278,,                171664,,               -442302,               -270638,,                 60248,                              0,              1238319,              1238319,              1368423,              0,              0,              0,                  1632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3593,2013年12月31日,,,,,,                              0,,                 32658,,                              0,,                  3443,,                              0,,,,,                              0,,                    877,                    877,,                              0,,,,                 49986,              1022305,,,                375080,,                              0,,                  1291,                  1291,                  8979,,,,                  7400,                              0,                  9062,                394412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                925554,                  9787,,                              0,                     30,                  1632,              1416717,,,,                 89415,,                              0,,                  9161,,                              0,,                  9716,                    185,                    720,,                 23340,                 23340,                132537,,,                 13044,,                      6,                      6,                 13050,                145587,,,,              1127431,                              0,                              0,                              0,                              0,                              0,                              0,              1127431,,                321278,,                171664,,               -411473,               -239809,,                 62230,                              0,              1271130,                              0,                              0,              1271130,,,,,,,,,,,
3593,2013年09月30日,,,,                961930,,,,                 62975,,                     19,,,,,,,,,,,                  5962,                  5962,,                 23452,,,,                 60673,              1165649,,,                303579,,,,,                  1814,                 37142,,,,                 12105,,                 13171,                355706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,                 50638,                    138,                    928,              1521355,,,,                115323,,                    132,,                 28919,,,,                 34324,,,,                  2321,                  2321,                181019,,,                 11117,,                              0,                              0,                 11117,                192136,,,,              1127431,,,,,,,              1127431,,                321278,,                171664,,               -344897,               -173233,,                 53743,                              0,              1329219,,                              0,              1329219,,                  1814,                 34324,,                321278,                321278,,                              0,,                              0,                              0
3593,2013年06月30日,,,,,,                  1728,,                 81050,,,,,,,,,,,,,                 44372,                 44372,,                              0,,,,                 76642,              1365209,,,                458938,,,,,                  2359,                 46536,,,,                 12235,,                 13308,                521141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,              1110224,,,                 51193,                    161,                    912,              1886350,,,,                204000,,                    473,,                 54289,,,,                 68850,,                              0,,                  2467,                  2467,                330079,,,                 43351,,                              0,                              0,                 43351,                373430,,,,              1127431,,,,,,,              1127431,,                321278,,                171664,,               -166713,                  4951,,                 59260,                              0,              1512920,,                              0,              1512920,,                  2359,                 68850,,                321278,                321278,,,,,
