證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付票據－關係人,　　　　　 應付票據－關係人合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付票據－關係人,　　　　 應付票據－關係人合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　 待註銷股本股數,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 長期借款,　　　　 長期借款合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計
1724,2015年09月30日,,,,                107176,,                 20514,,                     79,,                392547,,                    312,,                  9807,,                235721,,                 27405,                793561,,,                 23160,,                 84722,,              1191799,,                296834,,                    106,                 52274,,                 23586,              1672481,              2466042,,,,,                200000,,                 84624,,                 54439,,                 45192,,                 18590,,                 75021,                  9879,                487745,,,                 41218,,                 81054,                122272,                610017,,,,              1278139,              1278139,,                  9826,,                162881,                 42824,,                365131,                570836,,                 -2776,              1856025,              1856025,              2466042,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1724,2015年06月30日,,,,                171732,,                 17232,,                     41,,                354476,,                  1745,,                  8182,,                237833,,                 28880,                820121,,,                 24042,,                 79091,,              1195887,,                298199,,                    127,                 53849,,                 23397,              1674592,              2494713,,,,,                270000,,                 68473,,                 60350,,                 51137,,                 19026,,                 99507,                  7352,                575845,,,                 41218,,                 80814,                122032,                697877,,,,              1278139,              1278139,,                  9826,,                162881,                 42824,,                309036,                514741,,                 -5870,              1796836,              1796836,              2494713,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1724,2015年03月31日,,,,                197874,,                 14083,,                     40,,                336859,,                 10680,,                  7169,,                212194,,                 22485,                801384,,,                 24042,,                 77854,,              1211364,,                299564,,                    148,                 53918,,                 15455,              1682345,              2483729,,,,,                290000,,                 69866,,                 64226,,                 38992,,                 20663,,                 68943,                 11679,                564369,,,                 41218,,                 80362,                121580,                685949,,,,              1278139,              1278139,,                  9826,,                158795,                 40365,,                315868,                515028,,                 -5213,              1797780,              1797780,              2483729,              0,              0,,                              0,,                212194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1724,2014年12月31日,,,,                180870,,                 20866,,                     45,,                337906,,                  5703,,                  8112,,                248641,,                 22601,                824744,,,                 24042,,                 80964,,              1219949,,                300929,,                    193,                 51317,,                 19998,              1697392,              2522136,,,,,                320000,,                 90731,,                 57173,,                 39897,,                 24239,,                 70550,                  8231,                610821,,,                 41218,,                 79900,                121118,                731939,,,,              1278139,              1278139,,                  9826,,                158795,                 40365,,                305531,                504691,,                 -2459,              1790197,              1790197,              2522136,              0,              0,,                              0,,                248641,                180870,              2522136,,,,                320000,,                              0,,                 90731,,                 57173,,                 39897,,                 24239,,                 70550,                  8231,                610821,,,                 41218,,                 79900,                121118,                731939,,,,              1278139,              1278139,,                  9826,,                158795,                 40365,,                305531,                504691,,                 -2459,              1790197,                              0,              1790197,              0,,,,,,,,,,,
1724,2014年09月30日,,,,                 82896,,                 20956,,                     42,,                315629,,                  6988,,                 13270,,                268778,,                 25864,                734423,,,                 25271,,                 78670,,              1233400,,                302294,,                    237,                 49599,,                 12172,              1701643,              2436066,,,,,                295000,,                 72815,,                 55395,,                 44745,,                 18514,,                 68279,                  2130,                556878,,,                 41294,,                 78687,                119981,                676859,,,,              1278139,              1278139,,                  9826,,                158795,                 40365,,                274541,                473701,,                 -2459,              1759207,              1759207,              2436066,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1724,2014年06月30日,,,,                149105,,                 20117,,                     41,,                258121,,                  2498,,                 16752,,                239448,,                 25676,                711758,,,                 25271,,                 73729,,              1258020,,                303660,,                    281,                 50206,,                 10313,              1721480,              2433238,,,,,                270000,,                 78466,,                 52102,,                 36833,,                 16180,,                 86213,                              0,                589780,,,                 41294,,                 78380,                119674,                709454,,,,              1278139,              1278139,,                  9826,,                158795,                 40365,,                241092,                440252,,                 -4433,              1723784,              1723784,              2433238,              0,              0,,                 49986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1724,2014年03月31日,,,,                107449,,                 11642,,                     40,,                171791,,                              0,,                186371,,                219241,,                 14108,                710642,,,                 25271,,                118233,,              1258595,,                305025,,                    334,                 45565,,                  5563,              1758586,              2469228,,,,,                260000,,                115228,,                 27498,,                 31895,,                 21332,,                 51254,                    365,                567525,,,                 41294,,                 80867,                122161,                689686,,,,              1278139,              1278139,,                  9826,,                155136,                 36784,,                301975,                493895,,                 -2318,              1779542,              1779542,              2469228,              0,              0,,                 59953,,                219241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1724,2013年12月31日,,,,,,                 10932,,                     40,,                108706,,                      8,,                160421,,                162403,,                 12050,                697207,,,                 25271,,                117065,,              1214523,,                306390,,                    403,                 46075,,                 21800,              1731527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,                242647,              2428734,,,,                250000,,                 59956,,                 95725,,                 19643,,                 16858,,                 25253,,                 56900,                  1557,                525892,,,                 41294,,                 87395,                128689,                654581,,,,              1278139,              1278139,,                  9826,,                155136,                 36784,,                297849,                489769,,                 -3581,              1774153,                              0,              1774153,              0,,,,,,,,,,,
1724,2013年09月30日,,,,,,                 19348,,                    125,,                274786,,                  1901,,                 12664,,                182130,,                 15235,                754687,,,                 25271,,                133375,,              1040200,,                307755,,                    480,                 91617,,                 31752,              1630450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,                182130,                248498,              2385137,,,,                310000,,                 59954,,                 66964,,                 53009,,                 12195,,                 21593,,                 75325,                 10914,                609954,,,                 39666,,                100103,                139769,                749723,,,,              1278139,              1278139,,                  9826,,                155136,                 36784,,                159986,                351906,,                 -4457,              1635414,                              0,              1635414,              0,,,,,,,,,,,
1724,2013年06月30日,,,,,,                 33279,,                    123,,                430998,,                    891,,                 12783,,                339504,,                 22268,                990115,,,                 25271,,                133660,,              1183569,,                309120,,                    557,                 47303,,                 23470,              1722950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,                339504,                150269,              2713065,,,,                 93000,,                124920,,                114067,,                 74942,,                 45922,,                 22651,,                230779,                 22518,                728799,,,                 39666,,                 99579,                139245,                868044,,,,              1278139,              1278139,,                  9826,,                155136,                 36784,,                368040,                559960,,                 -2904,              1845021,                              0,              1845021,              0,,,,,,,,,,,
