證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收建造合約款,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 與待出售非流動資產直接相關之負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 庫存現金,　　　　 銀行存款,　　　　 存貨－製造業,　　　　　 製成品,　　　　　 在製品,　　　　　 原料,　　　　　 在途原物料,　　　　　 存貨－製造業淨額,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－普通股股票溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積－員工認股權,　　　　　 資本公積－認股權,　　　　　 應付租賃款－流動,　　　　　 長期應付票據及款項,　　　　　　 應付租賃款－非流動,　　　　　　 長期應付票據及款項合計,　　　　 現金及約當現金合計,　　　 當期所得稅資產,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 當期所得稅負債,　　　 與待出售非流動資產直接相關之負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 應付租賃款－流動,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 長期應付票據及款項,　　　　　 應付租賃款－非流動,　　　　　 長期應付票據及款項合計,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　 待註銷股本股數,　　　 無形資產,　　　　 無形資產合計,　　　　 銀行借款,　　　　　 一年或一營業週期內到期長期借款,　　　　 銀行長期借款,　　　　 資本公積－發行溢價,　　　　　 資本公積－轉換公司債轉換溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－庫藏股票交易,　　　　 資本公積－員工認股權,　　　　 資本公積－認股權,　　　　　 累積盈虧,　　　　　 本期損益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額 －母公司,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益－母公司,　　　　　 備供出售金融資產未實現損益合計,　　　　 特別盈餘公積
2031,2015年09月30日,,,,                420560,,                744254,,                257005,,                762037,,              1686835,                  7723,,              2712071,,                 29921,,                175937,,                 81635,                 10738,                 92373,              6888716,,,              1515246,,                 16397,,              2815454,                 37147,,                 74732,              4458976,             11347692,,,,,              3858240,,                429538,,                 14897,,                169279,,                 34938,,                 51504,                    845,                              0,,,                152080,                 33387,                185467,              4744708,,,                445956,,              1496320,,                              0,,                 34190,                    300,                 34490,              1976766,              6721474,,,,              2788380,              2788380,,              1054588,,                579610,,                584410,              1164020,,               -394121,                 25943,              4586924,                 39294,              4626218,             11347692,              0,      1988000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2031,2015年06月30日,,,,                618854,,                720505,,                330361,,                918943,,              1610115,                 40142,,              3141801,,                 44292,,                166721,,                 90063,                  6235,                 96298,              7688032,,,              1825801,,                 16032,,              2813774,                 32628,,                 71676,              4759911,             12447943,,,,,              4104939,,                379513,,                 10640,,                159961,,                 54226,,                353522,                              0,                              0,,,                152080,                 35391,                187471,              5250272,,,                443416,,              1496495,,                              0,,                 36313,                    300,                 36613,              1976524,              7226796,,,,              2788380,              2788380,,              1052880,,                579610,,                782447,              1362057,,                -23954,,              5179363,                 41784,              5221147,             12447943,              0,              0,                  1089,                617765,,                286625,                  1703,              2704316,                149157,              3141801,,                972628,                972628,                  7778,                 31807,                 40667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2031,2015年03月31日,,,,                576784,,                742565,,                348532,,                831363,,              1684599,                 37503,,              3391312,,                 46396,,                168738,,                 90021,                 25609,                115630,              7943422,,,              1902616,,                 16524,,              2816222,                 39910,,                 85411,              4860683,             12804105,,,,,              4059107,,                279613,,                 11581,,                340095,,                109421,,,                  9840,                              0,,,                152080,                129556,                281636,              5091293,,,                440875,,              1496670,,                     11,,                 36442,                    300,                 36742,              1974298,              7065591,,,,              2788380,              2788380,,              1051171,,                556465,,              1224026,              1780491,,                 73941,,              5693983,                 44531,              5738514,             12804105,              0,              0,,,,,,,,,,,,,,,                              0,,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2031,2014年12月31日,,,,                398927,,                846768,,                352570,,              1087652,,              1616925,                 39430,,              3500985,,                 79466,,                244263,,                 94778,                  3398,                 98176,              8265162,,,              1919686,,                 16494,,              2820982,                 39910,,                 28834,              4825906,             13091068,,,,,              4646478,,                279723,,                  8335,,                374117,,                 62416,,                 85669,                 11626,                  3382,,,                  2080,                 19613,                 21693,              5493439,,,                438334,,              1646845,,                     11,,                 36594,                     58,                 36652,              2121842,              7615281,,,,              2788380,              2788380,,              1049463,,                556465,,                937606,              1494071,,                 97326,                              0,              5429240,                 46547,              5475787,             13091068,              0,              0,                  1125,                397802,,                272674,                  1665,              3207510,                 19136,              3500985,,                972628,                972628,                  7778,                 28390,                 40667,,,,,                398927,,                              0,             13091068,,,,              4646478,,                279723,,                  8335,,                374117,,                 62416,                 11626,                  3382,,,                  2080,                              0,                105282,                107362,              5493439,,,                438334,,              1646845,,                     11,,,                              0,                              0,                 36594,                     58,                 36652,              2121842,              7615281,,,,              2788380,              2788380,,              1049463,,                556465,,                937606,              1494071,,                 97326,                              0,              5429240,                 46547,              5475787,              0,,,,,,,,,,,,,,,,,,,,
2031,2014年09月30日,,,,                534966,,                847605,,                348532,,              1157080,,              2220206,                 32714,,              3472230,,                 96051,,                              0,,                 91542,                 22355,                113897,              8823281,,,              1915051,,                156250,,              2885756,                 37641,,                 13675,              5008373,             13831654,,,,,              5242585,,                279693,,                  9042,,                474302,,                131920,,                100145,                  9027,                              0,,,                  2080,                 20835,                 22915,              6269629,,,                453981,,              1646780,,                              0,,                 34022,                    162,                 34184,              2134945,              8404574,,,,              2777199,              2777199,,              1040125,,                556465,,                933107,              1489572,,                 70173,                              0,              5377069,                 50011,              5427080,             13831654,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2031,2014年06月30日,,,,                578770,,                805779,,                329837,,              1245152,,              2316387,                 77026,,              3236373,,                 82193,,                              0,,                 96765,                  7164,                103929,              8775446,,,              1835837,,                147588,,              2378045,                 46703,,                443347,              4851520,             13626966,,,,,              5919282,,                249708,,                 18666,,                459196,,                 76474,,                364022,                  7271,                              0,,,                578180,                 61047,                639227,              7733846,,,                451321,,                153432,,                              0,,                 34151,                    162,                 34313,                639066,              8372912,,,,              2769939,              2769939,,              1034605,,                556465,,                871639,              1428104,,                -30324,,              5202324,                 51730,              5254054,             13626966,              0,              0,                  1199,                577571,,                260209,                  1768,              2722411,                251985,              3236373,,                959488,                959488,                  7778,                 24973,                 42366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2031,2014年03月31日,,,,                619107,,              1034022,,                337064,,              1013036,,              1986041,                 75979,,              2784421,,                 64531,,                              0,,                 91514,                  7704,                 99218,              8013419,,,              1836519,,                143259,,              2214936,                 59874,,                 17893,              4272481,             12285900,,,,,              4440535,,                199775,,                  8617,,                273225,,                319085,,,                  1631,                              0,,,                101201,                103369,                218004,              5460872,,,                448661,,                658924,,                              0,,                 34283,                     58,                245747,              1353332,              6814204,,,,              2769939,              2769939,,              1032897,,                523349,,              1079714,              1603063,,                 10489,,              5416388,                 55308,              5471696,             12285900,              0,              0,,,,,,,,,,,,,,,                 13434,,                211406,                211406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2031,2013年12月31日,,,,,,              1066191,,                354804,,                992333,,              1819607,                 84425,,              2673049,,                 39972,,                              0,,                 91443,                  7804,                 99247,              7997598,,,              1911827,,                138602,,              2215073,                 71986,,                 20164,              4357652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,,,,,,,,,,,,,,,                867867,,                    103,             12355250,,,,              4355686,,                279679,,                  9050,,                402874,,                 76624,                    368,                              0,,,                101175,                 13339,                126354,                240868,              5365149,,,                446896,,                792494,,                              0,,,                214800,                214800,                 34408,                     58,                249266,              1488656,              6853805,,,,              2769413,              2769413,,              1030797,,                523349,,              1018508,              1541857,,                101759,                              0,              5443826,                 57619,              5501445,              0,,,,,,,,,,,,,,,,,,,,
2031,2013年09月30日,,,,,,              1058196,,                341006,,              1041141,,              1705678,                              0,,              3055216,,                 47687,,,,                 91506,                  9087,                100593,              7862239,,,              1842679,,                133250,,              2219804,                 67334,,                 19484,              4282551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,,,,,,,,,,,,,,,                512662,,                     60,             12144790,,,,              5051864,,                279664,,                              0,,                212930,,                 52061,                              0,,,,                101149,                 13244,                 89387,                203780,              5800299,,,                              0,,                793907,,,,,                218170,                218170,                 33387,                     58,                251615,              1045522,              6845821,,,,              2769273,              2769273,,                986554,,                523349,,                938631,              1461980,,                 27383,                              0,              5245190,                 53779,              5298969,              0,,,,,,,,,,,,,,,,,,,,
2031,2013年06月30日,,,,,,                890034,,                319415,,              1166251,,              1569051,                              0,,              3434121,,                 35253,,,,                 90259,                  6680,                 96939,              8014824,,,              1751022,,                130615,,              2226801,                 57179,,                 19803,              4185450,,,,,,,                279658,,,,                342168,,                 21036,,,,,,,,,,,,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,,,,,,,,,,,,,,,                503760,,                              0,             12200274,,,,              5028027,,                279658,,                              0,,                342168,,                 21036,                              0,,,,                101127,                 13151,                206488,                320766,              5991655,,,                              0,,                842460,,,,,                221517,                221517,                 33659,                     58,                255234,              1097694,              7089349,,,,              2768023,              2768023,,                984084,,                523349,,                866533,              1389882,,                -84647,                              0,              5057342,                 53583,              5110925,              0,,                     30,              5028027,                101127,                842460,,                958165,                958165,                  7778,                 18141,                              0,                690736,                175797,,                  1420,                  1420,,                -86067,                -86067,
