證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　　 待註銷股本,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 待分配股票股利
1301,2015年09月30日,,,,             26810124,,             65410931,,              1741906,,              7037200,,              3892038,,              1221241,,             20007781,,             18440697,,              5660311,            150222229,,,              4834937,,              2462768,,            171427025,,             81586955,,                550167,              1598535,,              9595519,            272055906,            422278135,,,,,             17746611,,              1996627,,              6294558,,              4802662,              3009414,,,             13536885,              3630090,             17166975,             12979272,             30146247,             63996119,,,             43393938,,             22392568,,             11246254,,              8580758,                361410,              8942168,             85974928,            149971047,,,,             63657408,             63657408,,             11443725,,             45138549,             43706916,,             53851311,            142696776,,             54509179,            272307088,            272307088,            422278135,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1301,2015年06月30日,,,,             16417567,,             83615153,,              1432059,,              6463373,,              4258817,,                930828,,             22395541,,             19253611,,              5777608,            160544557,,,              6848391,,              2462768,,            168125434,,             81556985,,                560979,              1614842,,              9948209,            271117608,            431662165,,,,,             11248848,,              1685703,,              8827784,,             13965058,                808568,,,             12486304,              4810668,             17296972,             13029282,             30326254,             66862215,,,             44437011,,             20639987,,              9995588,,              8704652,                445684,              9150336,             84222922,            151085137,,,,             63657408,             63657408,,             11277939,,             45138549,             43706916,,             43321232,            132166697,,             73474984,            280577028,            280577028,            431662165,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1301,2015年03月31日,,,,             11115984,,             87283948,,                987988,,              7179266,,              4405466,,              1037557,,             28799968,,             19033464,,              4933315,            164776956,,,             10464659,,              2462768,,            161982691,,             82805292,,                579113,              1647335,,             10788765,            270730623,            435507579,,,,,             10923003,,              1551414,,              9119588,,              2919944,              1007355,,,              7994987,              2008253,             10003240,             12649842,             22653082,             48174386,,,             51920286,,             24814923,,              9557168,,              8872539,                499631,              9372170,             95664547,            143838933,,,,             63657408,             63657408,,             11277971,,             43339205,             39078218,,             49709926,            132127349,,             84605918,            291668646,            291668646,            435507579,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1301,2014年12月31日,,,,              5392825,,             83956324,,              1026818,,              7350138,,              4225994,,              1052161,,             29179344,,             22872390,,              5082721,            160138715,,,             10729587,,              2437768,,            160240810,,             83997627,,                601282,              1677266,,             10979936,            270664276,            430802991,,,,,             13767560,,              5454975,,              7358639,,              1270407,                937159,,,              7993512,              1515645,              9509157,              9625843,             19135000,             47923740,,,             51913453,,             26944995,,              9412161,,              8985137,                473295,              9458432,             97729041,            145652781,,,,             63657408,             63657408,,             11277988,,             43339205,             39078218,,             46066241,            128483664,,             81731150,            285150210,            285150210,            430802991,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1301,2014年09月30日,,,,              6904850,,             67478498,,              1299835,,              6751061,,              5081899,,                974856,,             30292328,,             22296652,,              5780854,            146860833,,,             21094842,,              2437768,,            158328389,,             83005234,,                593677,              1674487,,             13350613,            280485010,            427345843,,,,,             22150049,,              2019812,,              8688509,,              1249403,                837653,,,              2997868,              2130002,              5127870,             11587339,             16715209,             51660635,,,             56900790,,             26796029,,              8712571,,              9039791,                393208,              9432999,            101842389,            153503024,,,,             63657408,             63657408,,             11277996,,             43339205,             39078218,,             46649356,            129066779,,             69840636,            273842819,            273842819,            427345843,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1301,2014年06月30日,,,,              6365181,,             75450054,,              1126059,,              8130146,,              5627105,,              1254210,,             20577187,,             22723074,,              5225208,            146478224,,,             26869877,,              2416168,,            162598355,,             82356330,,                600441,              1688618,,             13488933,            290018722,            436496946,,,,,             13894864,,              2339605,,             12174835,,             13388590,              1213023,,,              2997069,              2630002,              5627071,             11396733,             17023804,             60034721,,,             56893281,,             23221150,,              7995088,,              9084724,                511190,              9595914,             97705433,            157740154,,,,             63657408,             63657408,,             11278160,,             43339205,             39078218,,             39161608,            121579031,,             82242193,            278756792,            278756792,            436496946,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1301,2014年03月31日,,,,              8608789,,             66048634,,                974458,,              7549829,,              4893812,,              1301605,,             20412446,,             25004649,,              5339146,            140133368,,,             14132857,,              2416168,,            155372474,,             82735370,,                625134,              1712787,,             13677646,            270672436,            410805804,,,,,             16427489,,              2104441,,             11855135,,              1304709,                873549,,,              5997630,              4995601,             10993231,             10720863,             21714094,             54279417,,,             53900336,,             20945927,,              7775356,,              9291040,                472930,              9763970,             92385589,            146665006,,,,             63657408,             63657408,,             11278180,,             41267621,             33508131,,             55162906,            129938658,,             59266552,            264140798,            264140798,            410805804,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1301,2013年12月31日,,,,,,             71546858,,              1059554,,              8699422,,              4631945,,              1591915,,             21069672,,             21669071,,              4926183,            142867497,,,             13993274,,              2416168,,            152358544,,             81456398,,                638075,              1670569,,             13345840,            265878868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              7672877,            408746365,,,,             17521603,,              3099844,,              4478098,,             12853759,,                995821,                882463,,,              5996474,              4995310,             10991784,              8854481,             19846265,             59677853,,,             53893227,,             16215982,,              7165065,,              8934115,                423770,              9357885,             86632159,            146310012,,,,             63657408,             63657408,,             11275671,,             41267621,             33508131,,             48550893,            123326645,,             64176629,            262436353,            262436353,,                              0,,                              0,,                              0,                              0,,                              0,                              0
1301,2013年09月30日,,,,,,             65334027,,                719405,,              6942317,,              4134672,,              1440873,,             20754650,,             21305219,,              4963356,            135275778,,,             15703175,,              2416168,,            147665183,,             79103953,,                646661,              1700275,,             14603535,            261838950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              9681259,            397114728,,,,             19992213,,              6498733,,              1844499,,             10904352,,                725396,              1864407,,,              8994801,              4610331,             13605132,             10973416,             24578548,             66408148,,,             45409811,,             17950302,,              6584648,,              9084288,                440967,              9525255,             79470016,            145878164,,,,             63657408,             63657408,,             11227405,,             41267621,             33508131,,             42921976,            117697728,,             58654023,            251236564,            251236564,,                              0,,                              0,,                              0,                              0,,,
1301,2013年06月30日,,,,,,             64488504,,                798605,,              7540247,,              5508407,,              1123435,,             22488661,,             19706220,,              4838953,            137997221,,,             20449023,,              2416168,,            143114696,,             77118269,,                586506,              1694335,,             14653407,            260032404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,             11504189,            398029625,,,,             18713466,,              7097431,,              1769121,,             10393510,,              8231968,                840820,,,              8997323,              1310791,             10308114,             11617806,             21925920,             68974218,,,             45399405,,             17137202,,              6239687,,              9177579,                449378,              9626957,             78403251,            147377469,,,,             61209046,             63657408,,             11227431,,             41267621,             33508131,,             36437882,            111213634,,             64553683,            250652156,            250652156,,                              0,,                              0,,                              0,                              0,,                  1982,              2448362
