證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 其他無形資產,　　　　　 其他無形資產淨額,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 應付租賃款－流動,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 長期遞延收入,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 持有至到期日金融資產－流動,　　　　 持有至到期日金融資產－流動淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 持有至到期日金融資產－非流動,　　　　 持有至到期日金融資產－非流動淨額,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 其他應付款項－關係人,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　　 長期應付票據及款項,　　　　　　 應付租賃款－非流動,　　　　　　 長期應付票據及款項合計,　　 待註銷股本股數,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 應付租賃款－流動,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 長期應付票據及款項,　　　　　 應付租賃款－非流動,　　　　　 長期應付票據及款項合計,　　　　 長期遞延收入,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付短期票券,　　　 以成本衡量之金融資產－流動,　　　　 以成本衡量之金融資產－流動淨額,　　　　　 其他金融資產－其他－非流動,　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券投資－流動淨額,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債券投資－非流動淨額
1704,2015年09月30日,,,,              6221671,,                313766,,                 69172,,                543470,,                  6369,,              2948187,,                 11647,,                336707,,                 85513,,              5075001,,                679399,,                              0,,              4206248,                261182,              4467430,             20758332,,,                101398,,              3136693,,                112580,,             12728493,,,                 52765,                 52765,                160873,,,                205033,                347998,,                225448,                778479,             17071281,             37829613,,,,,              2258839,,                  5889,,              2080765,,                 32215,                 32215,,              1130181,                 67634,,,                186996,,              2074683,                              0,                  6216,              2267895,              7843418,,,              2167920,,              4401012,,                              0,                  1265,                  1265,              6570197,             14413615,,,,              8529594,              8529594,,              9171710,,              2202110,              1561927,,                819361,              4583398,,              1055695,                              0,             23340397,                 75601,             23415998,             37829613,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1704,2015年06月30日,,,,              6573863,,                103434,,              1050756,,                522408,,                 14717,,              2516315,,                 11054,,                185434,,                 92107,,              5108080,,                682993,,                              0,,              3466486,                260948,              3727434,             20589819,,,                 96853,,              2874366,,                151524,,             14524411,,,                 52736,                 52736,                121358,,,                 57235,                342041,,                135468,                534744,             18355992,             38945811,,,,,              3101674,,                  2026,,              1988884,,,                 22943,,              2974879,                 56288,,,                256936,,             13267380,                168206,                  3195,             13695717,             21842419,,,              2512931,,              4129024,,                              0,                  1093,                  1093,              6643048,             28485467,,,,              8529594,              8529594,,              9283598,,              2202110,              1561927,,             -6924570,             -3160533,,                232903,                              0,             14885562,             -4425218,             10460344,             38945811,              0,              0,,                              0,,                  1224,,                              0,,                              0,                      8,,                              0,,                              0,                              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1704,2015年03月31日,,,,              5424662,,                388087,,              1180710,,                825542,,                 10056,,              2341468,,                 35112,,                269817,,                113242,,              5362653,,                592864,,                              0,,              3543341,                237219,              3780560,             20326026,,,                103106,,              2918091,,                155334,,             14714205,,,                 51995,                 51995,                140951,,,                 57301,                347410,,                171575,                576286,             18659968,             38985994,,,,,              2978076,,                  1976,,              2049336,,,                 14518,,              2422476,                 12907,,,                157607,,             14155351,                183400,                  6302,             14502660,             21982380,,,              2543529,,              4101011,,                              0,                  2264,                  2264,              6646804,             28629184,,,,              8529594,              8529594,,              9193633,,              2202110,              1561927,,             -7518738,             -3754701,,                431011,                              0,             14399537,             -4042727,             10356810,             38985994,              0,              0,,                              0,,                  1253,,                              0,,                              0,                    431,,                              0,,                              0,                              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1704,2014年12月31日,,,,              5761345,,                643663,,                278076,,                876405,,                 17208,,              2071161,,                 16043,,                272682,,                 61669,,              6093351,,                614573,,                755847,,              2061743,                273258,              2335001,             19797024,,,                104454,,              2963549,,                159362,,             14964893,,,                 40413,                 40413,                169579,,,                 57417,                354768,,                182259,                594444,             18996694,             38793718,,,,,              3233720,,                  2224,,              1746953,,                 27062,                 27062,,              2378513,                  8748,,,                 87365,,             14315418,                198243,                  6526,             14607552,             22004772,,,              2361786,,              4093284,,                              0,                  2196,                  2196,              6457266,             28462038,,,,              8529594,              8529594,,              9193633,,              2202110,              1561927,,             -7831188,             -4067151,,                608363,                              0,             14264439,             -3932759,             10331680,             38793718,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1704,2014年09月30日,,,,              8272952,,                243253,,                202619,,                887396,,                 14682,,              2492670,,                 40017,,                320285,,                              0,,              6221143,,                779084,,                              0,,              1444592,                293056,              1737648,             21211749,,,                100566,,              2806099,,                161846,,             15624005,,,                 47214,                 47214,                139154,,,                 55419,                342531,,                183503,                581453,             19460337,             40672086,,,,,              4710156,,                    724,,              2026318,,                 31250,                 31250,,              1853435,                 11494,,,                157144,,             14175633,                202693,                  8639,             14544109,             23177486,,,              3128571,,              3929041,,                 13628,                  3387,                 17015,              7074627,             30252113,,,,              8529594,              8529594,,              9177510,,              2202110,              1561927,,             -7354177,             -3590140,,                -42955,                              0,             14074009,             -3654036,             10419973,             40672086,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1704,2014年06月30日,,,,             10238212,,              1610018,,              1224001,,                844662,,                 18494,,              3128505,,                 21372,,                359658,,                              0,,              6579956,,                900355,,                              0,,                724455,                270082,                994537,             26070717,,,                101932,,              2729302,,                165362,,             16532063,,,                 51526,                 51526,                194848,,,                 55270,                338198,,                110899,                504367,             20521806,             46592523,,,,,              7867463,,                  1218,,              3330512,,,                 16966,,              2480090,                 28758,,,                215223,,             12241465,                 48009,                  9152,             12513849,             26239423,,,              3213571,,              3912061,,                 14773,                  2714,                180269,              9303415,             35542838,,,,              8532424,              8532424,,              9180558,,              2202110,              1561927,,             -7349695,             -3585658,,               -317427,                 10047,             13799850,             -2750165,             11049685,             46592523,              0,        283000,,                149646,,                  1301,,                242406,,                    560,                      7,,              1997514,,                162782,                162782,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1704,2014年03月31日,,,,              8258582,,              2237789,,              2290206,,                903398,,                 12645,,              2913654,,                 17265,,                598949,,                              0,,              7049180,,                888963,,                              0,,                370882,                581401,                952283,             26917641,,,                105315,,              2712312,,                 70452,,             26899507,,,                 55247,                 55247,                143032,,,                 55395,                337636,,                177215,                570246,             30803653,             57721294,,,,,              7606226,,                    476,,              2906769,,,                 26240,,              1859688,                140964,,,                184319,,              4539032,                 48424,                 39393,              4811168,             17352486,,,             11486721,,              3914797,,                 17719,                  2215,                198471,             17590568,             34943054,,,,              8532424,              8532424,,              9180340,,              2202110,              1561927,,                723565,              4487602,,                -19584,                              0,             22180782,                597458,             22778240,             57721294,              0,              0,,                793478,,                  1249,,                247542,,                    943,                     12,,              1990579,,                178537,                178537,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1704,2013年12月31日,,,,,,              1962083,,              2978784,,                865236,,                  3074,,              3450044,,                 35659,,                507802,,,,              6160658,,                808926,,                              0,,                358792,                543340,                902132,             27287175,,,                106093,,              2537206,,                 79459,,             27268512,,,                 57481,                 57481,                213270,,,                 55288,                334918,,                180107,                570313,             31074693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                777048,,                  1930,,                242359,,,,,,,,,              0,              8809157,                 24642,             58361868,,,,              6308544,,                149944,,                  4467,,              3435639,,                394251,,              2115018,                    112,                102614,,,                322632,,              4682532,                 46828,                 38636,              5090628,             17601217,,,              1983668,,             11717026,,              3934527,,,                186686,                186686,                 15131,                  2574,                204391,             17839612,             35440829,,,,              8532424,              8532424,,              9180340,,              2202110,              1561927,,                953520,              4717557,,               -307085,                              0,             22123236,                797803,             22921039,,,,,,,,,,,,
1704,2013年09月30日,,,,,,              1991973,,              2313862,,                910718,,                              0,,              3517993,,                 28432,,                585772,,,,              5594180,,                615285,,,,                298080,                497132,                795212,             26063554,,,                105232,,              2476313,,                 77210,,             28547135,,,                 54466,                 54466,                207629,,,                 40157,                329576,,                112894,                482627,             32191276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                150829,,                  1421,,                240664,,,,,,,,,              0,              9557877,,             58254830,,,,              5584264,,                149781,,                  4697,,              3184020,,                216028,,              1855599,                      8,                118749,,,                269568,,              2460357,                 45930,                 31123,              2806978,             13929667,,,              1976780,,             14156562,,              3877129,,,                197029,                197029,                 15301,                  2248,                214578,             20225049,             34154716,,,,              8532424,              8532424,,              9178926,,              2202110,              1561927,,              1923250,              5687287,,               -447865,                              0,             22950772,              1149342,             24100114,,                  9543,,,,,,,,,,
1704,2013年06月30日,,,,,,              2508746,,              4042566,,                932110,,                              0,,              3332961,,                 14537,,                521447,,,,              5587503,,                552052,,,,                923756,                497261,              1421017,             27732590,,,                112046,,              2502172,,                 77351,,             28932641,,,                 57686,                 57686,                162347,,,                 40205,                335955,,                153207,                529367,             32771902,,,,,,,,,,,                269610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                              0,,                  1127,,                398292,,,,,,,,,              0,              8818524,,             60504492,,,,              6392928,,                149781,,                  6700,,              3389721,,                269610,,              2742398,                    128,                242153,,,                229216,,              2103857,                 46068,                 37290,              2416431,             15637385,,,              1969917,,             14511866,,              3805946,,,                211745,                211745,                 15826,                  2506,                230077,             20517806,             36155191,,,,              8532424,              8532424,,              9178926,,              2202110,              1561927,,              1748631,              5512668,,               -246204,                              0,             22977814,              1371487,             24349301,,                 27535,                149781,,,,,,,,,
