證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 庫存現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 原始認列時指定為透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款,　　　　 備抵呆帳－應收帳款、分期帳款及租賃款,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人,　　　　 應收帳款－關係人淨額,　　　 存貨,　　　　 存貨－製造業,　　　　　 製成品,　　　　　 在製品,　　　　　 原料,　　　　　 備抵存貨跌價,　　　　　 存貨－製造業淨額,　　　　 存貨（建設業適用）,　　　　　 在建房地,　　　　　 存貨（建設業適用）淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 工程存出保證金,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 土地淨額,　　　　　 土地成本,　　　　　 土地－重估增（減）值,　　　　　 土地淨額,　　　　 房屋及建築淨額,　　　　　 房屋及建築成本,　　　　　 累計折舊－房屋及建築,　　　　　 房屋及建築淨額,　　　　 機器設備淨額,　　　　　 機器設備成本,　　　　　 累計折舊－機器設備,　　　　　 機器設備淨額,　　　　 其他設備淨額,　　　　　 其他設備成本,　　　　　 累計折舊－其他設備,　　　　　 其他設備淨額,　　　　 未完工程及待驗設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產－土地,　　　　 投資性不動產－建築物,　　　　 投資性不動產淨額,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 應付股利,　　　　　 其他應付款合計,　　　　 其他流動負債,　　　　　 其他金融負債－流動,　　　　　 預收款項,　　　　　　 預收房地款,　　　　　　 其他預收款,　　　　　　 預收款項合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 長期應付票據及款項,　　　　　　 長期應付票據及款項合計,　　　　　 長期應付票據及款項－關係人,　　　　　　 長期應付票據及款項－關係人合計,　　　　　 長期遞延收入,　　　　　 特別股負債－非流動,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 採用權益法之投資貸餘,　　　　　 股東往來,　　　　　 未實現售後租回利益,　　　　　 其他非流動負債－其他,　　　　　 內部往來,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積－實際取得或處分子公司股權價格與帳面價值差額,　　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額 －母公司,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益－母公司,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他流動負債,　　　　 其他金融負債－流動,　　　　 預收款項,　　　　　 預收房地款,　　　　　 其他預收款,　　　　　 預收款項合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 長期應付票據及款項,　　　　　 長期應付票據及款項合計,　　　　 長期應付票據及款項－關係人,　　　　　 長期應付票據及款項－關係人合計,　　　　 長期遞延收入,　　　　 特別股負債－非流動,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 採用權益法之投資貸餘,　　　　 股東往來,　　　　 未實現售後租回利益,　　　　 其他非流動負債－其他,　　　　 內部往來,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－庫藏股票交易,　　　　 資本公積－實際取得或處分子公司股權價格與帳面價值差額,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額 －母公司,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益－母公司,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　　 房屋及建築－重估增（減）值,　　　　 累計折舊－投資性不動產－建築物,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人,　　　　 應收票據－關係人淨額,　　　　　 累計減損－其他設備,　　　　 投資性不動產－土地－重估增值,　　　　 累計減損－投資性不動產－土地,　　　　 累計減損－投資性不動產－建築物,　　　　 資本公積－取得或處分子公司股權價格與帳面價值差額,　　　　　 備供出售金融資產未實現損益－採用權益法之子公司,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期應付票據及款項－非關係人,　　　　　 一年或一營業週期內到期長期負債合計
1463,2015年09月30日,,,,                558674,                558674,,                 60605,                 60605,,                 41479,                 41479,,                 47789,                    399,                 47390,,                  4446,                  4446,,,                  1561,                  6658,                 61489,                 14861,                 54847,,              1018497,              1018497,              1073344,,                166790,,                 32234,                177242,                145747,                355223,              2307951,,,                  2630,                  2630,,                 83791,                 83791,,                294598,                294598,,,                 63634,                236707,                300341,,                227893,                200705,                 27188,,                562528,                529676,                 32852,,                400317,                368828,                 31489,                  7279,                399149,,                246026,                 27825,                273851,                 25113,,,                 17373,                 17373,              1096505,              3404456,,,,,                209600,,                 47362,                 47362,,                 26347,                 26347,,                              0,                              0,,                              0,                              0,,                 30798,,                814467,                100295,                914762,                 31767,                977327,              1260636,,,                 77390,,,                              0,,                              0,                              0,                              0,                 35927,                  1260,                              0,                              0,                              0,                  2622,                              0,                 39809,                117199,              1377835,,,,              1732684,              1732684,,,                  2141,                120926,                 26844,                 29162,                179073,,                 11678,                 56835,,                 66413,                134926,,,                  5718,                  5718,,                  1370,                  1370,                  7088,                124693,              1929078,                 97543,              2026621,              3404456,              0,              0,     11447523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1463,2015年06月30日,,,,                574814,                574814,,                140355,                140355,,                 25819,                 25819,,                 53748,                  1518,                 52230,,                  9990,                  9990,,,                  2404,                  4934,                 63006,                 14869,                 55475,,                973369,                973369,              1028844,,                154331,,                 43649,                177242,                136292,                357183,              2343566,,,                  3913,                  3913,,                 72576,                 72576,,                274476,                274476,,,                 63634,                236707,                300341,,                226888,                199235,                 27653,,                561417,                526252,                 35165,,                399605,                366218,                 33387,                  7767,                404313,,                246026,                 29353,                275379,                 25113,,,                 18334,                 18334,              1074104,              3417670,,,,,                173800,,                 55895,                 55895,,                 37765,                 37765,,                              0,                              0,,                 92078,                 92078,,                 30381,,                787105,                100295,                887400,                 39087,                956868,              1316406,,,                 77390,,,                              0,,                              0,                              0,                              0,                 36682,                  1260,                              0,                              0,                              0,                  2950,                              0,                 40892,                118282,              1434688,,,,              1732684,              1732684,,,                  2141,                114842,                 26844,                 22441,                166268,,                 11678,                 56835,,                 42472,                110985,,,                 -1697,                 -1697,,                  2653,                  2653,                    956,                124693,              1886200,                 96782,              1982982,              3417670,              0,              0,     11447523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1463,2015年03月31日,,,,                536183,                536183,,                145769,                145769,,                 30569,                 30569,,                 68423,                  2032,                 66391,,                  6621,                  6621,,,                  2543,                  5240,                 61209,                 15090,                 53902,,                900406,                900406,                954308,,                154331,,                 38103,                177242,                134175,                349520,              2243692,,,                  3949,                  3949,,                 73621,                 73621,,                253437,                253437,,,                 63634,                236707,                300341,,                226434,                197784,                 28650,,                560147,                522564,                 37583,,                398767,                363511,                 35256,                  4338,                406168,,                246026,                 31032,                277058,                 25113,,,                 17295,                 17295,              1056641,              3300333,,,,,                102000,,                 43153,                 43153,,                 40263,                 40263,,                              0,                              0,,,,,                 32610,,                773993,                100295,                874288,                 41125,                948023,              1133439,,,                 77390,,,                              0,,                              0,                              0,                              0,                 37436,                  1260,                              0,                              0,                              0,                  3278,                              0,                 41974,                119364,              1252803,,,,              1732684,              1732684,,,                  2141,                114842,                 26844,,                143827,,                  1447,                 56835,,                139256,                197538,,,                 -1650,                 -1650,,                  2689,                  2689,                  1039,                124693,              1950395,                 97135,              2047530,              3300333,              0,              0,     11447523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1463,2014年12月31日,,,,                555415,                555415,,                127579,                127579,,                 36397,                 36397,,                 52383,                  1977,                 50406,,                  2236,                  2236,,,                    686,                  3092,                 66370,                 15079,                 55069,,                823693,                823693,                878762,,                146094,,                105725,                177942,                125796,                409463,              2206352,,,                  3103,                  3103,,                 73621,                 73621,,                251526,                251526,,,                 63634,                236707,                300341,,                226094,                196346,                 29748,,                557313,                518630,                 38683,,                399797,                362496,                 37301,                  5988,                412061,,                246026,                 32712,                278738,                 25113,,,                 15415,                 15415,              1059577,              3265929,,,,,                 72000,,                 47897,                 47897,,                 42821,                 42821,,                              0,                              0,,                              0,                              0,,                 33312,,                744770,                100295,                845065,                 74290,                952667,              1115385,,,                 77390,,,                              0,,                              0,                              0,                              0,                 38149,                  1260,                              0,                              0,                              0,                  3604,                              0,                 43013,                120403,              1235788,,,,              1732684,              1732684,,,                  2141,                114842,                 26844,                              0,                143827,,                  1447,                 56835,,                116655,                174937,,,                  4045,                  4045,,                  1843,                  1843,                  5888,                124693,              1932643,                 97498,              2030141,              3265929,              0,              0,     11447523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1463,2014年09月30日,,,,                551047,                551047,,                128616,                128616,,                 43069,                 43069,,                153075,                  1929,                151146,,                              0,                              0,,,                 72248,                 15247,                163063,                 23735,                226823,,                745833,                745833,                972656,,                134940,,                104940,                176586,                133201,                414727,              2396201,,,                  3033,                  3033,,                 90895,                 90895,,                              0,                              0,,,                 63634,                232404,                296038,,                383154,                226607,                156547,,                872625,                645189,                227436,,                422509,                386070,                 36439,                 56951,                773411,,                250331,                 34245,                284576,                 25113,,,                 16869,                 16869,              1193897,              3590098,,,,,                129274,,                 71927,                 71927,,                 74562,                 74562,,                 74075,                 74075,,                              0,                              0,,                 35062,,                665091,                100295,                765386,                 67399,                867847,              1217685,,,                 67994,,,                              0,,                              0,                              0,                              0,                 39562,                  1260,                              0,                              0,                              0,                              0,                              0,                 40822,                108816,              1326501,,,,              1884108,              1884108,,,                  2141,                112014,                 26844,                              0,                140999,,                  1447,                 56835,,                 54033,                112315,,,                 29969,                 29969,,                  1772,                  1772,                 31741,                273289,              1895874,                367723,              2263597,              3590098,              0,              0,     26589911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1463,2014年06月30日,,,,                738522,                738522,,                 52149,                 52149,,                 34420,                 34420,,                147579,                  2195,                145384,,                              0,                              0,,,                 56906,                 13340,                166870,                 21047,                216069,,                696540,                696540,                912609,,                115663,,                123912,                176543,                133736,                434191,              2432938,,,                  3173,                  3173,,                 90895,                 90895,,                              0,                              0,,,                 54791,                203807,                258598,,                391051,                240304,                150747,,                854822,                634557,                220265,,                435627,                397653,                 37974,                 22923,                690507,,                287768,                 34167,                321935,                 25113,,,                 16926,                 16926,              1148549,              3581487,,,,,                124755,,                 58054,                 58054,,                 83539,                 83539,,                100068,                100068,,                              0,                              0,,                 97019,,                618057,                 99814,                717871,                 69521,                884411,              1250827,,,                 67994,,,                              0,,                              0,                              0,                              0,                 40238,                  1260,                              0,                              0,                              0,                              0,                              0,                 41498,                109492,              1360319,,,,              1884108,              1884108,,,                  2141,                104037,                 26844,                              0,                133022,,                  1447,                 56835,,                 38388,                 96670,,,                 26392,                 26392,,                  1913,                  1913,                 28305,                273289,              1868816,                352352,              2221168,              3581487,              0,              0,     26589911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1463,2014年03月31日,,,,                641667,                641667,,                 61937,                 61937,,                 29091,                 29091,,                171945,                  2598,                169347,,                    220,                    220,,,                 59207,                 20253,                130600,                 26751,                183309,,                643638,                643638,                826947,,                 96386,,                128644,                176543,                129032,                434219,              2259814,,,                  3095,                  3095,,                 89652,                 89652,,                              0,                              0,,,                 58333,                216988,                275321,,                404673,                248726,                155947,,                869235,                643259,                225976,,                435134,                397118,                 38016,                 10770,                706030,,                271045,                 32680,                303725,                 25113,,,                 16965,                 16965,              1144580,              3404394,,,,,                119263,,                 50165,                 50165,,                 67677,                 67677,,                 85352,                 85352,,,,,                 34221,,                553357,                 93193,                646550,                 66025,                746796,              1069253,,,                 67994,,,                              0,,                              0,                              0,                              0,                 40913,                              0,                              0,                              0,                              0,                  7333,                              0,                 48246,                116240,              1185493,,,,              1884108,              1884108,,,                 58666,                104037,                 26842,,                189545,,                              0,                 56835,,                 24083,                 80918,,,                 31451,                 31451,,                  1835,                  1835,                 33286,                273289,              1914568,                304333,              2218901,              3404394,              0,              0,     26589911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1463,2013年12月31日,,,,                651138,,,                 54854,                 54854,,                 30363,                 30363,,                148203,                  3184,                145019,,                    220,                    220,,,                 77870,                 17577,                138004,                 27043,                206408,,                603163,                603163,                809571,,                 96386,,                149305,                176604,                125314,                451223,              2238774,,,                  2736,                  2736,,                 83142,                 83142,,                              0,                              0,,,                 65170,                242418,                307588,,                400629,                244405,                156224,,                858661,                630351,                228310,,                433895,                394398,                 39497,                 10019,                741638,,                238779,                 34114,                272893,                 25113,,,                 21120,                 21120,              1146642,,,,,,,                 54894,,,                 70423,,,                111257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     26589911,                651138,              3385416,,,,                 87612,,                 54894,,                 70423,,                111257,,                 99916,,                513054,                 99266,                612320,                 89521,                801757,              1125943,,,                 67994,,,                              0,,                              0,                              0,                              0,                 42806,                  1260,                              0,                              0,                              0,                              0,                              0,                 44066,                112060,              1238003,,,,              1884108,              1884108,,,                 58664,                104037,                 26844,                189545,,                              0,                 56835,,                 15061,                 71896,,,                 27758,                 27758,,                  1476,                  1476,                 29234,                273289,              1901494,                245919,              2147413,,,,,,,,,,,,,,
1463,2013年09月30日,,,,                584070,,,                 68385,                 68385,,                 35170,                 35170,,                138123,                  3028,                135095,,                    220,                    220,,,                 68839,                 16516,                122959,                 34677,                173637,,                513332,                513332,                686969,,                 77109,,                287707,                174469,                129148,                591324,              2178342,,,                  2708,                  2708,,                 83142,                 83142,,,,,,                 65170,                242416,                307586,,                397363,,                157057,,                933193,                708539,                224654,,                430784,                391326,                 39458,                  8896,                737651,,                274327,,                274327,                 25113,,,                 22005,                 22005,              1144946,,,,,,,                 45170,,,                 54288,,,                122751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     26589911,                584070,              3323288,,,,                 77753,,                 45170,,                 54288,,                122751,,                 92998,,                469838,                 93193,                563031,                167874,                823903,              1123865,,,                 67994,,,                              0,,                              0,                              0,                              0,                 44043,                  7378,                              0,                              0,                              0,                              0,                              0,                 51421,                119415,              1243280,,,,              1884108,              1884108,,,                 58664,                104037,                 26844,                189545,,                              0,                 56835,,                -36973,                 19862,,,                 25818,                 25818,,                  1448,                  1448,                 27266,                273289,              1847492,                232516,              2080008,               -240306,,,,,,,,,,,,,
1463,2013年06月30日,,,,                579916,,,                 50241,                 50241,,                 34016,                 34016,,                139972,                  3451,                136521,,                              0,                              0,,,                 58708,                 10429,                152273,                 31075,                190335,,                485943,                485943,                676278,,                 37714,,                216513,                174470,                133317,                524300,              2038986,,,                  2616,                  2616,,                 82899,                 82899,,,,,,                 58331,                216983,                275314,,                399061,,                162224,,                893186,                700664,                192522,,                431399,                390223,                 41176,                 38084,                709320,,                319524,,                308034,                 25113,,,                 22324,                 22324,              1150306,,,,,,,                 51984,,,                 91782,,,                140371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     26589911,                579916,              3189292,,,,                 70000,,                 51984,,                 91782,,                140371,,                 50301,,                396206,                 93193,                489399,                 93739,                633439,                987576,,,                 67994,,,                              0,,                              0,                              0,                              0,                 44685,                  5502,                              0,                              0,                              0,                              0,                              0,                 50187,                118181,              1105757,,,,              1884108,              1884108,,,                 58666,                104037,                 26842,                189545,,                              0,                 56835,,                -38407,                 18428,,,                 27938,                 27938,,                  1356,                  1356,                 29294,                273289,              1848086,                235449,              2083535,               -236837,                 11490,,,,,,,,,,,,
