證券代號,年季,　 資產,　　 現金及約當現金,　　　 現金及約當現金合計,　　 存放央行及拆借銀行同業,　　　 存放央行及拆借銀行同業合計,　　 透過損益按公允價值衡量之金融資產,　　　 透過損益按公允價值衡量之金融資產合計,　　 附賣回票券及債券投資,　　　 附賣回票券及債券投資淨額,　　 應收款項－淨額,　　　 應收款項－淨額,　　 當期所得稅資產,　　　 本期所得稅資產合計,　　 貼現及放款－淨額,　　　 貼現及放款－淨額,　　 備供出售金融資產－淨額,　　　 備供出售金融資產－淨額,　　 持有至到期日金融資產－淨額,　　　 持有至到期日金融資產－淨額,　　 其他金融資產－淨額,　　　 其他金融資產－淨額,　　 不動產及設備－淨額,　　　 不動產及設備－淨額,　　 無形資產－淨額,　　　 無形資產－淨額,　　 遞延所得稅資產,　　　 遞延所得稅資產合計,　　 其他資產－淨額,　　　 其他資產－淨額,　　 資產總計,　 負債及權益,　　 負債,　　　 央行及銀行同業存款,　　　　 央行及銀行同業存款合計,　　　 透過損益按公允價值衡量之金融負債,　　　　 透過損益按公允價值衡量之金融負債合計,　　　 附買回票券及債券負債,　　　　 附買回票券及債券負債合計,　　　 應付款項,　　　　 應付款項合計,　　　 當期所得稅負債,　　　　 本期所得稅負債合計,　　　 存款及匯款,　　　　 存款及匯款合計,　　　 應付金融債券,　　　　 應付金融債券合計,　　　 其他金融負債,　　　　 其他金融負債合計,　　　 負債準備,　　　　 負債準備合計,　　　 其他負債,　　　　 其他負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 股本溢價,　　　　　 受贈公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 累積盈餘,　　　　　　 累積虧損,　　　　　　 本期損益,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 備供出售金融資產未實現評價損益,　　　　　 其他權益－其他,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　　 非控制權益合計,　　　 權益總計,　　 負債及權益總計,　　 待註銷股本股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　 預收股款（權益項下）之約當發行股數（單位：股） ,　　　　　 增資準備,　　　　　 其他資本公積,　　　　 庫藏股票,　　　　　 庫藏股票合計,　　　 現金及約當現金總額,　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 央行及銀行同業存款,　　　 央行及銀行同業存款合計,　　 透過損益按公允價值衡量之金融負債,　　　 透過損益按公允價值衡量之金融負債合計,　　 附買回票券及債券負債,　　　 附買回票券及債券負債合計,　　 應付款項,　　　 應付款項合計,　　 當期所得稅負債,　　　 當期所得稅負債合計,　　 存款及匯款,　　　 存款及匯款合計,　　 應付金融債券,　　　 應付金融債券合計,　　 其他金融負債,　　　 其他金融負債合計,　　 負債準備,　　　 負債準備合計,　　 其他負債,　　　 其他負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 股本溢價,　　　　 受贈公積,　　　　 其他資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 累積虧損,　　　　　 本期損益,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　 備供出售金融資產未實現損益,　　　　 其他權益－其他,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　　 非控制權益合計,　　 權益總額,　　　　　 累積盈餘,　　　　 增資準備,　　　 庫藏股票,　　　　 庫藏股票合計
2836,2015年09月30日,,,              3118709,,             14595561,,              4927364,,             14934224,,                955283,,                 23593,,            177337347,,             34939049,,             10070162,,              1947548,,              2957826,,                 72488,,                210111,,                147063,            266236328,,,,             10591873,,                 20161,,                692974,,              3701709,,                 52866,,            231072875,,              7000000,,                175716,,                989437,,                133704,            254431315,,,,              7788659,              7788659,,              1872334,                     61,              1872395,,              1606232,                              0,,                 47725,                              0,                471622,                519347,              2125579,,                     51,                 17981,                    348,                 18380,             11805013,,                              0,             11805013,            266236328,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2836,2015年06月30日,,,              3111857,,             19257404,,              6514526,,             11609697,,                992602,,                 23593,,            177410007,,             29786473,,              7808142,,              1918201,,              2969675,,                 76155,,                201641,,                 98343,            261778316,,,,              8959601,,                  1288,,                 46627,,              2560225,,                 37517,,            230239394,,              7000000,,                176400,,                976824,,                133028,            250130904,,,,              7403514,              7788659,,              1872334,                     61,              1872395,,              1606232,                              0,,                 47725,                              0,                311032,                358757,              1964989,,                    -38,                 21048,                    359,                 21369,             11647412,,                              0,             11647412,            261778316,              0,              0,              0,                385145,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2836,2015年03月31日,,,              3157572,,             21444918,,             10356258,,             14645818,,                998337,,                 25924,,            178950161,,             28871933,,              3236411,,              1834187,,              2979033,,                 78871,,                190375,,                122593,            266892391,,,,              8921485,,                 11060,,                 58182,,              2928357,,                 24010,,            235157062,,              7000000,,                178046,,                975192,,                141227,            255394621,,,,              7403514,              7403514,,              1872334,                     61,              1872395,,              1458030,                 86057,,                484322,                              0,                166144,                650466,              2194553,,                   -135,                 27083,                    360,                 27308,             11497770,,                              0,             11497770,            266892391,              0,              0,              0,,                              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2836,2014年12月31日,,,              4107916,,             23171136,,             10975714,,             13385318,,                855286,,                 25981,,            182883017,,             26141249,,              2746339,,              1448140,,              2978502,,                 64317,,                172886,,                 69152,            269024953,,,,              9519129,,                 23237,,                 61121,,              2872063,,                  4847,,            236927451,,              7000000,,                178408,,                967763,,                149895,            257703914,,,,              7403514,              7403514,,              1872334,                     61,              1872395,,              1458030,                 86057,,                -24203,                              0,                508525,                484322,              2028409,,                 19744,                 -3429,                    406,                 16721,             11321039,,                              0,             11321039,            269024953,              0,              0,              0,                              0,                              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2836,2014年09月30日,,,              4236785,,             22173585,,              5916957,,             12688162,,                881464,,                 16053,,            181007589,,             25428667,,              2248081,,              1440705,,              2784535,,                 36442,,                146981,,                 95314,            259101320,,,,              9503852,,                 35143,,                 61048,,              3371372,,                  2644,,            227545954,,              6200000,,                195470,,                910244,,                152776,            247978503,,,,              7403514,              7403514,,              1872334,                     61,              1872395,,              1458030,                 86057,,                 -3255,                              0,                353582,                350327,              1894414,,                  3488,                -51450,                    456,                -47506,             11122817,,                              0,             11122817,            259101320,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2836,2014年06月30日,,,              4169126,,             25223954,,              3206587,,              8368138,,              1314569,,                  2387,,            179655892,,             20898188,,              1642582,,              1435954,,              2776938,,                 36375,,                135465,,                 99076,            248965231,,,,             11262224,,                  1117,,                 60975,,              2703087,,                  5883,,            216499436,,              6200000,,                195579,,                896968,,                146973,            237972242,,,,              7210492,              7403514,,              1872334,                     61,              1872395,,              1458030,                 86057,,                 -3255,                              0,                210800,                207545,              1751632,,                 -2663,                -32344,                    455,                -34552,             10992989,,                              0,             10992989,            248965231,              0,              0,              0,                193022,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2836,2014年03月31日,,,              4377069,,             25048428,,              2229086,,              8117720,,                901813,,                 19862,,            169862034,,             20159459,,                758017,,              1556548,,              2783493,,                 37989,,                135802,,                 90712,            236078032,,,,             12801371,,                  4590,,                 68091,,              2269631,,                 20983,,            201654497,,              7200000,,                131303,,                877635,,                148415,            225176516,,,,              7210492,              7210492,,              2016544,                     61,              2016605,,              1393756,                              0,,                205182,                              0,                134441,                339623,              1733379,,                    736,                -60151,                    455,                -58960,             10901516,,                              0,             10901516,            236078032,              0,              0,              0,,                              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2836,2014年01月01日,,,              3329141,,             23220274,,              1590421,,              3460558,,                757500,,                 19862,,            178261475,,             19249602,,                              0,,              1566331,,              2744082,,                 41315,,                135678,,                 58981,            234435220,,,,             15024665,,                  5621,,                 68019,,              2747219,,                  9811,,            198689944,,              6000000,,                138703,,                866411,,                144849,            223695242,,,,              7210492,              7210492,,              2016544,                     61,              2016605,,              1393756,                              0,,               -213923,                              0,                419105,                205182,              1598938,,                  1822,                -88333,                    454,                -86057,             10739978,,                              0,             10739978,            234435220,              0,              0,              0,                              0,                              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2836,2013年12月31日,,,,,             23220274,,              1590421,,              3460558,,                757500,,,,            178261475,,             19249602,,                              0,,              1566331,,              2744082,,                 41315,,                133821,,                 58981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,              3329141,                 19862,            234433363,,,             15024665,,                  5621,,                 68019,,              2747219,,                  9811,,            198689944,,              6000000,,                138703,,                855490,,                144849,            223684321,,,,              7210492,              7210492,,              2016544,                     61,                              0,              2016605,,              1393756,                              0,,               -204859,                419105,                214246,              1608002,,                  1822,                -88333,                    454,                -86057,             10749042,,                              0,             10749042,                              0,                              0,,                              0
2836,2013年09月30日,,,,,             21764298,,              1839457,,              6709790,,                850076,,,,            171433496,,             18158921,,                              0,,              1584714,,              2752202,,                 45294,,                141896,,                 92703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,              3541790,                 19862,            228934499,,,             11852003,,                  1946,,                 67887,,              3584745,,                 26547,,            195648326,,              6000000,,                142783,,                810211,,                147116,            218281564,,,,              7210492,              7210492,,              2016544,                     61,                              0,              2016605,,              1393756,                              0,,               -181553,                301093,                119540,              1513296,,                 -1681,                -86231,                    454,                -87458,             10652935,,                              0,             10652935,                              0,,,
