證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款,　　　　 備抵呆帳－應收帳款、分期帳款及租賃款,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收房地款,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 淨確定福利負債-流動,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　　 長期應收票據及款項－關係人,　　　　　 長期應收票據及款項－關係人淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 與待出售非流動資產直接相關之負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收房地款,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 待分配股票股利,　　　　 其他金融負債－流動,　　　 庫藏股票
1532,2015年09月30日,,,,              2734939,,                110048,,                    528,,                169495,,              4673599,                  5590,              4668009,,                    288,,                 39984,,                  6059,,             12951289,,                623180,,              1111302,                423979,              1535281,             22839100,,,                167310,,                848186,,             11328724,,                840135,,                598137,                 22925,,,                682121,,                485738,              1167859,             14973276,             37812376,,,,,              6573767,,                405988,,              1354658,,                 22099,,              1044116,                    744,                135211,,,              1619380,              1619380,,                791571,                 94743,                383628,              2889322,             12425905,,,              4675025,,                700557,,                 52411,                276029,                328440,              5704022,             18129927,,,,              3936561,              3936561,,              1555041,,              5896061,,                956310,                120490,             12223483,              7458966,             19682449,             37812376,      4427000,              0,      4427000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1532,2015年06月30日,,,,              4050222,,                118736,,                    550,,                277718,,              4359549,                  5494,              4354055,,                    638,,                 52746,,                  5402,,             13306513,,                505220,,              1597013,                386140,              1983153,             24654953,,,                167239,,                927157,,             11148274,,                841987,,                572415,                 22205,,,                682502,,                476922,              1159424,             14838701,             39493654,,,,,              7504661,,                260974,,              1541137,,                 17917,,              1471412,                    961,                108039,,,              1839585,              1839585,,              1809233,,                420449,              4069267,             14974368,,,              4474810,,                691248,,                161120,                278686,                439806,              5605864,             20580232,,,,              3936561,              3936561,,              1555193,,              5547788,,                658179,,             11697721,              7215701,             18913422,             39493654,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1532,2015年03月31日,,,,              2194733,,                117288,,                    619,,                250023,,              4438063,                  5522,              4432541,,                  5739,,                 57136,,                  8588,,             13335268,,                409716,,              1574556,                398536,              1973092,             22784743,,,                139454,,                969289,,             11299891,,                843837,,                588708,                 22208,,,                682913,,                511464,              1194377,             15057764,             37842507,,,,,              7337511,,                366204,,              1547221,,                 10571,,                865385,                  1103,                311088,,,              1591065,              1591065,,              1803473,,                457913,              3852451,             14291534,,,              2808246,,                692359,,                161715,                280703,                442418,              3943023,             18234557,,,,              3936561,              3936561,,              1556545,,              5994905,,                742295,,             12230306,              7377644,             19607950,             37842507,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1532,2014年12月31日,,,,              2121818,,                121632,,                    639,,                269584,,              4950608,                  5541,              4945067,,                  2625,,                 64996,,                  6275,,             14112174,,                464730,,              1453409,                370743,              1824152,             23933692,,,                129467,,                998915,,             11459910,,                845690,,                603917,                 22507,,,                683858,,                492874,              1176732,             15237138,             39170830,,,,,              6728051,,                408238,,              1807970,,                 16570,,              1017104,                  1554,                312920,,,              2167924,              2167924,,              2219323,                              0,                405791,              4793038,             15085445,,,              3599733,,                693210,,                163226,                283796,                447022,              4739965,             19825410,,,,              3936561,              3936561,,              1555102,,              5766220,,                798721,                              0,             12056604,              7288816,             19345420,             39170830,              0,              0,              0,              2121818,,                              0,,                              0,             39170830,,,,              6728051,,                408238,,              1807970,,                 16570,,              1017104,                  1554,                312920,                              0,,,              2167924,              2167924,,              2219323,                405791,              4793038,             15085445,,,              3599733,,                693210,,                163226,                283796,                447022,              4739965,             19825410,,,,              3936561,              3936561,,              1555102,,              5766220,,                798721,             12056604,              7288816,             19345420,,,
1532,2014年09月30日,,,,              1971284,,                124528,,                    639,,                274597,,              4305995,                  5474,              4300521,,                  1793,,                 99734,,                  8920,,             14639644,,                902075,,              1985142,                647387,              2632529,             24956264,,,                129423,,                920307,,             11302024,,                847541,,                587871,                 21524,,,                687064,,                481986,              1169050,             14977740,             39934004,,,,,              9249569,,                343436,,              1364438,,                 13240,,                937733,                    787,                312073,,,              2026196,              2026196,,                738022,                              0,                365185,              3129403,             15350679,,,              4998217,,                678500,,                160982,                177821,                338803,              6015520,             21366199,,,,              3936561,              3936561,,              1554338,,              5418044,,                591579,                              0,             11500522,              7067283,             18567805,             39934004,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1532,2014年06月30日,,,,              2033282,,                132406,,                    681,,                232660,,              3979937,                  5430,              3974507,,                  2804,,                 81930,,                  4934,,             14454103,,              1058435,,              1722499,                659688,              2382187,             24357929,,,                141829,,                922563,,             11240181,,                849392,,                586294,                 26871,,,                687037,,                479650,              1166687,             14933817,             39291746,,,,,              8457985,,                342431,,              1423151,,                 12181,,              1916663,                    865,                325971,,,              1642804,              1642804,,                795829,,                501371,              2940004,             15419251,,,              4753362,,                678441,,                164754,                121510,                286264,              5718067,             21137318,,,,              3936561,              3936561,,              1553013,,              5314938,,                449846,,             11254358,              6900070,             18154428,             39291746,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1532,2014年03月31日,,,,              2445378,,                161622,,                    622,,                239068,,              3948817,                  5466,              3943351,,                    911,,                121855,,                  4549,,             13591006,,              1017502,,              1656748,                674840,              2331588,             23857452,,,                144024,,                955826,,             11399708,,                851244,,                605949,                 27076,,,                686870,,                486179,              1173049,             15156876,             39014328,,,,,              8077703,,                328416,,              1383562,,                 14287,,                892067,                    773,                166187,,,              1496551,              1496551,,                322472,,                386923,              2205946,             13068941,,,              5336405,,                678505,,                166237,                 98097,                264334,              6279244,             19348185,,,,              3859374,              3859374,,              1553399,,              6575323,,                553778,,             12541874,              7124269,             19666143,             39014328,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1532,2013年12月31日,,,,,,                190092,,                    659,,                149636,,              3971805,                  5458,              3966347,,                  1831,,                 90876,,                  5507,,             13463178,,                902812,,              1776844,                376317,              2153161,             22610701,,,                144001,,                881631,,             11374484,,                853096,,                602029,                 26697,,,                687575,,                511594,              1199169,             15081107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              1686602,,                              0,,                              0,             37691808,,,,              6829214,,                345174,,              1605150,,                 12881,,              1024647,                  1639,                162451,                              0,,,              1299294,              1299294,,                274518,                301348,              1875160,             11856316,,,              5391562,,                678435,,                167084,                101438,                268522,              6338519,             18194835,,,,              3859374,              3859374,,              1554624,,              6491825,,                548996,             12454819,              7042154,             19496973,,,
1532,2013年09月30日,,,,,,                265398,,                    600,,                125076,,              3913461,                  5430,              3908031,,                  1011,,                 87460,,                  7850,,             12840308,,                841255,,                690108,                643649,              1333757,             23365129,,,                145496,,                848826,,             11234488,,                854947,,                604819,                 22265,,,                604275,,                503534,              1113574,             14824415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              1895756,,              2058627,,                  5765,             38189544,,,,              6691722,,                334829,,              1482898,,                 15693,,                949718,                    322,                171094,              2325212,,,              1058735,              1058735,,              1040269,                331380,              2430384,             14401872,,,              6416962,,                490832,,                168381,                 96598,                264979,              7172773,             21574645,,,,              3859374,              3859374,,              1620802,,              3981904,,                476899,              9938979,              6675920,             16614899,,,
1532,2013年06月30日,,,,,,                160787,,                    605,,                176784,,              3833675,                  5454,              3828221,,                  1198,,                111804,,                  4985,,             13310471,,                875116,,                675553,                624039,              1299592,             21538923,,,                151304,,                937696,,             13209835,,                834850,,                622830,                 22552,,,                603854,,                457775,              1070394,             16849461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              1769360,,,,                  8765,             38388384,,,,              7038659,,                621411,,              1651190,,                 15919,,              1140157,                    774,                154805,,,,              1570787,              1570787,,              1183860,                258994,              3013641,             13636556,,,              7548851,,                490879,,                165773,                 45198,                210971,              8250701,             21887257,,,,              3859374,              3859374,,              1614818,,              3765673,,                530063,              9769928,              6731199,             16501127,                              0,,
