證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 負債準備-非流動,　　　　　 員工福利負債準備－非流動,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 累積盈虧,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 透過損益按公允價值衡量之金融資產－非流動,　　　　 透過損益按公允價值衡量之金融資產－非流動合計,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 存入保證金,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 累積盈虧,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 負債準備-非流動,　　　　 員工福利負債準備－非流動,　　　　 負債準備－非流動合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 資本公積－發行溢價,　　　　　 資本公積－普通股股票溢價,　　　　　 資本公積－轉換公司債轉換溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－員工認股權,　　　　 資本公積－認股權,　　　 庫藏股票,　　　　 特別盈餘公積,　　　　 原始認列時指定為透過損益按公允價值衡量之金融資產－非流動,　　　　 預收股本
2383,2015年09月30日,,,,              3217970,,                              0,,                228729,,              7433455,,                 37236,,                              0,,,              2101711,              2101711,,                 69918,             13089019,,,                 18580,,              4858221,,                  3779,                 28185,,                 21486,                106995,,                303341,                303341,                431822,              5340587,             18429606,,,,,                185916,,                149716,,                  2704,,              5244276,,              1113171,                323091,,                 30243,,,                              0,                137500,                137500,                 17911,                155411,              7204528,,,              1394400,,                 35858,                 35858,,                438282,,                 20756,                 20756,              1889296,              9093824,,,,              3173231,              3173231,,                430877,,                740737,,              4260490,              4260490,              5001227,,,                719613,                719613,              9324948,                 10834,              9335782,             18429606,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2383,2015年06月30日,,,,              2583322,,                 15611,,                243973,,              6073536,,                 69445,,                              0,,,              1828535,              1828535,,                 47040,             10861462,,,                 17444,,              4842604,,                  3578,                 27677,,                 20863,                103554,,                292274,                292274,                416691,              5307994,             16169456,,,,,                256484,,                              0,,,,              4060166,,              1717061,                268036,,                 17411,,,                              0,                              0,                              0,                 31579,                 31579,              6350737,,,              1231600,,                 35834,                 35834,,                259108,,                 20143,                 20143,              1546685,              7897422,,,,              3166131,              3166131,,                425195,,                740737,,              3490530,              3490530,              4231267,,,                439930,                439930,              8262523,                  9511,              8272034,             16169456,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2383,2015年03月31日,,,,              2207068,,                  8880,,                350296,,              6272783,,                113466,,                 27234,,,              1893487,              1893487,,                 62217,             10935431,,,                 17692,,              4972208,,                  1407,                 27855,,                 18483,                105798,,                306664,                306664,                430945,              5450107,             16385538,,,,,                518682,,                              0,,,,              4414920,,              1056880,                200240,,                 20173,,,                  6965,                712500,                719465,                 15969,                735434,              6946329,,,                522000,,                 35828,                 35828,,                197394,,                 17601,                 17601,                772823,              7719152,,,,              3163921,              3163921,,                423845,,                586867,,              3956007,              3956007,              4542874,,,                526783,                526783,              8657423,                  8963,              8666386,             16385538,,              0,              0,,                              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2383,2014年12月31日,,,,              2168919,,                  1427,,                228614,,              6715068,,                 63865,,                  2596,,,              1845941,              1845941,,                 86963,             11113393,,,                 17890,,              5099578,,                  1614,                 27975,,                 18598,                107578,,                317267,                317267,                443443,              5590500,             16703893,,,,,                902493,,                199626,,                              0,,              4714485,,              1068330,                103914,,                 28555,,,                  9801,                712500,                722301,                 13962,                736263,              7753666,,,                521719,,                 35837,                 35837,,                199615,,                 17647,                 17647,                774818,              8528484,,,,              3159941,              3159941,,                419305,,                586867,,              3412810,              3412810,              3999677,,,                587189,                587189,              8166112,                  9297,              8175409,             16703893,              0,              0,              0,,                              0,,                              0,              2168919,                  2596,             16703893,,,,                902493,,                199626,,              4714485,,              1068330,                103914,,                 28555,,,                  9801,                712500,                722301,                 13962,                736263,              7753666,,,                              0,,                521719,,                199615,,                 17647,                 35837,                 53484,                774818,              8528484,,,,              3159941,              3159941,,                419305,,                586867,,              3412810,              3412810,              3999677,,,                587189,                587189,              8166112,                  9297,              8175409,,,,,,,,,,,,,,,
2383,2014年09月30日,,,,              2078180,,                  5911,,                283032,,              6336870,,                 26188,,                              0,,,              1998153,              1998153,,                135358,             10863692,,,                 17195,,              5078458,,                  2008,                 11336,,                 15280,                104989,,                288179,                288179,                408448,              5517445,             16381137,,,,,              1036540,,                199677,,                              0,,              4912283,,              1075532,                 84375,,                 23552,,,                 37822,                712500,                750322,                 18958,                769280,              8101239,,,                652688,,                 46859,                 46859,,                159990,,                 23099,                 23099,                882636,              8983875,,,,              3136011,              3136011,,                396328,,                586867,,              2861541,              2861541,              3448408,,,                397041,                397041,              7377788,                 19474,              7397262,             16381137,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2383,2014年06月30日,,,,              1540382,,                  4377,,                245634,,              5646763,,                 19347,,                              0,,,              1755544,              1755544,,                123057,              9335104,,,                 16881,,              5044446,,                  2462,                 11211,,                 16833,                103103,,                209963,                209963,                329899,              5404899,             14740003,,,,,                879918,,                199587,,,,              3967807,,              1431178,                 76057,,                 26766,,,                 38512,                462500,                501012,                 13129,                514141,              7095454,,,                652406,,                 46619,                 46619,,                132070,,                 21342,                 21342,                852437,              7947891,,,,              3130085,              3130085,,                390338,,                586867,,              2405984,              2405984,              2992851,,,                260725,                260725,              6773999,                 18113,              6792112,             14740003,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2383,2014年03月31日,,,,              1750863,,                  2670,,                377583,,              5207342,,                 18913,,                              0,,,              1658036,              1658036,,                128230,              9143637,,,                 17223,,              5051081,,                  3252,                 11301,,                 30327,                105754,,                211239,                211239,                347320,              5430419,             14574056,,,,,                896085,,                149644,,,,              3923090,,                837544,                 76721,,                 23418,,,                              0,                462500,                462500,                 11729,                474229,              6380731,,,                783375,,                 46451,                 46451,,                151464,,                 27332,                 27332,              1047330,              7428061,,,,              3127205,              3127205,,                386796,,                503265,,              2755578,              2755578,              3258843,,,                355413,                355413,              7128257,                 17738,              7145995,             14574056,,              0,              0,,                    242,,                 38708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2383,2013年12月31日,,,,,,                              0,,                329633,,              5233783,,                 20171,,,,,              1612170,              1612170,,                 77210,              9109439,,,                 16847,,              5093002,,                  3491,                  5006,,                 15285,                106911,,,                221353,                343549,              5461993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                     98,,,              1836472,                              0,             14571432,,,,              1598391,,                149635,,              3415782,,                906170,                 63481,,                 14260,,,                              0,                462500,                462500,                 12213,                474713,              6622432,,,                 41228,,                783094,,                149025,,                 22044,                 46111,                 68155,              1041502,              7663934,,,,              3124138,              3124138,,                381700,,                503265,,              2506830,              2506830,              3010095,,,                374338,                374338,              6890271,                 17227,              6907498,,,,,,,,,,,,,,,
2383,2013年09月30日,,,,,,                              0,,                355641,,              5618297,,                 22137,,,,,              2071341,              2071341,,                 89278,              9401247,,,                 16715,,              4943128,,                  4019,                 12530,,                 17431,                105775,,                197461,                197461,                320667,              5297250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                    191,,,              1244553,,             14698497,,,,              1571715,,                149626,,              3828435,,                936743,                 72563,,                 13797,,,                              0,                331250,                331250,                 11348,                342598,              6915477,,,                 41019,,                914062,,                137948,,                 19145,,                 19145,              1168231,              8083708,,,,              3115708,              3115708,,                372192,,                503265,,              2317929,              2317929,              2821194,,,                289281,                289281,              6598375,                 16414,              6614789,,                 56057,                 56057,,,,,,,,,,,,
2383,2013年06月30日,,,,,,                              0,,                216264,,              5426640,,                 17496,,,,,              1939103,              1939103,,                 79575,              9183893,,,                 16958,,              4855315,,                  4757,                 12562,,                 17356,                107722,,                184057,                184057,                309135,              5199041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                    314,,,              1504815,,             14382934,,,,              1529443,,                              0,,              3587563,,              1446718,                 78621,,                 11900,,,                              0,                131250,                131250,                 14243,                145493,              6799738,,,                 41865,,                913781,,                148820,,                 37381,,                 37381,              1197656,              7997394,,,,              3110562,              3110562,,                365610,,                503265,,              2047780,              2047780,              2551045,,,                342365,                342365,              6369582,                 15958,              6385540,,                 55809,                 55809,,,,,,,,,,,,
