證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益－其他,　　　　　　 其他權益－其他合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益－其他,　　　　　 其他權益－其他合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　 當期所得稅負債,　　　　 待分配股票股利
1441,2015年09月30日,,,,                116827,,                 39826,,                 10648,,                203806,,                  3655,,                383928,,                  8972,,                  2129,                769791,,,                 93208,,                    530,,                412434,,              1348087,,                 11175,                 41370,,                102397,              2009201,              2778992,,,,,                444558,,                 42644,,                 59961,,                 75496,,,                177456,                 11329,                188785,                811444,,,                863774,,                204002,,                 82806,              1150582,              1962026,,,,                897991,                897991,,,                 16710,                    115,                     16,                 16841,,                  9245,                127253,,               -245284,               -108786,,,                  8303,,                  2398,,                    219,                 10920,                              0,                816966,                816966,              2778992,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1441,2015年06月30日,,,,                124280,,                 40484,,                 19926,,                179365,,                  9137,,                457517,,                  6611,,                  5129,                842449,,,                125507,,                    530,,                403033,,              1336996,,                  7275,                 40588,,                 83213,              1997142,              2839591,,,,,                472305,,                 38968,,                 59798,,                 70607,,,                172486,                 11646,                184132,                826605,,,                892080,,                202282,,                 85170,              1179532,              2006137,,,,                897991,                897991,,,                 16710,                    115,                     16,                 16841,,                  9245,                127253,,               -226882,                -90384,,,                  4348,,                  4439,,                    219,                  9006,                              0,                833454,                833454,              2839591,              0,              0,              0,,                    795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1441,2015年03月31日,,,,                213146,,                 34461,,                 16443,,                191876,,                  5024,,                398817,,                 11274,,                  1218,                872259,,,                132758,,                    530,,                414537,,              1357077,,                  7799,                 37543,,                 83678,              2033922,              2906181,,,,,                567152,,                 46942,,                 89493,,                 62733,,,                169668,                 22434,                192102,                958422,,,                811339,,                201988,,                 87679,              1101006,              2059428,,,,                897991,                897991,,,                 16710,                    115,                     16,                 16841,,                  9245,                127253,,               -218983,                -82485,,,                  7085,,                  7102,,                    219,                 14406,                              0,                846753,                846753,              2906181,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1441,2014年12月31日,,,,                 93317,,                 35472,,                 13182,,                190528,,                  4635,,                392220,,                 20086,,                  1241,                750681,,,                136252,,                    530,,                417803,,              1370892,,                  8324,                 36072,,                 86020,              2055893,              2806574,,,,,                449270,,                 45770,,                 60143,,                 60045,,,                127500,                 28123,                155623,                770851,,,                857459,,                202194,,                 90248,              1149901,              1920752,,,,                917531,                917531,,,                 17073,                              0,                     16,                 17089,,                  9245,                127253,,               -185992,                -49494,,,                  9535,,                 10730,,                    219,                 20484,                 19788,                885822,                885822,              2806574,              0,              0,      1954000,,                              0,                 93317,              2806574,,,,                449270,,                 45770,,                 60143,,                 60045,,,                127500,                 28123,                155623,                770851,,,                857459,,                202194,,                 90248,              1149901,              1920752,,,,                917531,                917531,,,                 17073,                     16,                 17089,,                  9245,                127253,,               -185992,                -49494,,,                  9535,,                 10730,,                    219,                 20484,                 19788,                885822,                885822,,
1441,2014年09月30日,,,,                158985,,                 33809,,                 18161,,                149088,,                  5314,,                404766,,                 33866,,                  1424,                805413,,,                131262,,                  2769,,                411117,,              1352227,,                    149,                 35037,,                110065,              2042626,              2848039,,,,,                530007,,                 38071,,                 55562,,                 65131,,,                 80449,                 28697,                109146,                797917,,,                790526,,                202489,,                 85465,              1078480,              1876397,,,,                917531,                917531,,,                 17073,                              0,                     16,                 17089,,                  9245,                127253,,                -90876,                 45622,,,                  5272,,                  5697,,                    219,                 11188,                 19788,                971642,                971642,              2848039,              0,              0,      1954000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1441,2014年06月30日,,,,                121918,,                 36431,,                 23950,,                114012,,                  3325,,                496837,,                 14383,,                  1304,                812160,,,                135761,,                  2769,,                402965,,              1325149,,                    161,                 33978,,                102827,              2003610,              2815770,,,,,                469775,,                 40985,,                 33202,,                 66108,,,                 40158,                 18900,                 59058,                669128,,,                827114,,                201986,,                 88080,              1117180,              1786308,,,,                917531,                917531,,,                 17073,                              0,                     16,                 17089,,                  9245,                127253,,                -30238,                106260,,,                    851,,                  7300,,                    219,                  8370,                 19788,              1029462,              1029462,              2815770,              0,              0,      1954000,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1441,2014年03月31日,,,,                158629,,                 36162,,                 27487,,                117675,,                 32626,,                331776,,                  7355,,                  3879,                715589,,,                133718,,                  2769,,                406371,,              1300524,,                    173,                 33289,,                120493,              1997337,              2712926,,,,,                531200,,                 42056,,                 37332,,                 57371,,,                              0,                 10226,                 10226,                678185,,,                677774,,                201932,,                 90602,                970308,              1648493,,,,                917531,                917531,,,                 17073,                              0,                     16,                 17089,,                  9245,                127384,,                    416,                137045,,,                  7100,,                  5237,,                    219,                 12556,                 19788,              1064433,              1064433,              2712926,              0,              0,      1954000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1441,2013年12月31日,,,,,,                 38391,,                 21822,,                146219,,                 19152,,                320204,,                  7358,,                  2927,                743525,,,                130504,,                  2769,,                397311,,              1065352,,                    185,                 32157,,                182276,              1810554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      1954000,,,                187452,              2554079,,,,                385162,,                 32385,,                 48324,,                 88884,,,                              0,                  7374,                  7374,                562129,,,                625115,,                200915,,                 93204,                919234,              1481363,,,,                917531,                917531,,,                 17073,                     16,                 17089,,                  9245,                127384,,                 16355,                152984,,,                  2608,,                  2073,,                    219,                  4900,                 19788,              1072716,              1072716,                              0,                              0
1441,2013年09月30日,,,,,,                 41918,,                 29867,,                124323,,                  3052,,                288584,,                 36570,,                  2643,                683629,,,                128624,,                  2769,,                384668,,                828421,,                    221,                 31850,,                164385,              1540938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      1954000,,,                156672,              2224567,,,,                160002,,                 48185,,                 35832,,                 78271,,,                              0,                 10874,                 10874,                333164,,,                524956,,                200279,,                 97083,                822318,              1155482,,,,                917531,                917531,,,                 17073,                     16,                 17089,,                  9245,                127384,,                 18186,                154815,,,                   -920,,                    139,,                    219,                   -562,                 19788,              1069085,              1069085,                              0,
1441,2013年06月30日,,,,,,                 41930,,                 48583,,                125776,,                  3620,,                358764,,                 26349,,                  1737,                914358,,,                128908,,                  2769,,                379588,,                790739,,                  1295,                 32190,,                133941,              1469430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      1954000,,,                307599,              2383788,,,,                374496,,                 47741,,                 33370,,                 81074,,,                              0,                 11369,                 11369,                548050,,,                444797,,                199874,,                 99459,                744130,              1292180,,,,                899923,                917531,,,                 17073,                     16,                 17089,,                  9245,                127384,,                 35523,                172152,,,                  4019,,                    386,,                    219,                  4624,                 19788,              1091608,              1091608,                              0,                 17608
