證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　　 應收帳款淨額,　　　　 應收帳款,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 商譽,　　　　 其他無形資產,　　　　　 其他無形資產淨額,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 長期應收票據及款項,　　　　　 長期應收租賃款,　　　　　 長期應收票據及款項淨額,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　 待註銷股本股數,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 當期所得稅資產,　　　　 當期所得稅資產合計
2433,2015年09月30日,,,,                491128,,              1614305,,                 72998,,                 18880,,                313537,                313537,,                134065,,                 11119,,                164110,,                203182,              3023324,,,                584385,,              2898903,,                258216,,                238979,,                  1639,                240618,                 32922,,                              0,,                222010,                222010,,                 13513,                235523,              4250567,              7273891,,,,,              1067840,,              1159507,,                 60789,,                146356,,                 95958,                 95958,                 15890,,                 52443,              2598783,,,                500000,,                147886,                 42142,                190028,                690028,              3288811,,,,              1444960,              1444960,,                 41153,,                557471,,                543449,              1100920,,                906956,              3493989,                491091,              3985080,              7273891,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2433,2015年06月30日,,,,                602507,,              1662734,,                 64711,,                 10908,,                297695,                297695,,                130910,,                  8180,,                136916,,                173045,              3087606,,,                601917,,              2733237,,                259142,,                238979,,                  1513,                240492,                 32341,,                              0,,                223386,                223386,,                 14227,                237613,              4104742,              7192348,,,,,              1016301,,                909753,,                 54426,,                139930,,                559376,                559376,                 28347,,                 46771,              2754904,,,                500000,,                147455,                 11832,                159287,                659287,              3414191,,,,              1444960,              1444960,,                 36172,,                557471,,                336088,                893559,,                926475,              3301166,                476991,              3778157,              7192348,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2433,2015年03月31日,,,,                443475,,              1841163,,                 59109,,                 22662,,                274060,                274060,,                133306,,                 10746,,                148848,,                154853,              3088222,,,                627630,,              2644637,,                260067,,                238979,,                  1702,                240681,                 34238,,                              0,,                219405,                219405,,                 12838,                232243,              4039496,              7127718,,,,,              1351807,,              1009681,,                 43079,,                139824,,                 76042,                 76042,                 53987,,                 36002,              2710422,,,                              0,,                147010,                  6086,                153096,                153096,              2863518,,,,              1444960,              1444960,,                 36172,,                508314,,                715265,              1223579,,              1082169,              3786880,                477320,              4264200,              7127718,              0,              0,,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2433,2014年12月31日,,,,                 99951,,              1868592,,                 62887,,                 22234,,                232287,                232287,,                119024,,                  8136,,                159070,,                143883,              2716064,,,                636980,,              2636980,,                260993,,                238979,,                  1670,                240649,                 39323,,                130694,,                229672,                229672,,                 10325,                370691,              4185616,              6901680,,,,,              1508056,,                659753,,                 57322,,                153981,,                106594,                106594,                 48593,,                 36191,              2570490,,,                250000,,                169544,                  3722,                173266,                423266,              2993756,,,,              1444960,              1444960,,                 36172,,                508314,,                625031,              1133345,,              1132255,              3746732,                161192,              3907924,              6901680,              0,              0,              0,,                              0,                 99951,              6901680,,,,              1508056,,                659753,,                 57322,,                153981,,                106594,                106594,                 48593,,                 36191,              2570490,,,                250000,,                169544,                  3722,                173266,                423266,              2993756,,,,              1444960,              1444960,,                 36172,,                508314,,                625031,              1133345,,              1132255,              3746732,                161192,              3907924,,,,
2433,2014年09月30日,,,,                 89941,,              1066412,,                 64750,,                 31134,,                263929,                263929,,                106610,,                  5476,,                118992,,                125842,              1873086,,,              1161998,,              2491014,,                261801,,                238979,,                  1772,                240751,                 37277,,                              0,,                228854,                228854,,                  7873,                236727,              4429568,              6302654,,,,,              1062626,,                409908,,                 55783,,                195566,,                 92770,                 92770,                 29978,,                 41507,              1888138,,,                600000,,                159572,                  5580,                165152,                765152,              2653290,,,,              1444960,              1444960,,                 36172,,                508314,,                552628,              1060942,,                953594,              3495668,                153696,              3649364,              6302654,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2433,2014年06月30日,,,,                164289,,              1136648,,                 66610,,                 33505,,                251064,                251064,,                141969,,                 20326,,                124141,,                105307,              2043859,,,              1195791,,              2326670,,                262526,,                238979,,                  1924,                240903,                 36542,,                 29045,,                232126,                232126,,                  7184,                268355,              4330787,              6374646,,,,,                936490,,                359924,,                 49504,,                118084,,                669345,                669345,                 42357,,                 36932,              2212636,,,                400000,,                159394,                  5389,                164783,                564783,              2777419,,,,              1444960,              1444960,,                 36172,,                508314,,                337984,                846298,,              1121573,              3449003,                148224,              3597227,              6374646,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2433,2014年03月31日,,,,                205690,,              1249533,,                 61933,,                 31068,,                213762,                213762,,                132039,,                 11534,,                 97303,,                 86459,              2089321,,,              1008806,,              2224512,,                242383,,                238979,,                  2131,                241110,                 38007,,                168007,,                229667,                229667,,                  7529,                405203,              4160484,              6249805,,,,,                753831,,                709787,,                 40954,,                105264,,                 91469,                 91469,                 63005,,                 40886,              1805196,,,                150000,,                159028,                  4596,                163624,                313624,              2118820,,,,              1444960,              1444960,,                 36172,,                428236,,                867678,              1295914,,              1204019,              3981065,                149920,              4130985,              6249805,              0,              0,,,                    463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2433,2013年12月31日,,,,,,              1440903,,                 61104,,                 38325,,                195972,                195972,,                110274,,                 17403,,                131161,,                 72124,              2195916,,,              1122476,,              2153204,,                242770,,                238979,,                  2342,                241321,                 37715,,                 18529,,                238418,                238418,,                  6962,                263909,              4061858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                    463,                128650,              6257774,,,,                983825,,                459755,,                 55648,,                143103,,                112223,                112223,                 48110,,                 36742,              1839406,,,                              0,,                159059,                     94,                159153,                159153,              1998559,,,,              1444960,              1444960,,                 36172,,                428236,,                800785,              1229021,,              1549062,              4259215,                              0,              4259215,,                              0,,
2433,2013年09月30日,,,,,,              1104265,,                 63339,,                 33398,,                214609,                214609,,                111338,,                  5931,,                143297,,                 57138,              1978921,,,              1350972,,              1998113,,                243158,,                238979,,                  2525,                241504,                 34374,,                  7542,,                240597,                240597,,                  8683,                256822,              4125406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                    463,                245606,              6104327,,,,                917552,,                449856,,                 42372,,                113267,,                 87442,                 87442,                 31920,,                 27925,              1670334,,,                200000,,                136002,                  3748,                139750,                340932,              2011266,,,,              1444960,              1444960,,                 36172,,                428236,,                753253,              1181489,,              1430440,              4093061,                              0,              4093061,,                  1182,,
2433,2013年06月30日,,,,,,              1019599,,                 83497,,                 13965,,                221762,                221762,,                 99772,,                  5267,,                148908,,                 40635,              1744031,,,              1247389,,              1883797,,                243546,,                238979,,                  2957,                241936,                 34372,,                              0,,                240967,                240967,,                  7986,                248953,              3900456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                    463,                110626,              5644487,,,,                608481,,                299854,,                 42105,,                124328,,                447099,                447099,                 39960,,                 38379,              1600206,,,                180000,,                136226,                  3707,                139933,                321208,              1921414,,,,              1444960,              1444960,,                 36172,,                428236,,                566338,                994574,,              1247367,              3723073,                              0,              3723073,,                  1275,,
