證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 預付投資款,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　　 其他應付款－其他,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 其他權益－其他,　　　　　　 其他權益－其他合計,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　　 其他應付款－其他,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 其他權益－其他,　　　　　 其他權益－其他合計,　　　　 土地淨額,　　　　　 土地淨額,　　　　 房屋及建築淨額,　　　　　 房屋及建築淨額,　　　　 水電設備淨額,　　　　　 水電設備淨額,　　　　 運輸設備淨額,　　　　　 運輸設備淨額,　　　　 辦公設備淨額,　　　　　 辦公設備淨額,　　　　 營業器具淨額（觀光飯店業適用）,　　　　　 營業器具淨額（觀光飯店業適用）,　　　　 租賃改良淨額,　　　　　 租賃改良淨額,　　　　 其他設備淨額,　　　　　 其他設備淨額,　　　　 未完工程及待驗設備,　　　　 存入保證金
8940,2015年09月30日,,,,                196970,,                              0,,                  1817,,                 26338,,                 21800,,                              0,,                 75415,,                 30079,,                    774,                353193,,,              1168015,,                  2145,                  4726,,                 40310,                 24000,,                 41605,                105915,              1280801,              1633994,,,,,                292954,,                              0,,                  1379,,                 50502,,                109764,                  1382,,,                148984,,                              0,                  3329,                152313,                608294,,,                230000,,                 22269,                      7,                 22276,                252276,                860570,,,,                674910,                674910,,                127463,,                 97776,                              0,,               -173229,                -75453,,                 28002,                754922,                 18502,                773424,              1633994,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8940,2015年06月30日,,,,                136690,,                              0,,                  1385,,                 47864,,                 72984,,                  6297,,                 74727,,                 28735,,                  1287,                369969,,,              1193002,,                  2145,                  5332,,                 38436,                 24000,,                 45243,                107679,              1308158,              1678127,,,,,                306866,,,,                 30110,,                 50176,,                111296,                 14901,,,                133158,,                100000,                  4078,                237236,                750585,,,                 60000,,                 22259,                      8,                 22267,                 82267,                832852,,,,                674910,                674910,,                127463,,                 97776,                              0,,                -92613,                  5163,,                 17293,                824829,                 20446,                845275,              1678127,,              0,              0,,                 74727,                111296,,                127463,,                 17293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8940,2015年03月31日,,,,                190768,,                              0,,                  2024,,                 73109,,                 73300,,                  6297,,                 73350,,                 26036,,                  1655,                446539,,,              1225740,,                  2145,                  5577,,                 38731,,,                 50652,                 89383,              1322845,              1769384,,,,,                250115,,,,                 41761,,                 35503,,                114282,                 16692,,,                137571,,                200000,                  4131,                341702,                800055,,,                 80000,,                 22408,                      8,                 22416,                102416,                902471,,,,                674910,                674910,,                127463,,                 97776,                              0,,                -78519,                 19257,,                 21731,                843361,                 23552,                866913,              1769384,,              0,              0,,                 73350,                114282,,                127463,,                 21731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8940,2014年12月31日,,,,                205196,,                              0,,                  1575,,                 45527,,                 79048,,                  6297,,                101230,,                 26205,,                    127,                465205,,,              1244441,,                  2145,                  5280,,                 43829,                              0,,                 52020,                 95849,              1347715,              1812920,,,,,                303201,,                              0,,                 31530,,                 60312,,                153262,                  4787,,,                150896,,                100000,                  5059,                255955,                809047,,,                150000,,                 22611,                     18,                 22629,                172629,                981676,,,,                674910,                674910,,                127463,,                 97776,                              0,,               -123508,                -25732,,                 25639,                802280,                 28964,                831244,              1812920,              0,              0,              0,,                101230,                153262,,                127463,,                 25639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8940,2014年09月30日,,,,                200020,,                              0,,                  2971,,                 37170,,                 82248,,                  6297,,                100738,,                 23666,,                  4979,                458089,,,              1191323,,                  2145,                  2155,,                 40059,                              0,,                 48201,                 88260,              1283883,              1741972,,,,,                293353,,                 50000,,                 23088,,                 58687,,                129789,                  2233,,,                164221,,                150000,                  3292,                317513,                874663,,,                 50000,,                 12665,                     31,                 12696,                 62696,                937359,,,,                674910,                674910,,                127463,,                 97776,                              0,,               -143617,                -45841,,                 14353,                770885,                 33728,                804613,              1741972,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8940,2014年06月30日,,,,                148151,,                 13040,,                  1270,,                 33712,,                 97479,,                  7188,,                 68301,,                 14411,,                    683,                384235,,,              1158503,,                  2145,                  2196,,                 32704,                              0,,                 39639,                 72343,              1235187,              1619422,,,,,                145291,,,,                 28630,,                 54821,,                137339,                  9021,,,                141181,,                 50000,                  3829,                195010,                570112,,,                150000,,                 12917,                     39,                 12956,                162956,                733068,,,,                674910,                674910,,                127463,,                 97776,                              0,,                -58026,                 39750,,                  8275,                850398,                 35956,                886354,              1619422,,              0,              0,,                 68301,                137339,,                127463,,                  8275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8940,2014年03月31日,,,,                162276,,                 10815,,                  2651,,                 40132,,                127032,,                  7204,,                 70362,,                 17203,,                    872,                438547,,,              1210095,,                  2145,                  1113,,                 31335,,,                 45395,                 76730,              1290083,              1728630,,,,,                147741,,,,                 27933,,                 50531,,                134079,                  7787,,,                155864,,                100000,                  3727,                259591,                627662,,,                150000,,                 13153,                     53,                 13206,                163206,                790868,,,,                674910,                674910,,                127463,,                 97776,                  2517,,                -27077,                 73216,,                 12167,                887756,                 50006,                937762,              1728630,,              0,              0,,                 70362,                134079,,                127463,,                 12167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8940,2014年01月01日,,,,                253644,,                  9723,,                  3543,,                 50851,,                 61482,,                  7208,,                 89818,,                 21611,,                  1004,                498884,,,              1152695,,                  2145,                  1156,,                 31904,                              0,,                 55508,                 87412,              1243408,              1742292,,,,,                148346,,                              0,,                 34803,,                 69360,,                 99370,                              0,,,                166510,,                100000,                  5319,                271829,                623708,,,                180000,,                 13407,                     72,                 13479,                193479,                817187,,,,                674910,                674910,,                127463,,                 97776,                  2517,,                -42965,                 57328,,                 12439,                872140,                 52965,                925105,              1742292,              0,              0,              0,,                 89818,                 99370,,                127463,,                 12439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8940,2013年12月31日,,,,,,                  9723,,                  3543,,                 50851,,                 61482,,,,                 89818,,                 21611,,                  1004,                498884,,,              1152695,,                  2145,                  2876,,                 31904,,,                 55508,                 87412,              1245128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,,,,                253644,                  7208,              1744012,,,,                148346,,                 34803,,                 69360,,                 99370,                              0,,,                166510,,                100000,                  5319,                271829,                623708,,,                180000,,                 23527,                     72,                 23599,                203599,                827307,,,,                674910,                674910,,                127463,,                 97776,                  2517,,                -51365,                 48928,,                 12439,                863740,                 52965,                916705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8940,2013年09月30日,,,,,,                 10465,,                  2349,,                 36039,,                 71642,,,,                 83482,,                 23826,,                  1436,                520070,,,              1085529,,                  2145,                  3381,,                 28293,,,                 66453,                 94746,              1185801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,,,,                290831,                              0,              1705871,,,,                205472,,                 17689,,                 45841,,                 77463,                              0,,,                139808,,                100000,                  2737,                242545,                589010,,,                180000,,                 19928,                      8,                 19936,                200206,                789216,,,,                674910,                674910,,                127463,,                 97776,                  2517,,                -46793,                 53500,,                  5145,                861018,                 55637,                916655,,                              0,,                              0,,                    270,,,,,,,,,,,,,,,,,,,,,,,
