證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 應付薪資,　　　　　 其他應付款合計,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 法定盈餘公積,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 應付薪資,　　　　 其他應付款合計,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額
6243,2015年09月30日,,,,                304185,,                228822,                228822,,                176670,,                  5950,,                105861,,                 85072,                 18790,                103862,                925350,,,                              0,,                  3884,,                 18367,,                  7170,                  4069,,,                  3622,,                              0,                  3622,                 37112,                962462,,,,,                              0,,                 57877,,                  5626,,                 13681,                 13681,,                 14289,                 91473,,,                  4465,,                  1736,                  1736,                  6201,                 97674,,,,                752977,                752977,,                216970,,,               -101561,               -101561,,,                    748,                    748,                  4346,                864788,                              0,                864788,                962462,              0,              0,        321000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6243,2015年06月30日,,,,                384010,,                166044,                166044,,                144518,,                  3523,,                118438,,                 85105,                 12830,                 97935,                914468,,,,,                  4362,,                 18460,,                  8609,                  4069,,,                  3611,,                              0,                  3611,                 39111,                953579,,,,,                              0,,                 47622,,                  2910,,                 14978,                 14978,,                 14765,                 80275,,,                  4465,,                  1829,                  1829,                  6294,                 86569,,,,                752977,                752977,,                216970,,,                -99128,                -99128,,,                    537,                    537,                  4346,                867010,                              0,                867010,                953579,              0,              0,        321000,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6243,2015年03月31日,,,,                295596,,                229188,                229188,,                 35985,,                162498,,                121985,,                 85193,                 17259,                102452,                947704,,,                              0,,                  4089,,                 18349,,                  8489,                  4069,,,                  3615,,                              0,                  3615,                 38611,                986315,,,,,                              0,,                 31095,,                  3659,,                 13523,                 13523,,                 15329,                 63606,,,                  4465,,                  1920,                  1920,                  6385,                 69991,,,,                752977,                752977,,                303334,,,               -136202,               -136202,,,                    696,                    696,                  4481,                916324,                              0,                916324,                986315,              0,              0,        331000,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6243,2014年12月31日,,,,                392632,,                191455,                191455,,                 53522,,                184859,,                130969,,                 85095,                 20712,                105807,              1059244,,,                              0,,                  4605,,                 12162,,                 10152,                  4069,,,                  3619,,                              0,                  3619,                 34607,              1093851,,,,,                              0,,                 84936,,                  5153,,                 16003,                 16003,,                 16675,                122767,,,                  4465,,                  2010,                  2010,                  6475,                129242,,,,                752977,                752977,,                303334,,,                -87256,                -87256,,,                     35,                     35,                  4481,                964609,                              0,                964609,              1093851,              0,              0,        331000,                              0,                392632,              1093851,,,,                              0,,                 84936,,                  5153,,                 16003,                 16003,,                 16675,                122767,,,                  4465,,                  2010,                  2010,                  6475,                129242,,,,                752977,                752977,,                303334,,                              0,,                -87256,                -87256,,,                     35,                     35,                  4481,                964609,                              0,                964609
6243,2014年09月30日,,,,                339292,,                307145,                307145,,                 58037,,                186728,,                106169,,                 85126,                 23551,                108677,              1106048,,,                              0,,                  4974,,                 12599,,                 11821,                  3155,,,                  3618,,                              0,                  3618,                 36167,              1142215,,,,,                 30285,,                 94953,,                  6492,,                 10859,                 10859,,                 16015,                158604,,,                  1645,,                  3225,                  3225,                  4870,                163474,,,,                752977,                752977,,                303334,,,                -73323,                -73323,,,                    234,                    234,                  4481,                978741,                              0,                978741,              1142215,              0,              0,        331000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6243,2014年06月30日,,,,                352863,,                341376,                341376,,                 58327,,                184274,,                 78803,,                 87625,                 13943,                101568,              1117211,,,,,                  5393,,                 11086,,                 10564,                  3155,,,                  3252,,                              0,                  3252,                 33450,              1150661,,,,,                 37765,,                 76475,,                  5825,,                  9106,                  9106,,                 16576,                145747,,,                  1645,,                  3321,                  3321,                  4966,                150713,,,,                752977,                752977,,                303334,,,                -52748,                -52748,,,                    866,                    866,                  4481,                999948,                              0,                999948,              1150661,              0,              0,        331000,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6243,2014年03月31日,,,,                375927,,                305016,                305016,,                 78549,,                161922,,                 79241,,                 52020,                 28630,                 80650,              1081305,,,                              0,,                  3537,,                 13231,,                 13331,                  3155,,,                  3229,,                              0,                  3229,                 36483,              1117788,,,,,                 10500,,                 64010,,                  6657,,                  9372,                  9372,,                 15466,                106005,,,                  1645,,                  3416,                  3416,                  5061,                111066,,,,                752977,                752977,,                365641,,,                -85139,                -85139,,,                    305,                    305,                 27062,              1006722,                              0,              1006722,              1117788,              0,              0,      2000000,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6243,2013年12月31日,,,,,,                 93330,                 93330,,                 53491,,                199892,,                 78160,,                 51606,                 25134,                 76740,              1099895,,,,,                  4271,,                 15336,,                 12432,                  3155,,,                  3591,,                              0,                  3591,                 38785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      2000000,,                598282,              1138680,,,,                 11000,,                 70099,,                  7499,,                 11798,                 11798,,                 16586,                116982,,,                  1645,,                  3514,                  3514,                  5159,                122141,,,,                752977,                752977,,                365641,,                              0,,                -76918,                -76918,,,                  1901,                  1901,                 27062,              1016539,                              0,              1016539
6243,2013年09月30日,,,,,,                 67747,                 67747,,                 77050,,                167889,,                104140,,                 57506,                 31754,                 89260,              1130095,,,                              0,,                  7428,,                 16424,,                 13135,                  6732,,,                  3591,,                              0,                  3591,                 47310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      2000000,,                624009,              1177405,,,,                 12000,,                 77351,,                  6679,,                  8127,                  8127,,                 15441,                119598,,,                              0,,                  4348,                  4348,                  4348,                123946,,,,                752977,                752977,,                371974,,,,                -46947,                -46947,,,                  1335,                  1335,                 27062,              1052277,                  1182,              1053459
6243,2013年06月30日,,,,,,                169520,                169520,,                 54976,,                167139,,                109823,,                 40437,                 23740,                 64177,              1156787,,,,,                  7990,,                 17837,,                  9962,                  6732,,,                  5380,,                  2304,                  7684,                 50205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      2000000,,                591152,              1206992,,,,                 12000,,                 77622,,                 11738,,                  8107,                  8107,,                 21524,                130991,,,                              0,,                  4240,                  4240,                  4240,                135231,,,,                752977,                752977,,                371974,,                              0,,                -29933,                -29933,,,                  2481,                  2481,                 27062,              1070437,                  1324,              1071761
