證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債務工具投資－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 銀行借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 應付股利,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　　　 無活絡市場之債券投資－非流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 其他應付款－其他,　　　　 應付股利,　　　 庫藏股票,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 短期借款,　　　　 短期借款合計,　　　　 存入保證金
3515,2015年09月30日,,,,              3690261,,                              0,,              1078462,,              3280064,,                103770,              8152557,,,                    416,,                  4395,                  4395,,                231905,,                 10307,                 26747,,                 10176,                 10176,                283946,              8436503,,,,,                340000,                340000,,                    840,,              1578645,,                503333,                503333,                 56282,,                127436,              2606536,,,                    662,,                 19560,                 19560,                 20222,              2626758,,,,              1150416,              1150416,,              2799780,,              1292045,                 68672,,                407412,              1768129,,                 82990,              5801315,                  8430,              5809745,              8436503,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3515,2015年06月30日,,,,              1258305,,              2606070,,                829985,,              2630535,,                126075,              7450970,,,                    391,,                  8386,                  8386,,                212820,,                    978,                 40506,,                  7736,                  7736,                270817,              7721787,,,,,                400000,                400000,,                  1260,,                761295,,                396797,                856964,                 80554,,                 65505,              2165578,,,                    586,,,                 44447,                 45033,              2210611,,,,              1150416,              1150416,,              2799780,,              1292045,                 68672,,                344601,              1705318,,               -165912,              5489602,                 21574,              5511176,              7721787,              0,              0,              0,                460167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3515,2015年03月31日,,,,              1335757,,              1327078,,                800068,,              3144383,,                160052,              6767338,,,                343199,,,                 12983,,                214035,,                  1121,                 39890,,                  6315,                  6315,                617543,              7384881,,,,,,,,,,                834532,,,                380292,                 46932,,                102280,              1364036,,,                    588,,,                 19020,                 19608,              1383644,,,,              1150416,              1150416,,              2799780,,              1241435,                294017,,                598315,              2133767,,               -111651,              5972312,                 28925,              6001237,              7384881,,              0,              0,,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3515,2014年12月31日,,,,                610033,,              1612659,,                917892,,              3771467,,                156684,              7068735,,,                337953,,                 17247,                 17247,,                217132,,                  1073,                 35360,,                  7302,                  7302,                616067,              7684802,,,,,                              0,                              0,,                              0,,              1147888,,                460073,                460073,                 26545,,                 62004,              1696510,,,                  7193,,                 18243,                 18243,                 25436,              1721946,,,,              1150416,              1150416,,              2798923,,              1241435,                294017,,                509518,              2044970,,                -68672,              5925637,                 37219,              5962856,              7684802,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3515,2014年09月30日,,,,                514240,,                935219,,              1001302,,              3625246,,                234945,              6310952,,,                947069,,                 22605,                 22605,,                209246,,                  1279,                 28622,,                  8694,                  8694,              1217515,              7528467,,,,,                              0,                              0,,                    840,,              1252090,,                504328,                504328,                              0,,                 50373,              1807631,,,                    160,,                 21766,                 21766,                 21926,              1829557,,,,              1150416,              1150416,,              2798923,,              1241435,                294017,,                390736,              1926188,,               -218837,              5656690,                 42220,              5698910,              7528467,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3515,2014年06月30日,,,,                930072,,              2421792,,                701602,,              3587857,,                244514,              7885837,,,                334423,,                 26899,                 26899,,                203333,,                    447,                 28130,,                  8204,                  8204,                601436,              8487273,,,,,                              0,                              0,,                  1260,,              1284403,,                485237,              1586876,                 52322,,                 53321,              2978182,,,                              0,,,                 21309,                 21309,              2999491,,,,              1150416,              1150416,,              2798923,,              1241435,                294017,,                240711,              1776163,,               -284468,              5441034,                 46748,              5487782,              8487273,              0,              0,              0,              1101639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3515,2014年03月31日,,,,              1586177,,              2293832,,                915997,,              3272419,,                148856,              8233331,,,                513575,,,                              0,,                 77396,,                    725,                 26155,,                  8213,                  8213,                626064,              8859395,,,,,,,,,,              1427912,,,                528159,                110819,,                 88420,              2155310,,,                    168,,,                 20853,                 21021,              2176331,,,,              1150416,              1150416,,              2798923,,              1135293,                347585,,              1408111,              2890989,,               -210141,              6630187,                 52877,              6683064,              8859395,,              0,              0,,,                 16050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3515,2013年12月31日,,,,,,,,                905364,,              3487853,,                163767,              6849443,,,,,                              0,                              0,,                 74182,,                    170,                 26471,,                  9191,                  9191,              2154262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,                 11415,              2126236,                154808,              2044248,              9003705,,,,                    420,,              1915124,,                557498,                 71528,,                 90935,              2635505,,,                    165,,                 20395,                 20395,                 20560,              2656065,,,,              1150416,              1150416,,              2798923,,              1135293,                347585,,              1154325,              2637203,,               -294017,              6292525,                 55115,              6347640,                557498,,,,,,,
3515,2013年09月30日,,,,,,,,              1087960,,              2954212,,                112197,              6744381,,,,,                              0,                              0,,                 57826,,                  1237,                 30926,,                  9841,                  9841,              1499685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,                 11670,              1813712,                764630,              1399855,              8244066,,,,                  1091,,              1433110,,                549247,                 36263,,                 94223,              2113934,,,                  1837,,                 25934,                 25934,                 27771,              2141705,,,,              1150416,              1150416,,              2798923,,              1135293,                347585,,                935438,              2418316,,               -322017,              6045638,                 56723,              6102361,                549247,,,,,,,
3515,2013年06月30日,,,,,,,,                938922,,              3106379,,                118966,              8932572,,,,,                              0,                              0,,                 56895,,                  2638,                 32628,,                  9901,                  9901,                278030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,                 21972,              2441622,              2304711,                175968,              9210602,,,,                  1951,,              1588628,,              1480747,                 77634,,                149041,              3298001,,,                    182,,                 26263,                 26263,                 26445,              3324446,,,,              1150416,              1150416,,              2798923,,              1135293,                347585,,                664318,              2147196,,               -268503,              5828032,                 58124,              5886156,                560414,                920333,,,,,,
