證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－合併溢額,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－合併溢額,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 短期借款,　　　　 短期借款合計,　　　　 應計退休金負債（應付退休金費用）
9942,2015年09月30日,,,,                259708,,                273057,,                695567,,                 99052,,                 25481,,                891222,,                 72037,              2316124,,,                 15373,,                 62953,,              1250247,,                 18872,                 52918,,                100790,              1501153,              3817277,,,,,                160000,,                  4436,,                 88481,,                202369,                 31125,,                 37617,                524028,,,                136000,,                315710,,                182645,                  1341,                183986,                635696,              1159724,,,,                831613,                831613,,,                208642,                  6101,                214743,,                498813,                  6326,,              1032583,              1537722,,,                 74030,,                    591,                 74621,              2658699,                 -1146,              2657553,              3817277,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9942,2015年06月30日,,,,                414430,,                223243,,                745436,,                 67192,,                 35657,,                885753,,                 63708,              2435419,,,                 17287,,                 60639,,              1240869,,                 22807,                 56312,,                 94688,              1492602,              3928021,,,,,,,                  4790,,                140993,,                580863,                 59707,,                 46586,                832939,,,                136000,,                298746,,                183906,                              0,                183906,                618652,              1451591,,,,                831613,                831613,,,                208642,                  6101,                214743,,                498813,                  6326,,                902527,              1407666,,,                 20622,,                  2505,                 23127,              2477149,                   -719,              2476430,              3928021,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9942,2015年03月31日,,,,                414566,,                213221,,                743087,,                 64332,,                 30625,,                847974,,                 95760,              2409565,,,                 16498,,                 48065,,              1242773,,                 19964,                 57397,,                 93252,              1477949,              3887514,,,,,,,                  5908,,                150966,,                239543,                 98863,,                 43502,                538782,,,                136000,,                297357,,                184305,                    791,                185096,                618453,              1157235,,,,                831613,                831613,,,                208642,                  6101,                214743,,                446288,                  6326,,              1185155,              1637769,,,                 45022,,                  1659,                 46681,              2730806,                   -527,              2730279,              3887514,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9942,2014年12月31日,,,,                351516,,                245382,,                774709,,                 69746,,                 38795,,                787723,,                 94539,              2362410,,,                 15595,,                 37036,,              1249419,,                 18722,                 54753,,                 91302,              1466827,              3829237,,,,,                              0,,                  3992,,                113188,,                317271,                 85101,,                 53963,                573515,,,                142818,,                295438,,                184767,                    512,                185279,                623535,              1197050,,,,                831613,                831613,,,                208642,                  6101,                214743,,                446288,                  6326,,              1084105,              1536719,,,                 50513,,                    756,                 51269,              2634344,                 -2157,              2632187,              3829237,              0,              0,              0,                351516,              3829237,,,,                  3992,,                113188,,                317271,                 85101,,                 53963,                573515,,,                142818,,                295438,,                185279,                623535,              1197050,,,,                831613,                831613,,,                208642,                  6101,                214743,,                446288,                  6326,,              1084105,              1536719,,,                 50513,,                    756,                 51269,              2634344,                 -2157,              2632187,,,,,
9942,2014年09月30日,,,,                347872,,                249422,,                717934,,                 66325,,                 24703,,                720289,,                 58596,              2185141,,,                 15401,,                 38928,,              1037028,,                 20837,                 51191,,                 96783,              1260168,              3445309,,,,,                              0,,                  5821,,                121179,,                233858,                 64488,,                 38550,                463896,,,                 29943,,                281545,,                165592,                              0,                165592,                477080,                940976,,,,                831613,                831613,,,                208642,                  6101,                214743,,                446288,                  6326,,                992683,              1445297,,,                 14082,,                    562,                 14644,              2506297,                 -1964,              2504333,              3445309,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9942,2014年06月30日,,,,                681739,,                228583,,                744553,,                 53216,,                 22004,,                657789,,                 64372,              2452256,,,                 16492,,                 39932,,              1016479,,                 24071,                 52264,,                101052,              1250290,              3702546,,,,,,,                  5623,,                119543,,                661668,                 67315,,                 43795,                897944,,,                 33950,,                266724,,                166154,                              0,                166154,                466828,              1364772,,,,                831613,                831613,,,                208642,                  6101,                214743,,                446288,                  6326,,                857058,              1309672,,,                -17846,,                  1654,                -16192,              2339836,                 -2062,              2337774,              3702546,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9942,2014年03月31日,,,,                582676,,                230257,,                710360,,                 44756,,                 16448,,                665404,,                 49942,              2299843,,,                 14697,,                 39866,,              1039726,,                 27461,                 50298,,                 93999,              1266047,              3565890,,,,,,,                  2378,,                128173,,                206887,                 69377,,                 51774,                458589,,,                 39561,,                263604,,                166738,                              0,                166738,                469903,                928492,,,,                831613,                831613,,,                208642,                  6101,                214743,,                395860,                  6326,,              1185754,              1587940,,,                  5370,,                   -142,                  5228,              2639524,                 -2126,              2637398,              3565890,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9942,2013年12月31日,,,,,,                206116,,                673466,,                 54920,,                 65037,,                651954,,                 54329,              2200000,,,                 14304,,                 36133,,              1056161,,                 25864,                 49669,,                 92790,              1274921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                494178,              3474921,,,,                  4499,,                122671,,                262535,                 47899,,                 72708,                510312,,,                 44244,,                257965,,                167273,                469482,                979794,,,,                831613,                831613,,,                208642,                  6101,                214743,,                395860,                  6326,,              1041479,              1443665,,,                  7666,,                   -535,                  7131,              2497152,                 -2025,              2495127,,,,,
9942,2013年09月30日,,,,,,                210385,,                631490,,                 49712,,                 78597,,                614550,,                 50934,              2086296,,,,,                 36007,,                894116,,                 29276,                 50755,,                126808,              1136962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                431974,              3223258,,,,                  1851,,                110337,,                236680,                 37904,,                 39194,                425966,,,                 48637,,                229860,,                180494,                458991,                884957,,,,                831613,                831613,,,                208642,                  6101,                214743,,                395860,                  6326,,                902172,              1304358,,,                -10976,,                    526,                -10450,              2340264,                 -1963,              2338301,,                 18654,,,
9942,2013年06月30日,,,,,,                206807,,                641213,,                 54744,,                 71236,,                545746,,                 59756,              2315234,,,,,                 26480,,                859003,,                 31400,                 50771,,                107669,              1075323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                717863,              3390557,,,,                  1871,,                111175,,                476553,                 45776,,                 70424,                711217,,,                 54412,,                223506,,                181286,                459204,              1170421,,,,                831613,                831613,,,                208642,                  6101,                214743,,                395860,                  6326,,                774850,              1177036,,,                 -1036,,                   -259,                 -1295,              2222097,                 -1961,              2220136,,                 17869,,                  5418,
9942,2013年03月31日,,,,,,                162898,,                599249,,                 48623,,                 93431,,                558378,,                 49904,              2166819,,,,,                 25750,,                812286,,                 32362,                 53415,,                100057,              1023870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                637336,              3190689,,,,                  2039,,                101519,,                169599,                 55161,,                 66094,                394412,,,                 59168,,                213054,,                181706,                453928,                848340,,,,                831613,                831613,,,                208642,                  6101,                214743,,                359896,                  6326,,                947819,              1314041,,,                -15060,,                 -1128,                -16188,              2344209,                 -1860,              2342349,,                 17000,,,
9942,2012年12月31日,,,,                537090,,                165453,,                629575,,                 49083,,                 96401,,                543767,,                 38950,              2076221,,,,,                 15549,,                789518,,                 29539,                 50413,,                 78424,                963443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,              3039664,,,,                  3073,,                104411,,                207939,                 41133,,                 48184,                404740,,,                 62378,,                193922,,                175348,                431648,                836388,,,,                831613,                831613,,,                208642,                  6101,                214743,,                359896,                  6326,,                839296,              1205518,,,                -44897,,                 -2226,                -47123,              2204751,                 -1475,              2203276,,                 15902,,,                175348
9942,2012年09月30日,,,,                373714,,                200058,,                559135,,                 61878,,                121274,,                573933,,                 57553,              1963481,,,,,                 43304,,                763012,,                 21616,                 51433,,                108759,                988124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,              2951605,,,,                  2834,,                 76854,,                196757,                 32949,,                 63638,                373032,,,                 64734,,                199394,,                190353,                454481,                827513,,,,                831613,                831613,,,                208642,                  6101,                214743,,                359897,                  6326,,                740940,              1107163,,,                -25424,,                 -2192,                -27616,              2125903,                 -1811,              2124092,,                 15936,,,
9942,2012年06月30日,,,,                623147,,                186738,,                609921,,                 78407,,                163951,,                552309,,                 46298,              2276240,,,,,                 42611,,                690346,,                 24262,                 50653,,                114725,                922597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,              3198837,,,,                  2417,,                117489,,                477446,                 45123,,                 59491,                708023,,,                 71904,,                185290,,                189568,                446762,              1154785,,,,                831613,                831613,,,                208642,                  6101,                214743,,                359897,                  6326,,                650998,              1017221,,,                -15056,,                 -2659,                -17715,              2045862,                 -1810,              2044052,,                 15469,,                  6057,
9942,2012年03月31日,,,,                561046,,                197323,,                568214,,                 82967,,                160231,,                568758,,                 70822,              2225711,,,,,                 38875,,                665890,,                 23778,                 17370,,                110220,                856133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,              3081844,,,,                  3270,,                129617,,                188009,                 55546,,                 71988,                452490,,,                 90178,,                148568,,                191884,                430630,                883120,,,,                831613,                831613,,,                208642,                  6101,                214743,,                319040,                 23245,,                830753,              1173038,,,                -18887,,                 -1778,                -20665,              2198729,                     -5,              2198724,,                 16350,,                  4060,
9942,2012年01月01日,,,,                361281,,                217930,,                588163,,                 80806,,                165949,,                616776,,                 47241,              2092508,,,,,                 34690,,                669978,,                 23875,                 49190,,                 83883,                861616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,              2954124,,,,                  8382,,                125565,,                186818,                 47030,,                 80245,                448040,,,                              0,,                176693,,                182849,                359542,                807582,,,,                831613,                831613,,,                208642,                  6101,                214743,,                319040,                 23245,,                761932,              1104217,,,                              0,,                 -3766,                 -3766,              2146807,                   -265,              2146542,,                 14362,,,                182849
