證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 淨確定福利資產-非流動,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 負債準備-非流動,　　　　　 負債準備－非流動合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 確定福利計畫再衡量數,　　　　　　 確定福利計畫再衡量數總額,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　 待註銷股本股數,　　　　　 特別盈餘公積,　　　　 現金及約當現金合計,　　　　 預付退休金－非流動,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 其他流動負債,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 庫藏股票,　　　 負債準備-流動,　　　　 負債準備－流動合計
8163,2015年09月30日,,,,              1147296,,                              0,,                 66538,,              4240794,,                 16870,,              1304700,,                              0,,,              2647432,              2647432,,              1079432,,                              0,,                618065,                618065,             11121127,,,                  6000,,              5794729,,                 46057,                162203,,                 24137,                 10567,                 72453,,                379315,                486472,              6495461,             17616588,,,,,              1442165,,              3595252,,                 13426,,              1802153,              1802153,                 15611,,,                              0,                              0,                145295,                145295,              7013902,,,              1127456,,                101854,,                 85724,                 11806,                 97530,              1326840,              8340742,,,,              3189020,              3189020,,,              4471758,              4471758,,                614647,,                773222,              1387869,,,                540686,,                -38542,,                -20487,                481657,                292824,              9237480,                 38366,              9275846,             17616588,              0,     18922000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8163,2015年06月30日,,,,              1282046,,                 10691,,                 85245,,              4072450,,                 24403,,                322764,,                              0,,,              2786429,              2786429,,              1166412,,                488890,,                595038,                595038,             10834368,,,                  6000,,              6069844,,                 51199,                162203,,                 24554,                 10512,                 68751,,                 65223,                169040,              6458286,             17292654,,,,,              1253456,,              3547152,,                 16267,,              1481431,              1481431,                 13258,,,,,                850669,                850669,              7162233,,,              1181052,,                 97059,,                 85724,                  9422,                 95146,              1373257,              8535490,,,,              3189020,              3189020,,,              4471758,              4471758,,                614647,,                277279,                891926,,,                199873,,                -12212,,                -20487,                167174,,              8719878,                 37286,              8757164,             17292654,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8163,2015年03月31日,,,,                906046,,                 10676,,                119895,,              4882559,,                 29292,,                116197,,                              0,,,              3223094,              3223094,,              1249529,,                495914,,                300682,                300682,             11333884,,,                  6000,,              6218950,,                 57653,                145796,,                 26896,                 10419,                 70228,,                 65364,                172907,              6601306,             17935190,,,,,              1279370,,              4339373,,                 30549,,              1500579,              1500579,                  8787,,,                 26111,                 26111,                568504,                594615,              7753273,,,              1040089,,                 96474,,                 85724,                  9121,                 94845,              1231408,              8984681,,,,              3189020,              3189020,,,              4471758,              4471758,,                606836,,                358700,                965536,,,                285804,,                 22438,,                -20487,                287755,,              8914069,                 36440,              8950509,             17935190,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8163,2014年12月31日,,,,                808617,,                 10660,,                131587,,              5044293,,                 28116,,                219759,,                              0,,,              3244344,              3244344,,              1446989,,                501395,,                              0,                              0,             11435760,,,                  6000,,              6381370,,                 61128,                145796,,                 24661,                 10159,                 71514,,                 67592,                173926,              6768220,             18203980,,,,,                997558,,              5145509,,                 41588,,              1515003,              1515003,                 17615,,,                              0,                              0,                183148,                183148,              7900421,,,              1109550,,                 99058,,                 85515,                  9088,                 94603,              1303211,              9203632,,,,              3189020,              3189020,,,              4471758,              4471758,,                606836,,                323317,                930153,,,                358671,,                 34130,,                -20487,                372314,                              0,              8963245,                 37103,              9000348,             18203980,              0,              0,              0,                              0,                808617,                 10159,             18203980,,,,                997558,,              5145509,,                 41588,,              1515003,              1515003,                 17615,,                183148,                183148,              7900421,,,              1109550,,                 99058,,                 85515,                  9088,                 94603,              1303211,              9203632,,,,              3189020,              3189020,,,              4471758,              4471758,,                606836,                              0,,                302830,                909666,,,                358671,,                 34130,                392801,              8963245,                 37103,              9000348,,,,,,,
8163,2014年09月30日,,,,                748824,,                 10645,,                129674,,              4669734,,                 28911,,                116150,,                 61851,,,              3077878,              3077878,,              1502168,,                              0,,                              0,                              0,             10345835,,,                  6000,,              6775299,,                 64787,                146237,,                 38182,                  9799,                 98046,,                 74257,                220284,              7212607,             17558442,,,,,              1463112,,              4666142,,                 29865,,              1252598,              1252598,                 13371,,,                 78333,                 78333,                134306,                212639,              7637727,,,              1028109,,                 94600,,                 83471,                  9597,                 93068,              1215777,              8853504,,,,              3189020,              3189020,,,              4471758,              4471758,,                606836,,                246869,                853705,,,                139906,,                 32217,,                -17909,                154214,                              0,              8668697,                 36241,              8704938,             17558442,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8163,2014年06月30日,,,,                676444,,                 10631,,                              0,,              4268863,,                 23291,,                163139,,                 62198,,,              2798389,              2798389,,              1339458,,                              0,,                              0,                              0,              9342413,,,                126484,,              6802584,,                 68447,                146237,,                 37159,                  9393,                 96551,,                 59438,                202541,              7346293,             16688706,,,,,              1412671,,              4020634,,                 28225,,              1341218,              1341218,                 10202,,,,,                141168,                141168,              6954118,,,              1071760,,                 95492,,                 84464,                  3605,                 88069,              1255321,              8209439,,,,              3189020,              3189020,,,              4471758,              4471758,,                606836,,                171876,                778712,,,                 -1868,,                 23027,,                -17909,                  3250,,              8442740,                 36527,              8479267,             16688706,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8163,2014年03月31日,,,,              1137130,,                 10617,,                              0,,              4175526,,                 16501,,                 26545,,                 30903,,,              3048516,              3048516,,              1275951,,                              0,,                              0,                              0,              9721689,,,                137508,,              7047168,,                 72371,                146237,,                 34680,                  9004,                 99136,,                 64304,                207124,              7610408,             17332097,,,,,              2025649,,              3997373,,                 27325,,              1171957,              1171957,                  8763,,,                              0,                              0,                215120,                215120,              7446187,,,              1075520,,                 94697,,                 85457,                  9504,                 94961,              1265178,              8711365,,,,              3189020,              3189020,,,              4471758,              4471758,,                606583,,                -14703,                791172,,,                115779,,                 34051,,                -17909,                131921,,              8583871,                 36861,              8620732,             17332097,              0,              0,,                199292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8163,2013年12月31日,,,,,,                 10603,,                              0,,              4646017,,                 28475,,                170626,,                 27172,,,              3337539,              3337539,,              1279093,,                              0,,,,             10542072,,,                127153,,              7192048,,                 76212,                146237,,                 32652,,                 98624,,                 50873,                190767,              7732417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,              1042547,                  8618,             18274489,,,,              1825613,,              4919164,,                 32322,,              1375426,              1375426,                 17395,,                166811,                166811,              8336731,,,              1063955,,                 93997,,                 86445,                 11540,                 97985,              1255937,              9592668,,,,              3189020,              3189020,,,              4471758,              4471758,,                606583,                199292,,                 92030,                897905,,,                 62694,,                 23696,                 86390,              8645073,                 36748,              8681821,,                              0,,                              0,                              0,,
8163,2013年09月30日,,,,                851790,,                 26249,,,,              5200508,,                 24591,,                 35888,,,,,              3471713,              3471713,,              1106909,,,,,,             10717648,,,                109881,,              7136173,,                 79914,                130708,,                 36217,,                 98091,,                 78056,                219733,              7676409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,                  7369,             18394057,,,,              2440310,,              4857755,,                 24818,,              1065616,              1065616,                 13247,,                329515,                329515,              8731261,,,                916670,,                100188,,                 92153,                  6045,                 98198,              1117594,              9848855,,,,              3189020,              3189020,,,              4471758,              4471758,,                606582,                199292,,                 53296,                859170,,,                -17749,,                  6424,                -11325,              8508623,                 36579,              8545202,,                              0,,                  2538,                              0,,
8163,2013年06月30日,,,,,,                 36201,,,,              5350152,,                 32797,,                126679,,                  1224,,,              3451525,              3451525,,              1032213,,,,,,             10948223,,,                104680,,              7278134,,                 83798,                130708,,                 39761,,                100049,,                 68094,                215273,              7812593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                917432,                  7369,             18760816,,,,              2501753,,              4673358,,                 31387,,              1457649,              1457649,                 10430,,                219412,                219412,              8896458,,,              1020000,,                 99951,,                 93113,                  6033,                 99146,              1221635,             10118093,,,,              3189020,              3189020,,,              4471758,              4471758,,                606582,                199292,,                 87044,                892918,,,                 52597,,                  1223,                 53820,              8607516,                 35207,              8642723,,                  2469,,                  2538,,,
