證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收收入／遞延收入,　　　　　　 其他預收款,　　　　　　 預收款項合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 其他流動資產－其他,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收收入／遞延收入,　　　　　 其他預收款,　　　　　 預收款項合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－庫藏股票交易,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 累積盈虧,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　 應付票據－關係人,　　　　 應付票據－關係人合計,　　　　 特別股股本,　　　　 債券換股權利證書,　　　　 預收股本,　　　　 待分配股票股利
1233,2015年09月30日,,,,                151301,,                              0,,                  9352,,                204925,,                 11673,,                  3205,,                294106,,                  8996,,                  1706,                685264,,,                198077,                198077,,                  3853,                  3853,,                  8920,,                986962,,                  4761,                  4628,,                 27293,,                  7738,                 35031,              1242232,              1927496,,,,,                104000,,                 98130,,                 40635,,                143722,                  5940,,,                  7377,                  8642,                 16019,                 11894,                 27913,                420340,,,                 61435,,                 55409,                  9142,                 64551,                125986,                546326,,,,                905919,                905919,,                 54263,                 54263,,                287133,                  3547,,                172240,                462920,,,                   -918,,                -42620,                -43538,                  2754,              1376810,                  4360,              1381170,              1927496,              0,              0,         60000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1233,2015年06月30日,,,,                244900,,                              0,,                  8075,,                179487,,                 34570,,                  8002,,                270881,,                  2337,,                  3840,                752092,,,                211877,                211877,,                  3853,                  3853,,,,                956811,,                  5326,                  4931,,                 27564,,                 32902,                 60466,              1243264,              1995356,,,,,                  9000,,                100751,,                 26102,,                327409,                 19804,,,                  6876,                  9484,                 16360,                  8846,                 25206,                508272,,,                 60820,,                 54986,                  9142,                 64128,                124948,                633220,,,,                905919,                905919,,                 54263,                 54263,,                287133,                  3547,,                129095,                419775,,,                   -481,,                -28820,                -29301,                  2754,              1347902,                 14234,              1362136,              1995356,              0,              0,         60000,                  3840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1233,2015年03月31日,,,,                210408,,                              0,,                  9547,,                233047,,                  4472,,                    830,,                270128,,                  4934,,                  3194,                736560,,,                199248,                199248,,                  3853,                  3853,,,,                940056,,                  5818,                  5018,,                 27441,,                 30572,                 58013,              1212006,              1948566,,,,,                 30000,,                 78072,,                 27361,,                118894,                 33027,,,                 13148,                  6145,                 19293,                  8368,                 27661,                315015,,,                 61889,,                 54565,                  9288,                 63853,                125742,                440757,,,,                905919,                905919,,                 56075,                 56075,,                264155,                  3547,,                306981,                574683,,,                   -586,,                -41449,                -42035,                  2754,              1491888,                 15921,              1507809,              1948566,              0,              0,         60000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1233,2014年12月31日,,,,                202105,,                              0,,                  9120,,                221122,,                 34489,,                  1809,,                296173,,                  6927,,                  1084,                772829,,,                202536,                202536,,                  3853,                  3853,,                              0,,                944409,,                  6383,                  5492,,                 25589,,                 22974,                 48563,              1211236,              1984065,,,,,                 45000,,                102849,,                 23750,,                180552,                 20942,,,                  9470,                 16650,                 26120,                  7957,                 34077,                407170,,,                 61985,,                 53940,                  8754,                 62694,                124679,                531849,,,,                905919,                905919,,                 56075,                 56075,,                264155,                  3547,,                246877,                514579,,,                     39,,                -38161,                -38122,                  2754,              1435697,                 16519,              1452216,              1984065,              0,              0,         60000,                  1084,                202105,                              0,              1984065,,,,                 45000,,                102849,,                 23750,,                180552,                 20942,,,                  9470,                 16650,                 26120,                  7957,                 34077,                407170,,,                 61985,,                 53940,                  8754,                 62694,                124679,                531849,,,,                905919,                905919,,                 56075,                 56075,,                264155,                  3547,,                246877,                246877,                514579,,,                     39,,                -38161,                -38122,                  2754,              1435697,                 16519,              1452216,,,,,,,,
1233,2014年09月30日,,,,                193378,,                  9111,,                  9349,,                200255,,                  6482,,                    853,,                284239,,                  8318,,                  2163,                714148,,,                208114,                208114,,                  3853,                  3853,,                              0,,                947147,,                  6948,                  7848,,                 26163,,                 19549,                 45712,              1219622,              1933770,,,,,                 95000,,                 78965,,                 46652,,                136131,                 11417,,,                  6562,                 13713,                 20275,                  8106,                 28381,                396546,,,                 60780,,                 75368,                  8342,                 83710,                144490,                541036,,,,                905919,                905919,,                 56075,                 56075,,                264155,                  3547,,                183118,                450820,,,                   -408,,                -32583,                -32991,                  2754,              1377069,                 15665,              1392734,              1933770,              0,              0,         60000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1233,2014年06月30日,,,,                280285,,                 17889,,                  9466,,                200710,,                 24788,,                  1317,,                262996,,                  2089,,                  3323,                802863,,,                214530,                214530,,                  3853,                  3853,,,,                958120,,                  7513,                  7706,,                 26337,,                  1119,                 27456,              1219178,              2022041,,,,,                              0,,                101052,,                 34801,,                346065,                 23668,,,                  5602,                 14384,                 19986,                  8725,                 28711,                534297,,,                 60640,,                 75368,                  8342,                 83710,                144350,                678647,,,,                905919,                905919,,                 56075,                 56075,,                264155,                  3547,,                133194,                400896,,,                   -411,,                -26167,                -26578,                  3607,              1332705,                 10689,              1343394,              2022041,              0,              0,         78585,                  3323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1233,2014年03月31日,,,,                224598,,                  4980,,                 15945,,                202412,,                  4284,,                    955,,                235557,,                  4121,,                  1305,                694157,,,                237335,                237335,,                  3853,                  3853,,,,                968611,,                  8080,                  7935,,                 26006,,                  4883,                 30889,              1256703,              1950860,,,,,                              0,,                 80365,,                 24487,,                116109,                 35595,,,                 14847,                  4317,                 19164,                 10779,                 29943,                286499,,,                 60099,,                 75101,                  8342,                 83443,                143542,                430041,,,,                905919,                905919,,                 60605,                 60605,,                241059,                  3547,,                310891,                555497,,,                   -400,,                 -3362,                 -3762,                  4433,              1513826,                  6993,              1520819,              1950860,              0,              0,         60000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1233,2013年12月31日,,,,,,,,                  9365,,                201341,,                 48661,,                    519,,                262498,,                  5810,,                  1377,                753914,,,                263685,                263685,,                  3853,                  3853,,,,                954706,,                  6453,                  9248,,                 25809,,                 19128,                 44937,              1282882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,         96585,,                219363,                  4980,              2036796,,,,                 40000,,                104987,,                 32591,,                185581,                 22022,,,                  7899,                 15765,                 23664,                  9727,                 33391,                418572,,,                 60161,,                 74798,                  8342,                 83140,                143301,                561873,,,,                905919,                905919,,                 60605,                 60605,,                241059,                  3547,,                227831,                227831,                472437,,,                   -572,,                 22988,                 22416,                  1873,              1459504,                 15419,              1474923,,,,,,,,
1233,2013年09月30日,,,,,,,,                 11108,,                199154,,                 13633,,                  5854,,                241850,,                  8264,,                  1644,                652927,,,,                243504,,,                  3860,,,,                922586,,                    382,                  3746,,                 25103,,                 24572,                 49675,              1223753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                  1644,                160480,                 10940,              1876680,,,,                 40000,,                 98755,,                 30442,,                134805,                 11651,,,                  6220,                 12634,                 18854,                  7936,                 26790,                342443,,,                 50118,,                 58564,                  8342,                 66906,                117024,                459467,,,,                905919,                905919,,                 60605,                 60605,,                241059,                  3547,,,                192611,                437217,,,                   -588,,                  2638,                  2050,                              0,              1405791,                 11422,              1417213,,,,,,,,
1233,2013年06月30日,,,,,,,,                 10835,,                185532,,                 23590,,                    480,,                238140,,                  4353,,                    680,                762097,,,,                236847,,,                  3860,,,,                930385,,                    467,                  3333,,                 24990,,                    239,                 25229,              1200121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                    680,                287547,                 10940,              1962218,,,,                              0,,                 81069,,                 23975,,                343851,                 22835,,,                  5771,                 13040,                 18811,                  7899,                 26710,                498440,,,                 49648,,                 58543,                  8342,                 66885,                116533,                614973,,,,                905919,                905919,,                 60605,                 60605,,                241059,                  3547,,,                129012,                373618,,,                   -328,,                 -3912,                 -4240,                              0,              1335902,                 11343,              1347245,,,,,,,,
