證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨（建設業適用）,　　　　　 存貨（建設業適用）淨額,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 其他應付款,　　　　　 應付股利,　　　　　 其他應付款合計,　　　　　 特別盈餘公積,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 其他應付款,　　　　 應付股利,　　　　 其他應付款合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　　 預付投資款,　　　　 預收款項,　　　　　 預收款項合計,　　　　 其他金融資產－流動
1904,2015年09月30日,,,,              3842709,,              7787494,,                925149,,,              5990877,,              1450209,              7441086,,              1202350,              1202350,             21198788,,,                377460,,                 58877,,                932045,,             32065497,,              1077906,                269272,,,                177277,              1246945,,                 91774,              1515996,             36297053,             57495841,,,,,             10733998,,              5549426,,                663015,,,              1159877,              2242961,              3402838,             20349277,,,              9461742,,                993004,,              2560542,                432146,              2992688,             13447434,             33796711,,,,             11082745,             11082745,,              1314022,,              2120146,,              5103144,              7223290,,,                359051,,                114130,                473181,             20093238,              3605892,             23699130,             57495841,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1904,2015年06月30日,,,,              3712837,,              7863229,,                901713,,,              5587958,,              1552012,              7139970,,              1503098,              1503098,             21120847,,,                407986,,                 58877,,                922068,,             31392795,,              1084554,                269262,,,                213744,              1199376,,                 96855,              1509975,             35645517,             56766364,,,,,             10759790,,              5190517,,                659793,,,              1134648,              2599907,              3734555,             20800973,,,              9237075,,                884985,,              2568808,                429929,              2998737,             13120797,             33921770,,,,             11082745,             11082745,,              1314022,,              2120146,,              4862054,              6982200,,,               -158531,,                140634,                -17897,             19361070,              3483524,             22844594,             56766364,,              0,              0,,                456318,                456318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1904,2015年03月31日,,,,              3873881,,              8572542,,                966502,,,              5933373,,              1524568,              7457941,,              1246162,              1246162,             22117028,,,                393949,,                 58877,,                941406,,             31608468,,              1090699,                269266,,,                240836,              1167633,,                 98254,              1506723,             35869388,             57986416,,,,,             11598187,,              5119379,,                667295,,,              1368119,              2702216,              4070335,             21455196,,,              9116187,,                989378,,              2575979,                364353,              2940332,             13045897,             34501093,,,,             11082745,             11082745,,              1270649,,              2044905,,              5148802,              7193707,,,                167057,,                129076,                296133,             19843234,              3642089,             23485323,             57986416,              0,              0,              0,,,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1904,2014年12月31日,,,,              3621374,,              8689445,,              1120716,,,              5915653,,              1488845,              7404498,,              1343961,              1343961,             22179994,,,                261734,,                 98177,,                911950,,             31106840,,              1093738,                267736,,,                228238,              1182408,,                119597,              1530243,             35270418,             57450412,,,,,             10670910,,              5802658,,                696318,,,              1357618,              2982482,              4340100,             21509986,,,              9208725,,                936902,,              2556885,                380396,              2937281,             13082908,             34592894,,,,             10733682,             10733682,,              1167675,,              2044905,,              4464905,              6509810,,,                204209,,                112380,                316589,             18727756,              4129762,             22857518,             57450412,              0,              0,              0,,,,                              0,              3621374,             57450412,,,,             10670910,,              5802658,,                696318,,,              1357618,              2982482,              4340100,             21509986,,,              9208725,,                936902,,              2556885,                380396,              2937281,             13082908,             34592894,,,,             10733682,             10733682,,              1167675,,              2044905,                              0,,              4464905,              6509810,,,                204209,,                112380,                316589,                              0,             18727756,              4129762,             22857518,,,,,,,,,
1904,2014年09月30日,,,,              3279886,,              7416975,,              1151946,,,              5911455,,              1325756,              7237211,,              1148991,              1148991,             20235009,,,                265524,,                 98177,,                902142,,             30537169,,              1098994,                303251,,,                234379,              1149709,,                139842,              1523930,             34729187,             54964196,,,,,              9483798,,              5552428,,                707452,,,              5737194,              2268395,              8005589,             23749267,,,              5403109,,                781566,,              2497187,                372353,              2869540,              9054215,             32803482,,,,             10733682,             10733682,,              1167675,,              2044905,,              4195041,              6239946,,,                -52159,,                118465,                 66306,             18207609,              3953105,             22160714,             54964196,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1904,2014年06月30日,,,,              5485767,,              6992058,,              1018901,,,              5385488,,              1260342,              6645830,,              1339552,              1339552,             21482108,,,                269017,,                 98177,,                872113,,             30130091,,              1104817,                303245,,,                453621,              1130671,,                132458,              1716750,             34494210,             55976318,,,,,             10917351,,              4675023,,                683367,,,              5801267,              2310800,              8112067,             25094726,,,              5406946,,                758815,,              2518579,                379107,              2897686,              9063447,             34158173,,,,             10733682,             10733682,,              1167675,,              2044905,,              3874719,              5919624,,,               -134087,,                118099,                -15988,             17804993,              4013152,             21818145,             55976318,,              0,              0,,                706918,                706918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1904,2014年03月31日,,,,              4799037,,              8236587,,                934145,,,              5991053,,              1568255,              7559308,,              1376381,              1376381,             22905458,,,                275886,,                 98177,,                894409,,             30328305,,              1118172,                303250,,,                207752,              1157492,,                139657,              1504901,             34523100,             57428558,,,,,             11219512,,              5807495,,                804000,,,              2068070,              2295323,              4363393,             22194400,,,              8783478,,                815471,,              2523849,                380810,              2904659,             12503608,             34698008,,,,             10733682,             10733682,,              1167675,,              1924706,,              3891787,              6247067,,,                122541,,                129503,                252044,             18400468,              4330082,             22730550,             57428558,              0,              0,              0,,,,                430574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1904,2013年12月31日,,,,,,              9847644,,                928861,,,              5655330,,              1556771,              7212101,,              1339057,              1339057,             22940021,,,                265574,,                 98177,,                877605,,             30326451,,              1124829,                303250,,,                187335,              1167161,,                128226,              1482722,             34478608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,              3612358,             57418629,,,,             10496728,,              5573292,,                867472,,,              1988705,              2796887,              4785592,             21723084,,,              8760700,,                814239,,              2546948,                392716,              2939664,             12514603,             34237687,,,,             10733682,             10733682,,              1167675,,              1924706,                430574,,              4102932,              6458212,,,                116528,,                119782,                236310,                              0,             18595879,              4585063,             23180942,,,,,,,,,
1904,2013年09月30日,,,,,,              8024980,,                831329,,,              6340348,,              1325754,              7666102,,              1331715,              1331715,             22656342,,,                256421,,                 98177,,                857465,,             29793302,,              1131487,                324948,,,                227218,              1181155,,                157248,              1565621,             34027421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,              4802216,             56683763,,,,             10716564,,              4926344,,                682196,,,              2049963,              2308912,              4358875,             20683979,,,              9763001,,                712734,,              2634069,                417232,              3051301,             13527036,             34211015,,,,             10733682,             10733682,,              1167675,,              1924706,                430574,,              3716881,              6072161,,,                -36076,,                 97254,                 61178,,             18034696,              4438052,             22472748,,,,,,,,,
1904,2013年06月30日,,,,,,              8108607,,                846747,,,              6420354,,              1187084,              7607438,,              1388549,              1388549,             21896418,,,                254084,,                 98177,,                830810,,             29711245,,              1141854,                307427,,,                242343,              1094914,,                197129,              1534386,             33877983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,              3945077,             55774401,,,,              9741330,,              4721596,,                559789,,,              1980989,              1971539,              3952528,             19676620,,,             10027486,,                704854,,              2637846,                414751,              3052597,             13784937,             33461557,,,,             10733682,             10733682,,              1167675,,              1924706,                430574,,              3474903,              5830183,,,                -69064,,                 94451,                 25387,,             17756927,              4555917,             22312844,,                701377,                701377,,,,,,
