證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 與待出售非流動資產直接相關之負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－認列對子公司所有權權益變動數,　　　　　 資本公積－受贈資產,　　　　　　 資本公積－受贈資產合計,　　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　　 資本公積－合併溢額,　　　　　 資本公積－員工認股權,　　　　　 資本公積－認股權,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 與待出售非流動資產直接相關之權益,　　　　　　 與待出售非流動資產直接相關之權益合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 其他權益－其他,　　　　　　 其他權益－其他合計,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 與待出售非流動資產直接相關之負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－認列對子公司所有權權益變動數,　　　　 資本公積－受贈資產,　　　　　 資本公積－受贈資產合計,　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　 資本公積－合併溢額,　　　　 資本公積－員工認股權,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 與待出售非流動資產直接相關之權益,　　　　　 與待出售非流動資產直接相關之權益合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　　 待分配股票股利,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計
1432,2015年09月30日,,,,                418015,,                    100,,                 10531,,                  1217,,                 30653,,                 15433,,                355013,,                148041,,                264306,,                 40794,              1284103,,,                204525,,                  7504,,                224933,,              3038959,,                 16522,,                 11086,                    182,,                431868,              3935579,              5219682,,,,,                243333,,                  5872,,                     51,,                115490,,                  4211,,                642457,                109036,                  5917,                              0,,                149088,              1275455,,,                432295,,                996843,,                 33164,              1462302,              2737757,,,,              1662834,              1662834,,,                425870,                 57460,,                  1975,                  4328,                  2240,                              0,                 17556,                509429,,                 50921,                 48319,,               -125959,                -26719,,,                  3689,,                 69184,,                              0,                 72873,                 70174,              2148243,                333682,              2481925,              5219682,              0,              0,      3500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1432,2015年06月30日,,,,                658762,,                     50,,                 20091,,                              0,,                 12466,,                  9767,,                337941,,                120294,,                228705,,                140192,              1528268,,,                202924,,                  7504,,                 96327,,              2372407,,                206822,,                 11086,                    181,,                124167,              3021418,              4549686,,,,,                243333,,                  6688,,                 48702,,                  9823,,,,                533184,                 18873,                  2984,                              0,,                132609,                996196,,,                430126,,                754649,,                 20340,              1205115,              2201311,,,,              1662834,              1662834,,,                425870,                 56743,,                  1975,                  4328,                  2240,                              0,                 17556,                508712,,                 50921,                 48319,,               -122963,                -23723,,,                 -7974,,                 74605,,                              0,                 66631,                 70174,              2144280,                204095,              2348375,              4549686,              0,              0,      3500000,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1432,2015年03月31日,,,,                517952,,                    125,,                 26530,,                              0,,                 39886,,                  8600,,                337307,,                 86500,,                623554,,                100962,              1741416,,,                222031,,                  7504,,                 87444,,              1726535,,                207140,,                 11086,                    182,,                 92487,              2354409,              4095825,,,,,                 43333,,                  6107,,                  9576,,                  9951,,,,                349140,                125720,                  2334,                249975,,                128959,                925095,,,                459379,,                348409,,                 24039,                831827,              1756922,,,,              1645123,              1645123,,,                408164,                 56283,,                  1975,                 20134,                  2240,                              0,                 20569,                509365,,                 50921,                 90627,,               -211224,                -69676,,,                 -1774,,                 98317,,                 24454,                120997,                 70174,              2135635,                203268,              2338903,              4095825,              0,              0,      3500000,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1432,2014年12月31日,,,,                554147,,                              0,,                              0,,                              0,,                 29855,,                 17944,,                334867,,                 51536,,                659511,,                  5913,              1653773,,,                212223,,                 26192,,                 89670,,              1243216,,                207457,,                 11086,                    182,,                 74044,              1864070,              3517843,,,,,                 43333,,                              0,,                    157,,                  4480,,                              0,,                369881,                104468,                  2335,                250144,,                121481,                896279,,,                              0,,                285565,,                 24224,                309789,              1206068,,,,              1639899,              1639899,,,                402966,                 59345,,                  1975,                 20134,                  2240,                              0,                              0,                486660,,                 50921,                 90627,,               -134280,                  7268,,,                  1315,,                 76163,,                 26860,                104338,                 70174,              2167991,                143784,              2311775,              3517843,              0,              0,      3500000,,                              0,                554147,              3517843,,,,                 43333,,                    157,,                  4480,,                369881,                104468,                  2335,                250144,,                121481,                896279,,,                285565,,                 24224,                309789,              1206068,,,,              1639899,              1639899,,,                402966,                 59345,,                  1975,                 20134,                  2240,                              0,                486660,,                 50921,                 90627,,               -134280,                  7268,,,                  1315,,                 76163,,                 26860,                104338,                 70174,              2167991,                143784,              2311775,,,,,,,
1432,2014年09月30日,,,,                534287,,                              0,,                              0,,                  2973,,                192292,,                 10088,,                525492,,                 30124,,                 52811,,                300454,              1648521,,,                155477,,                 26190,,                 95440,,                928611,,                300827,,                 11086,                    181,,                 68999,              1586811,              3235332,,,,,                 43333,,                              0,,                     55,,                173889,,                              0,,                271771,                 19349,                  2688,                              0,,                 57004,                568089,,,                              0,,                240357,,                 31935,                272292,                840381,,,,              1639899,              1639899,,,                402966,                 58630,,                  1975,                 20134,                  2240,                              0,                              0,                485945,,                 50921,                 90627,,                -53341,                 88207,,,                 13446,,                 19859,,                              0,                 33305,                              0,              2247356,                147595,              2394951,              3235332,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1432,2014年06月30日,,,,                209547,,                              0,,                              0,,                 20869,,                186885,,                 25698,,                559767,,                 16439,,                 67485,,                300988,              1387678,,,                151939,,                 18752,,                 90876,,                396434,,                399888,,                 11086,                    181,,                469374,              1538530,              2926208,,,,,                 82333,,                              0,,                    220,,                221354,,,,                163581,                 12286,                    454,                              0,,                 57100,                537328,,,                              0,,                238239,,                 32531,                270770,                808098,,,,              1639899,              1639899,,,                402966,                              0,,                  1975,                              0,                  2240,                              0,                              0,                407181,,                 50921,                 90627,,                -99922,                 41626,,,                 -1809,,                 17683,,                              0,                 15874,                              0,              2104580,                 13530,              2118110,              2926208,              0,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1432,2014年03月31日,,,,                240841,,                 45540,,                              0,,                  2196,,                113570,,                 15008,,                558896,,                 26189,,                              0,,                600000,              1602240,,,                151463,,                 18750,,                 92636,,                389484,,                446850,,                 11086,                    181,,                 85796,              1196246,              2798486,,,,,                 47000,,                              0,,                    685,,                136052,,,,                112453,                  7350,                  1829,                              0,,                 52512,                357881,,,                              0,,                238311,,                 29666,                267977,                625858,,,,              1639899,              1639899,,,                402966,                              0,,                  1975,                              0,                  2240,                              0,                              0,                407181,,                 50921,                103628,,                -65618,                 88931,,,                  7800,,                 15818,,                              0,                 23618,                              0,              2159629,                 12999,              2172628,              2798486,              0,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1432,2013年12月31日,,,,,,                 55700,,                 27060,,                 10584,,                 59476,,                 10525,,                524668,,                 19446,,                              0,,                700000,              1640388,,,                149985,,                              0,,                  2517,,                397506,,                479895,,                 11086,                    181,,                 90130,              1131300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,                232929,              2771688,,,,                 37000,,                              0,,                 69483,,                104911,                  7385,                  4381,                              0,,                 44036,                267196,,,                243534,,                 28220,                271754,                538950,,,,              1639899,              1639899,,,                402966,                              0,,                  1975,                              0,                  2240,                              0,                407181,,                 50921,                103628,,                 -4855,                149694,,,                  9169,,                 13929,,                              0,                 23098,                              0,              2219872,                 12866,              2232738,,                              0,                              0,,,,
1432,2013年09月30日,,,,,,                 68453,,                 36526,,                  2344,,                218103,,                    366,,                513755,,                 21849,,                              0,,                  2609,              1046311,,,                151586,,                              0,,                  2627,,                374167,,                467381,,                 11086,                     75,,                 65591,              1072513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,                182306,              2118824,,,,                 37000,,                  1478,,                134881,,                107390,                  6762,                  1260,,,                 69767,                358538,,,                251700,,                 22015,                273715,                632253,,,,              1239899,              1239899,,,                              0,                              0,,                  1975,                              0,                  2240,                              0,                  4215,,                 50921,                 90627,,                 45629,                187177,,,                    -37,,                 41084,,,                 41047,                              0,              1472338,                 14233,              1486571,,                              0,,,,,
1432,2013年06月30日,,,,,,                 37114,,                 45160,,                  2026,,                284305,,                 12097,,                574374,,                  5155,,                              0,,                  1733,              1160513,,,                146348,,                              0,,                  2744,,                382425,,                469681,,                 11086,                     75,,                 43088,              1055447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,                198549,              2215960,,,,                 37000,,                  1620,,                203797,,                108125,                  6843,                  2770,,,                 74541,                434696,,,                251700,,                 21583,                273283,                707979,,,,                885642,              1239899,,,                              0,,,                  1975,                              0,                  2240,                              0,                  4215,,                 50921,                103628,,                 46785,                201334,,,                  6122,,                 43314,,,                 49436,                              0,              1494884,                 13097,              1507981,,                              0,                354257,,,,
