證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 透過損益按公允價值衡量之金融資產－非流動,　　　　 透過損益按公允價值衡量之金融資產－非流動合計,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 待分配股票股利,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 待分配股票股利
6155,2015年09月30日,,,,                716442,,                111571,,                 35834,,                210464,,                  6487,,                189237,,                  2489,,                  8174,,                151736,,                  5515,,                  1659,              1439608,,,                  6774,,                252854,,                 38890,,                400919,,                    304,                  6772,,                 13422,                719935,              2159543,,,,,                546000,,                  1203,,                  2443,,                 92588,,                 28350,                  2006,,                 18872,                691462,,,                 34794,,                 23283,                 58077,                749539,,,,                850965,                850965,,                182719,,                218721,                  6584,,                105988,                331293,,                 45027,                              0,              1410004,                              0,              1410004,              2159543,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6155,2015年06月30日,,,,                706574,,                112050,,                 57710,,                218512,,                  4818,,                181430,,                  2863,,                  1435,,                142343,,                  6055,,                    410,              1434200,,,                  7551,,                289459,,                 38890,,                406479,,                    593,                  7511,,                 12073,                762556,              2196756,,,,,                507000,,                    641,,                  5634,,                 86662,,                129456,                  7369,,                 16715,                753477,,,                 24255,,                 23337,                 47592,                801069,,,,                839923,                850965,,                182719,,                218721,                  6584,,                 41255,                266560,,                 95443,                              0,              1395687,                              0,              1395687,              2196756,              0,              0,              0,                 11042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6155,2015年03月31日,,,,                809345,,                105730,,                 70025,,                173565,,                  5842,,                192109,,                  3239,,                  1161,,                134702,,                  6580,,                    281,              1502579,,,                  7540,,                186687,,                 38890,,                413945,,                    769,                  6884,,                 12070,                666785,              2169364,,,,,                437000,,,,                  9008,,                 75450,,                 34920,                 23830,,                 20253,                600461,,,                 24812,,                 23386,                 48198,                648659,,,,                839923,                839923,,                179895,,                206575,                  6584,,                145913,                359072,,                141815,                              0,              1520705,                              0,              1520705,              2169364,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6155,2014年12月31日,,,,                716111,,                118397,,                 57549,,                186879,,                  5497,,                214928,,                  2792,,                  2073,,                144094,,                  7839,,                  1184,              1457343,,,                  7559,,                188051,,                 38890,,                424590,,                    848,                  6570,,                  9778,                676286,              2133629,,,,,                397000,,                              0,,                 10396,,                 89774,,                 39438,                 18896,,                 17958,                573462,,,                 29902,,                 23429,                 53331,                626793,,,,                839923,                839923,,                179895,,                206575,                  6584,,                137765,                350924,,                136094,                              0,              1506836,                              0,              1506836,              2133629,              0,              0,              0,                              0,                716111,                186879,              2133629,,,,                397000,,                 10396,,                 89774,,                 39438,                 18896,,                 17958,                573462,,,                 29902,,                 23429,                 53331,                626793,,,,                839923,                839923,,                179895,,                206575,                  6584,,                137765,                350924,,                136094,                              0,              1506836,                              0,              1506836,
6155,2014年09月30日,,,,                807737,,                109289,,                 60929,,                277768,,                  5599,,                206409,,                 14935,,                  3782,,                144411,,                  6803,,                  1318,              1638980,,,                  7405,,                180803,,                 38890,,                430663,,                    985,                  5741,,                  9496,                673983,              2312963,,,,,                654000,,                              0,,                    443,,                 92402,,                 36585,                  1583,,                 22338,                807351,,,                 42474,,                 23878,                 66352,                873703,,,,                839923,                839923,,                179895,,                206575,                  6584,,                 86364,                299523,,                119919,                              0,              1439260,                              0,              1439260,              2312963,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6155,2014年06月30日,,,,                929995,,                112611,,                 50761,,                 80848,,                  5180,,                193907,,                  9929,,                  1141,,                138986,,                  7195,,                    258,              1530811,,,                  7805,,                201564,,                 38890,,                438313,,                  1174,                  6463,,                  8890,                703099,              2233910,,,,,                498000,,                              0,,                    893,,                 72660,,                167612,                 10525,,                 17625,                767315,,,                 37287,,                 23862,                 61149,                828464,,,,                829216,                839923,,                179895,,                206575,                  6584,,                 50734,                263893,,                121735,                              0,              1405446,                              0,              1405446,              2233910,              0,              0,              0,                 10707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6155,2014年03月31日,,,,                936219,,                104394,,                 39171,,                 62325,,                  3666,,                190198,,                 10256,,                  2137,,                154779,,                  6834,,                    265,              1510244,,,                  7815,,                195980,,                 38890,,                450415,,                  1323,                  5280,,                  9192,                708895,              2219139,,,,,                477000,,,,                  1053,,                 83015,,                 38624,                 26271,,                 15423,                641386,,,                 38997,,                 23844,                 62841,                704227,,,,                829216,                829216,,                175817,,                194551,                  6584,,                197864,                398999,,                110880,                              0,              1514912,                              0,              1514912,              2219139,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6155,2013年12月31日,,,,,,                 98537,,                 41746,,,,                  3378,,                216130,,                 10519,,                  1493,,                160556,,                  6260,,                    354,              1519316,,,                  7496,,                170316,,                 38890,,                463086,,                  1510,                  5936,,                  9293,                696527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                980343,                              0,              2215843,,,,                524100,,                    337,,                 82151,,                 42742,                 22320,,                 19584,                691234,,,                 39368,,                 23834,                 63202,                754436,,,,                829216,                829216,,                175817,,                194551,                  6584,,                168816,                369951,,                 86423,                              0,              1461407,                              0,              1461407,                              0
6155,2013年09月30日,,,,                923495,,                 90756,,                 50295,,,,                  4428,,                215812,,                 11468,,                  2352,,                162716,,                  7057,,                    297,              1468676,,,                  6840,,                146755,,                 35766,,                475902,,                  1645,                  7368,,                  9849,                684125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,                              0,              2152801,,,,                413000,,                  1078,,                 85142,,                131066,                 26346,,                 26603,                683235,,,                 37088,,                 23381,                 60469,                743704,,,,                829216,                829216,,                175817,,                194551,                  6584,,                136702,                337837,,                 66227,                              0,              1409097,                              0,              1409097,
6155,2013年06月30日,,,,,,                 83859,,                 43941,,,,                  4796,,                225880,,                 15508,,                  1740,,                160117,,                  6348,,                    412,              1362520,,,                  6659,,                140927,,                 35766,,                492956,,                  1768,                  5764,,                  9856,                693696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                819919,                              0,              2056216,,,,                330000,,                 20952,,                 91599,,                130220,                 30457,,                 17455,                620683,,,                 37745,,                 23429,                 61174,                681857,,,,                817792,                829216,,                175817,,                194551,                  6584,,                109981,                311116,,                 58210,                              0,              1374359,                              0,              1374359,                 11424
