證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 預付投資款,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－認列對子公司所有權權益變動數,　　　　　 資本公積－處分資產增益,　　　　　 資本公積－員工認股權,　　　　　 資本公積－認股權,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 透過損益按公允價值衡量之金融資產－非流動,　　　　 透過損益按公允價值衡量之金融資產－非流動合計,　　　　　 應付股利,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　　 待分配股票股利,　　　　　 特別盈餘公積,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 保固之短期負債準備,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－普通股股票溢價,　　　　　 資本公積－轉換公司債轉換溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－處分資產增益,　　　　 資本公積－員工認股權,　　　　 資本公積－認股權,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　 應付票據,　　　　 應付票據合計,　　　　 資本公積－實際取得或處分子公司股權價格與帳面價值差額,　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　 資本公積－合併溢額,　　　　 資本公積－其他,　　 共同控制下前手權益,　　　　 待分配股票股利,　　　 短期借款,　　　　 短期借款合計,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券投資－流動淨額
6206,2015年09月30日,,,,              2375364,,                120086,,                  4548,,                998021,,                    800,,                672660,,                              0,,                151337,                 48690,                200027,              4371506,,,                              0,,              1136838,,                221044,                 28239,,                 12558,                              0,,                 36739,                 49297,              1435418,              5806924,,,,,                  3741,,                511475,,                282690,                282690,                105731,,                 17370,,,                              0,                 44212,                 44212,                965219,,,                 35993,,                 32366,                 32366,                 68359,              1033578,,,,              1463683,              1463683,,,                753780,                  6846,                     15,                  2433,                              0,                763074,,                651916,,              1412123,              2064039,,                 23912,              4314708,                458638,              4773346,              5806924,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6206,2015年06月30日,,,,              2850815,,                     62,,                 10699,,              1063545,,                  1007,,                676994,,,,                151979,                 37929,                189908,              4803787,,,                              0,,              1143922,,                231575,                 28046,,                  8697,                              0,,                 34911,                 43608,              1447151,              6250938,,,,,                    666,,                499337,,                259659,              1089559,                 96676,,                 17898,,,                              0,                 29374,                 29374,              1733510,,,                 35992,,                 28788,                 28788,                 64780,              1798290,,,,              1394525,              1463683,,,,,,,,                756228,,                651916,,              1122975,              1774891,,                  8240,              4003042,                449606,              4452648,              6250938,              0,              0,              0,,                 10757,,                              0,                829900,,                              0,                 69158,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6206,2015年03月31日,,,,              2830488,,                 41511,,                 15123,,                902637,,                  2392,,                755135,,,,                152124,                 39793,                191917,              4751018,,,                              0,,              1151430,,                243938,                 28088,,                  3846,,,                 35300,                 39146,              1462602,              6213620,,,,,                              0,,                599918,,,                230727,                164700,,                 17626,,,                 53115,                 54220,                107335,              1120306,,,                 35993,,                 28424,                 28424,                 64417,              1184723,,,,              1383166,              1383166,,,,,,,,                783481,,                555984,,              1803257,              2359241,,                 12328,              4538216,                490681,              5028897,              6213620,              0,              0,              0,,                 11815,,                              0,,,                              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6206,2014年12月31日,,,,              2394500,,                              0,,                 10113,,              1030707,,                  4539,,                470493,,                              0,,                149488,                 25955,                175443,              4085795,,,                  4349,,              1148004,,                 10399,                 27546,,                  5017,                              0,,                 32684,                 37701,              1227999,              5313794,,,,,                  5929,,                428529,,                219784,                219784,                125155,,                 27332,,,                302789,                 21960,                324749,              1131478,,,                 35431,,                 28686,                 28686,                 64117,              1195595,,,,              1329472,              1329472,,,                558069,                              0,                     15,                  2433,                 25878,                586395,,                555984,,              1594326,              2150310,,                 15294,              4081471,                 36728,              4118199,              5313794,              0,              0,              0,,                              0,,                              0,                              0,,                              0,                              0,                              0,              2394500,              5313794,,,,                  5929,,                428529,,                219784,                125155,,                 27332,                 27332,,,                302789,                302789,                 21960,                324749,              1131478,,,                              0,,                 35431,,                 28686,                 28686,                 64117,              1195595,,,,              1329472,              1329472,,,                 60743,                497326,                558069,                     15,                  2433,                 25878,                586395,,                555984,                              0,,              1595149,              2151133,,,                 14471,                 14471,              4081471,                 36728,              4118199,,,,,,,,,,,,,,,,
6206,2014年09月30日,,,,              2060189,,                              0,,                  3306,,              1154013,,                  2784,,                525128,,                              0,,                147495,                 37636,                185131,              3930551,,,                              0,,              1159409,,                 10573,                 25546,,                  5901,                 15000,,                 31411,                 52312,              1247840,              5178391,,,,,                  4821,,                575824,,                269215,                269215,                 96247,,                 11654,,,                306520,                 30718,                337238,              1294999,,,                 30080,,                 28265,                 28265,                 58345,              1353344,,,,              1326126,              1326126,,,                544758,                              0,                     15,                  4471,                 26326,                575570,,                555984,,              1327344,              1883328,,                  5015,              3790039,                 35008,              3825047,              5178391,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6206,2014年06月30日,,,,              2119133,,                    852,,                  9809,,                999285,,                  4122,,                490188,,,,                473418,                 27788,                501206,              4124595,,,                              0,,              1168992,,                 11593,                 25512,,                    347,                 60000,,                 31383,                 91730,              1297859,              5422454,,,,,                              0,,                475789,,                227281,                947763,                 95991,,                 10854,,,                              0,                 22070,                 22070,              1552467,,,                 30080,,                 28103,                 28103,                367786,              1920253,,,,              1200913,              1320993,,,,,,,,                559203,,                555984,,              1027566,              1583550,,                    508,              3464254,                 37947,              3502201,              5422454,              0,              0,              0,,                              0,,                     32,                720482,,                309603,                120080,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6206,2014年03月31日,,,,              2048599,,                     31,,                  6895,,                857616,,                  2779,,                550933,,,,                478803,                 24973,                503776,              3970629,,,                              0,,              1186892,,                 11015,                 25550,,                    679,,,                 31847,                 32526,              1256142,              5226771,,,,,                  1473,,                460931,,,                188921,                150606,,                 10604,,,                              0,                 20512,                 20512,                833047,,,                 30080,,                 28629,                 28629,                367363,              1200410,,,,              1200802,              1200802,,,,,,,,                678810,,                470015,,              1624413,              2105103,,                  4562,              3989277,                 37084,              4026361,              5226771,              0,              0,              0,,                              0,,                    159,,,                308654,,                 10675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6206,2013年12月31日,,,,,,                    180,,                 12141,,                753136,,                  8917,,                425736,,,,                800403,                 25491,                825894,              3643781,,,                              0,,              1199433,,                  9654,                 25497,,                  2050,,,                 60900,                 62950,              1297759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,                    225,,,,,,              1617777,              4941540,,,,                  2155,,                377504,,                209336,                125671,,                 10506,                 10506,,,                              0,                              0,                 25128,                 25128,                750300,,,                310767,,                 30080,,                 28454,                 28454,                369301,              1119601,,,,              1199651,              1199651,,,                153461,                484899,                638360,                     15,                  8721,                 27094,                674190,,                470015,                 10675,,              1431823,              1912513,,,                    700,                    700,              3787054,                 34885,              3821939,,,,,,,,,,,,,,,,
6206,2013年09月30日,,,,,,                  2675,,                 14215,,                862832,,                 24286,,                430980,,                 14556,,                787667,                              0,                787667,              3534767,,,,,              1188095,,                  2756,                 23385,,                              0,                              0,,                              0,                 42796,              1257068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,                     36,,,,,,              1397556,              4791835,,,,                              0,,                433296,,                243724,                102367,,,                 10259,,,                              0,                              0,                 28861,                 28861,                818507,,,                342965,,                 19378,,                 29550,                 29550,                391893,              1210400,,,,              1192975,              1192975,,,                 70643,                454547,                525190,                     15,                 90813,                 30059,                646077,,                470015,                 10675,,              1232405,              1713095,,,                 -2171,                 -2171,              3549976,                 31459,              3581435,,                              0,,                 42796,,                              0,                              0,                              0,                              0,                              0,                              0,,,,,
6206,2013年06月30日,,,,,,                    120,,                 20942,,                860416,,                 27222,,                377510,,,,                876933,                  4675,                881608,              3772651,,,,,              1190018,,                  2345,                 23414,,                              0,                              0,,                 30595,                 39714,              1255715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,                    224,,,,,,              1604833,              5028366,,,,                    776,,                536060,,                599894,                 97691,,,                  9844,,,,,,                 34243,              1278508,,,                428585,,                 19378,,                 29375,                 29375,                477338,              1755846,,,,              1070352,              1174468,,,                 70643,                374586,                445229,                     15,                 76832,                 37753,                559829,,                470015,                 10675,,              1027473,              1508163,,,                    880,                    880,              3243340,                 29180,              3272520,,,,                  9119,,,                              0,                              0,                              0,                              0,                              0,                104116,,,,
