證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 應收建造合約款,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 應付建造合約款,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－員工認股權,　　　　　 資本公積－其他,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　　　 現金及約當現金合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 應付建造合約款,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　 資本公積－員工認股權,　　　　 資本公積－其他,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 應付票據－關係人,　　　　 應付票據－關係人合計
6196,2015年09月30日,,,,              1724969,,                  5453,,                169331,,              2980536,,                 63055,              2822487,,                 18156,,                              0,,              2164170,,                599960,,                184766,             10732883,,,                305095,,                 78853,,              1443784,,                 23666,                103885,,                 88467,              2043750,             12776633,,,,,              2398789,,                812864,,              2729043,,                 18688,              1283196,,                384247,                 38603,,,                594915,                 23196,                618111,              8283541,,,                              0,,                 38230,,                113752,                151982,              8435523,,,,              1650698,              1650698,,,                616003,                    432,                    351,                616786,,                529385,                 92239,,              1389996,              2011620,,,                 59865,                 59865,              4338969,                  2141,              4341110,             12776633,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6196,2015年06月30日,,,,              1167087,,                 10549,,                161525,,              3118072,,                 74539,              2284687,,                 23076,,,,              2156887,,                469961,,                176243,              9642838,,,                293667,,                 40551,,              1445029,,                 24159,                116387,,                103045,              2022838,             11665676,,,,,              1513648,,                817340,,              2836858,,                 21094,              1015218,,                688933,                 48163,,,                460500,                 13633,                474133,              7415387,,,                  2032,,                 32067,,                114211,                148310,              7563697,,,,              1650698,              1650698,,,                616003,,                    351,                616354,,                529385,                 92239,,              1192788,              1814412,,,                 18004,                 18004,              4099468,                  2511,              4101979,             11665676,              0,              0,              0,,                    212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6196,2015年03月31日,,,,              1358155,,                 12403,,                 90059,,              2674409,,                 13700,              2175384,,                 18415,,,,              2082741,,                655176,,                169863,              9250305,,,                293027,,                 43656,,              1466396,,                 27773,                119845,,                123220,              2073917,             11324222,,,,,              1153618,,                730314,,              2629610,,                 11959,              1128663,,                279382,                104962,,,                731610,                 21293,                752903,              6791411,,,                  2430,,                 37509,,                114510,                154449,              6945860,,,,              1650698,              1650698,,,                616003,                              0,                    351,                616354,,                490931,                 92239,,              1482729,              2065899,,,                 41792,                 41792,              4374743,                  3619,              4378362,             11324222,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6196,2014年12月31日,,,,              1628171,,                 11696,,                 37675,,              3092035,,                  9449,              2354614,,                 29799,,                              0,,              1852959,,                573960,,                202916,              9793274,,,                293027,,                 56209,,              1461476,,                 32781,                101109,,                 37684,              1982286,             11775560,,,,,                953806,,                807648,,              3359079,,                 23836,              1018504,,                395090,                 74251,,,                583379,                 15665,                599044,              7231258,,,                  2930,,                 46703,,                115117,                164750,              7396008,,,,              1650698,              1650698,,,                616003,                              0,                    351,                616354,,                490931,                 92239,,              1467273,              2050443,,,                 57963,                 57963,              4375458,                  4094,              4379552,             11775560,              0,              0,              0,,,              1628171,,                              0,             11775560,,,,                953806,,                807648,,              3359079,,                 23836,              1018504,,                395090,                 74251,,,                583379,                 15665,                599044,              7231258,,,                  2930,,                 46703,,                115117,                164750,              7396008,,,,              1650698,              1650698,,,                616003,                              0,                              0,                    351,                616354,,                490931,                 92239,,              1467273,              2050443,,,                 57963,,                              0,                 57963,              4375458,                  4094,              4379552,,
6196,2014年09月30日,,,,                995108,,                 11557,,                114006,,              2475627,,                 24233,              2303036,,                  9211,,                 18980,,              1746946,,                589090,,                255436,              8543230,,,                316758,,                 61755,,              1467715,,                 36666,                107775,,                 35478,              2026147,             10569377,,,,,              1130339,,                555114,,              2544246,,                  9790,                924485,,                318251,                 43274,,,                610156,                 74457,                684613,              6210112,,,                  3338,,                 43712,,                124988,                172038,              6382150,,,,              1650698,              1650698,,,                616003,                              0,                    351,                616354,,                490931,                 92239,,              1313316,              1896486,,,                 19241,                 19241,              4182779,                  4448,              4187227,             10569377,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6196,2014年06月30日,,,,              1293532,,                  6899,,                118733,,              2169372,,                  7837,              2027052,,                 12427,,,,              1485540,,                420020,,                226638,              7799079,,,                316758,,                 65672,,              1468419,,                 29965,                102340,,                 31586,              2014740,              9813819,,,,,                981613,,                461143,,              2065052,,                 13892,                849434,,                503654,                 49080,,,                592007,                 53038,                645045,              5568913,,,                  3755,,                 37940,,                125329,                167024,              5735937,,,,              1650698,              1650698,,,                616003,,                    351,                616354,,                490931,                 92239,,              1230316,              1813486,,,                 -4836,                 -4836,              4075702,                  2180,              4077882,              9813819,              0,              0,              0,,                 31029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6196,2014年03月31日,,,,              1032228,,                  6879,,                172785,,              2496016,,                 29244,              1779160,,                 17960,,,,              1586863,,                382138,,                182905,              7686178,,,                316758,,                 67257,,              1496708,,                 33359,                 86894,,                 50689,              2051665,              9737843,,,,,              1086564,,                511987,,              1924180,,                 13667,                931311,,                284755,                 70026,,,                488240,                 12389,                500629,              5323119,,,                  4207,,                 43347,,                125653,                173207,              5496326,,,,              1650698,              1650698,,,                616003,                    351,                              0,                616354,,                468670,                 92239,,              1396201,              1957110,,,                 14985,                 14985,              4239147,                  2370,              4241517,              9737843,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6196,2013年12月31日,,,,,,                 12601,,                251685,,              2506677,,                    908,              1529990,,                 17567,,,,              1862180,,                350510,,                137600,              8007542,,,                300734,,                 73299,,              1519952,,                 38251,                 84061,,                 62598,              2078895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,              1332551,,                  5273,             10086437,,,,                985934,,                578318,,              2427885,,                 10978,                788432,,                405612,                 47001,,,                528795,                 22600,                551395,              5795555,,,                  4517,,                 37527,,                125996,                168040,              5963595,,,,              1650568,              1650568,,,                615925,                              0,                    351,                              0,                616276,,                468670,                 92239,,              1279330,              1840239,,,                 10703,,                  1512,                 12215,              4119298,                  3544,              4122842,,
6196,2013年09月30日,,,,,,                 12544,,                135021,,              2274345,,                  3554,              1763748,,                  4188,,                              0,,              1663652,,              1078448,,                236449,              8350237,,,                301529,,                 80382,,              1531494,,                 41068,                 98732,,                 29455,              2082660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,              1173080,,                  5208,             10432897,,,,              1026185,,                529327,,              2366564,,                  8230,                789679,,                329804,                 41935,,,              1195338,                 14716,              1210054,              6321494,,,                  4908,,                 25418,,                123717,                154043,              6475537,,,,              1646108,              1646108,,,                613026,                              0,                    351,                              0,                613377,,                468670,                 92239,,              1135489,              1696398,,,                 -5705,,                  1447,                 -4258,              3951625,                  5735,              3957360,,                 19716
6196,2013年06月30日,,,,,,                 11076,,                163052,,              2160828,,                  5801,              1477701,,                 44610,,,,              1646672,,                761005,,                181250,              8243956,,,                292516,,                 83385,,              1558745,,                  9787,                 93192,,                 30860,              2068485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                    266,              1786049,,                  5646,             10312441,,,,                583203,,                642287,,              2391466,,                  9641,                903312,,                505066,                 36371,,,              1135467,                 12678,              1148145,              6229315,,,                  5364,,                 30225,,                151713,                187302,              6416617,,,,              1646108,              1646108,,,                613026,                     15,                    351,                              0,                613392,,                468670,                 92239,,              1060572,              1621481,,,                  6592,,                  1885,                  8477,              3889458,                  6366,              3895824,,                  9824
