證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 長期預付租金,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付票據－關係人,　　　　　 應付票據－關係人合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收貨款,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　　 待分配股票股利,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　　 特別盈餘公積,　　　　 現金及約當現金合計,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收貨款,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　 待註銷股本股數,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　　 其他非流動資產－其他,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計
2030,2015年09月30日,,,,                962150,,                 11337,,                177959,,                883520,,                 58106,,                 37076,,,              3723938,              3723938,,                161296,,                485001,                    941,                485942,              6501324,,,              4484903,                157208,,                 57138,                 28091,                 31012,                116241,              4758352,             11259676,,,,,              3653629,,                150000,,                 41524,,                    141,,                130902,,                              0,,                152107,                152107,                              0,,,                108305,                108305,,                435250,                435250,                  2454,                546009,              4674312,,,              2842154,,                 98860,,                107240,                 11642,                118882,              3059896,              7734208,,,,              2865260,              2865260,,,                473364,                473364,,                 54739,,                 -1593,                 53146,,                164251,                 30553,              3525468,              3525468,             11259676,              0,      3024000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030,2015年06月30日,,,,              1304600,,                 11749,,                201627,,                858858,,                 71490,,                 28279,,,              3940071,              3940071,,                243771,,                  3995,                  1110,                  5105,              6665550,,,              4065118,                137833,,                 94701,                 41526,                 30490,                284717,              4487668,             11153218,,,,,              3486374,,                150000,,                 22195,,,,                 26890,,,,                285778,                285778,                  2378,,,                151452,                151452,,                454000,                454000,                  1507,                606959,              4580574,,,              2750992,,                 99682,,                107240,                 16821,                124061,              2974735,              7555309,,,,              2728819,              2865260,,,                473364,                473364,,                 54738,,                 97857,                152595,,                108726,                  2036,              3597909,              3597909,             11153218,              0,      1358000,,                118000,                136441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030,2015年03月31日,,,,              1439739,,                  6050,,                174124,,                820857,,                117455,,                 52070,,,              4329568,              4329568,,                179506,,                  4029,                    882,                  4911,              7124280,,,              4114930,                140860,,                 80060,                 43160,                 30979,                154199,              4409989,             11534269,,,,,              3545173,,                150000,,                 12427,,,,                121013,,,,                141674,                141674,                              0,,,                146163,                146163,,                466500,                466500,                  1915,                614578,              4584865,,,              2948479,,                 95919,,                107240,                 16587,                123827,              3168225,              7753090,,,,              2728819,              2728819,,,                473364,                473364,,                 15642,,                432219,                447861,,                131135,                              0,              3781179,              3781179,             11534269,              0,              0,,,,,                              0,,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030,2014年12月31日,,,,              1246491,,                  8991,,                206559,,                843666,,                105001,,                 58209,,,              4558871,              4558871,,                122474,,                  4085,                    626,                  4711,              7154973,,,              4180497,                149684,,                 71511,                 23628,                 31644,                126783,              4456964,             11611937,,,,,              3539716,,                150000,,                 25447,,                     88,,                 95189,,                              0,,                229166,                229166,                  6705,,,                127580,                127580,,                478636,                478636,                  1500,                607716,              4654027,,,              2963931,,                 97134,,                107240,                 11704,                118944,              3180009,              7834036,,,,              2728819,              2728819,,,                473364,                473364,,                 15642,,                394888,                410530,,                165188,                              0,              3777901,              3777901,             11611937,              0,              0,,,,,,,,,              1246491,,                              0,             11611937,,,,              3539716,,                150000,,                 25535,,                 95189,,                229166,                229166,                  6705,,,                127580,                127580,,                478636,                478636,                  1500,                607716,              4654027,,,              2963931,,                 97134,,                107240,                 11704,                118944,              3180009,              7834036,,,,              2728819,              2728819,,,                473364,                473364,,                 15642,                              0,,                394888,                410530,,                165188,                              0,              3777901,                              0,              3777901,              0,,,,,
2030,2014年09月30日,,,,              1201295,,                 14894,,                192082,,                893874,,                106571,,                 76482,,,              4830584,              4830584,,                135809,,                  3901,                    676,                  4577,              7456168,,,              3720842,                151277,,                440297,                 25382,                 30440,                496119,              4368238,             11824406,,,,,              4043178,,                150000,,                 36537,,                              0,,                 81909,,                 19555,,                201561,                201561,                    760,,,                159837,                159837,,                115000,                115000,                  1306,                276143,              4809643,,,              3355154,,                 98577,,                112294,                 10133,                122427,              3576158,              8385801,,,,              2728819,              2728819,,,                473364,                473364,,                 15642,,                321795,                337437,,                 63308,                164323,              3438605,              3438605,             11824406,              0,     15774000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030,2014年06月30日,,,,              1098410,,                 11983,,                223385,,                825277,,                  9110,,                 67096,,,              4870827,              4870827,,                184884,,                  3826,                    900,                  4726,              7295698,,,              3685948,                178249,,                472015,                 21966,                 30072,                524053,              4388250,             11683948,,,,,              4127338,,                150000,,                 21947,,,,                 66160,,,,                189258,                189258,                  6804,,,                167255,                167255,,                115000,                115000,                  1390,                283645,              4845152,,,              3382742,,                 99098,,                112294,                  6033,                118327,              3600167,              8445319,,,,              2728819,              2728819,,,                443263,                443263,,                 15642,,                192637,                208279,,                 22591,                164323,              3238629,              3238629,             11683948,              0,     15774000,,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030,2014年03月31日,,,,              1103730,,                  8035,,                210401,,                785559,,                 28024,,                 51428,,,              3942680,              3942680,,                197780,,                  3405,                    570,                  3975,              6376714,,,              3749268,                199472,,                472255,                 22509,                 30877,                525641,              4474381,             10851095,,,,,              3448154,,                150000,,                 23673,,,,                 70044,,,,                182652,                182652,                  1933,,,                146676,                146676,,                 90000,                 90000,                  1826,                238502,              4115202,,,              3379479,,                 95604,,                112294,                  5948,                118242,              3593325,              7708527,,,,              2728819,              2728819,,,                443263,                443263,,                121142,,                -69286,                 68422,,                 66387,                164323,              3142568,              3142568,             10851095,              0,     15774000,,,,,                 45102,,                    244,                 16566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030,2013年12月31日,,,,,,                  8039,,                203601,,                797872,,                    622,,                 79939,,,              4059930,              4059930,,                200846,,                  4400,                    278,                  4678,              6605124,,,              3669297,                210701,,                531325,                 22754,                 30666,                584745,              4464743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,     15774000,,,,,,,,,              1249583,,                     14,             11069867,,,,              3691831,,                150000,,                 29490,,                110333,,                211838,                211838,                  1908,,,                114231,                114231,,                200000,                200000,                  1869,                316100,              4511500,,,              3281017,,                 96498,,                112294,                  7344,                119638,              3497153,              8008653,,,,              2728819,              2728819,,,                443263,                443263,,                121142,                 16566,,               -122066,                 15642,,                 37813,                164323,              3061214,                              0,              3061214,              0,,                              0,,,
2030,2013年09月30日,,,,,,                 11910,,                215372,,                909667,,                  1373,,                 76862,,,              3958240,              3958240,,                 84248,,                              0,                    386,                    386,              6304858,,,              3640337,                222328,,                571561,                 19689,                 30358,                621608,              4484273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,     15774000,,,,,,,,,              1046800,,                              0,             10789131,,,,              3478820,,                150000,,                 42201,,                106659,,                169446,                169446,                  5050,,,                187816,                187816,,                241667,                241667,                  7033,                436516,              4388778,,,              3179754,,                 96658,,                122668,                  1169,                123837,              3400249,              7789027,,,,              2728819,              2728819,,,                443263,                443263,,                121142,                 16566,,               -149154,                -11446,,                  3791,                164323,              3000104,                              0,              3000104,              0,,                     86,,,
2030,2013年06月30日,,,,,,                 10115,,                201465,,                976117,,                    529,,                 66396,,,              4026680,              4026680,,                 83319,,                              0,                    396,                    396,              6398885,,,              3669610,                221653,,                470731,                 21645,                 30834,                524208,              4415471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,     15774000,,                    998,,,                 95505,,,,                938363,,                              0,             10814356,,,,              3409305,,                200000,,                 31748,,                 71457,,                184475,                184475,                              0,,,                121185,                121185,,                345095,                345095,                  6869,                473149,              4382678,,,              3178492,,                 95189,,                122844,                    486,                123330,              3397011,              7779689,,,,              2728819,              2728819,,,                443263,                443263,,                121142,                 16566,,               -134241,                  3467,,                 23429,                164323,              3034655,                     12,              3034667,              0,,,                    998,,                 12544
2030,2013年03月31日,,,,,,                  5730,,                195169,,                970381,,                    866,,                 54492,,,              4259825,              4259825,,                120275,,                              0,                  9315,                  9315,              6350383,,,              3661699,                171339,,                471234,                 22828,                 30242,                524304,              4357342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,     15774000,,,,,                 40569,,,,                693761,,                              0,             10707725,,,,              3343735,,                200000,,                 21837,,                 58517,,                173251,                173251,                              0,,,                129455,                129455,,                186311,                186311,                 22409,                338175,              4135570,,,              3406091,,                 45775,,                122349,                    476,                122825,              3574691,              7710261,,,,              2728819,              2728819,,,                443263,                443263,,                121142,                 16566,,               -130988,                  6720,,                -17015,                164323,              2997464,                              0,              2997464,              0,,                     55,,,
2030,2012年12月31日,,,,              1006652,,                  6440,,                156498,,              1048553,,                  3289,,                 50709,,,              4124098,              4124098,,                115737,,                  5792,                    517,                  6309,              6518285,,,              3645830,                223126,,                492745,                 28879,                 29698,                551322,              4420278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,     15774000,,,,,,,,,,,                              0,             10938563,,,,              3292016,,                200000,,                 36873,,                 50113,,                203481,                203481,                  3575,,,                 83259,                 83259,,                767569,                767569,                 17290,                868118,              4654731,,,              3163941,,                 89620,,                121381,                  4389,                125770,              3379331,              8034062,,,,              2728819,              2728819,,,                443263,                443263,,                121142,                 16566,,               -166358,                -28650,,                -74638,                164323,              2904471,                     30,              2904501,,,                    555,,,
