證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 待分配股票股利,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 待分配股票股利,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　 共同控制下前手權益,　　　　 預付投資款
1308,2015年09月30日,,,,                334548,,                468713,,                 29013,,                  2756,,                    673,,                288757,,                174459,,                  1313,,                 26036,,,                833410,                833410,,                 90820,,                    110,              2250608,,,              2018969,,                291840,,              1361604,,              3344134,,                535548,,                  3503,                 63023,,                  2210,              7620831,              9871439,,,,,                349924,,                208067,,                 13981,,                163937,                 70045,                 20886,,                  5899,,                 21250,                853989,,,                 46037,,                299103,                  9284,                308387,                354424,              1208413,,,,              4931607,              4931607,,                 14116,,              1508197,                566027,,              1711547,              3785771,,                -68468,                              0,              8663026,                              0,              8663026,              9871439,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1308,2015年06月30日,,,,                607345,,                640418,,                 32816,,                 18518,,                  1284,,                252733,,                146493,,                    526,,                 71591,,,                870238,                870238,,                102394,,                  2410,              2746766,,,              2131019,,                288719,,              1363695,,              3216257,,                531137,,                  3949,                 62526,,                  2210,              7599512,             10346278,,,,,                499862,,                365643,,                 14869,,                212319,                145898,                 50905,,                  5899,,                 54178,              1349573,,,                 42669,,                299751,                  9131,                308882,                351551,              1701124,,,,              4696769,              4931607,,                 14116,,              1508197,                566027,,              1607301,              3681525,,                 17906,                              0,              8645154,                              0,              8645154,             10346278,              0,              0,              0,                234838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1308,2015年03月31日,,,,                508108,,                883264,,                 38872,,                 32799,,                    266,,                183315,,                206586,,                    490,,                 19196,,,                724819,                724819,,                102021,,                  2410,              2702146,,,              2529842,,                289698,,              1375380,,              2407719,,                534062,,                  1453,                 62862,,                  2621,              7203637,              9905783,,,,,,,                231450,,                 13648,,                120206,                 72228,                 68163,,                  5899,,                 11171,                522765,,,                 43934,,                299936,                  5968,                305904,                349838,                872603,,,,              4696769,              4696769,,                 14116,,              1458204,                566027,,              1853147,              3877378,,                444917,                              0,              9033180,                              0,              9033180,              9905783,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1308,2014年12月31日,,,,                914090,,                868131,,                 43520,,                              0,,                    188,,                150169,,                181085,,                 27258,,                 48423,,,                870128,                870128,,                115326,,                  2410,              3220728,,,              2643224,,                290476,,              1390351,,              1937007,,                536741,,                  1660,                 63101,,                  3002,              6865562,             10086290,,,,,                              0,,                262880,,                  5398,,                224336,                122519,                 52050,,                  5899,,                  8531,                681613,,,                 42385,,                302291,                  5980,                308271,                350656,              1032269,,,,              4696769,              4696769,,                 14135,,              1458204,                566027,,              1731836,              3756067,,                587050,                              0,              9054021,                              0,              9054021,             10086290,              0,              0,              0,                              0,                914090,                              0,             10086290,,,,                262880,,                  5398,,                224336,                122519,                 52050,,                  5899,,                  8531,                681613,,,                 42385,,                302291,                  5980,                308271,                350656,              1032269,,,,              4696769,              4696769,,                 14135,,              1458204,                566027,,              1731836,              3756067,,                587050,                              0,              9054021,                              0,              9054021,,,,,
1308,2014年09月30日,,,,                857810,,              1375136,,                 38172,,                              0,,                    591,,                290543,,                228678,,                    715,,                 62973,,,                666119,                666119,,                 93730,,                  2410,              3616877,,,              2336584,,                290747,,              1307433,,              1541211,,                534545,,                  1868,                 63874,,                 67388,              6143650,              9760527,,,,,                              0,,                304334,,                 29121,,                218094,                124687,                 34389,,                  7298,,                 11649,                729572,,,                 39729,,                308357,                  5451,                313808,                353537,              1083109,,,,              4696769,              4696769,,                 14135,,              1458204,                566027,,              1647649,              3671880,,                294634,                              0,              8677418,                              0,              8677418,              9760527,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1308,2014年06月30日,,,,                916745,,              1710822,,                 41835,,                              0,,                              0,,                228378,,                327406,,                  1320,,                114598,,,                629131,                629131,,                 72893,,                    110,              4043238,,,              2647019,,                294913,,              1309556,,              1350735,,                534392,,                  2075,                 63883,,                 68775,              6271348,             10314586,,,,,                              0,,                292266,,                 21430,,                442149,                257229,                 46236,,                  6577,,                  2253,              1068140,,,                 36930,,                309206,                  5415,                314621,                351551,              1419691,,,,              4696769,              4696769,,                 14122,,              1458204,                566027,,              1496868,              3521099,,                662905,                              0,              8894895,                              0,              8894895,             10314586,              0,              0,              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1308,2014年03月31日,,,,              1058233,,              2145483,,                 46906,,                              0,,                    872,,                257246,,                224472,,                    738,,                 63188,,,                751197,                751197,,                 85639,,                    110,              4634084,,,              2594603,,                 97758,,              1354477,,                987216,,                535975,,                  2283,                 63725,,                  2892,              5638929,             10273013,,,,,,,                256212,,                 10746,,                206208,                201127,                 55657,,                  5899,,                 15314,                751163,,,                 38852,,                309521,                  5455,                314976,                353828,              1104991,,,,              4696769,              4696769,,                 14126,,              1404518,                566027,,              1857726,              3828271,,                628856,                              0,              9168022,                              0,              9168022,             10273013,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1308,2013年12月31日,,,,,,              2024181,,                 46906,,,,                    310,,                249687,,                265006,,                    702,,                 22204,,,                601685,                601685,,                 78270,,                    110,              4506066,,,              2719072,,                 96279,,              1342297,,                870911,,                535346,,                  2491,                 63372,,                  2846,              5632614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,              1167110,                 49895,             10138680,,,,                351732,,                  3037,,                149157,                 55786,                 33298,,                  5899,,                  5414,                604323,,,                 37563,,                311817,                  5413,                317230,                354793,                959116,,,,              4696769,              4696769,,                 14140,,              1404518,                566027,,              1752550,              3723095,,                745560,                              0,              9179564,                              0,              9179564,                              0,,,,
1308,2013年09月30日,,,,,,              1896335,,                 44229,,,,                  1520,,                298458,,                231511,,                  1516,,                 60586,,,                755395,                755395,,                 85705,,                    110,              4419861,,,              2728212,,                 92750,,              1316557,,                829494,,                538420,,                  2491,                 63668,,                  2168,              5573760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,              1044496,                              0,              9993621,,,,                297764,,                  2762,,                170806,                108562,                 11159,,                  8486,,                  2696,                602235,,,                 35700,,                307179,                  5363,                312542,                348242,                950477,,,,              4696769,              4696769,,                 14155,,              1404518,                566953,,              1637064,              3608535,,                723685,                              0,              9043144,                              0,              9043144,,,,,
1308,2013年06月30日,,,,,,              2081407,,                 39722,,,,                    532,,                282127,,                130996,,                    830,,                185172,,,                969220,                969220,,                 86848,,                    110,              4942581,,,              2763143,,                104379,,              1305098,,                686579,,                557763,,                  2491,                 62890,,                  2168,              5484511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,              1135243,                 30374,             10427092,,,,                258744,,                  3773,,                462323,                365146,                 28641,,                  7172,,                  3104,              1128903,,,                 38286,,                307563,                  5345,                312908,                351194,              1480097,,,,              4696769,              4696769,,                 14230,,              1404518,                566953,,              1510420,              3481891,,                754105,                              0,              8946995,                              0,              8946995,                              0,,,,
