證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 應付薪資,　　　　　 其他應付費用,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 預收股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 應付股利,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 應付薪資,　　　　 其他應付費用,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 預收股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 按攤銷後成本衡量之金融資產－流動,　　　　 按攤銷後成本衡量之金融資產－流動淨額,　　　　 應付股利
6216,2015年09月30日,,,,                575121,,                345636,,                  1845,,                161367,,,                126400,                126400,,                203149,                 16493,                219642,              1430011,,,                147261,                 10586,,,                  1932,,                    910,                    910,                  2842,                160689,              1590700,,,,,                 16090,,                 39504,,                 74961,                 40620,                115581,                 36742,,                 14100,                222017,,,                  6462,,                 36735,                    232,                 36967,                 43429,                265446,,,,                782571,                              0,                782571,,                 92203,,                415438,,                 35042,                              0,              1325254,                              0,              1325254,              1590700,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6216,2015年06月30日,,,,                703487,,                342889,,                  1464,,                211280,,,                131515,                131515,,                199844,                 14632,                214476,              1605111,,,                148453,                 10586,,,                    831,,                    450,                    450,                  1281,                160320,              1765431,,,,,                 49770,,                112855,,                 65831,                 48438,                280083,                 31507,,                 10077,                484292,,,                  5856,,                 36590,                    232,                 36822,                 42678,                526970,,,,                779961,,                779961,,                 88226,,                340939,,                 29335,                              0,              1238461,                              0,              1238461,              1765431,              0,              0,              0,                165814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6216,2015年03月31日,,,,                609402,,                343709,,                  1155,,                184729,,,                100806,                100806,,                165762,                 11492,                177254,              1417055,,,                149098,                 10586,,,                    861,,                    565,                    565,                  1426,                161110,              1578165,,,,,,,                 72213,,                 58523,                 41149,                 99672,                 43026,,                 13356,                228267,,,                  6064,,                 36445,                    232,                 36677,                 42741,                271008,,,,                770739,                    531,                771270,,                 79339,,                425380,,                 31168,                              0,              1307157,                              0,              1307157,              1578165,              0,         23000,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6216,2014年12月31日,,,,                563653,,                342117,,                  1496,,                168506,,,                 99231,                 99231,,                148440,                 17628,                166068,              1341071,,,                150754,                 10586,,,                  1357,,                    585,                    585,                  1942,                163282,              1504353,,,,,                              0,,                 52583,,                 42374,                 40197,                 82571,                 35727,,                 18269,                189150,,,                  6325,,                 36291,                    232,                 36523,                 42848,                231998,,,,                770451,                              0,                770451,,                 76772,,                394278,,                 30854,                              0,              1272355,                              0,              1272355,              1504353,              0,              0,              0,                              0,                563653,              1504353,,,,                 52583,,                 42374,                 40197,                 82571,                 35727,,                 18269,                189150,,,                  6325,,                 36291,                    232,                 36523,                 42848,                231998,,,,                770451,                              0,                770451,,                 76772,,                394278,,                 30854,                              0,              1272355,                              0,              1272355,,,
6216,2014年09月30日,,,,                586425,,                340605,,                  1516,,                155344,,,                144478,                144478,,                 50298,                 10884,                 61182,              1289550,,,                152476,                 11063,,,                  1102,,                    362,                    362,                  1464,                165003,              1454553,,,,,                              0,,                 70191,,                 61775,                 36687,                 98462,                 24467,,                 12364,                205484,,,                  4068,,                 34585,                    232,                 34817,                 38885,                244369,,,,                770311,                     15,                770326,,                 73416,,                339562,,                 26880,                              0,              1210184,                              0,              1210184,              1454553,              0,          1000,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6216,2014年06月30日,,,,                723427,,                338792,,                  2546,,                 95359,,,                140892,                140892,,                 49108,                  6828,                 55936,              1356952,,,                153351,                 11063,,,                  1102,,                     92,                     92,                  1194,                165608,              1522560,,,,,                              0,,                 76970,,                 56615,                 35096,                216161,                 22689,,                 12386,                328206,,,                  3755,,                 34444,                    232,                 34676,                 38431,                366637,,,,                764231,,                764231,,                 65581,,                302575,,                 23536,                              0,              1155923,                              0,              1155923,              1522560,              0,              0,              0,                124450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6216,2014年03月31日,,,,                682965,,                338703,,                  1988,,                 91658,,,                129507,                129507,,                 15243,                 10400,                 25643,              1270464,,,                155006,                 11063,,,                  1102,,                     56,                     56,                  1158,                167227,              1437691,,,,,,,                 63886,,                 52325,                 33219,                 85544,                 21751,,                 10522,                181703,,,                  4083,,                 34301,                    232,                 34533,                 38616,                220319,,,,                757011,                    694,                757705,,                 58233,,                376384,,                 25050,                              0,              1217372,                              0,              1217372,              1437691,              0,         35500,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6216,2013年12月31日,,,,,,                336628,,                    997,,                104839,,,                135599,                135599,,                 15200,                 10644,                 25844,              1188089,,,                156247,                 11063,,,                  1853,,                     66,                     66,                  1919,                169229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,        179000,              0,,                584182,              1357318,,,,                 65766,,                 34734,                 37411,                 72145,                 11434,,                  8064,                157409,,,                  4076,,                 34155,                    232,                 34387,                 38463,                195872,,,,                750531,                  2867,                753398,,                 50615,,                334490,,                 22943,                              0,              1161446,                              0,              1161446,,                              0,                              0
6216,2013年09月30日,,,,,,                334065,,                  1287,,                111824,,,                137645,                137645,,                    400,                  9326,                  9726,              1123492,,,                157845,                  8494,,,                  3741,,                    784,                    784,                  4525,                170864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                528945,              1294356,,,,                 51339,,                 49502,                 30746,                 80248,                 16887,,                 14644,                163118,,,                    903,,                 35304,                    232,                 35536,                 36439,                199557,,,,                750341,                              0,                750341,,                 47808,,                278026,,                 18624,                              0,              1094799,                              0,              1094799,,                              0,
6216,2013年06月30日,,,,,,                333887,,                  1644,,                102569,,,                150140,                150140,,                    365,                  9463,                  9828,              1187297,,,                156631,                  8494,,,                  4129,,                  1290,                  1290,                  5419,                170544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,         28000,              0,,                589229,              1357841,,,,                 61547,,                 49284,                 28845,                179755,                 13332,,                 11788,                266422,,,                  1040,,                 35206,                    232,                 35438,                 36478,                302900,,,,                747621,                    440,                748061,,                 43920,,                243842,,                 19118,                              0,              1054941,                              0,              1054941,,,                101626
