證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 透過損益按公允價值衡量之金融資產－非流動,　　　　 透過損益按公允價值衡量之金融資產－非流動合計,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 庫藏股票,　　　 共同控制下前手權益,　　　 非控制權益,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他應付款－其他
3315,2015年09月30日,,,,                389875,,                 11236,,              2599274,,                 86687,,              1270770,,                 92829,,                387566,              4838237,,,                              0,,                101164,,                  4000,,                 15399,,                  5501,                 25888,,                 15088,                167040,              5005277,,,,,              2198723,,                 16486,,                869925,,                121524,                  9201,,                 34710,              3250569,,,                 90335,,                 54376,                144711,              3395280,,,,                702813,                702813,,                260493,,                582523,,                 64168,              1609997,              1609997,              5005277,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3315,2015年06月30日,,,,                523500,,                 10027,,              1844564,,                 65851,,              1387431,,                 50014,,                246027,              4127414,,,                              0,,                125149,,                  7000,,                 16282,,                  6123,                 25888,,                 13751,                194193,              4321607,,,,,              1714097,,                  7844,,                658850,,                227157,                  4724,,                 28169,              2640841,,,                 93213,,                 54069,                147282,              2788123,,,,                702813,                702813,,                260493,,                527855,,                 42323,              1533484,              1533484,              4321607,              0,              0,              0,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3315,2015年03月31日,,,,                621714,,                 25114,,              1928761,,                 79759,,              1227085,,                 65415,,                260900,              4208748,,,                              0,,                131746,,                  7000,,                 16885,,                  6550,                 25888,,                 14941,                203010,              4411758,,,,,              1740069,,                  4785,,                652304,,                106007,                 15317,,                 30694,              2549176,,,                 94005,,                 53929,                147934,              2697110,,,,                702813,                702813,,                260493,,                693188,,                 58154,              1714648,              1714648,              4411758,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3315,2014年12月31日,,,,                543293,,                 24243,,              2423662,,                 68941,,              1037886,,                 25530,,                239967,              4363522,,,                              0,,                135608,,                  7000,,                 17389,,                  6594,                 25888,,                 13865,                206344,              4569866,,,,,              1806064,,                  5339,,                746860,,                107765,                  7775,,                 31948,              2705751,,,                 94460,,                 53465,                147925,              2853676,,,,                702813,                702813,,                260493,,                684082,,                 68802,              1716190,              1716190,              4569866,              0,              0,              0,                              0,                              0,                              0,                543293,              4569866,,,,              1806064,,                  5339,,                746860,,                107765,                  7775,,                 31948,              2705751,,,                 94460,,                 52121,                  1344,                 53465,                147925,              2853676,,,,                702813,                702813,,                260493,,                684082,,                 68802,              1716190,              1716190,,,,,,,,,
3315,2014年09月30日,,,,                541687,,                 21646,,              2258155,,                 91798,,              1179841,,                 71602,,                202043,              4366772,,,                              0,,                121356,,                  7000,,                 18204,,                  7384,                 46827,,                 10427,                211198,              4577970,,,,,              1793507,,                 10639,,                872268,,                103592,                 20354,,                 27501,              2827861,,,                 88474,,                 50544,                139018,              2966879,,,,                702813,                702813,,                260493,,                611775,,                 36010,              1611091,              1611091,              4577970,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3315,2014年06月30日,,,,                486161,,                 23468,,              2078123,,                101656,,              1042832,,                 66968,,                206142,              4005350,,,                              0,,                138448,,                  7000,,                 20137,,                  8010,                 46827,,                 10979,                231401,              4236751,,,,,              1573514,,                  5364,,                734123,,                156825,                 15316,,                 21420,              2506562,,,                 90526,,                 50342,                140868,              2647430,,,,                702813,                702813,,                260493,,                586931,,                 39084,              1589321,              1589321,              4236751,              0,              0,              0,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3315,2014年03月31日,,,,                564925,,                 43170,,              2113318,,                 78473,,                873312,,                 79976,,                173120,              3926294,,,                              0,,                116830,,                  7000,,                 20881,,                  8902,                 46827,,                 11113,                211553,              4137847,,,,,              1597774,,                  6513,,                648856,,                 87414,                  7035,,                 10029,              2357621,,,                 87931,,                 50138,                138069,              2495690,,,,                702813,                702813,,                260493,,                646059,,                 32792,              1642157,              1642157,              4137847,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3315,2013年12月31日,,,,,,                 24320,,              2340368,,                 71999,,                838828,,                 35720,,                225166,              4036185,,,,,                 80651,,                  7000,,                 21573,,                  8654,                 46827,,                 10355,                175060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,                499784,              4211245,,,,              1779626,,                  5811,,                624872,,                 93740,                    106,,                 11970,              2516125,,,                 83590,,                 49912,                     15,                 49927,                133517,              2649642,,,,                702813,                702813,,                260493,,                612084,,                -13787,              1561603,              1561603,,,,,,,,,
3315,2013年09月30日,,,,,,                 22408,,              2170391,,                 64427,,              1188802,,                 42974,,                252077,              4260561,,,                              0,,                 76435,,                  7000,,                 23580,,                  9375,                 66059,,                 10128,                192577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,                519482,              4453138,,,,              1908025,,                  9602,,                756250,,                 93956,                 14609,,                 27273,              2809715,,,                 86350,,,,                 52480,                138830,              2948545,,,,                702813,                702813,,                260493,,                560650,,                -19363,              1504593,              1504593,,,,,,,,,
3315,2013年06月30日,,,,,,                 13754,,              2123997,,                107844,,              1293374,,                 17626,,                182190,              4175761,,,                              0,,                 90124,,                  7000,,                 25529,,                  9863,                 66059,,                  9288,                207863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,                436976,              4383624,,,,              1651919,,                 11870,,                818909,,                200112,                  6160,,                 28386,              2717356,,,                 86447,,,,                 52308,                138755,              2856111,,,,                702813,                702813,,                260493,,                560374,,                  3833,              1527513,              1527513,,,,,,,,,
3315,2013年03月31日,,,,,,                 27498,,              1852519,,                 80862,,              1304820,,                 45864,,                170596,              3997509,,,                              0,,                 42054,,                  7000,,                 24798,,                 10781,                 66059,,                  9251,                159943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,                515350,              4157452,,,,              1457005,,                 20201,,                801502,,                101768,                 30467,,                 19660,              2430603,,,                 81639,,,,                 52130,                133769,              2564372,,,,                702813,                702813,,                260493,,                673396,,                -43622,              1593080,              1593080,,                -69900,,                 26278,,,,,
3315,2012年12月31日,,,,                549034,,                 21234,,              1998725,,                 71832,,              1287325,,                 30774,,                170702,              4129626,,,                              0,,                 42279,,                  7000,,                 26817,,                 10818,                 66059,,                  9330,                162303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,              4291929,,,,              1551763,,                 16090,,                812198,,                125412,                 25999,,                 23223,              2584680,,,                 81662,,,,                 51944,                133606,              2718286,,,,                702813,                702813,,                260493,,                669259,,                -58922,              1573643,              1573643,,                -85402,,                 26480,,                 29995,,,
3315,2012年09月30日,,,,                563519,,                 26048,,              2437120,,,,              1469988,,                 66307,,                258318,              4821300,,,                              0,,                 44236,,                  7000,,                 27768,,                  9414,                 69569,,                 12408,                170395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,              4991695,,,,              2088825,,                 25734,,                953113,,                152779,                 21496,,                  7648,              3279588,,,                 88684,,,,                 46979,                135663,              3415251,,,,                702813,                702813,,                260493,,                665760,,                -52622,              1576444,              1576444,,,,,,                 29993,                173927,                 84391,                152779
3315,2012年01月01日,,,,                660287,,                 24286,,              2077595,,                 72640,,              1237903,,                 51058,,                135881,              4259650,,,                 10595,,                 47724,,                  7000,,                 28804,,                 10577,                 50564,,                 11782,                167046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,              4426696,,,,              1509465,,                 23967,,                817391,,                128297,                 27354,,                 16182,              2552646,,,                 97579,,,,                 46781,                144360,              2697006,,,,                702813,                702813,,                260493,,                797160,,                -30776,              1729690,              1729690,,                -30776,,                              0,,                 29990,,,
