證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨（建設業適用）,　　　　　 存貨（建設業適用）淨額,　　　　 存貨合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收房地款,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 採用權益法之投資貸餘,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　　 資本公積－其他,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 其他應付款－其他,　　　　　 其他權益－其他,　　　　　　 其他權益－其他合計,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收房地款,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 長期應付票據及款項,　　　　　 長期應付票據及款項合計,　　　　 應計退休金負債（應付退休金費用）,　　　　 採用權益法之投資貸餘,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－其他,　　　　 資本公積合計,　　　 保留盈餘,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 當期所得稅資產,　　　　 當期所得稅資產合計,　　　　　 待售房地,　　　　　 在建房地,　　　　　 預付土地款,　　　 預付款項,　　　　 其他預付款,　　　　 預付款項合計,　　　　 待出售非流動資產,　　　　 以成本衡量之金融資產－非流動,　　　　 累計減損－以成本衡量之金融資產－非流動,　　　　 採用權益法之投資,　　　　 其他應付票據,　　　 應付票據－關係人,　　　　 應付票據－關係人,　　　　 應付票據－關係人合計,　　　　 應付帳款－關係人,　　　　 其他應付款－其他,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　　 應付租賃款－流動,　　　　 銀行長期借款,　　　　 其他長期借款,　　　　　 長期應付票據,　　　　　 應付租賃款－非流動,　　　　 存入保證金,　　　　 資本公積－庫藏股票交易,　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益－母公司,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益－其他,　　　　　 其他權益－其他合計,　　　 庫藏股票,　　 非控制權益,　　　　 應付設備款,　　　　 庫存現金
1456,2015年09月30日,,,,                  7938,,                              0,,                  3465,,                              0,,                231028,,                  3558,,,                  2272,,              2125807,              2128079,,                  8300,,                 21741,                 11315,                 33056,              2415424,,,                 58330,,                 26610,,                 25930,,                145399,,              1785000,,                  1285,                  3541,,,                              0,,                    101,                    101,              2046196,              4461620,,,,,              1157084,,                  8774,,                 42395,,                 99638,                169909,,,                108570,                108570,,              1505687,              1505687,                101773,              1716030,              3193830,,,                105600,,                141648,,                 80536,                  1685,                      7,                 82228,                329476,              3523306,,,,              2130000,              2130000,,,                 18377,                  4716,                              0,                 23093,,                  2172,,             -1263113,             -1260941,,                 46162,                938314,                938314,              4461620,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1456,2015年06月30日,,,,                 10732,,                     80,,                  7556,,                      2,,                220197,,                    813,,,                  2682,,              2063280,              2065962,,                  8300,,                 30402,                 10379,                 40781,              2354423,,,                 66758,,                 26610,,                 26048,,                154857,,              1785000,,                  1355,                  3541,,,                              0,,                    101,                    101,              2064270,              4418693,,,,,              1171084,,                  7308,,                  1577,,                 89083,                138515,,,,                 96373,,              1620943,              1620943,                103690,              1821006,              3228573,,,                              0,,                141648,,                 83160,                  1685,                  2068,                 86913,                228561,              3457134,,,,              2130000,              2130000,,,,                  1391,                 21702,                 23093,,                  2172,,             -1248296,             -1246124,,                 54590,                961559,                961559,              4418693,              0,              0,              0,                 89083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1456,2015年03月31日,,,,                 17059,,                              0,,                 10172,,                              0,,                223815,,                    767,,,                  2570,,              1993133,              1995703,,                  8300,,                 25099,                 14458,                 39557,              2295373,,,                 33713,,                 26610,,                 26197,,                163342,,              1785000,,,                  3541,,,                 15584,,                  1503,                 17087,              2055490,              4350863,,,,,              1176389,,                 10359,,                  3282,,                 85952,                 35843,,,,                 87484,,                150900,                150900,                104651,                343035,              1654860,,,              1517018,,                141648,,                 85345,                  1685,                    658,                 87688,              1746354,              3401214,,,,              2130000,              2130000,,,,                              0,                 23093,                 23093,,                  2172,,             -1227161,             -1224989,,                 21545,                949649,                949649,              4350863,              0,              0,              0,,,                 21545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1456,2014年12月31日,,,,                  5708,,                     40,,                  3465,,                     33,,                266346,,                    978,,,                  2805,,              1883751,              1886556,,                  8300,,                 13398,                 12028,                 25426,              2196852,,,                 31960,,                 26610,,                 26213,,                170493,,              1785000,,                              0,                  3541,,,                 16018,,                  1221,                 17239,              2061056,              4257908,,,,,              1023532,,                 19041,,                 10791,,                 90229,                147227,,,                 78098,                 78098,,                141594,                141594,                 57582,                277274,              1568094,,,              1477369,,                141648,,                 87626,                  1685,                 12695,                102006,              1721023,              3289117,,,,              2130000,              2130000,,,                              0,                              0,                 21702,                 21702,,                  2172,,             -1205010,             -1202838,,                 19927,                968791,                968791,              4257908,              0,              0,              0,                 90229,,                 19927,                  5708,              4257908,,,,              1023532,,                 19041,,                 10791,,                              0,,                 90229,                147227,,,                 78098,                 78098,,                141594,                141594,                 57582,                277274,              1568094,,,              1477369,,                141648,,,                              0,                 87626,                  1685,                 12695,                102006,              1721023,              3289117,,,,              2130000,              2130000,,                 21702,                 21702,,                  2172,,             -1205010,             -1202838,,                 19927,                968791,                968791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1456,2014年09月30日,,,,                 34265,,                     52,,                  3465,,                              0,,                277456,,                  4648,,,                  3225,,              1867154,              1870379,,                  8300,,                 13251,                  4417,                 17668,              2216233,,,                 12018,,                 26610,,                 26471,,                181549,,              1785600,,                              0,                  2502,,,                 16000,,                  1221,                 17221,              2051971,              4268204,,,,,              1024999,,                 42715,,                  3058,,                119111,                170333,,,                 68340,                 68340,,                145148,                145148,                 10970,                224458,              1584674,,,              1472729,,                141773,,                100516,                  1412,                 12750,                114678,              1729180,              3313854,,,,              2130000,              2130000,,,                              0,                              0,                 21702,                 21702,,                  2172,,             -1199509,             -1197337,,                    -15,                954350,                954350,              4268204,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1456,2014年06月30日,,,,                141145,,                    243,,                 15277,,                      1,,                193824,,                  3581,,,                 28218,,              1297352,              1325570,,                  8300,,                 24981,                 12921,                 37902,              1725843,,,                 35876,,                 26610,,                 25761,,                175612,,              1785600,,                              0,                  4325,,,                 53508,,                  5781,                 59289,              2113073,              3838916,,,,,                 95376,,                  7071,,                  3725,,                106581,                172359,,,,                 59043,,                 17768,                 17768,                 11194,                 88005,                473117,,,              2117257,,                141668,,                117711,                  1692,                 12768,                132171,              2391096,              2864213,,,,              2130000,              2130000,,,,                              0,                 21702,                 21702,,                  2172,,               -219796,               -217624,,               -959375,                974703,                974703,              3838916,              0,              0,              0,                106581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1456,2014年03月31日,,,,                161884,,                     97,,                  3465,,                  1211,,                195103,,                 33079,,,                 78215,,              1084007,              1162222,,                              0,,                 46971,                 26533,                 73504,              1630565,,,                 36814,,                 26610,,                 32284,,                181814,,              1785600,,,                  3818,,,                              0,,                  5811,                  5811,              2072751,              3703316,,,,,                895590,,                 25218,,                 61192,,                105887,                 19156,,,,                 45556,,                230999,                230999,                 14757,                291312,              1398355,,,                960152,,                142157,,                125640,                  1880,                 11173,                138693,              1241002,              2639357,,,,              2130000,              2130000,,,,                              0,                 21702,                 21702,,                  2172,,               -131478,               -129306,,               -958437,              1063959,              1063959,              3703316,              0,              0,              0,,,               -958437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1456,2014年01月01日,,,,                 11822,,                    364,,                 68659,,                  1230,,                172049,,                120984,,,                 98480,,                947392,              1045872,,                              0,,                 32938,                 33959,                 66897,              1487877,,,                 41035,,                 26610,,                 32793,,                188444,,              1785600,,                              0,                  2502,,,                              0,,                    131,                    131,              2077115,              3564992,,,,,                885653,,                 34125,,                 50200,,                126252,                194371,,,,                 31793,,                230806,                230806,                  8987,                271586,              1562187,,,                962655,,                142921,,                130178,                  1685,                 11191,                143054,              1248630,              2810817,,,,              1630000,              1630000,,,,                              0,                 21702,                 21702,,                  2172,,                 54517,                 56689,,               -954216,                754175,                754175,              3564992,              0,              0,              0,                126252,,               -954216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1456,2013年12月31日,,,,,,                    364,,                 68659,,                  1230,,                172049,,                120984,,,                 98480,,                947392,              1045872,,                              0,,                 32938,                 33959,                 66897,              1487877,,,                 41035,,                 26610,,                 32793,,                188444,,              1785600,,,                  2502,,,                              0,,                    131,                    131,              2077115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,                 11822,              3564992,,,,                885653,,                 34125,,                 50200,,                              0,,                126252,                194371,,,                 31793,                 31793,,                230806,                230806,                  8987,                271586,              1562187,,,                962655,,                142921,,,                              0,                130178,                  1685,                 11191,                143054,              1248630,              2810817,,,,              1630000,              1630000,,                 21702,                 21702,,                  2172,,                 54517,                 56689,,               -954216,                754175,                754175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1456,2013年09月30日,,,,,,                     71,,                 72760,,                  2951,,                 81161,,                141153,,,                116005,,                905069,              1021074,,                              0,,                 22510,                 15014,                 37524,              1395262,,,                 40801,,                 26610,,                 29970,,                197038,,              1672300,,,                              0,,,                              0,,                    132,                    132,              1966851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,                 38568,              3362113,,,,                917622,,                  8700,,                 21457,,                              0,,                140423,                112637,,,                              0,                              0,,                229290,                229290,                 12522,                241812,              1442651,,,                964622,,                144103,,,                              0,                127872,                  2104,                 10450,                140426,              1249151,              2691802,,,,              4075000,              4075000,,                 18656,                 18656,,                  2172,,             -2470824,             -2468652,,               -954693,                670311,                670311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
