證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 電腦軟體淨額,　　　　　 電腦軟體淨額,　　　　 商譽,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 應付員工紅利,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 應付股利,　　　　　 其他權益－其他,　　　　　　 其他權益－其他合計,　　　 共同控制下前手權益,　　 待註銷股本股數,　　　　 現金及約當現金合計,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 應付員工紅利,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益－其他,　　　　　 其他權益－其他合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 共同控制下前手權益,　　 非控制權益,　　 權益總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付董監事酬勞,　　　　 應付股利,　　　　 其他無形資產,　　　　　 其他無形資產,　　　　　 其他無形資產淨額
8081,2015年09月30日,,,,              2486051,,                153342,,                917031,,                 20772,,                530300,,                 15406,              4122902,,,                121000,,                 32584,,                523813,,,                 23504,                381806,                405310,                 41940,,,                  4467,                  4467,              1129114,              5252016,,,,,                625480,,                383380,,                217441,                124086,                341527,                 48321,,                  7761,,                  3812,                  3812,              1410281,,,                 24025,                 25845,                 49870,                 49870,              1460151,,,,                861721,                861721,,              1256430,,                646311,                  8552,,              1177085,              1831948,,               -112097,                 47131,              3790871,                    994,              3791865,              5252016,              0,        443433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8081,2015年06月30日,,,,              2757244,,                200497,,                826360,,                 14280,,                580301,,                  9106,              4387788,,,                121000,,                 31299,,                530093,,,                 16479,                381806,                398285,                 41329,,,                  4463,                  4463,              1126469,              5514257,,,,,                493600,,                410449,,                179041,                108084,                804157,                 63141,,                  6910,,,                  5488,              1783745,,,                 24025,                 20274,                 44299,                 44299,              1828044,,,,                861721,                861721,,              1253770,,                646311,                  8552,,              1025640,              1680503,,                -64574,                 47131,              3684289,                  1924,              3686213,              5514257,              0,        443433,                517032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8081,2015年03月31日,,,,              2730592,,                276599,,                837481,,                 23372,,                583953,,                 13904,              4465901,,,                130000,,                 31682,,                537511,,,                 22345,                381806,                404151,                 40366,,,                  4593,                  4593,              1148303,              5614204,,,,,                469500,,                481533,,                173757,                102524,                276281,                 87429,,                  6930,,,                  8520,              1330193,,,                 24025,                 19347,                 43372,                 43372,              1373565,,,,                861721,                861721,,              1348559,,                585545,                  2468,,              1449603,              2037616,,                 36806,                 47131,              4237571,                  3068,              4240639,              5614204,              0,        443433,,,                 36806,                              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8081,2014年12月31日,,,,              2668213,,                126804,,                928081,,                 17066,,                565145,,                  5666,              4310975,,,                112267,,                 31980,,                542385,,,                  9557,                381806,                391363,                 33338,,,                  4582,                  4582,              1115915,              5426890,,,,,                442680,,                468457,,                148457,                145385,                293842,                 60046,,                  8590,,                  9734,                  9734,              1283349,,,                 24025,                 19332,                 43357,                 43357,              1326706,,,,                861721,                861721,,              1349423,,                585545,                  2468,,              1338496,              1926509,,                  9400,                 47131,              4099922,                    262,              4100184,              5426890,              0,        443433,                              0,,                  9400,                              0,              0,              2668213,,                              0,              5426890,,,,                442680,,                468457,,                148457,                145385,                293842,                 60046,,                  8590,,                  9734,              1283349,,,                 24025,                 19332,                 43357,                 43357,              1326706,,,,                861721,                861721,,              1349423,,                585545,                  2468,,              1338496,              1926509,,,                  9400,                  9400,                 47131,              4099922,                              0,                    262,              4100184,,,,,,,,,
8081,2014年09月30日,,,,              2793905,,                              0,,                942122,,                 28111,,                618522,,                 13735,              4396395,,,                125100,,                 30909,,                550736,,,                 13387,                402879,                416266,                 44863,,,                  4484,                  4484,              1172358,              5568753,,,,,                547380,,                587746,,                250664,                120701,                371365,                 50898,,                  8728,,                  7528,                  7528,              1573645,,,                 23472,                 18384,                 41856,                 41856,              1615501,,,,                861721,                861721,,              1349423,,                585545,                  2468,,              1196874,              1784887,,                    279,                 47131,              3949179,                  4073,              3953252,              5568753,              0,        443433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8081,2014年06月30日,,,,              3120334,,                              0,,                826301,,                 15767,,                562390,,                  5324,              4530116,,,                125100,,                 30058,,                560379,,,                  2308,                402879,                405187,                 43587,,,                  4479,                  4479,              1168790,              5698906,,,,,                477760,,                527224,,                214917,                112629,                814418,                 59935,,                  6966,,,                  8718,              1895021,,,                 23472,                 13158,                 36630,                 36630,              1931651,,,,                861721,                861721,,              1346918,,                585545,                  2468,,              1011638,              1599651,,                   -889,                 47131,              3760270,                  6985,              3767255,              5698906,              0,        443433,                486872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8081,2014年03月31日,,,,              2971024,,                 19607,,                830697,,                 15935,,                493754,,                  7225,              4338242,,,                125100,,                 30577,,                557262,,,                  2774,                402879,                405653,                 39149,,,                  4689,                  4689,              1162430,              5500672,,,,,                426482,,                494531,,                186117,                101126,                287243,                103128,,                  9643,,,                  4212,              1325239,,,                 23472,                 13158,                 36630,                 36630,              1361869,,,,                861721,                861721,,              1497719,,                531289,                  1803,,              1283799,              1816891,,                   -253,                 47131,              4128947,                  9856,              4138803,              5500672,              0,        443433,,,                   -253,                              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8081,2013年12月31日,,,,,,                              0,,                843498,,                 15856,,                463844,,                  9860,              4010538,,,                125100,,                 31169,,                588144,,,                    481,                402879,                403360,                 43115,,,                  4316,                  4316,              1317168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,        443433,,,,,              0,              2677480,,                121964,              5327706,,,,                432825,,                470069,,                146917,                146866,                293783,                 88624,,                 10120,,                 18650,              1314071,,,                 23472,                 10078,                 33550,                 33550,              1347621,,,,                861721,                861721,,              1496855,,                531289,                  1803,,              1123256,              1656348,,,                  7636,                  7636,                 47131,              3975429,                              0,                  4656,              3980085,,,,,,,,,
8081,2013年09月30日,,,,,,                330501,,                967231,,                 23459,,                488091,,                  6201,              4210728,,,                125100,,                 30559,,                596110,,,                    747,                402879,                403626,                 57012,,,                  4320,                  4320,              1323743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,        443433,,,,,              0,              2385375,,                107016,              5534471,,,,                577590,,                597302,,                249087,                134617,                391323,                 69213,,                  8122,,                  6599,              1650177,,,                 23852,                  8602,                 32454,                 32454,              1682631,,,,                861721,                861721,,              1496855,,                531289,                  1803,,              1004945,              1538037,,,                 -5448,                 -5448,                 47131,              3844034,,                  7806,              3851840,,                  9870,,                     28,                  7619,,,,
8081,2013年06月30日,,,,,,                369177,,                992064,,                 22487,,                419413,,                  2966,              4661006,,,                 80000,,                 57548,,                602737,,,,,                415936,                 53131,,,                  4316,                  4316,              1222083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,        443433,,,,,              0,              2710110,,                  8415,              5883089,,,,                629580,,                511970,,                236938,                116388,                965148,                 38647,,                  7745,,                  4602,              2157771,,,                 23852,                  3282,                 27134,                 27134,              2184905,,,,                861721,                861721,,              1493707,,                531289,                  1803,,                849867,              1382959,,,                 -4141,                 -4141,                 47131,              3687115,,                 11069,              3698184,,                144789,,                     79,,                611822,,,
