證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 暫收款,　　　　　 代收款,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 預收股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 共同控制下前手權益,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 應付票據－關係人,　　　　　 應付票據－關係人合計,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付票據－關係人,　　　　 應付票據－關係人合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 暫收款,　　　　 代收款,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 共同控制下前手權益,　　 非控制權益,　　 權益總額,　　　　 預收股本,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額
5288,2015年09月30日,,,,                734546,,                442060,,                    150,,                493551,,                 19067,,                  6263,,                367181,,                111637,,                    462,              2174917,,,                 11007,,                103141,,                677770,,                  4895,                    714,,                    400,                797927,              2972844,,,,,                 63929,,                      2,,                269788,,                 15426,,                132762,                 55840,,,                 14879,                    157,                    954,                  7738,                 23728,                561475,,,                 18154,,                 50228,                 68382,                629857,,,,                645832,                 12692,                658524,,                802877,,                 61299,,                766975,                828274,,                 53312,                              0,              2342987,                              0,                              0,              2342987,              2972844,              0,        334000,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5288,2015年06月30日,,,,                834577,,                396294,,                     80,,                443612,,                 18419,,                  4783,,                338625,,                103548,,                    192,              2140130,,,                 11007,,                 89920,,                636436,,                  4801,                    714,,                    403,                743281,              2883411,,,,,                 80389,,                              0,,                240461,,                 12913,,                348112,                 43481,,,                 17049,                    163,                    827,                  5359,                 23398,                748754,,,                 17395,,                 50123,                 67518,                816272,,,,                645032,,                645032,,                800247,,                 61299,,                610930,                672229,,                -50369,                              0,              2067139,                              0,                              0,              2067139,              2883411,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5288,2015年03月31日,,,,                458813,,                651171,,                     54,,                527370,,                 18161,,                 11308,,                336775,,                117115,,                    300,              2121067,,,                 11007,,                 92192,,                658013,,                  4148,                    714,,                    403,                766477,              2887544,,,,,                 72943,,                      1,,                284042,,                 15434,,                125031,                 52410,,,                 17492,                    105,                    734,                  7333,                 25664,                575525,,,                 17289,,                 50088,                 67377,                642902,,,,                643702,                  1400,                645102,,                795868,,                 61299,,                757758,                819057,,                -15385,                              0,              2244642,,                              0,              2244642,              2887544,              0,         35000,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5288,2014年12月31日,,,,                519650,,                592293,,                    564,,                558450,,                 22575,,                 13328,,                331994,,                 99793,,                    154,              2138801,,,                 11007,,                 89407,,                695259,,                  3934,                    714,,                    400,                800721,              2939522,,,,,                 90519,,                      4,,                346274,,                 25989,,                148368,                 52273,,,                 13901,                    154,                    726,                 28170,                 42951,                706378,,,                 17870,,                 48379,                 66249,                772627,,,,                643492,                              0,                643492,,                794848,,                 61299,,                647891,                709190,,                 19365,                              0,              2166895,                              0,                              0,              2166895,              2939522,              0,              0,              0,,                              0,                519650,                592293,              2939522,,,,                 90519,,                      4,,                              0,,                346274,,                 25989,,                148368,                              0,                 52273,,,                 13901,                    154,                    726,                 28170,                 42951,                706378,,,                 17870,,                 48379,                 66249,                772627,,,,                643492,                643492,,                794848,,                 61299,,                647891,                709190,,                 19365,                              0,              2166895,                              0,                              0,              2166895,,,,,,
5288,2014年09月30日,,,,                460007,,                469958,,                    550,,                470536,,                 20719,,                  9393,,                314233,,                 71666,,                    461,              1817523,,,                 11007,,                 82601,,                688410,,                  4474,                    714,,                    400,                787606,              2605129,,,,,                 62798,,                      9,,                294941,,                 13650,,                120059,                 40546,,,                 16474,                  1137,                  1185,                  3547,                 22343,                554346,,,                 17372,,                 43871,                 61243,                615589,,,,                639842,                 12600,                652442,,                783200,,                 61299,,                545821,                607120,,                -53222,                              0,              1989540,                              0,                              0,              1989540,              2605129,              0,        315000,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5288,2014年06月30日,,,,                488657,,                112640,,                    428,,                428245,,                 14447,,                  5576,,                275059,,                 63221,,                    190,              1388463,,,                 11007,,                 75517,,                693001,,                  5190,                    714,,                    402,                785831,              2174294,,,,,                 40000,,                      2,,                242797,,                 13301,,                287830,                 41832,,,                 17190,                     59,                    807,                  5110,                 23166,                648928,,,                 17291,,                 43359,                 60650,                709578,,,,                568742,,                568742,,                441221,,                 61299,,                472909,                534208,,                -79455,                              0,              1464716,                              0,                              0,              1464716,              2174294,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5288,2014年03月31日,,,,                441335,,                 79585,,                    585,,                471043,,                 12855,,                  5382,,                286469,,                 62876,,                    170,              1360300,,,                 11007,,                 73999,,                734697,,                  5979,                  1060,,                    402,                827144,              2187444,,,,,                 57071,,                  1848,,                263603,,                 17455,,                101088,                 65450,,,                 22204,                     53,                    722,                  2234,                 25213,                531747,,,                 17561,,                 42721,                 60282,                592029,,,,                568742,                              0,                568742,,                440523,,                              0,,                620146,                620146,,                -33996,                              0,              1595415,,                              0,              1595415,              2187444,              0,              0,              0,,                     19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5288,2013年12月31日,,,,,,,,                  1034,,                423552,,                 15771,,                  6793,,                279133,,                 46794,,                    274,              1283553,,,                 11007,,                 72011,,                747255,,                  6414,                    714,,                     94,                837495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,                460467,                 49735,              2121048,,,,                 56765,,                 46805,,                    467,,                243035,,                 14530,,                130115,                    158,                 54181,,,                 21252,                     53,                    828,                  8226,                 30359,                576415,,,                 17293,,                 43976,                 61269,                637684,,,,                568742,                568742,,                439825,,                              0,,                536096,                536096,,                -61299,                              0,              1483364,                              0,                              0,              1483364,,,,,,
5288,2013年09月30日,,,,,,,,                  1380,,                337625,,                 29149,,                  4523,,                326249,,                 47320,,                    496,              1114683,,,                 11007,,                 67002,,                747865,,                  6582,                    632,,                     30,                833118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,                318696,                 49245,              1947801,,,,                 87888,,                 41390,,                    442,,                193728,,                 10664,,                118376,                    158,                 16739,,,                 21774,                     52,                    317,                  7385,                 29528,                498913,,,                 17034,,                 51255,                 68289,                567202,,,,                568742,                568742,,                439027,,                              0,,                447973,                447973,,                -75143,                              0,              1380599,                              0,                              0,              1380599,                              0,,,,,
5288,2013年06月30日,,,,,,,,                  1700,,                375292,,                 11585,,                  3772,,                303713,,                 51271,,                    283,              1284204,,,                 11007,,                 68582,,                781381,,                  6597,                    602,,                     32,                868201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,                486713,                 49875,              2152405,,,,                103806,,                 85442,,                    682,,                222501,,                 12599,,                269380,                    158,                 22302,,,                 13296,                              0,                    860,                  4315,                 28482,                745352,,,                 17312,,                 50083,                 67395,                812747,,,,                568742,                568742,,                438228,,                              0,,                391054,                391054,,                -58366,                              0,              1339658,                              0,                              0,              1339658,,,                 10011,                 10011,,
