證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 其他非流動資產,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益－其他,　　　　　　 其他權益－其他合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 應收帳款,　　 待註銷股本股數,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 應付票據,　　　　 應付票據合計,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 庫藏股票
2468,2015年09月30日,,,,                172760,,                  7305,,                 68107,,                 17246,,                373257,,                  9690,,                141051,,                 91442,,                 14028,                894886,,,                 62388,,                268321,,                 67606,,                    653,,,                110736,                110736,                509704,              1404590,,,,,                              0,,                              0,,                168087,,                 55818,                 55818,                    484,,                 78193,                 78193,                302582,,,                  9574,                  9574,                312156,,,,                699612,                699612,,                 62361,,                144534,                  4379,,                186336,                335249,,,                 -4788,                 -4788,              1092434,              1092434,              1404590,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468,2015年06月30日,,,,                236858,,                 10333,,                 49647,,                 25153,,                379391,,                 13878,,                145738,,                 57390,,                 17708,                936096,,,                 59389,,                268709,,                 67880,,                    942,,,                107606,                107606,                504526,              1440622,,,,,                              0,,                              0,,                189931,,                 89710,                 89710,                  3047,,,                 68976,                351664,,,                  8693,                  8693,                360357,,,,                699612,                699612,,                 62361,,                144534,                  4379,,                173019,                321932,,,,                 -3640,              1080265,              1080265,              1440622,              0,              0,                379391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468,2015年03月31日,,,,                240640,,                 11954,,                 53473,,                 14404,,                323996,,                 17801,,                175545,,                 35826,,                 16604,                890243,,,                 61205,,                271987,,                 68163,,                    986,,,                104614,                104614,                506955,              1397198,,,,,                              0,,                              0,,                178505,,,                 43426,                  6886,,,                 54735,                283552,,,                  9359,                  9359,                292911,,,,                699612,                699612,,                 62361,,                140330,                  6205,,                196307,                342842,,,,                   -528,              1104287,              1104287,              1397198,              0,              0,                323996,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468,2014年12月31日,,,,                184663,,                 14045,,                 50966,,                 27947,,                357633,,                 24363,,                147310,,                 30946,,                 28022,                865895,,,                 60772,,                274051,,                 68456,,                  1467,,,                100940,                100940,                505686,              1371581,,,,,                              0,,                              0,,                150431,,                 57899,                 57899,                  5081,,                 48804,                 48804,                262215,,,                  9738,                  9738,                271953,,,,                699612,                699612,,                 62361,,                140330,                  6205,,                190217,                336752,,,                    903,                    903,              1099628,              1099628,              1371581,              0,              0,                357633,              0,                184663,                 50966,              1371581,,,,                              0,,                              0,,                150431,,                 57899,                 57899,                  5081,,                    130,,                 48674,                262215,,,                  9738,                  9738,                271953,,,,                699612,                699612,,                 62361,,                140330,                  6205,,                195499,                342034,,                 -4379,              1099628,              1099628,,,,,,,
2468,2014年09月30日,,,,                178425,,                 12818,,                 43390,,                 27855,,                410266,,                 20139,,                180915,,                 56596,,                 24961,                955365,,,                 58626,,                271153,,                 68760,,                  1873,,,                101658,                101658,                502070,              1457435,,,,,                 45000,,                 59948,,                168783,,                 58814,                 58814,                  1047,,                 41756,                 41756,                375348,,,                  8829,                  8829,                384177,,,,                699612,                699612,,                 62361,,                140330,                  6205,,                166755,                313290,,,                 -2005,                 -2005,              1073258,              1073258,              1457435,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468,2014年06月30日,,,,                197006,,                 12924,,                 44708,,                 21007,,                405881,,                 19252,,                194143,,                 99418,,                 13146,              1007485,,,                 57226,,                270788,,                 69076,,                  1995,,,                100991,                100991,                500076,              1507561,,,,,                 80000,,                 89925,,                169631,,                 70687,                 70687,                  2332,,,                 27138,                439713,,,                  6876,                  6876,                446589,,,,                699612,                699612,,                 62361,,                140330,                  6205,,                155417,                301952,,,,                 -2953,              1060972,              1060972,              1507561,              0,              0,                405881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468,2014年03月31日,,,,                291380,,                 13025,,                 53795,,                 17879,,                347926,,                 20683,,                208359,,                 89160,,                 18712,              1060919,,,                 55770,,                273437,,                 69404,,                  1999,,,                 95452,                 95452,                496062,              1556981,,,,,                125000,,                 69889,,                188775,,,                 44653,                  3297,,,                 33235,                464849,,,                  7261,                  7261,                472110,,,,                699612,                699612,,                 62361,,                137240,                 10925,,                175378,                323543,,,,                   -645,              1084871,              1084871,              1556981,              0,              0,                347926,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468,2013年12月31日,,,,,,                 14087,,,,                 27739,,                414780,,                 18382,,                234341,,                102503,,                 17782,              1119223,,,                 53564,,                272899,,                 69745,,                  2420,,,                 96800,                 96800,                495428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,                414780,              0,                247208,                 42401,              1614651,,,,                150000,,                 59935,,                220348,,                 49103,                 49103,                  2835,,                    532,,                 48886,                531639,,,                  6332,                  6332,                537971,,,,                699612,                699612,,                 62361,,                137240,                 10925,,                172747,                320912,,                 -6205,              1076680,              1076680,,,,,,,
2468,2013年09月30日,,,,,,                 19956,,,,                 19210,,                392501,,                 24174,,                212964,,                116455,,                 24446,              1135719,,,                 53164,,                275021,,                 70331,,                  2874,,,                 82610,                 82610,                484000,,,,,,,,,                148927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,                392501,              0,                242673,                 55184,              1619719,,,,                238000,,                 69838,,                148927,,                 51965,                 51965,                    720,,                    723,,                 54298,                564493,,,                  6210,                  6210,                570703,,,,                699612,                699612,,                 62361,,                137240,                 10925,,                145743,                293908,,                 -6865,              1049016,              1049016,,                 28156,,                     22,,,
2468,2013年06月30日,,,,,,                 42123,,,,                 13345,,                387683,,                 19266,,                224255,,                102425,,                 38113,              1189961,,,                 52841,,                308187,,                 70972,,                  3282,,,                 83334,                 83334,                518616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,                387683,              0,                302856,                 59895,              1708577,,,,                236700,,                 69834,,                213025,,,                 59635,                    681,,                    913,,                 66028,                660040,,,                  6157,                  6157,                666197,,,,                699612,                699612,,                 62361,,                137240,                 10925,,                143637,                291802,,                -11395,              1042380,              1042380,,,,                 13224,,,
