證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付租金,　　　　 預付款項合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 債券換股權利證書,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 其他應付款－其他,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　 待註銷股本股數,　　　　 債券換股權利證書,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　　 預收股本,　　　 庫藏股票,　　　 應付票據,　　　　 應付票據合計
2457,2015年09月30日,,,,              1451801,,                265340,,              2256768,,                 67480,,              1652123,,                  4068,                  4068,,                              0,,                159767,                152130,                311897,              6009477,,,                 70602,,                266089,,              4553006,,                234584,,                 39892,                 46640,,                157942,,                 56056,                213998,              5424811,             11434288,,,,,                 98610,,              2286914,,                 67555,,                901277,                 54011,,,                 50000,                102418,                152418,              3560785,,,              1302848,,                650000,,                 79832,,                 75946,                  4402,                 80348,              2113028,              5673813,,,,              2776884,                              0,              2776884,,              1026456,,              1113185,                230859,,                242343,              1586387,,,                386001,,                 -4901,                381100,              5770827,                -10352,              5760475,             11434288,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457,2015年06月30日,,,,                921656,,                145105,,              2114419,,                 45593,,              1711210,,                  3986,                  3986,,,,                215490,                152700,                368190,              5310159,,,                 74383,,                316603,,              4363151,,                232856,,                 41695,                 44680,,                155757,,                 58994,                214751,              5288119,             10598278,,,,,,,              2106747,,                 70961,,                985668,                 66623,,,,                 99819,                 99819,              3329818,,,              1441282,,,,                 79832,,                 75970,                  4466,                 80436,              1601550,              4931368,,,,              2776884,,              2776884,,              1026456,,              1113185,                230859,,                309225,              1653269,,,                234518,,                -14495,                220023,              5676632,                 -9722,              5666910,             10598278,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457,2015年03月31日,,,,              1606952,,                371600,,              1655612,,                 44028,,              1732791,,                  4012,                  4012,,,,,,                119852,              5534847,,,                 84410,,                305017,,              4262826,,                237345,,                 42481,                 49360,,                157744,,                 64701,                222445,              5203884,             10738731,,,,,                              0,,              2002066,,                 85495,,                808816,                 92885,,,                              0,                 90336,                 90336,              3079598,,,              1435189,,                              0,,                 79832,,                 76000,                  4626,                 80626,              1595647,              4675245,,,,              2776884,,              2776884,,              1026456,,              1098401,                230859,,                710696,              2039956,,,                265405,,                -35598,                229807,              6073103,                 -9617,              6063486,             10738731,              0,              0,                808816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457,2014年12月31日,,,,              2152834,,                194796,,              1974829,,                105853,,              1636308,,                  4078,                  4078,,                              0,,                              0,                152411,                152411,              6221109,,,                 84410,,                303394,,              4529550,,                              0,,                 45803,                 43611,,                161372,,                 61843,                223215,              5229983,             11451092,,,,,                              0,,              2246205,,                 99517,,              1056122,                 96079,,,                              0,                 92235,                 92235,              3590158,,,              1429189,,                              0,,                 79832,,                 76038,                  4703,                 80741,              1589762,              5179920,,,,              2776884,                              0,              2776884,,              1026456,,              1098401,                230859,,                839463,              2168723,,,                345970,,                -37199,                308771,              6280834,                 -9662,              6271172,             11451092,              0,              0,              1056122,              2152834,             11451092,,,,                              0,,              2246205,,                 99517,,              1056122,              1056122,                 96079,,,                              0,                 92235,                 92235,              3590158,,,              1429189,,                              0,,                 79832,,                 76038,                  4703,                 80741,              1589762,              5179920,,,,              2776884,              2776884,,              1026456,,              1098401,                230859,,                839463,              2168723,,,                345970,,                -37199,                308771,              6280834,                 -9662,              6271172,              0,,,,,,,
2457,2014年09月30日,,,,              1979522,,                              0,,              2331209,,                 37946,,              1589373,,                  3931,                  3931,,                 52376,,                              0,                139732,                139732,              6134089,,,                 92902,,                333833,,              4161197,,                              0,,                 48308,                 39723,,                156463,,                 68873,                225336,              4901299,             11035388,,,,,                              0,,              2245384,,                 79534,,                952026,                 38582,,,                              0,                 89292,                 89292,              3404818,,,              1423081,,                              0,,                 79832,,                 65824,                  1010,                 66834,              1569747,              4974565,,,,              2771639,                  5245,              2776884,,              1026456,,              1098401,                230859,,                828998,              2158258,,,                128593,,                -20142,                108451,              6070049,                 -9226,              6060823,             11035388,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457,2014年06月30日,,,,              1950179,,                              0,,              2356209,,                 39086,,              1863530,,                  3859,                  3859,,,,                              0,                148914,                148914,              6361777,,,                 92902,,                321586,,              4106117,,                              0,,                 50215,                 47423,,                154542,,                 58093,                212635,              4830878,             11192655,,,,,,,              2374086,,                109596,,              1121365,                 48044,,,,                 86779,                 86779,              3739870,,,              1427179,,,,                 79832,,                 65603,                    895,                 66498,              1573509,              5313379,,,,              2771639,,              2771639,,              1021493,,              1098401,                230859,,                748865,              2078125,,,                 47110,,                -29999,                 17111,              5888368,                 -9092,              5879276,             11192655,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457,2014年03月31日,,,,              1712912,,                 46618,,              2041992,,                 31869,,              1863910,,                  3932,                  3932,,,,,,                430518,              6131751,,,                 99945,,                327848,,              4025614,,                              0,,                 45654,                 47423,,                158664,,                183423,                342087,              4888571,             11020322,,,,,                582970,,              2124484,,                111995,,                887919,                 80456,,,                133333,                 94301,                227634,              4015458,,,                              0,,                866667,,                 79832,,                 65391,                    913,                 66304,              1012803,              5028261,,,,              2771639,,              2771639,,                949615,,              1083147,                230859,,                859428,              2173434,,,                140142,,                -33625,                106517,              6001205,                 -9144,              5992061,             11020322,              0,              0,                887919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457,2013年12月31日,,,,,,                 50957,,              1966820,,                 32607,,              1706064,,                  3303,                  3303,,,,,,                336490,              5518986,,,                111145,,                329633,,              3986992,,,,                 46308,                 47423,,                133309,,                155133,                288442,              4809943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,              1422745,             10328929,,,,                100000,,              2026147,,                109911,,              1028646,              1028646,                 86446,,,                  8333,                105241,                113574,              3464724,,,                              0,,                791667,,                 79832,,                 65186,                    898,                 66084,                937583,              4402307,,,,              2771639,              2771639,,                949615,,              1083147,                230859,,                853368,              2167374,,,                 73280,,                -26428,                 46852,              5935480,                 -8858,              5926622,              0,,,                              0,,,,
2457,2013年09月30日,,,,,,                139306,,              2167786,,                 31956,,              1877236,,                  3239,                  3239,,                              0,,,,                292843,              5807936,,,                116451,,                320602,,              3898994,,,,                 45530,                 47669,,                131504,,                 86934,                218438,              4647684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,              1295570,             10455620,,,,                200000,,              2340859,,                119381,,              1005694,              1005694,                 99491,,,                200000,                 92383,                292383,              4057808,,,                              0,,                400000,,                 79832,,                 66666,                    880,                 67546,                547378,              4605186,,,,              2771639,              2771639,,                949615,,              1083147,                230859,,                859687,              2173693,,,                 -5180,,                -30680,                -35860,              5859087,                 -8653,              5850434,              0,                              0,,,,,,
2457,2013年06月30日,,,,,,                136020,,              2091107,,                 37744,,              1750125,,                  3275,                  3275,,,,,,                162060,              5387496,,,                 77945,,                324161,,              3832307,,,,                 47520,                 47669,,                133807,,                 58744,                192551,              4522153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,              1207165,              9909649,,,,                 50000,,              2098135,,                 94967,,              1252143,              1252143,                 73717,,,                              0,                 90613,                 90613,              3659575,,,                              0,,                300000,,                 79832,,                 66702,                    842,                 67544,                447376,              4106951,,,,              2771639,              2771639,,                949615,,              1083147,                230859,,                755081,              2069087,,,                 49348,,                -27993,                 21355,              5811696,                 -8998,              5802698,              0,,,,,,,
