證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付租金,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債務工具投資－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 商譽,　　　　 其他無形資產,　　　　　 其他無形資產淨額,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　　　 無活絡市場之債券投資－非流動淨額,　　　　 預付投資款,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 當期所得稅資產,　　　　 當期所得稅資產合計
5305,2015年09月30日,,,,              2916981,,                              0,,              1356095,,                    983,,              1548530,,                501594,,                142076,,              1694202,,                  1077,                  1077,,                 70719,              8232257,,,                407248,,                176283,,                  9700,,              4675022,,              4108253,,                335363,,                 70640,,                 42941,                113581,                415543,,                 36060,,                424651,                460711,             10701704,             18933961,,,,,              2188272,,                199899,,                  1314,,                      1,,              1180337,,                111604,,                964815,                964815,                 70117,,                 21146,,,                910000,                 47590,                957590,              5695095,,,              1450000,,              1365329,,                192889,                  6350,                199239,              3014568,              8709663,,,,              3160342,              3160342,,              2055029,,                810799,                              0,,              1490879,              2301678,,              1081822,                121555,              8477316,              1746982,             10224298,             18933961,              0,              0,      6233000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5305,2015年06月30日,,,,              2944435,,                  5065,,              1540293,,                  3425,,              1449121,,                525561,,                118852,,              1552141,,                  1052,                  1052,,                 92643,              8232588,,,                463306,,                177883,,                  9700,,              4451219,,              4023552,,                338834,,                 70640,,                 41905,                112545,                442447,,                 35490,,                387165,                422655,             10442141,             18674729,,,,,              1828345,,                 99950,,,,                              0,,              1104200,,                 70208,,              1508190,              1508190,                 52126,,                 19212,,,                535000,                 17181,                552181,              5234412,,,              1825000,,              1340981,,                197362,                  1350,                198712,              3364693,              8599105,,,,              3159907,              3159907,,              2062620,,                810799,                              0,,              1490135,              2300934,,                849068,                              0,              8372529,              1703095,             10075624,             18674729,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5305,2015年03月31日,,,,              2941266,,                  1694,,              1399188,,                  2761,,              1363240,,                438075,,                133667,,              1668063,,                  1062,                  1062,,                 96088,              8045104,,,                492612,,                177883,,                  9900,,              4140775,,              4196039,,                342305,,                 70640,,                 40467,                111107,                467358,,                 36092,,                411852,                447944,             10385923,             18431027,,,,,              1885534,,                 99998,,                              0,,                      9,,              1022525,,                 46101,,                835824,                835824,                199664,,                 18254,,,                660000,                 26492,                686492,              4794401,,,              1905000,,              1271975,,                196806,                  1350,                198156,              3375131,              8169532,,,,              3156327,              3156327,,              2048791,,                767940,                              0,,              1434006,              2201946,,                949226,                              0,              8356290,              1905205,             10261495,             18431027,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5305,2014年12月31日,,,,              2576863,,                  2548,,              1527548,,                    593,,              1430397,,                557264,,                202431,,              1741067,,                  1078,                  1078,,                 85750,              8125539,,,                452904,,                177883,,                 18004,,              4201432,,              4263234,,                345776,,                 70640,,                 43721,                114361,                466789,,                 36905,,                445028,                481933,             10522316,             18647855,,,,,              1967960,,                 99978,,                              0,,                              0,,              1133575,,                 52441,,                940933,                940933,                225067,,                 16769,,,                285000,                 69484,                354484,              4791207,,,              2280000,,              1276386,,                196819,                  6350,                203169,              3759555,              8550762,,,,              3149674,              3149674,,              1969220,,                767940,                              0,,              1326634,              2094574,,              1053154,                              0,              8266622,              1830471,             10097093,             18647855,              0,              0,              0,              2576863,              1527548,                 18004,                              0,             18647855,,,,              1967960,,                 99978,,                              0,,              1133575,,                 52441,,                940933,                940933,                225067,,                 16769,,,                285000,                 69484,                354484,              4791207,,,              2280000,,              1276386,,                196819,                  6350,                203169,              3759555,              8550762,,,,              3149674,              3149674,,              1969220,,                767940,                              0,,              1326634,              2094574,,              1053154,                              0,              8266622,              1830471,             10097093,,,,,,
5305,2014年09月30日,,,,              2877987,,                  3496,,              1061241,,                  1130,,              1589209,,                591531,,                101627,,              1830284,,                  1030,                  1030,,                 87498,              8145033,,,                483968,,                253587,,                 14900,,              3967324,,              4228451,,                349247,,                 70640,,                 42273,                112913,                437595,,                 35535,,                432269,                467804,             10315789,             18460822,,,,,                793081,,                 99920,,                              0,,                      1,,              1346061,,                 75196,,              2221824,              2221824,                238002,,                 28017,,,                410000,                 65017,                475017,              5277119,,,              2360000,,              1126937,,                158067,                  6350,                164417,              3651354,              8928473,,,,              3148374,              3148374,,              1877335,,                767940,                              0,,              1342923,              2110863,,                761490,                              0,              7898062,              1634287,              9532349,             18460822,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5305,2014年06月30日,,,,              2407273,,                  3463,,              1055155,,                  4242,,              1664513,,                512470,,                115919,,              1794195,,                  1012,                  1012,,                 84291,              7642533,,,                518328,,                253587,,                 14900,,              4005670,,              4213331,,                352718,,                 70640,,                 46404,                117044,                498262,,                 35138,,                356571,                391709,             10365549,             18008082,,,,,                716643,,                              0,,,,                      2,,              1291609,,                 58458,,              1234081,              1234081,                187133,,                 27463,,,                410000,                 80508,                490508,              4005897,,,              2360000,,              1125335,,                159855,                  6350,                166205,              3651540,              7657437,,,,              4482211,              4482211,,              1864820,,                767940,                              0,,              1164631,              1932571,,                676665,                              0,              8956267,              1394378,             10350645,             18008082,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5305,2014年03月31日,,,,              2591935,,                              0,,              1032643,,                  3776,,              1452143,,                476311,,                173175,,              1829077,,                  1032,                  1032,,                103014,              7663106,,,                535360,,                253791,,                  8500,,              3981097,,              4309730,,                356189,,                 70640,,                 44844,                115484,                516502,,                 36112,,                365748,                401860,             10478513,             18141619,,,,,              1344672,,                149890,,                  3336,,                      3,,              1262126,,                 48588,,                759430,                759430,                149887,,                 28597,,,              1010000,                116808,              1126808,              4873337,,,              1965000,,              1111301,,                170322,                  6350,                176672,              3252973,              8126310,,,,              4479061,              4479061,,              1420512,,                752477,                 29940,,              1159889,              1942306,,                837021,                 58619,              8620281,              1395028,             10015309,             18141619,              0,              0,      3000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5305,2013年12月31日,,,,,,                  7573,,,,                  3174,,              1388616,,                543038,,                138187,,              1668479,,                  1019,                  1019,,                 85186,              7032888,,,                447778,,                253791,,,,              3845808,,              4327446,,                359660,,                 70640,,                 47739,                118379,                523512,,                 35898,,                390199,                426097,             10310971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      3000000,              2056584,              1141032,                  8500,                              0,             17343859,,,,              1757917,,                 99865,,                  1227,,              1203676,,                 63707,,                942881,                942881,                 87339,,                 25172,,,                710000,                 90522,                800522,              4982306,,,              2265000,,              1067124,,                170785,                  8232,                179017,              3511141,              8493447,,,,              4474773,              4474773,,                796981,,                752477,                 29940,,              1080529,              1862946,,                633871,                 58619,              7709952,              1140460,              8850412,,                              0,,,,
5305,2013年09月30日,,,,,,                  5149,,,,                  6648,,              1482957,,                601149,,                 73238,,              1543370,,                  1002,                  1002,,                104493,              6684717,,,                463029,,                246022,,,,              3857107,,              4070493,,                363131,,                 70640,,                 48328,                118968,                463523,,                 35570,,                586384,                627871,             10218644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      3000000,              1971423,                895288,                  8500,                  5917,             16903361,,,,              1792992,,                199839,,                              0,,              1270151,,                 71063,,                786672,                786672,                 24278,,                 17397,,,                630000,                 74608,                704608,              4867000,,,              2470000,,                993717,,                152344,                 13033,                165377,              3629094,              8496094,,,,              4473975,              4473975,,                528891,,                752477,                 29940,,              1166353,              1948770,,                532030,                 58619,              7425047,                982220,              8407267,,,,,,
5305,2013年06月30日,,,,,,                  3293,,,,                  6206,,              1532241,,                546364,,                 67100,,              1499162,,                  1012,                  1012,,                114881,              6593932,,,                424307,,                172089,,,,              3798721,,              4020521,,                366602,,                 70640,,                 51493,                122133,                492495,,                 36160,,                710876,                752953,             10158321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      3000000,              1897254,                926419,                  8500,                  5917,             16752253,,,,              1571415,,                199831,,                    264,,              1246731,,                 74122,,              1064384,              1064384,                 27011,,                 12224,,,                330000,                 42842,                372842,              4568824,,,              2770000,,              1013756,,                155409,                 13096,                168505,              3952261,              8521085,,,,              4473975,              4473975,,                526363,,                752477,                 29940,,              1094003,              1876420,,                532351,                 58619,              7350490,                880678,              8231168,,,,,,
