證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 淨確定福利資產-非流動,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－其他－非流動,　　　　　 其他金融資產－非流動合計,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 應付薪資,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 應付股利,　　　　 現金及約當現金合計,　　　　 預付退休金－非流動,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 其他應付款,　　　　 應付薪資,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 持有至到期日金融資產－流動,　　　　 持有至到期日金融資產－流動淨額,　　　　 應付股利,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　 持有至到期日金融資產－非流動,　　　　 持有至到期日金融資產－非流動淨額,　　　　　 預收貨款,　　　　 約當現金,　　　　 原始認列時指定為透過損益按公允價值衡量之金融資產－流動,　　　　 備供出售金融資產－流動,　　　　 持有至到期日金融資產－流動,　　　　 應收帳款,　　　　 備抵銷售退回及折讓,　　　　 備抵呆帳－應收帳款、分期帳款及租賃款,　　　　 應收帳款－關係人,　　　　　 製成品,　　　　　 在製品,　　　　　 原料,　　　　 持有至到期日金融資產－非流動,　　　　 以成本衡量之金融資產－非流動,　　　　 採用權益法之投資,　　　　 土地淨額,　　　　　 土地成本,　　　　　 土地淨額,　　　　 房屋及建築淨額,　　　　　 房屋及建築成本,　　　　　 房屋及建築淨額,　　　　 機器設備淨額,　　　　　 機器設備成本,　　　　　 機器設備淨額,　　　　 試驗設備淨額,　　　　　 試驗設備成本,　　　　　 試驗設備淨額,　　　　 辦公設備淨額,　　　　　 辦公設備成本,　　　　　 辦公設備淨額,　　　　 未完工程及待驗設備,　　　　 銀行借款,　　　　 原始認列時指定為透過損益按公允價值衡量之金融負債評價調整－流動,　　　　 保固之短期負債準備,　　　　　 其他預收款,　　　　 保固之長期負債準備,　　　　 遞延所得稅負債－其他,　　　　 資本公積－其他,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 累積盈虧,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額－採用權益法之子公司,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益－採用權益法之子公司,　　　　　 備供出售金融資產未實現損益合計
3704,2015年09月30日,,,,              3002487,,                  6157,,              4933659,,                783559,,,              4966090,              4966090,,                 87727,                439804,                527531,             14219483,,,                 30373,,                 92716,,              2236779,,                 95245,                221609,,                 33593,                 73130,,                 76619,                 76619,                  9826,,                 65626,                 65626,                258794,              2935516,             17154999,,,,,              2058418,,                150000,                150000,,                              0,,              3836561,,                322600,                322600,                  1313,                139933,,                149385,,,                 85431,              1170379,              1255810,              7914020,,,                153805,,                 21000,                  3045,                 24045,                177850,              8091870,,,,              4710233,              4710233,,              3824975,,                613993,,                 99341,                223477,              9025065,                 38064,              9063129,             17154999,              0,              0,     18013262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3704,2015年06月30日,,,,              2527031,,                 24130,,              5108100,,                626032,,,              4985719,              4985719,,                 88560,                419943,                508503,             13779515,,,                 44274,,                103651,,              2089200,,                 92172,                231251,,                 39801,                 72898,,                 73272,                 73272,                  9503,,                 64175,                 64175,                259649,              2820197,             16599712,,,,,              1684983,,                150000,                150000,,                              0,,              3701249,,                284012,                357011,                  8841,                 97697,,                145084,,,                162647,              1169204,              1331851,              7476716,,,                136366,,                 22116,                  1199,                 23315,                159681,              7636397,,,,              4866603,              4866603,,              3880918,,                508036,,                -47853,                294979,              8912725,                 50590,              8963315,             16599712,              0,              0,     22057262,                 72999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3704,2015年03月31日,,,,              3807287,,                 16308,,              4329632,,                527531,,,              5098495,              5098495,,                 47366,                335732,                383098,             14162351,,,                 82894,,                 90282,,              2111388,,                 44745,                271428,,                 38554,                 72666,,                 73535,                 73535,                  9703,,                 54921,                 54921,                249379,              2850116,             17012467,,,,,              1538257,,                150000,                150000,,                     15,,              3727264,,                380979,                380979,                              0,                109578,,                136034,,,                288702,              1086523,              1375225,              7417352,,,                141937,,                 22583,                  3429,                 26012,                167949,              7585301,,,,              4866603,              4866603,,              3880918,,                776274,,                -32438,                120862,              9370495,                 56671,              9427166,             17012467,              0,              0,      9391262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3704,2014年12月31日,,,,              3213678,,                 24717,,              5215875,,                551772,,,              4883990,              4883990,,                 79648,                321194,                400842,             14290874,,,                143840,,                 33131,,              2152164,,                 54822,                237866,,                 45879,                 72434,,                 65737,                 65737,                  9860,,                 65220,                 65220,                259130,              2880953,             17171827,,,,,              1054822,,                150000,                150000,,                    552,,              3750805,,                545775,                545775,                 10573,                 75557,,                130635,,,                122013,              1149340,              1271353,              6990072,,,                149769,,                 23445,                  3371,                 26816,                176585,              7166657,,,,              4887613,              4887613,,              3894726,,              1217993,,                 99982,                155680,              9944634,                 60536,             10005170,             17171827,              0,              0,     11492262,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3704,2014年09月30日,,,,              2925863,,                 23827,,              5669149,,                552788,,,              4676297,              4676297,,                135742,                386862,                522604,             14370528,,,                145969,,                111349,,              2050794,,                 58672,                278223,,                 35615,                 83307,,                 65506,                 65506,                  9617,,                 64468,                 64468,                258513,              2903520,             17274048,,,,,              1431789,,                150000,                150000,,                              0,,              3613147,,                424080,                424080,                              0,                 99125,,                199279,,,                 88125,              1073209,              1161334,              7078754,,,                115294,,                 36432,                  3393,                 39825,                155119,              7233873,,,,              4913203,              4913203,,              3915323,,              1329154,,                 26069,                202074,              9981675,                 58500,             10040175,             17274048,              0,              0,     14051262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3704,2014年06月30日,,,,              3082642,,                 26355,,              4938249,,                527459,,,              4465321,              4465321,,                 77870,                337294,                415164,             13455190,,,                118861,,                105239,,              2006132,,                 65889,                269582,,                 40442,                 83000,,                 40978,                 40978,                  9438,,                 66843,                 66843,                240701,              2806404,             16261594,,,,,                657887,,                              0,                              0,,                              0,,              3560293,,                348591,                494589,                              0,                 90267,,                195608,,,                171163,                942360,              1113523,              6112167,,,                106313,,                 37318,                  3447,                 40765,                147078,              6259245,,,,              4913203,              4913203,,              3912194,,              1305452,,                 19971,                202074,              9948746,                 53603,             10002349,             16261594,              0,              0,     14051262,                145998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3704,2014年03月31日,,,,              3636834,,                 24326,,              3458459,,                720871,,,              4179262,              4179262,,                 52444,                395683,                448127,             12467879,,,                121635,,                 80776,,              1961266,,                 71744,                295306,,                 33891,                 82693,,                365220,                365220,                  9675,,                 72325,                 72325,                563804,              3094531,             15562410,,,,,              1096104,,                              0,                              0,,                  4467,,              2811152,,                360321,                360321,                              0,                 38111,,                237973,,,                154577,                713633,                868210,              5416338,,,                115712,,                 38231,                  3451,                 41682,                157394,              5573732,,,,              4913203,              4913203,,              3911883,,              1240439,,                 69987,                202074,              9933438,                 55240,              9988678,             15562410,              0,              0,     14051262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3704,2013年12月31日,,,,,,                 14570,,              4016822,,                659127,,,              3654699,              3654699,,                 96044,                388931,                484975,             12444278,,,                105992,,                 78764,,              1985110,,                 78349,                294095,,                 36825,,,                355246,                355246,                  9774,,                 74432,                 74432,                558663,              3100973,,,,,,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     14051262,,              3614085,                 82386,             15545251,,,,                771357,,                              0,,                 29107,,              3025987,                              0,                 48256,,                208222,,,                158107,              1221411,              1379518,              5462447,,,                113337,,                 39182,                  3387,                 42569,                155906,              5618353,,,,              4913203,              4913203,,              3911572,,              1188906,,                 61407,                202074,              9873014,                 53884,              9926898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3704,2013年09月30日,,,,,,                  6305,,              4075391,,                376730,,,              4067693,              4067693,,                 71299,                353533,                424832,             12111268,,,                123522,,                104607,,              1909868,,                              0,                341696,,                 38116,,,                367329,                367329,                  9665,,                 80498,                 80498,                572763,              3052456,,,,,,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     14051262,,              3075927,                 77155,             15163724,,,,              1059459,,                              0,,                  8226,,              2905061,,                 15245,,                270191,,,                203963,                461479,                665442,              5376822,,,                 98013,,                 56086,                  3408,                 59494,                157507,              5534329,,,,              4913203,              4913203,,              3910896,,                917928,,                 35013,                202074,              9574966,                 54429,              9629395,,                 84390,,                322191,                131007,                453198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3704,2013年06月30日,,,,,,                 11142,,              3781543,,                235697,,,              3745451,              3745451,,                 60800,                309066,                369866,             11281595,,,                125861,,                103768,,              1870013,,                              0,                341801,,                 40761,,,                368303,                368303,                  9837,,                134480,                134480,                629692,              3071135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     14051262,,              3061366,                 76311,             14352730,,,,                875400,,,,                              0,,              2322176,,                 11209,,                223704,,,                290671,                623177,                913848,              4651593,,,                102535,,                 56951,                  3411,                 60362,                257604,              4909197,,,,              4913203,              4913203,,              3910038,,                723751,,                 44860,                202074,              9389778,                 53755,              9443533,,                 75148,,                305256,,                305256,,                  1382,                              0,,                 94707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
