證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 存貨,　　　　 存貨－其他行業,　　　　　 存貨－其他行業淨額,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債務工具投資－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產－土地,　　　　 投資性不動產淨額,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 負債準備-非流動,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 應付股利,　　　　　 特別盈餘公積,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　　　 無活絡市場之債券投資－非流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　 待註銷股本股數,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 長期應收票據及款項,　　　　　 長期應收票據及款項淨額,　　　　 應付股利,　　　 庫藏股票
8422,2015年09月30日,,,,                824661,,              1198279,,                680743,,,                  1883,                  1883,,                 22249,                 22249,              2727815,,,                102962,,              1607717,,                188924,                188924,                  8213,,                738103,                 60205,                798308,              2706124,              5433939,,,,,                 10461,,                439814,                439814,                  2500,                 76910,,                149012,                149012,                678697,,,                 45322,,                 15569,,                 16428,                 51012,                 67440,                128331,                807028,,,,              1088880,              1088880,,              1701775,,                637960,,              1194742,              1832702,,,                  2098,                  2098,              4625455,                  1456,              4626911,              5433939,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8422,2015年06月30日,,,,              1739834,,                793400,,                696922,,,                  1234,                  1234,,                 24424,                 24424,              3255814,,,                102962,,              1587368,,                188924,                188924,                  7891,,                652484,                 54231,                706715,              2593860,              5849674,,,,,                 10391,,                299111,              1170215,                              0,                 95368,,                148792,                148792,              1424766,,,                 43352,,                 11552,,                 16648,                 52769,                 69417,                124321,              1549087,,,,              1088880,              1088880,,              1701775,,                637960,,                869544,              1507504,,,                    960,                    960,              4299119,                  1468,              4300587,              5849674,              0,              0,                871104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8422,2015年03月31日,,,,              1298245,,                570581,,              1046993,,,                  3035,                  3035,,                 29889,                 29889,              2948743,,,                103450,,              1555702,,                188924,                188924,                  7513,,                651816,                 72982,                724798,              2580387,              5529130,,,,,                 11306,,,                185047,                  2500,                169546,,                149092,                149092,                517491,,,                 43213,,                  7493,,                 16733,                 52769,                 69502,                120208,                637699,,,,              1088880,              1088880,,              1701775,,                535311,,              1562528,              2097839,,,                  1203,                  1203,              4889697,                  1734,              4891431,              5529130,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8422,2014年12月31日,,,,              1187934,,                572209,,                952118,,,                  3250,                  3250,,                 29255,                 29255,              2744766,,,                  2952,,              1542097,,                188924,                188924,                  7586,,                647669,                 74680,                722349,              2463908,              5208674,,,,,                 10839,,                187534,                187534,                  5000,                123095,,                148876,                148876,                475344,,,                 48724,,                  5411,,                 16809,                 68624,                 85433,                139568,                614912,,,,              1088880,              1088880,,              1701775,,                535311,,              1264519,              1799830,,,                  1325,                  1325,              4591810,                  1952,              4593762,              5208674,              0,              0,                              0,                              0,              1187934,                572209,                  2952,              5208674,,,,                 10839,,                187534,                187534,                  5000,                123095,,                148876,                148876,                475344,,,                 48724,,                  5411,,                 16809,                 68624,                 85433,                139568,                614912,,,,              1088880,              1088880,,              1701775,,                535311,                              0,,              1264519,              1799830,,,                  1325,                  1325,              4591810,                  1952,              4593762,              0,,,,,,,
8422,2014年09月30日,,,,                968091,,                454204,,                941244,,,                  2694,                  2694,,                 35650,                 35650,              2401883,,,                  3471,,              1537814,,                188924,                188924,                  7245,,                647583,                 75169,                722752,              2460206,              4862089,,,,,                  9910,,                191209,                191209,                  2500,                 79223,,                148685,                148685,                431527,,,                 42335,,                  2460,,                 14111,                 58685,                 72796,                117591,                549118,,,,              1088880,              1088880,,              1701775,,                535311,,                984038,              1519349,,,                    876,                    876,              4310880,                  2091,              4312971,              4862089,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8422,2014年06月30日,,,,              1478579,,                785006,,              1055746,,,                  3483,                  3483,,                 29880,                 29880,              3352694,,,                 25299,,              1001860,,                188924,                188924,                  6819,,                936646,                 77052,              1013698,              2236600,              5589294,,,,,                 16630,,                204881,              1075985,                  5000,                106065,,                195552,                195552,              1399232,,,                 37673,,                  2321,,                 14180,                 57866,                 72046,                112040,              1511272,,,,              1088880,              1088880,,              1701775,,                535311,,                751882,              1287193,,,                    174,                    174,              4078022,                              0,              4078022,              5589294,              0,              0,                871104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8422,2014年03月31日,,,,              1065993,,                942885,,              1092758,,,                  2410,                  2410,,                 36186,                 36186,              3140232,,,                 21520,,                914417,,                188924,                188924,                  8618,,                922175,                 83196,              1005371,              2138850,              5279082,,,,,                 13954,,,                200663,                  2500,                146014,,                 88433,                 88433,                451564,,,                 33005,,                  3268,,                 14249,                 60291,                 74540,                110813,                562377,,,,              1088880,              1088880,,              1701775,,                411809,,              1513514,              1925364,,,                    686,                    686,              4716705,                              0,              4716705,              5279082,              0,              0,,                     41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8422,2013年12月31日,,,,,,,,              1173804,,,                  2723,                  2723,,                 35091,                 35091,              3018875,,,,,                802476,,                188924,                188924,                  9816,,                911250,                 81311,                992561,              2013749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,                917692,                889565,                 19972,              5032624,,,,                 17216,,                273842,                273842,                 14570,                106081,,                 59694,                 59694,                471403,,,                 41348,,                  4389,,                 14311,                 62811,                 77122,                122859,                594262,,,,              1088880,              1088880,,              1701775,,                411809,                     41,,              1235025,              1646875,,,                    832,                    832,              4438362,                              0,              4438362,              0,,                              0,                              0,,                              0,                              0,
8422,2013年09月30日,,,,,,,,              1331240,,,                  7047,                  7047,,                 13214,                 13214,              2589407,,,,,                700362,,                188924,                188924,                  9806,,                874658,                 77679,                953409,              1872206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,                347360,                890546,                 19705,              4461613,,,,                 25584,,                181741,                181741,                  2500,                 58822,,                  2486,                  2486,                271133,,,                 37520,,                  4174,,                 15749,                 29436,                 45185,                 86879,                358012,,,,              1088880,              1088880,,              1701775,,                411809,                     41,,                900441,              1312291,,,                    655,                    655,              4103601,                              0,              4103601,              0,,                  1072,                  1072,,,,
8422,2013年06月30日,,,,,,,,              1061451,,,                  4852,                  4852,,                  4521,                  4521,              3511798,,,,,                666318,,                 42212,                 42212,                  9316,,                988618,                 84737,              1141406,              1879088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,                699224,              1741750,                 19836,              5390886,,,,                 24308,,                187941,              1497946,                  5000,                 76646,,                  6535,                  6535,              1610435,,,                 33393,,                  4330,,                 15807,                 18057,                 33864,                 71587,              1682022,,,,              1088880,              1088880,,              1701775,,                411809,                     41,,                505509,                917359,,,                    850,                    850,              3708864,,              3708864,              0,,                  1073,                  1073,,                 66978,              1310005,
