證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 待分配股票股利,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　　　 特別盈餘公積,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 共同控制下前手權益,　　 非控制權益,　　 權益總額,　　　　 當期所得稅資產合計,　　　　 待分配股票股利,　　　 無形資產,　　　　 無形資產合計,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 庫藏股票
4119,2015年06月30日,,,,                320334,,                367641,,                    114,,                336409,,                  7937,,                478763,,                  6735,,                    896,              1518829,,,                 50093,,              1765961,                 23640,,                 88244,              1927938,              3446767,,,,,                              0,,                              0,,                  5066,,                 76902,,                439187,                 48756,,                  4860,,                 49727,                624498,,,                359045,,                    279,,                 20378,                379702,              1004200,,,,                733431,                              0,                733431,,              1045354,,                190064,,                480243,                670307,,                 -6525,              2442567,              2442567,              3446767,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4119,2015年03月31日,,,,                366474,,                259388,,                  1009,,                245999,,                  5082,,                500939,,                  4007,,                    178,              1383082,,,                 50093,,              1766151,                 21193,,                 68557,              1905994,              3289076,,,,,                              0,,                              0,,                  7091,,                 80352,,                173858,                 45307,,                  4748,,                 55639,                366995,,,                578545,,                    236,,                 20455,                599236,                966231,,,,                696846,,                696846,,                859323,,                163581,,                610859,                774440,,                 -7764,              2322845,              2322845,              3289076,              0,              0,              0,,                      6,,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4119,2014年12月31日,,,,                399044,,                168934,,                  5004,,                236713,,                  4082,,                510021,,                  5751,,                    339,              1329888,,,                 50093,,              1775857,                 21670,,                 43368,              1890988,              3220876,,,,,                 50000,,                    161,,                  8087,,                 71504,,                183457,                 24597,,                  4935,,                 53818,                396559,,,                576944,,                    602,,                 20531,                598077,                994636,,,,                696525,                              0,                696525,,                858369,,                163581,,                518042,                681623,,                -10277,              2226240,              2226240,              3220876,              0,              0,              0,,                              0,,                              0,                              0,                399044,              3220876,,,,                 50000,,                    161,,                  8087,,                 71504,,                183457,                 24597,,                  4935,,                 53818,                396559,,,                576944,,                    602,,                 20531,                598077,                994636,,,,                696525,                696525,,                858369,,                163581,                              0,,                518042,                681623,,                -10277,              2226240,                              0,                              0,              2226240,,,,,,,
4119,2014年09月30日,,,,,,                168685,,                  7728,,                209798,,                  4710,,                464529,,                  5965,,                  2046,              1305339,,,                 50093,,              1738429,                 22367,,                 52489,              1863378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,                              0,,                441878,              3168717,,,,                132000,,,,                  8205,,                 57714,,                159464,                  5621,,                  4490,,                 31429,                398923,,,                573482,,                              0,,                 17393,                590875,                989798,,,,                696905,                696905,,                857989,,                163581,                              0,,                473201,                636782,,                -12757,              2178919,,,              2178919,,,,,,,
4119,2014年06月30日,,,,                585578,,                168519,,                  8465,,                190002,,                  5031,,                461404,,                  7518,,                    827,              1427344,,,                 50093,,              1689135,                 22477,,                 85620,              1847325,              3274669,,,,,                120000,,                    272,,                 11085,,                 92646,,                305881,                 11232,,                  4455,,                 45217,                590788,,,                570051,,                              0,,                 17311,                587362,              1178150,,,,                662061,                 32853,                694914,,                846328,,                163581,,                412523,                576104,,                -20827,              2096519,              2096519,              3274669,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4119,2014年03月31日,,,,                669839,,                 75285,,                  4967,,                211506,,                  6990,,                406463,,                  5591,,                    609,              1381250,,,                              0,,              1618978,                 45061,,                 48170,              1738131,              3119381,,,,,                 75000,,                              0,,                  9172,,                 65352,,                134995,                 29922,,                  4424,,                 84005,                402870,,,                566651,,                    267,,                 17235,                584153,                987023,,,,                662061,,                662061,,                859995,,                147587,,                470808,                634047,,                -23745,              2132358,              2132358,              3119381,              0,              0,              0,,                              0,,                 25922,                 15652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4119,2013年12月31日,,,,,,                 75317,,                  8138,,                182664,,                 25502,,                406841,,                 10154,,                  1190,              1387010,,,                              0,,              1554940,                 44735,,                 36044,              1665587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,                 29868,,                677204,              3052597,,,,                106000,,                              0,,                  8519,,                 73488,,                136540,                 15819,,                  5002,,                 46061,                391429,,,                563261,,                    246,,                 29687,                593194,                984623,,,,                657061,                657061,,                840238,,                147587,                 15652,,                407203,                570442,,                    233,              2067974,                              0,                              0,              2067974,                              0,                              0,,                              0,,,
4119,2013年09月30日,,,,,,                120555,,                  3878,,                214051,,                  7739,,                354936,,                  5769,,                  6665,              1231617,,,                              0,,              1513846,                 41952,,                 47280,              1636383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,                 33305,,                518024,              2868000,,,,                  6901,,,,                  7043,,                 76679,,                122154,                  4660,,                  4676,,                 24157,                246270,,,                560256,,                              0,,                 32181,                592437,                838707,,,,                657001,                657001,,                840581,,                147587,                 15652,,                368133,                531372,,                    339,              2029293,,,              2029293,,,,,,,
4119,2013年06月30日,,,,,,                              0,,                  2409,,                209028,,                  4093,,                342667,,                  7165,,                 10616,                609394,,,                              0,,              1366656,                 42173,,                165842,              1611736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,                 37065,,                 33416,              2221130,,,,                570973,,                              0,,                 11848,,                 53318,,                271580,                 20949,,                  4792,,                 38010,                971470,,,                              0,,                    268,,                 32112,                 32380,              1003850,,,,                493423,                532877,,                175268,,                147587,                 15652,,                345355,                508594,,                    541,              1217280,,,              1217280,                              0,                 39454,,,,,
4119,2013年03月31日,,,,,,                              0,,                  7388,,                214006,,                214684,,                322176,,                  6526,,                    354,                793487,,,,,              1173200,                 40666,,                 92569,              1347184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,                 40657,,                 28353,              2140671,,,,                552151,,                    160,,                 13283,,                 53241,,                127282,                 31637,,                  4785,,                 23840,                806379,,,                              0,,                    325,,                 32044,                 32369,                838748,,,,                493173,                493173,,                175012,,                128142,                 12879,,                492578,                633599,,                    139,              1301923,,,              1301923,,,,                     92,,,
