證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收建造合約款,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債務工具投資－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 應付建造合約款,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 長期遞延收入,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 共同控制下前手權益,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　　　 當期所得稅資產合計,　　　　 無活絡市場之債券投資－非流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 應付建造合約款,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 長期遞延收入,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 共同控制下前手權益,　　 非控制權益,　　 權益總額,　　　　 預付租金,　　　　 其他預付費用,　　　　 預付貨款
4934,2015年09月30日,,,,                767942,,                139381,,                 74149,,                321139,,                143741,,                596816,                 43875,,                 69343,,                      8,,                     42,,                682777,,                290156,,                152581,              3281950,,,                  8970,,              2989046,,                  3161,                 74646,,                540950,                440879,                176094,,                144827,              1302750,              4378573,              7660523,,,,,                415909,,                  6937,,                324082,,                652255,,                              0,                              0,,                303733,                118317,                  1070,,,                 35590,,                298067,                  5346,                339003,              2161306,,,                121105,,                  7314,,                206071,                  4276,                     51,                210398,                338817,              2500123,,,,              3165450,              3165450,,              1709032,,                 39371,                              0,,                223696,                263067,,,                 22744,,                    107,                 22851,                              0,              5160400,                              0,                              0,              5160400,              7660523,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4934,2015年06月30日,,,,              1309360,,                137117,,                200134,,                224962,,                  7146,,                455097,                 22520,,                 51003,,                    234,,                    390,,                715355,,                355778,,                  3814,              3482910,,,                  8036,,              3015450,,                  1182,                 79396,,                306426,                484287,                170181,,                139877,              1100771,              4204835,              7687745,,,,,                420961,,                    203,,                137654,,                691204,,                              0,                  1924,,                378535,                292192,                  1368,,,                 79586,,                247768,                  2664,                330018,              2254059,,,                235125,,                              0,,                200491,                  4217,                     51,                204759,                439884,              2693943,,,,              3165450,              3165450,,              1709032,,                 39371,                              0,,                 94080,                133451,,,                -14244,,                    113,                -14131,                              0,              4993802,                              0,                              0,              4993802,              7687745,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4934,2015年03月31日,,,,              1403379,,                 38345,,                 90024,,                 54884,,                 17066,,                335893,                    835,,                116301,,                  1379,,                    386,,                764504,,                305600,,                  6635,              3135231,,,                  8036,,              3097995,,                  1073,                 73835,,                172513,                509203,                173618,,                141210,                996544,              4177483,              7312714,,,,,                879487,,                    181,,                 48282,,                632509,,                              0,                  1581,,                242381,                189212,                  5450,,,                  8827,,                328890,                  1735,                339452,              2338535,,,                278636,,                  1529,,                204525,                  4183,                     51,                208759,                488924,              2827459,,,,              2765450,              2765450,,              1411592,,                 21853,                              0,,                282703,                304556,,,                  3642,,                     15,                  3657,                              0,              4485255,                              0,                              0,              4485255,              7312714,              0,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4934,2014年12月31日,,,,              1264428,,                103402,,                 31096,,                101933,,                 98361,,                371842,                  1888,,                 29691,,                    784,,                    386,,                580278,,                307763,,                 14635,              2906487,,,                  8036,,              3239233,,                  1040,                 69185,,                 99293,                508882,                176287,,                166624,                951086,              4268580,              7175067,,,,,                798213,,                  1492,,                133129,,                543873,,                              0,                    559,,                293944,                115047,                  5647,,,                100186,,                275909,                    534,                376629,              2268533,,,                209111,,                 11339,,                207922,                  4086,                     51,                212059,                432509,              2701042,,,,              2765450,              2765450,,              1411592,,                 21853,                              0,,                255961,                277814,,,                 19073,,                     96,                 19169,                              0,              4474025,                              0,                              0,              4474025,              7175067,              0,              0,              0,,                              0,              1264428,                101933,                    386,                  8036,              7175067,,,,                798213,,                  1492,,                133129,,                543873,,                              0,                    559,,                293944,                115047,                  5647,,,                100186,,                275909,                    534,                376629,              2268533,,,                209111,,                 11339,,                207922,                  4086,                     51,                212059,                432509,              2701042,,,,              2765450,              2765450,,              1411592,,                 21853,                              0,,                255961,                277814,,,                 19073,,                     96,                 19169,                              0,              4474025,                              0,                              0,              4474025,,,
4934,2014年09月30日,,,,                663378,,                169090,,                216436,,                 87710,,                 70313,,                773251,                    215,,                 45903,,                    184,,                    394,,                632090,,                488358,,                 56882,              3204204,,,                  7975,,              3261962,,                  1235,                 58990,,                101208,                538296,                171802,,                172451,                983757,              4313919,              7518123,,,,,                683115,,                    544,,                233241,,                874613,,                              0,                              0,,                250892,                111274,                  5628,,,                 87694,,                354393,                  1364,                443451,              2602758,,,                249746,,                    962,,                205383,                  3888,                     49,                209320,                460028,              3062786,,,,              2765450,              2765450,,              1411592,,                 21853,                              0,,                251841,                273694,,,                  4165,,                    436,                  4601,                              0,              4455337,                              0,                              0,              4455337,              7518123,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4934,2014年06月30日,,,,                637805,,                291950,,                247356,,                123710,,                  6735,,                741984,                              0,,                 35511,,                              0,,                    393,,                540048,,                284271,,                              0,              2909763,,,                  7975,,              3231667,,                  1431,                 56959,,                 94048,                562623,                168481,,                187628,              1012780,              4310812,              7220575,,,,,                315056,,                     95,,                328418,,                492487,,                              0,                              0,,                423068,                414824,                  5692,,,                 15449,,                339807,                    452,                355708,              2335348,,,                219425,,                              0,,                203810,                  3804,                     48,                207662,                427087,              2762435,,,,              2765450,              2765450,,              1411592,,                 21853,                              0,,                263388,                285241,,,                 -4417,,                    274,                 -4143,                              0,              4458140,                              0,                              0,              4458140,              7220575,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4934,2014年03月31日,,,,                419772,,                296119,,                              0,,                123512,,                  1086,,                492979,                              0,,                 44177,,                              0,,                    714,,                811565,,                420316,,                              0,              2610240,,,                  7975,,              3356641,,                  1342,                 55053,,                 89645,                636439,                172576,,                198639,              1097299,              4518310,              7128550,,,,,                854048,,                    361,,                355721,,                695236,,                              0,                              0,,                246055,                493986,                  3340,,,                 43136,,                456717,                    539,                500392,              3149139,,,                281931,,                  2441,,                208390,                  3747,                  3612,                215749,                500121,              3649260,,,,              2310450,              2310450,,                811902,,                              0,                              0,,                356262,                356262,,,                    676,,                              0,                    676,                              0,              3479290,                              0,                              0,              3479290,              7128550,              0,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4934,2013年12月31日,,,,,,                164220,,                              0,,,,                    263,,                399137,                 36739,,                 47365,,                              0,,,,                507084,,                293188,,                              0,              2233035,,,,,              3417629,,                  1138,                 50392,,                 82508,                649281,                174228,,                200280,              1106297,              4583431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                              0,                582751,                201518,                    770,                  7975,              6816466,,,,                965189,,                  2152,,                268314,,                531262,,                              0,                              0,,                260056,                566678,                              0,,,                  8819,,                389115,                    388,                398322,              2991973,,,                238555,,                  2212,,                210943,                  3671,                  3626,                218240,                459007,              3450980,,,,              2310450,              2310450,,                811902,,                              0,                              0,,                241375,                241375,,,                  1759,,                              0,                  1759,                              0,              3365486,                              0,                              0,              3365486,                  3930,                289258,                289258
4934,2013年09月30日,,,,,,                  4668,,                              0,,,,                  1431,,                533533,                              0,,                 44220,,                              0,,,,                447027,,                296197,,                 71960,              2129005,,,,,              3289563,,                  1574,                 53920,,                248112,                702354,                172147,,                199916,              1322529,              4675465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,                468103,                261201,                    665,                  7879,              6804470,,,,              1131191,,                  3471,,                222628,,                676728,,,,,                205447,                871548,                              0,,,                 10836,,                337584,                    405,                348825,              3459838,,,                327428,,                    183,,                210400,                              0,                     48,                210448,                538059,              3997897,,,,              2060450,              2060450,,                586902,,                              0,,,                162222,                162222,,,                 -3001,,                              0,                 -3001,                              0,              2806573,                              0,                              0,              2806573,                  3861,                292336,
4934,2013年06月30日,,,,,,                    275,,                              0,,,,                  4711,,                595442,                              0,,                 56853,,                      4,,,,                351622,,                335343,,                 72780,              2391449,,,,,              3337827,,                  2061,                 46063,,                259140,                741991,                175082,,                201411,              1377624,              4771454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,                635476,                338519,                    424,                  7879,              7162903,,,,              1381464,,                 11273,,                161851,,                819373,,,,,                214344,                856534,                              0,,,                 20770,,                344329,                    428,                365527,              3810366,,,                389275,,                    185,,                214017,                              0,                     49,                214066,                603526,              4413892,,,,              2060450,              2060450,,                586902,,                              0,,,                101677,                101677,,,                    -18,,                              0,                    -18,                              0,              2749011,                              0,                              0,              2749011,                  3905,                331438,
