證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付租金,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 長期預付租金,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 當期所得稅資產合計,　　　 短期借款,　　　　 短期借款合計,　　　　 備供出售金融資產－流動,　　　　 其他應付款－其他,　　　　 存入保證金,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計
1325,2015年09月30日,,,,                341184,,                152816,,                274193,,                 16473,,                125487,,                  1357,,                              0,,                166658,,                    359,                    359,,                 23296,              1101823,,,                 58738,,                910872,,                    122,                  5936,,                    255,                 10239,                 10494,                986162,              2087985,,,,,                              0,,                 24768,,                 31694,                  8950,,,                    638,                  4212,                  4850,                 70262,,,                  1914,,                 53946,,                 30028,                 30028,                 85888,                156150,,,,              1003308,              1003308,,                  2954,,                179555,                147626,,                482378,                809559,,                 18952,                              0,              1834773,                 97062,              1931835,              2087985,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1325,2015年06月30日,,,,                487787,,                145639,,                 71523,,                 13891,,                150408,,                 12068,,,,                182135,,                    351,                    351,,                 25437,              1089239,,,                 58738,,                917825,,                    133,                  7083,,                    254,                 10090,                 10344,                994123,              2083362,,,,,,,                 10157,,                 75477,                 10279,,,                    799,                  4181,                  4980,                100893,,,                  1997,,                 50031,,                 36736,                 36736,                 88764,                189657,,,,              1003308,              1003308,,                  2184,,                179555,                147626,,                446338,                773519,,                 12994,,              1792005,                101700,              1893705,              2083362,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1325,2015年03月31日,,,,                378294,,                120993,,                191857,,                  3194,,                147771,,                  3100,,,,                178448,,                    354,                    354,,                 36120,              1060131,,,                 69116,,                931743,,                     28,                  7920,,                    255,                 10275,                 10530,              1019337,              2079468,,,,,                  5897,,                 14539,,                 25693,                  8602,,,                    810,                  3924,                  4734,                 59465,,,                  2228,,                 51391,,                 41552,                 41552,                 95171,                154636,,,,              1003308,              1003308,,                  2184,,                173675,                147626,,                480592,                801893,,                 15368,,              1822753,                102079,              1924832,              2079468,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1325,2014年12月31日,,,,                237629,,                117653,,                248400,,                 14152,,                198507,,                  5959,,                              0,,                183633,,                    360,                    360,,                 32544,              1038837,,,                 69116,,                943645,,                     70,                  7657,,                    255,                 10519,                 10774,              1031262,              2070099,,,,,                              0,,                 21055,,                 33068,                  2406,,,                    819,                  2939,                  3758,                 60287,,,                  2457,,                 53657,,                 41543,                 41543,                 97657,                157944,,,,              1003308,              1003308,,                  2184,,                173675,                147626,,                462098,                783399,,                 19399,                              0,              1808290,                103865,              1912155,              2070099,              0,              0,              0,                237629,                248400,              2070099,,,,                 21055,,                 33068,                  2406,,,                    819,                  2939,                  3758,                 60287,,,                  2457,,                 53657,,                 41543,                 41543,                 97657,                157944,,,,              1003308,              1003308,,                  2184,,                173675,                147626,,                462098,                783399,,                 19399,                              0,              1808290,                103865,              1912155,,,,,,,,,,
1325,2014年09月30日,,,,                412282,,                 69997,,                166106,,                 13462,,                133799,,                  4015,,                    934,,                194969,,                    344,                    344,,                 31451,              1027359,,,                 69116,,                938195,,                    107,                  7150,,                    254,                 10142,                 10396,              1024964,              2052323,,,,,                  9278,,                 52213,,                 28457,                              0,,,                    787,                  1500,                  2287,                 92235,,,                  2559,,                 51263,,                 39187,                 39187,                 93009,                185244,,,,              1006828,              1006828,,                  2949,,                173675,                147626,,                436183,                757484,,                  7229,                  6497,              1767993,                 99086,              1867079,              2052323,              0,              0,        352000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1325,2014年06月30日,,,,                310055,,                 72639,,                306498,,                 38725,,                130619,,                  5407,,,,                178219,,                    337,                    337,,                 29453,              1071952,,,                 69116,,                941946,,                    144,                  7585,,                    253,                 10041,                 10294,              1029085,              2101037,,,,,,,                 40616,,                 97280,                  5031,,,                    580,                  4757,                  5337,                148264,,,                  2705,,                 49861,,                 39180,                 39180,                 91746,                240010,,,,              1006828,              1006828,,                  2190,,                173675,                147626,,                424925,                746226,,                  2549,,              1757793,                103234,              1861027,              2101037,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1325,2014年03月31日,,,,                299117,,                 99390,,                286651,,                 24969,,                150955,,                  3567,,,,                178293,,                    344,                    344,,                 34925,              1078211,,,                 69116,,                936456,,                    187,                  7117,,                    254,                 10331,                 10585,              1023461,              2101672,,,,,                              0,,                 35087,,                 23106,                  9378,,,                    395,                  3327,                  3722,                 71293,,,                  2957,,                 49890,,                 39175,                 39175,                 92022,                163315,,,,              1006828,              1006828,,                  2190,,                166431,                147626,,                501102,                815159,,                  7639,,              1831816,                106541,              1938357,              2101672,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1325,2013年12月31日,,,,,,                 76761,,,,                 37365,,                182902,,                  7146,,,,                195215,,                    340,                    340,,                 28220,              1092304,,,                 69116,,                940262,,                    225,                  7034,,                    253,                 10282,                 10535,              1027172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                198686,                365669,              2119476,,,,                 73236,,                 28764,                  6152,,,                    193,                  7056,                  7249,                115401,,,                  3086,,                 49307,,                 39169,                 39169,                 91562,                206963,,,,              1006828,              1006828,,                  2190,,                166431,                147626,,                480151,                794208,,                  4150,                              0,              1807376,                105137,              1912513,                              0,,                              0,                 76761,                 28764,,,,,
1325,2013年09月30日,,,,,,                 24705,,,,                 34557,,                166383,,                  6857,,,,                178401,,                    334,                    334,,                 28876,              1037636,,,                 69116,,                940715,,                    260,                  7939,,                    252,                 10200,                 10452,              1028482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                184070,                413453,              2066118,,,,                 60339,,                 26166,                  3434,,,                              0,                  2837,                  2837,                 92776,,,                              0,,                 48287,,                 44187,                 44187,                 92474,                185250,,,,              1006828,              1006828,,                  2190,,                166431,                147626,,                454923,                768980,,                    -59,                              0,              1777939,                102929,              1880868,                              0,,                              0,,,,,,,
1325,2013年06月30日,,,,,,                 87003,,,,                 36581,,                150686,,                  3537,,,,                161302,,                    338,                    338,,                 31399,              1049444,,,                 69116,,                951514,,                    304,                  6971,,                    304,                 10381,                 10685,              1038590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                 91815,                486783,              2088034,,,,                 32675,,                 74946,                  8969,,,                              0,                  1064,                  1064,                117654,,,                              0,,                 48265,,                 44228,                 44228,                 92493,                210147,,,,              1006828,              1006828,,                  1523,,                166431,                147630,,                443998,                758059,,                  2282,,              1768692,                109195,              1877887,,,,,,,,,,
