證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付票據－關係人,　　　　　 應付票據－關係人合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　　 待分配股票股利,　　 待註銷股本股數,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　　　 其他無形資產,　　　　　 其他無形資產,　　　　　 其他無形資產淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付票據－關係人,　　　　 應付票據－關係人合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 待分配股票股利,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 與待出售非流動資產直接相關之負債
1104,2015年09月30日,,,,                360821,,              1047012,,                414506,,                544521,,                 30884,,                  6766,,                    310,,                286257,,                 16242,,                123028,              2830347,,,              1710009,,              8310366,,              5608698,,                873536,,                  8461,                  7204,,                322832,,                 57535,,                    487,                380854,             16899128,             19729475,,,,,                541000,,                849249,,                104674,,                 57674,,                205375,,                144980,,                191532,                113699,,                 33834,              2242017,,,              1184054,,                312442,                  9634,                322076,              1506130,              3748147,,,,              6282891,              6282891,,                 31494,,              1821603,              3189962,,              3150709,              8162274,,              1351094,             15827753,                153575,             15981328,             19729475,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104,2015年06月30日,,,,                269261,,              1323877,,                437380,,                559628,,                 47454,,                416583,,                    650,,                317244,,                 13271,,                120501,              3505849,,,              1977691,,              7615818,,              5684691,,                800014,,                  8609,                  7240,,                311934,,                 66689,,                    389,                379012,             16473075,             19978924,,,,,                947000,,                249752,,                127470,,                 48697,,                263762,,                143866,,                797786,                101477,,                 30956,              2710766,,,              1183684,,                314103,                  9624,                323727,              1507411,              4218177,,,,              6159697,              6282891,,                 28999,,              1821603,              3189962,,              2850088,              7861653,,              1444872,             15618415,                142332,             15760747,             19978924,              0,              0,                112967,                  7534,                123194,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104,2015年03月31日,,,,                295188,,                537062,,                435843,,                613073,,                 38434,,                  7431,,                    362,,                330309,,                  7739,,                131056,              2398494,,,              2737320,,              7778430,,              5690994,,                800496,,                  8664,                  7376,,                222268,,                 67509,,                    403,                290180,             17313460,             19711954,,,,,                403000,,                749429,,                167793,,                 29375,,                274607,,                156812,,                185864,                 89239,,                 33251,              2089370,,,              1183684,,                323499,                  9654,                333153,              1516837,              3606207,,,,              6159697,              6159697,,                 28999,,              1682345,              3189962,,              3375827,              8248134,,              1514718,             15951548,                154199,             16105747,             19711954,              0,              0,                116967,                 14089,,,,                  1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104,2014年12月31日,,,,                396132,,                513323,,                565176,,                660834,,                 60791,,                  2543,,                    385,,                326165,,                 12220,,                115112,              2652681,,,              2626208,,              7616978,,              5736238,,                474170,,                  8811,                  7438,,                192830,,                 67073,,                    329,                260232,             16730075,             19382756,,,,,                650000,,                349761,,                202219,,                 43929,,                299721,,                193037,,                222799,                 81262,,                 25889,              2068617,,,              1183835,,                322680,                  9654,                332334,              1516169,              3584786,,,,              6159697,              6159697,,                 28999,,              1682345,              3189962,,              3112522,              7984829,,              1468752,             15642277,                155693,             15797970,             19382756,              0,              0,                103967,                 11145,                              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104,2014年09月30日,,,,                373266,,                476880,,                520075,,                642661,,                 30993,,                 19887,,                    375,,                313738,,                 14817,,                109641,              2502333,,,              2620991,,              7051457,,              5759633,,                437248,,                  8957,                 10569,,                106029,,                 68610,,                    333,                174972,             16063827,             18566160,,,,,                314000,,                609627,,                178920,,                 37819,,                282767,,                157411,,                198872,                 68496,,                 37936,              1885848,,,              1190035,,                307976,                  9624,                317600,              1507635,              3393483,,,,              6159697,              6159697,,                 26553,,              1682345,              3189962,,              2765672,              7637979,,              1186423,             15010652,                162025,             15172677,             18566160,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104,2014年06月30日,,,,                325334,,                506107,,                482221,,                740635,,                 23043,,                317446,,                    360,,                357157,,                 17056,,                126427,              2895786,,,              2615835,,              6623755,,              5827167,,                388895,,                  9104,                 10736,,                 98362,,                 55717,,                    333,                154412,             15629904,             18525690,,,,,                650000,,                 49941,,                173879,,                 58307,,                296372,,                186992,,                755964,                 59197,,                 36315,              2266967,,,              1189870,,                306806,                  8897,                315703,              1505573,              3772540,,,,              6038919,              6159697,,                 26553,,              1682345,              3189962,,              2407579,              7279886,,              1124720,             14590856,                162294,             14753150,             18525690,              0,              0,                117467,                  8960,                120778,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104,2014年03月31日,,,,                401545,,                563320,,                371774,,                657929,,                 86699,,                 15079,,                    353,,                305938,,                 11507,,                 85500,              2536190,,,              2493303,,              6635961,,              5853755,,                389256,,                  9183,                 10626,,                 86150,,                 48106,,                    331,                134587,             15526671,             18062861,,,,,                717000,,                 49937,,                178713,,                 26832,,                259195,,                160034,,                189167,                 36618,,                 31116,              1648612,,,              1190082,,                305665,                  7847,                313512,              1503594,              3152206,,,,              6038919,              6038919,,                 26553,,              1571033,              3189962,,              2735194,              7496189,,              1174756,             14736417,                174238,             14910655,             18062861,              0,              0,                 64617,                 20883,,,,                 36546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104,2013年12月31日,,,,,,                492613,,                428880,,                692760,,                107885,,                 14626,,,,                340696,,                 11998,,                 67955,              2631135,,,              2415438,,              6317363,,              5846863,,                389617,,                  9328,                 10661,,                 76140,,                 50014,,                    424,                126578,             15115848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,                 50467,                 17488,,              0,,                 44173,                429215,                    334,,                  9328,                  9328,             17746983,,,,                412000,,                249816,,                229380,,                 38895,,                322524,,                193002,,                206504,                 25221,,                 23107,              1700449,,,              1190232,,                309297,                  7856,                317153,              1507385,              3207834,,,,              6038919,              6038919,,                 26553,,              1571033,              3189962,,              2510553,              7271548,,              1029059,             14366079,                173070,             14539149,                              0,,                              0,
1104,2013年09月30日,,,,,,                429275,,                349519,,                582705,,                 98591,,                 23714,,,,                348180,,                 19628,,                 72027,              2322509,,,              2291373,,              5819974,,              5838809,,                389978,,                  9373,                 14683,,                 58431,,                 50840,,                    308,                109579,             14473769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,              0,,                 40032,                356502,                  2336,,,,             16796278,,,,                588000,,                 49941,,                202445,,                 25725,,                281213,,                142408,,                184996,                 23804,,                 21280,              1519812,,,              1187179,,                334927,                  7511,                342438,              1529617,              3049429,,,,              6038919,              6038919,,                 21763,,              1571033,              3189962,,              2125694,              6886689,,                648474,             13595845,                151004,             13746849,,,,
1104,2013年06月30日,,,,,,                510440,,                431960,,                528017,,                116768,,                289758,,,,                307185,,                 18526,,                145057,              2672600,,,              2210447,,              5687254,,              5822270,,                390339,,                  9448,                 12338,,                 20910,,                 50923,,                    307,                 72140,             14204236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,                122767,                 22290,,              0,,                 18629,                304381,                  1879,,                  9448,                  9448,             16876836,,,,                394000,,                 59933,,                194543,,                 29538,,                264674,,                128130,,                670350,                 22044,,                 24426,              1787638,,,              1171453,,                333597,                 18143,                351740,              1523193,              3310831,,,,              6038919,              6038919,,                 21763,,              1571033,              3189962,,              1887455,              6648450,,                706162,             13415294,                150711,             13566005,                              0,,,
