證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 負債準備-非流動,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 透過損益按公允價值衡量之金融資產－非流動,　　　　 透過損益按公允價值衡量之金融資產－非流動合計,　　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　　 現金及約當現金合計,　　　 避險之衍生金融資產－流動,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 避險之衍生金融負債－流動,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 累積盈虧,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　　 預收股本
2353,2015年09月30日,,,,             36374829,,                622370,,                142318,,             57733736,,                 44268,,              1128838,,                     38,,              1171273,,             37327056,,              2839196,            137383922,,,              3024151,,                124080,,              4904300,,              1202257,,             26985073,                968619,,,              1024198,,                823917,              1848115,             39056595,            176440517,,,,,                492004,,                193376,,             42271712,,                  3578,,             41519478,                              0,              1194760,,              6836997,,,              5944933,              3600000,              9544933,              3317742,             12862675,            105374580,,,                              0,,              1800000,,                110786,,              1435184,,              1573069,              4919039,            110293619,,,,             30854428,             30854428,,             36304464,,                 93166,                838498,,                283177,              1214841,,                685935,              2914856,             66144812,                  2086,             66146898,            176440517,              0,              0,     46746290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2353,2015年06月30日,,,,             36400657,,                440739,,                164443,,             48384039,,                 40834,,              1061440,,                              0,,              1056771,,             38931716,,              2834859,            129315498,,,              3421137,,                130702,,              4988668,,              1205723,,             25712419,                910848,,,              1102618,,                776709,              1879327,             38248824,            167564322,,,,,                              0,,                872684,,             42225920,,                 12568,,             36055079,                              0,                868237,,              6910635,,,              6398045,              3600000,              9998045,              2569089,             12567134,             99512257,,,                              0,,              1800000,,                105947,,              1379184,,              1581451,              4866582,            104378839,,,,             30965678,             30965678,,             36408966,,                 93166,                838498,,                147752,              1079416,,             -2084630,              3186038,             63183392,                  2091,             63185483,            167564322,              0,              0,     56746290,,                              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2353,2015年03月31日,,,,             44199214,,              2291829,,                154285,,             49763811,,                 23662,,              1338379,,                     15,,              1265673,,             37997454,,              2790213,            139824535,,,              3795911,,                129309,,              5113918,,              1200009,,             26130822,                904910,,,              1263109,,                615400,              1878509,             39153388,            178977923,,,,,                 30000,,                999806,,             44222543,,                  9403,,             39331187,                  4389,                892324,,              7576536,,,              3653388,              3600000,              7253388,              2301929,              9555317,            102621505,,,              5901936,,              3600000,,                127239,,              1385454,,              1592854,             12607483,            115228988,,,,             30965678,             30965678,,             36408966,,                              0,                              0,,              1076969,              1076969,,             -1518734,              3186038,             63746841,                  2094,             63748935,            178977923,              0,              0,     56746290,,,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2353,2014年12月31日,,,,             47558651,,              1899626,,                146479,,             59167731,,                 23837,,              1261631,,                      9,,              1244873,,             36600487,,              2981846,            150885170,,,              3859807,,                142461,,              5484061,,              1113067,,             26727547,              1018564,,,              1162526,,                701834,              1864360,             40209867,            191095037,,,,,                317000,,                624227,,             54824412,,                 13961,,             42165243,                    788,                927296,,              8972446,,,              3634818,              3600000,              7234818,              2675700,              9910518,            117755891,,,              5880437,,              3600000,,                127752,,              1397284,,              1703823,             12709296,            130465187,,,,             27965678,             27965678,,             34098396,,                              0,                              0,,                903649,                903649,,                845908,              3186038,             60627593,                  2257,             60629850,            191095037,              0,              0,     56746290,,                              0,,                              0,             47558651,                              0,              1244873,            191095037,,,,                317000,,                624227,                              0,,             54824412,,                 13961,,             42165243,                    788,                927296,,              8972446,,,              3634818,              3600000,              7234818,              2675700,              9910518,            117755891,,,                              0,,              5880437,,              3600000,,                127752,,              1397284,,              1703823,             12709296,            130465187,,,,             27965678,             27965678,,             34098396,,                              0,                              0,,                931664,                931664,                931664,,                817893,              3186038,             60627593,                  2257,             60629850,,,
2353,2014年09月30日,,,,             39245209,,              1794368,,                151440,,             66759726,,                 51941,,              1732959,,                     26,,              1434122,,             39794555,,              2885729,            153850075,,,              3792956,,                183567,,              5603561,,              1128440,,             26056676,              1994520,,,              1127129,,                619212,              1746341,             40506061,            194356136,,,,,                209992,,                658977,,             58923821,,                    809,,             41063620,                              0,              1165297,,              9120883,,,              3392278,              3600000,              6992278,              3335787,             10328065,            121471464,,,              5901353,,              5400000,,                136245,,              1983505,,              1511778,             14932881,            136404345,,,,             27965678,             27965678,,             34008228,,                              0,                              0,,                249444,                249444,,             -1087847,              3186038,             57949465,                  2326,             57951791,            194356136,              0,              0,     56746290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2353,2014年06月30日,,,,             40545933,,                227173,,                146570,,             66788966,,                 29288,,              1563110,,                     39,,              1277987,,             33360616,,              3003318,            146943000,,,              3398816,,                188741,,              5804167,,              1392537,,             25963236,              2102790,,,              1295738,,                698831,              1994569,             40845456,            187788456,,,,,                374333,,                483221,,             50634706,,                    395,,             42774965,                    394,                900618,,              9539416,,,                              0,              3600000,              3600000,              3742983,              7342983,            112051031,,,              9151295,,              5400000,,                144684,,              1954410,,              1527342,             18667595,            130718626,,,,             27791078,             27791078,,             33871854,,                              0,                              0,,               -401222,               -401222,,             -1008168,              3186038,             57067504,                  2326,             57069830,            187788456,              0,              0,     56746290,,                    600,,                489864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2353,2014年03月31日,,,,             42746540,,                178396,,                127679,,             60509657,,                 24377,,              1681235,,                     26,,              1306879,,             28222631,,              2861600,            137659020,,,              3225084,,                184620,,              6036062,,              1458270,,             28819181,              2083119,,,              1351753,,                709722,              2061475,             43867811,            181526831,,,,,              1079738,,                495483,,             45988884,,                  2088,,             40066282,                              0,                858248,,              9945130,,,                              0,              1800000,              1800000,              3152563,              4952563,            103388416,,,              9112768,,              7200000,,                150754,,              1988188,,              1528592,             20487899,            123876315,,,,             28347268,             28347268,,             43707727,,             10012168,              6126774,,            -24548680,             -8409738,,                 57159,              6054286,             57648130,                  2386,             57650516,            181526831,              0,              0,    112365290,,,,                507597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2353,2013年12月31日,,,,,,                246295,,                123130,,             62081029,,                 22712,,              1701702,,                     17,,,,             35566324,,              3079144,            147088855,,,              2900334,,                176334,,              6133729,,              1590433,,             28720088,              1903883,,,              1165811,,                820243,              1986054,             43410855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,    112365290,,                              0,,,             42983663,                 12161,              1272678,            190499710,,,,                389989,,                475425,                              0,,             55217361,,                    665,,             41371865,                    656,                847385,,             10305579,,,                              0,              1800000,              1800000,              3279566,              5079566,            113688491,,,                496143,,              8974513,,              7200000,,                342938,,              1946343,,              1599912,             20559849,            134248340,,,,             28347268,             28347268,,             43707727,,             10012168,              6126774,,            -24464794,            -24464794,             -8325852,,             -1425876,              6054286,             56248981,                  2389,             56251370,,,
2353,2013年09月30日,,,,,,                340429,,                116532,,             64774995,,                 26979,,              2734232,,                     10,,,,             41999365,,              3074101,            148412344,,,              3077257,,                180109,,              6403146,,              1607991,,             28758653,              3512089,,,              1043280,,                874920,              1918200,             45458045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,    112365290,,                    600,,,             33948980,                 37442,              1359279,            193870389,,,,                 65000,,                910145,                 14392,,             52454012,,                  1508,,             40198103,                              0,              2089445,,              9232524,,,                              0,                              0,                              0,              2992320,              2992320,            107957449,,,                469971,,              8743061,,              9000000,,                120153,,              3092314,,              1617084,             23042583,            131000032,,,,             28347268,             28347268,,             43707727,,             10012168,              6126774,,            -17047996,            -17047996,               -909054,,             -2223700,              6054286,             62867955,                  2402,             62870357,,,
2353,2013年06月30日,,,,,,                454407,,                107761,,             66477907,,                 26937,,              2482403,,                     17,,,,             50110686,,              3011020,            176608083,,,              3077364,,                179024,,              6477712,,              1652164,,             39464926,              3476569,,,              1167932,,              1010665,              2178597,             56507556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,    112365290,,                  1200,,,             52046266,                632751,              1257928,            233115639,,,,                 70000,,                213006,                 66481,,             69631402,,                              0,,             41907998,                     14,              1730149,,             10016542,,,              5018694,                              0,              5018694,              3261908,              8280602,            131916194,,,                713859,,              9953432,,              9000000,,                120142,,              3119278,,              1561502,             24468213,            156384407,,,,             28347268,             28347268,,             43707727,,             10012168,              6126774,,             -3927618,             -3927618,             12211324,,             -1483013,              6054286,             76729020,                  2212,             76731232,,,
