證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 待分配股票股利,　　 待註銷股本股數,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 待分配股票股利,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 其他權益－其他,　　　　　 其他權益－其他合計,　　　　　 其他金融資產－其他－非流動,　　　 當期所得稅資產,　　　　 當期所得稅資產合計,　　　 預付款項,　　　　 預付款項合計,　　　　　 一年或一營業週期內到期長期借款,　　　 庫藏股票,　　 非控制權益
4426,2015年09月30日,,,,                220894,,                    342,,                 15530,,                389189,,                250133,,                 62699,                938787,,,                  1160,,                  6074,,              1337260,,                  5008,                 27070,,                313011,                  7592,,                    500,,                 76950,                398053,              1774625,              2713412,,,,,                  5000,,                 61415,,                 44491,,                140110,                 69125,,,                111432,                  4740,                116172,                436313,,,                418983,,                  2435,,                  6776,                  6776,                428194,                864507,,,,                911721,                911721,,                 42859,,                893524,,                    801,              1848905,              1848905,              2713412,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4426,2015年06月30日,,,,                338824,,                    439,,                 22363,,                322283,,                226119,,                 56593,                966621,,,                  1160,,                  6608,,              1229496,,                  5475,                 25314,,                303691,                  7820,,                    500,,                 76950,                388961,              1657014,              2623635,,,,,                 12500,,                 63979,,                 42783,,                199067,                 62351,,,                111468,                  3627,                115095,                495775,,,                446420,,                    389,,                  6895,                  6895,                453704,                949479,,,,                766152,                911721,,                 42859,,                719191,,                    385,              1674156,              1674156,              2623635,              0,              0,                145569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4426,2015年03月31日,,,,                302520,,                    463,,                 23930,,                330484,,                201476,,                 26544,                885417,,,                  1160,,                  7123,,              1244245,,                  5965,                 26005,,                194460,                  3930,,                    500,,                 10037,                208927,              1493425,              2378842,,,,,                 20000,,                 56534,,                 35902,,                118956,                 73639,,,                104234,                  3386,                107620,                412651,,,                379855,,                  1006,,                  7024,                  7024,                387885,                800536,,,,                766152,                766152,,                 42859,,                768774,,                    521,              1578306,              1578306,              2378842,              0,              0,                              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4426,2014年12月31日,,,,                329048,,                    469,,                 21534,,                260947,,                195270,,                 19623,                826891,,,                  1160,,                  7835,,              1226088,,                  6481,                 24932,,                122742,                  2273,,                    500,,                              0,                125515,              1392011,              2218902,,,,,                 27500,,                 51654,,                 39285,,                 90194,                 49012,,,                104246,                  2257,                106503,                364148,,,                405484,,                  1596,,                  7152,                  7152,                414232,                778380,,,,                766152,                766152,,                 42859,,                630895,,                    616,              1440522,              1440522,              2218902,              0,              0,                              0,              0,                329048,              2218902,,,,                 27500,,                 51654,,                 39285,,                 90194,                 49012,,,                104246,                  2257,                106503,                364148,,,                405484,,                  1596,,                  7152,                  7152,                414232,                778380,,,,                766152,                              0,                766152,,                 42859,,                630895,,                    616,              1440522,              1440522,,,,,,,,,,,,
4426,2014年09月30日,,,,                174005,,                    463,,                 19568,,                251035,,                184495,,                 17913,                647479,,,                  1160,,                  8881,,              1238550,,                  7004,                 24429,,                 82357,                  3915,,                    500,,                              0,                 86772,              1366796,              2014275,,,,,                              0,,                 15128,,                 25923,,                 67639,                 33610,,,                104260,                  3454,                107714,                250014,,,                431089,,                    395,,                  7288,                  7288,                438772,                688786,,,,                766152,                766152,,                 42859,,                516182,,                    296,              1325489,              1325489,              2014275,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4426,2014年06月30日,,,,                 77493,,                    447,,                 34838,,                158874,,                203721,,                 18927,                494300,,,                  1160,,                  9426,,              1249058,,                  7523,                 21693,,                 90159,                  3929,,                    500,,                              0,                 94588,              1383448,              1877748,,,,,                  5000,,                 18543,,                 31117,,                109773,                 33996,,,                 82959,                  2260,                 85219,                283648,,,                339412,,                     33,,                  7374,                  7374,                346819,                630467,,,,                693978,                766152,,                 42859,,                438131,,                    139,              1247281,              1247281,              1877748,              0,              0,                 72174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4426,2014年03月31日,,,,                 85923,,                    457,,                 23729,,                228008,,                197069,,                 15831,                551017,,,                  1160,,                  9975,,              1276787,,                  7186,                 19232,,                  6657,                  3620,,                    500,,                              0,                 10777,              1325117,              1876134,,,,,                 12500,,                 16457,,                 22529,,                 79538,                 39810,,,                 82974,                  1985,                 84959,                255793,,,                359601,,                    218,,                  7460,                  7460,                367279,                623072,,,,                693978,                693978,,                 42859,,                515922,,                    303,              1253062,              1253062,              1876134,              0,              0,                              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4426,2013年12月31日,,,,,,                    481,,                 15956,,                215658,,                227682,,                 12847,                540938,,,                  1160,,                 10367,,              1266219,,                  7664,                 18467,,                  7738,                  2349,,                    500,,,                 10587,              1314464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,              0,                 68314,              1855402,,,,                 20000,,                 12824,,                 23120,,                 79887,                 30852,,,                 82885,                  1762,                 84647,                251330,,,                394850,,                    294,,                  7568,                  7568,                402712,                654042,,,,                693978,                              0,                693978,,                 42859,,                464366,,                    157,              1201360,              1201360,,                227682,,                    157,                    500,,,,,,,
4426,2013年09月30日,,,,,,                    457,,                 14894,,                203308,,                253125,,                 18661,                553228,,,                  1160,,                 10056,,              1231161,,                  8145,                 18943,,                 49584,                  3569,,                    500,,,                 53653,              1323118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,              0,                 62783,              1876346,,,,                 27500,,                 26111,,                 18682,,                103256,                 24852,,,                 83005,                  3426,                 86431,                286832,,,                445057,,                              0,,                  6275,                  6275,                451332,                738164,,,,                640200,                 53777,                693977,,                 42859,,                401273,,                     73,              1138182,              1138182,,,,,,,,,,,,
4426,2013年06月30日,,,,,,                    433,,                 13576,,                149277,,                259224,,                 26975,                520106,,,                  2660,,                              0,,              1172729,,                  8308,                 19054,,                 80888,                  3563,,                    500,,,                 84951,              1287702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,              0,                 70621,              1807808,,,,                              0,,                 32183,,                 18194,,                118374,                 32927,,,                 74313,                  3164,                 77477,                279155,,,                422414,,                    160,,                  6386,                  6386,                428960,                708115,,,,                640200,                 53777,                693977,,                 42859,,                362697,,                    160,              1099693,              1099693,,                259224,,                    160,,,,,,,,
