證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 生物資產－流動,　　　　 生物資產－流動淨額,　　　 預付款項,　　　　 預付貨款,　　　　 其他預付款,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 生物資產－非流動,　　　　 生物資產－非流動合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 長期應收票據及款項,　　　　　 長期應收票據及款項淨額,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 長期預付租金,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 待註銷股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 共同控制下前手權益,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 其他流動資產－其他,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積－處分資產增益,　　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　　 資本公積－認股權,　　　　　 資本公積－其他,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益－其他,　　　　　　 其他權益－員工未賺得酬勞,　　　　　　 其他權益－其他合計,　　　　 存貨（建設業適用）,　　　　　 存貨（建設業適用）淨額,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－庫藏股票交易,　　　　 資本公積－認股權,　　　　 資本公積合計,　　　 保留盈餘,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 待註銷股本,　　　　 資本公積－處分資產增益,　　　　 資本公積－其他,　　　　 法定盈餘公積,　　 共同控制下前手權益,　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數
1218,2015年09月30日,,,,                682313,,                 43636,,                  8325,,                190112,,                 12733,,                831721,,                354297,,                 34935,,,                802156,                802156,,                 18740,,                245604,                 84463,                330067,,                 17288,              3326323,,,                    771,,                 64462,,              1922380,,              2055829,,                638534,,                 55223,,                 10109,                 67511,,                  5078,,                 37787,,                 20935,                 33545,                 97345,              4912164,              8238487,,,,,                742838,,                120000,,                      1,,                277496,,                276085,,                383119,                    721,,,                 52484,                269887,                322371,                277772,                600143,              2400403,,,                              0,,                              0,,              1947533,,                222537,,                230894,                 21888,                252782,              2422852,              4823255,,,,              3533360,                              0,              3533360,,                 23770,,                              0,                240776,,               -161208,                 79568,,                -22545,                203876,              3410277,                              0,                  4955,              3415232,              8238487,              0,              0,     13680042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1218,2015年06月30日,,,,                592743,,                 29884,,                 43689,,                120764,,                 12276,,                612150,,                359234,,                 42655,,,                813947,                813947,,                 16964,,                274779,                 77716,                352495,,                 28951,              3025752,,,                  1405,,                 61684,,              2052757,,              2067838,,                639177,,                 58667,,                 10603,                 72439,,                  3196,,                 41314,,                 24376,                 32477,                101363,              5065933,              8091685,,,,,                449032,,                455000,,                    724,,                257612,,                333190,,                261866,                    767,,,                 52253,                356896,                409149,                282808,                691957,              2450148,,,                              0,,                              0,,              1832541,,                222537,,                234163,                 25920,                260083,              2315161,              4765309,,,,              3533360,                              0,              3533360,,                 23770,,                              0,                240776,,               -262695,                -21919,,                 -9812,                203876,              3321523,                              0,                  4853,              3326376,              8091685,              0,              0,     13680042,                 28951,                 10211,                              0,                              0,                  1440,                 12119,,                 -7137,,                 -2675,,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1218,2015年03月31日,,,,                676887,,                 39414,,                 55700,,                103462,,                 18625,,                507524,,                406245,,                 22184,,,                730010,                730010,,                 13726,,                  2853,                 85708,                 88561,,                 27631,              2689969,,,                  1721,,                 62730,,              2001119,,              2101869,,                640427,,                 61150,,                 10861,                 74413,,                  2608,,                 41667,,                 26359,                 33107,                103741,              5058031,              7748000,,,,,                339917,,                330000,,                  5415,,                204649,,                281152,,                234649,,,,                489845,                437978,                927823,                260729,              1188552,              2584334,,,                              0,,                              0,,              1335896,,                222537,,                238156,                 29273,                267429,              1825862,              4410196,,,,              3533360,                              0,              3533360,,                 23770,,                              0,                240776,,               -250065,                 -9289,,                -10984,                203876,              3332981,                              0,                  4823,              3337804,              7748000,              0,              0,     13680042,                 27631,,,,,,,,,,,,,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1218,2014年12月31日,,,,                486887,,                 38718,,                 52120,,                116457,,                  7313,,                456787,,                377995,,                 14417,,,                762433,                762433,,                 13899,,                245088,                 94468,                339556,,                 29494,              2696076,,,                  1975,,                 63158,,              1979257,,              2593573,,                182919,,                 65333,,                 10570,                 74647,,                  7745,,                 45274,,                 21437,                 33696,                108152,              5079584,              7775660,,,,,                525439,,                120000,,                  6100,,                171034,,                215114,,                307342,                              0,,,                487669,                263850,                751519,                245808,                997327,              2342356,,,                              0,,                              0,,              1593550,,                222537,,                239436,                 22619,                262055,              2078142,              4420498,,,,              3533360,                              0,              3533360,,                 23770,,                              0,                240776,,               -240262,                    514,,                 -3353,                203876,              3350415,                              0,                  4747,              3355162,              7775660,              0,              0,     13680042,                 29494,                 10211,                              0,                              0,                 13559,                              0,,                   -696,,                 -2657,,                              0,                              0,,                              0,                486887,              7775660,,,,                525439,,                120000,,                  6100,,                171034,,                215114,,                307342,,,                487669,                263850,                751519,                245808,                997327,              2342356,,,                              0,,                              0,,              1593550,,                222537,,                219903,                 22619,                242522,              2058609,              4400965,,,,              3533360,              3533360,,                 10211,                 13559,                 23770,,                240776,,               -220732,                 20044,,                 -3353,                203876,              3369945,                  4750,              3374695,,,,,,
1218,2014年09月30日,,,,              1018575,,                 46030,,                 52163,,                166611,,                  8144,,                738773,,                467005,,                 32892,,,                886954,                886954,,                 13759,,                 84624,                103109,                187733,,                 25346,              3643985,,,                  1245,,                 61428,,              1941639,,              2604765,,                181140,,                 66278,,                 10204,                 73143,,                  4957,,                 49169,,                 22092,                 33768,                109986,              5049828,              8693813,,,,,                456535,,                 94000,,                     39,,                378827,,                331280,,                337658,                              0,,,                              0,                636724,                636724,                320945,                957669,              2556008,,,                  5350,,                485493,,              1785748,,                222537,,                243068,                 23795,                266863,              2765991,              5321999,,,,              3533360,                              0,              3533360,,                 23770,,                              0,                240776,,               -224547,                 16229,,                 -2376,                203876,              3367107,                              0,                  4707,              3371814,              8693813,              0,              0,     13680042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1218,2014年06月30日,,,,                930409,,                 44252,,                 56534,,                126213,,                 12987,,                572323,,                451930,,                 41906,,,              1001487,              1001487,,                 15740,,                397034,                104444,                501478,,                 47352,              3802611,,,                  1715,,                 60724,,              2052386,,              2615920,,                182382,,                 70403,,                  9560,                 78279,,                  4821,,                 49169,,                 21486,                 36018,                111494,              5182863,              8985474,,,,,                530833,,                294000,,                  1640,,                275943,,                365807,,                274545,                              0,,,                              0,                709745,                709745,                269631,                979376,              2722144,,,                  3400,,                483317,,              1979110,,                222537,,                246904,                 23736,                270640,              2959004,              5681148,,,,              3533360,                              0,              3533360,,                 23770,,                              0,                240776,,               -296803,                -56027,,                  2426,                203876,              3299653,                              0,                  4673,              3304326,              8985474,              0,              0,     13680042,                 47352,                 10211,                              0,                              0,                 13559,                              0,,                 -6180,,                  8606,,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1218,2014年03月31日,,,,                559184,,                 23674,,                 54516,,                118853,,                 14007,,                461578,,                386083,,                 22038,,,                784347,                790179,,                 17207,,                313411,                 87326,                400737,,                 52203,              2900259,,,                  2354,,                 62028,,              1979517,,              2578892,,                178608,,                 74887,,                 10274,                 78105,,                 46922,,                 51011,,                 23839,                 36951,                158723,              5123388,              8023647,,,,,                348992,,                130000,,                              0,,                195841,,                352914,,                210056,,,,                              0,                484747,                484747,                216593,                701340,              1939143,,,                  2800,,                481141,,              1775000,,                222537,,                251486,                 23510,                274996,              2756474,              4695617,,,,              3533360,                              0,              3533360,,                 23770,,                              0,                240776,,               -275380,                -34604,,                  4699,                203876,              3323349,                              0,                  4681,              3328030,              8023647,              0,              0,     13680042,                 52203,,,,,,,,,,,,,,                  5832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1218,2013年12月31日,,,,,,                 22907,,                 50496,,                126105,,                 70242,,                431693,,                383888,,                 17568,,,                791779,                797611,,                 17825,,                 81869,                 99595,                181464,,                 59581,              2773571,,,                  2505,,                 61272,,              1916107,,              2610606,,                179831,,                 61229,,                 10200,                 78279,,                              0,,                 45290,,                 20809,                 37551,                103650,              5023679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     13680042,,,,,,,,,,,,,,,                  5832,                614191,              7797250,,,,                306908,,                120000,,                              0,,                268100,,                213341,,                217172,,,                              0,                358000,                358000,                256919,                614919,              1740440,,,                  5450,,                478965,,              1784488,,                222537,,                235616,                 23041,                258657,              2750097,              4490537,,,,              3533360,              3533360,,                 10211,                 13559,                 23770,,                240776,,               -277794,                -37018,,                -14151,                203876,              3302085,                  4628,              3306713,,,,,,
1218,2013年09月30日,,,,,,                 52383,,                 49295,,                192440,,                 57873,,                829858,,                229301,,                 60525,,,                816465,                829326,,                 19836,,                 43000,                 78632,                121632,,                 73531,              3288709,,,                  5771,,                 66031,,              1882267,,              2626081,,                181346,,                  1755,,                  9593,                 74851,,                 53313,,                 42156,,                 28441,                 37076,                160986,              5008681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     13680042,                 73531,,,,,,,,,,,,,,                 12861,                772709,              8297390,,,,                275670,,                145000,,                  2138,,                402993,,                354406,,                271852,,,,,                185000,                228538,                413538,              1865597,,,                  5550,,                476788,,              1956237,,                222537,,                252305,                 15930,                268235,              2929347,              4794944,,,,              3533360,              3533360,,                 10211,                 13559,                 23770,,                240776,,                -71884,                168892,,                -22767,                203876,              3499379,                  3067,              3502446,                              0,                              0,                              0,                              0,                              0,
1218,2013年06月30日,,,,,,                 79143,,                 49509,,                177088,,                 83936,,                665153,,                273443,,                 62284,,,                835560,                848143,,                 18200,,                 70368,                 59930,                130298,,                 23786,              3088297,,,                  9628,,                 66638,,              1937785,,              2569003,,                182400,,                  1672,,                  9006,                 78752,,                 59846,,                 37221,,                 21199,                 37836,                156102,              5010986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     13680042,                 23786,,,,,,,,,,,,,,                 12583,                677314,              8099283,,,,                365441,,                 70000,,                    250,,                185429,,                441236,,                250283,,,,,                105000,                224090,                329090,              1641729,,,                  4700,,                474612,,              2037360,,                222537,,                249517,                 15169,                264686,              3003895,              4645624,,,,              3533360,              3533360,,                 10211,                 13559,                 23770,,                240776,,               -128081,                112695,,                -15273,                203876,              3450676,                  2983,              3453659,                              0,                              0,                              0,,                              0,                              0
